"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"Melbourne Art Foundation 2010 Lecture – Bill Henson","2 August 2010, BMW Edge, Federation Square",,"1200","Bill Henson,  Moderator - John McDonald ","Melb Arts Foundation monash University","Artists can seem like holy fools, they can seem like devils. They may exhibit the cunning of the insane or the illumination of the saint. But genuine art is the great bridge between the inner world in each of us and the ordinary world in which we live. Art shows us the truth and it should never be the quarry of the witch-hunter or the social engineer. Any attempt to make the world better by destroying or shackling art represents a repudiation of the truth."
"Art Market Growth: Has it been good or bad for contemporary Australian art?","15 July 2010, BMW Edge, Federation Square",,"300","Moderator: Dr Christopher Marshall Dr. Meaghan Wilson-Anastasios, David Keeling, Bronwyn Johnson, Bronwyn Bancroft, Doug Hall AM ",,"Prominent visual arts identities will discuss the impact of the recent art market boom on the contemporary Australian visual arts sector. Has the increasing commercialization of art helped or hindered artists, museums, collectors and others involved in making Australian art and then communicating it to the world?"
"From Hard Knocks to Hope and Inspiration","1 July 2010, BMW Edge, Federation Square",,"400","Michelle Burrell – CEO, Council to Homeless Persons, Melbourne
Matthew Peacock - Chief Executive, Streetwise Opera, United Kingdom
Dr Jonathon Welch AM - Founding Musical Director, Choir of Hope and Inspiration (formerly Choir of Hard Knocks), and Melbourne
Moderator - Tracee Hutchison - Broadcaster and Writer, Melbourne

","The British Council, 
The Choir of Hope and Inspiration
Streetwise Opera","The focus is on music's ability to assist people experiencing disadvantage and homelessness and includes Melbourne's Choir of Hope and Inspiration and the Director of the United Kingdom’s Streetwise Opera. The forum will be accompanied by a performance from Melbourne’s now famous choir. Members of the choir will take part in the conversations. "
"Who’s Afraid of Growing Old?","17 June 2010, BMW Edge, Federation Square",,"380","Associate Professor Michael Woodward Rhonda Nay Linda Sparrow Dr. John Zeisel, Ph.D Moderator Peter Mares ","ABC Radio National","A forum about ageing from a medical, social, cultural and creative perspective."
"Indigenous Place Making:  Knowledge, Culture and Community","24 June 2010, BMW Edge, Federation Square",,"200","Margaret Gardiner, Greg Burgess, Carroll Go-Sam, Emmanuel Kasarherou  Moderator: Dr Janet McGaw – Senior Lecturer, University of Melbourne","University of Melbourne","In Australia, non-indigenous peoples have employed place making strategies that have failed to understand the significance of place from an Indigenous perspective. In light of histories and geographies, both ancient and new, this conversation will consider how Indigenous place might be re-constituted in Melbourne.

The current quest for an enhanced understanding of Indigenous place making is a partnership between with the Victorian Traditional Owners Land Justice Group, the City of Melbourne and the University of Melbourne’s Dr Janet McGaw and her Australian Research Council Grant team who are undertaking the research on Indigenous Place Making in Melbourne.
"
"Talk Blak 2010 – Identity: Stories from Indigenous Australia","16 June 2010, BMW Edge, Federation Square",,"180","Moderator: Waleed Ally Professor Mark Rose Anita Maynard Clinton Nain Nathan Lovett-Murray ",,"Identity will be discussed though the perspectives of art, politics, family history, family identity, cultural heritage, Indigenous knowledge and education, role models, identity theft, growing up Aboriginal and the Tasmanian Palawa phenomenon. Palawa kani is an ongoing reconstruction of a composite Tasmanian Aboriginal language in attempt to strengthen Tasmanian Aboriginal culture"
"Will Melbourne still be Marvellous in 2050? Conversations about population growth ","22 April 2010, BMW Edge, Federation Square",,"375","Moderator: Mr Peter Mares Charles Berger Saul Eslake Maurene Horder Mark OConnor Dr Marcus Spiller ","Future leaders Radio National","Australia’s population growth will mainly be in urban areas with Melbourne estimated at seven to eight million by 2050.  Many argue it’s sustainable, desirable and inevitable, many disagree. Prominent commentators will discuss the numerous pros and cons of predicted population growth. "
"Healthy Parks = Healthy People? The importance of nature and the outdoor life.","13 April 2010, BMW Edge, Federation Square",,"400","Ms Natasha Mitchell, Associate Professor Mardie Townsend, Steve Coleman, Richard Louv    ","People & Parks, Dep't of planning and Comm Devlt, ORC, PRAV, Australian Camps, GACO, VOEA","A Melbourne Conversations focussed on parks, play, children, access to nature, wellbeing and the great outdoors. The event is being held to coincide with the inaugural Healthy Parks Healthy People International Congress."
"Abolishing Poverty: the human rights priority – Nobel Laureate Muhammad Yunus","9 March 2010, Melbourne Recital Centre",,"1000","Lord Mayor Robert Doyle -Tim Costello AO – Nobel Laureate Professor Muhammad Yunus – Moderator: Dr Helen Szoke","Future leaders Melb Recital Centre World Vision Centre for Social Impact","A discussion about creating opportunities for the poor to lead decent lives to their fullest potential like their more fortunate counterparts."
"Sustaining a healthy body and mind: Keeping in shape for the future","18 February 2010, BMW Edge, Federation Square",,"400","Moderator Peter Mares - Dr Richard Denniss - Dr Olivia Carter  – Professor Rob Moodie","Future leader Sustainable living festival","Can our bodies cope? The speakers will discuss how we will deal with the changing world with respect to disease management, environmental health and the role of pharmacology."
"T10 – The Transition Decade – It’s time to restore a safe climate – jointly presented by the Sustainable Living Foundation and the City of Melbourne.","14 February 2010, Melbourne Town Hall",,"1500","PROFESSOR DAVID DE KRETSER, A.C, The Governor of Victoria, ROB GELL (Master of Ceremonies) National President of Greening Australia Ltd, PROFESSOR WILL STEFFEN Executive Director of the ANU Climate Institute, PROFESSOR ROB ADAMS AM Director Design & Urban Environment, City of Melbourne, SENATOR CHRISTINE MILNE Deputy Leader of the Australian Greens, UNCLE BOB RANDALL Yankunytjatjara Elder and Traditional Owner of Uluru, MARK OGGE Beyond Zero Emissions, CAM WALKER National Liaison Officer for Friends of the Earth Australia, PHILIP SUTTON Convener of The Climate Emergency Network, GISELLE WILKINSON President of the Sustainable Living Foundation, KELLY O’SHANASSY Chief Executive Environment Victoria, JOE HERBERTSON Safe Climate Australia
","A Sustainable Living Festival event supported by Melbourne Conversations ","At both the state and national levels, local leadership has failed to deliver even very small cuts in carbon emissions. Not surprisingly at the international level, the recent Copenhagen negotiations have produced no meaningful outcome either. We have to face it, conventional political change methods have not worked.  We have run out of time for half-measures. It is now imperative that a safe climate is restored as fast as humanly possible. This will require zero emissions, and more, at emergency speed. It seems that what is essential to accomplish is impossible to achieve. Clearly a breakthrough is needed. The Transition Decade campaign aims to guide effective action to achieve safe climate goals. The launch will present a strategy to harness the power of collaboration. An alliance of committed groups has been formed to drive a collaborative framework through a decade of structural and social change. The launch will create the opportunity to take the size and effectiveness of this alliance to a whole new level.
"
"From Melbourne to Copenhagen: What’s our responsibility for climate change? Included live cross to Dr Cathy Oke and Tim Costello in Copenhagen","9 December 2009, BMW Edge Federation Square",,"400","Moderator Peter Mares - Introduction: Dr Kathy Alexander - Mr Guy Abrahams - Dr Kate Auty - Ms Liz Minchin - Lord Mayor Robert Doyle
","Future leaders","A Copenhagen agreement looks unlikely to produce binding agreements on lower emission targets. Urgent local action on the impact of climate change is even more important. Hear what is being done by local organisations, governments and individuals, what needs to be done and what you can do to help. "
"Houses, Homes and Hope - Creating neighbourhoods that are better places to live","26 November 2009, Melbourne Town Hall Supper Room",,"120","Gary Spivak, Rob McGauran, Mark O’Brien, Dr Maree Pardy, Professor Philippa Howden-Chapman ","Nat. Housing Project, Vic Gov't, AHURI","A discussion on the challenges of better designed homes and neighbourhoods, health improvement and wellbeing, our young people’s future and the changing nature of the “home”."
"What Will We Leave Behind? - Sustainable Living Now and Forever","17 November 2009, BMW Edge Fed Square",,"400","Professor Larissa Behrendt, Ms Larissa Brown, Professor Peter Doherty, Professor Spencer Zifcak","Future leaders","The speakers will discuss the many challenges in managing the crisis we are facing with our water supplies, potential fires and heat this summer. The first half of 2009 was the driest on record for Melbourne."
"Water, Fire & Heat: Summer is Coming","20 October 2009, BMW Edge Fed Square",,"300","Michael Cathcart
Tom Griffiths
Marnie Ireland 
Ian Lowe 
MC Peter Mares",,"The speakers will discuss the many challenges in managing the crisis we are facing with our water 
supplies, potential fires and heat this summer. The first half of 2009 was the driest on record for Melbourne.

"
"Salon Conv. Communicating Architecture","1 October 2009, City Library",,"50","MC Martyn Hook  
Tania Davidge and Christine Phillips - Architects, Directors, OpenHAUS
Alex Selenitsch - Architect and Poet and Senior Lecturer, Architecture, University of Melbourne
Hamish Lyon - Principal NH Architecture
Karen Burns - Architectural Historian and Theorist Lecturer, Monash University Architecture
Stuart Harrison - Architect, Director HAW and Lecturer, Architecture, RMIT University
",,"A unique opportunity for architects and designers to hear from an impressive panel of peers responding to the topic and joining in conversation on the ways that architecture and the architectural idea or concept can be communicated to the public.  Panellists will discuss the relationship between media and architecture, how architectural practitioners, academics, theorists, historians and writers can foster a broader understanding of architectural practice in the community and how innovative architectural ideas and concepts can be better communicated."
"Thriving or Just Surviving in Our Cities: Urban Challenges for this Century","14 September 2009, BMW Edge Fed Square",,"600","Mr Rob Adams AM Mr Jeb Brugmann Ms Patricia Faulkner AO Respondent: Dr Catherine Oke Moderator is Peter Mares ","LCLEI Future Leaders Readings","The speakers will discuss how the experiences and future planning of cities might solve some of the pressing issues and contribute to the quality of life for all citizens. "
"Salon Conv. Stolen Voices: Poets reading & talking about the stolen generations of Africa and Australia","10 September 2009 City Library",,"50","Ms Ali Cobby Ekermann – Poet, Koolunga, South Australia
Dr Tony Birch – Writer, Curator and Lecturer, Creative Writing The University of Melbourne
Mr Lewis Scott – Jazz Poet, Performer Wellington, New Zealand
Moderator – Assoc. Prof Kevin Brophy – Poet, Novelist and Head of Creative Writing, The University of Melbourne
",,"An intimate forum with two Australian Indigenous poets and an African American poet from New Zealand. They will read some of their work and talk about their influences, how they form their work and its impact on culture, community and politics. Come along to this special, invite only Overload Poetry Festival event and join this intimate conversation. "
"The challenge of designing for fire ","24 July 2009, BMW Edge Fed Square",,"400","Alan Saunders – Broadcaster and presenter ABC Radio National
Michael Reynolds – Garbage Warrior, Design activist and Architect, New Mexico, USA
Justin Leonard – Project Leader Bush Fire Research CSIRO
Naomi Brown – CEO of Australasian fire and Emergency Authorities Council
Roz Hansen – Managing Director, Hansen 

",,"A free public forum dedicated to uncovering innovative design solutions that can help communities deal with extreme fire events.  Design for Fire will present a range of perspectives, experiences and proposals in response to this urgent and topical issue.  Drawing from leading thinkers across areas such as architecture and engineering, environment, planning and landscaping, social issues, art, emerging technologies for early warning systems, remote sensing, fire protection, communications systems, real-time information sharing and personal protection."
"2040 City - Future Visions","22 July 2009, BMW Edge Fed Square",,"400","Moderator: Peter Mares 
Brent Alpress 
Prof Lyndon Anderson 
Dr. Michael Trudgeon 
Prof. Chris Ryan 
","Design Laboratory ","An exploration of the future of the city presenting a series of compelling and confronting ‘visions’ as provocations or considerations.  What will shape and define the nature of and livability of the future city?  What are the pressures and circumstances- imminent or distant- that will shape the social fabric of the city in 2040 and the subsequent spatial, physical and ecological realm that 2040 citizens will occupy?
"
"Culture Shift: An Indigenous Future for Design","20 July 2009, BMW Edge Fed Square",,"175","Moderator: Dr Kevin Murray Phil Harris and Adrian Gary Murray Alison Page David Lancashire Vicki Couzens Soumitri Varadarajan ","State of Design INDIGO","Discover an emerging generation of Aboriginal designers working in fields such as architecture, fashion and interior design.  How will indigenous design shape our future?"
"We’ve Lost Our Marbles - The Repatriation of Cultural Artefacts","2 July 2009, BMW Edge Fed Square",,"300","Kon Dimopoulos -Artist behind Black Parthenon
Mike Green - Head of Indigenous Cultures, Melbourne Museum
Lyndon Ormond-Parker - The University of Melbourne
David Hill - President of the International Association for the Reunification of the Parthenon Marbles.
Moderator: Robyn Archer – Singer, Writer and Director of The Light in Winter festival at Federation Square 
","The Light in Winter festival, Federation Square","The panel will discuss what it means to ‘own’ cultural artifacts in the 21st century. Moderated by Robyn Archer this promises to be a provocative and spirited discussion about who has the right to claim ownership and possession of aspects of the past and what it means for the future."
"Talk Blak 09 – Talking the Walk – Footy and Indigenous wellbeing. ","20 May 2009, Melbourne Town Hall ",,"250","Michael Long, Margaret Dharul Wirrpanda, Alan Brown, Sean Gorman and John Harms",,"Football is big in Indigenous communities. Aussie Rules has perhaps done more for reconciliation that any other aspect of Australian society.  Attitude towards Indigenous people are changing. More and more Indigenous footballers and their clubs are establishing programs around game development, employment, education and other determinants of wellbeing.  So what is it about football? Is it just a jumped up ticket out of the ghetto? Is it all show and no go? Or does it really have an enduring role to play in achieving equality between Indigenous and non-Indigenous Australians?"
"The Power & Role of Ideas - How ideas serve to assist in understanding, forming & renewing Australia","15 July 2008, BMW Edge Fed Sq.",,"750","Ramona Koval Professor Larissa Behrendt Dr Richard Denniss Rodney Hall AM Julian Burnside ","Feature Leaders","Where do ideas come from and how they shape our society? Government think tanks, academics, lawyers, writers, scientists, artists you and me – the source is vast"
"Housing the Arts – Finding that Studio","5 March 2009 State Library of Victoria",,"100","Nicholas Jones Morris Bellamy Eleni Arbus Julia Ciccarone Danny Schwartz ","State library of Vic","A discussion about the importance of finding the right studio space, why the CBD is a sought-after location, and the City of Melbourne's Housing the Arts strategy. The discussion is being held to celebrate Studio: Australian Painters photographed by R Ian Lloyd, held in theState Library’s Keith Murdoch Gallery "
"The bush fires – coping with the future","27 February 2009 Federation Square",,"1000","Dr Christopher Hall – Director, Australian Centre for Grief and Bereavement
Hon Fran Bailey MP – Federal Member for McEwen
Mr Tim Costello AO – Chief Executive, World Vision Australia
Robert Tickner – CEO Australian Red Cross 

Moderator: Ms Tracy Bartram – Media Personality and Yarra Valley Resident
",,"Well know Australians share their thoughts about grief, loss, frustration and optimism. How are governments, businesses and agencies assisting in this long process of healing and recovery as people begin to re-build their lives and communities?  "
"Water crisis – what does it mean for you?","19 February 2009 BMW Edge",,"800","Dr Helen Sykes AM Lauren Rickards Greg Moore Lee Godden John Connor ",,"Academics, environmentalists & opinion makers discuss theimpact of the water crisis on costs, health, food production, gardens and our rivers. "
"Changing lives through social entrepreneurship: the challenges and achievements – No 2 HWC 2008","4 December 2008, BMW Edge",,"200","Tracee Hutchison, Mel Young, Moira Rayner, Sarah Davies, Phil Ruthven    ","Homeless World Cup, Big Issue, Future Leaders","How do change-makers, community and business leadersmake a difference to homelessness and poverty and deal with the many challenges including the impact of the global financial crisis? "
"Kicking Goals – Changing Lives – No1 HWC 2008","3 December 2008, BMW Edge ",,"300","Tracee Hutchison, Sarah McLardy, Emmanuel Bismyf, Tom Hurley, Dan Adams   ","Homeless World Cup, Big Issue, Future Leaders","A discussion with young people about street soccer, crime, homelessness, poverty, achievement against the odds and how young people can make a difference in the world."
"Getting Around Melbourne: Transport Visions for a sustainable future","19 November 2008, BMW Edge",,"450","Mr Peter Mares,William J. Mitchell, Rob Adams , Jago Dodson , Nicholas Low , Cath Smith. Responders: 
Professor Robin Batterham AO, Mr David Ettershank    ","ATSE Future leaders","How will we manage new technology, transport infrastructure, planning, congestion, location disadvantage, development of transport corridors, and the social and environmental impact of future transport decisions?    "
"Gender - Does it matter nowadays? ","10 November 2008, BMW Edge",,"350","Ms Ramona Koval, Dr Clare Wright, Ms Lyn Morgain, Cr Dick Gross Ms Tasneem Chopra, Ms Eve Mahlab    ","Vic Government","Mid-November 2008 marks a hundred years since most women in Victoria gained the right to vote through parliament. To celebrate the centenary a diverse panel will discuss  justice, work, relationships, equality, participation, representation and indeed the contested nature of gender in contemporary society. "
"Salon Conversations: Challenges of Collaboration – Crooked Rib & Aerosol Arabic – by invitation","23 October 2008, City Library – invite only",,"40","Ian Pidd, Amanda King, Reeham Hakem, Lauren Thomas, Mohammed Ali, Aerosol Arabic  ","Muslim Women's Council Victoria and the British Council.",
"Fair go? - The culture of sport and sport as culture","1 October 2008, Sidney Myer Asia Centre",,"175","Chris McAuliffe Waleed Aly Professor Joy Damousi Amanda Smith ","Ian potter Centre Uni melbourne","With the Olympics finished and Geelong odds on for the flag, a group of keen sports lovers reflect on the culture of sport and the role sport plays in our diverse culture. Visit the Basil Sellers Art Prize then join a group of experts and opinion makers as they discuss sport and its connections to nationalism, regional relations, cultural diversity, social inclusion, Indigenous culture and maybe funding and cheating!"
"Democracy: do we have it? ","22 September 2008, BMW Edge",,"300","Peter Mares The Honourable Justice Lex Lasry John Hartigan Claudette Werleigh Ronald Wright ","Future Leaders ",
"Your Brain: How it can change, develop and improve","10 September 2008, BMW Edge",,"1800","Natasha Mitchell Dr Norman Doidge, M.D Professor Frederick Mendelsohn AO Ms Emma Burrows ","Future Leaders ","An astonishing new scientific discovery called neuroplasticity is overthrowing the centuries-old notion that the adult human brain is fixed and unchanging. It is, instead, able to change its own structure and function, even into old age"
"Salon Conversations - Making and Thinking in the Intersection: Conversations about Craft and Design – by invitation ","28 August, City Library – invite only - capacity 75",,"75","David Elliott Louise Adler ","Melb Art fair, Monash university ","Presented as part of Monash University’s 50th Anniversary Public Lecture Program and developed in partnership with Melbourne Art Fair Foundation and Monash University Museum of Art"
"Outside Voices 2 : The First Step – a Eureka 150 event","29 November 2004 RMIT Capitol Theatre",,"500","Virginia Trioli (Moderator), Julian Burnside QC Dr Marjorie “Mo” Mowlam, Hugh Masekela, Richard Frankland","Eureka150","As the saying goes, the longest journey begins with a single step. Can any one individual make a difference? This evening will examine personal decisions and whether they influence the big picture in contemporary democraciesDecember 2004 marks the 150th anniversary of the struggle at the Eureka Stockade, a defining moment in our history that helped build Australian democracy. "
"In Praise of Impurity: Beyond Geo-Aesthetics in Contemporary Art ","28 July 2008, BMW Edge Fed Sq",,"350","Moderator - Ms Louise Adler - CEO and Publisher-in-Chief, Melbourne University Publishing.
Guest Lecturer: Director 2010 Biennale of Sydney ","Melbourne Art Fair 2008 Lecture","Be the first in Australia to hear from the yet to be announced Director of the 2010 Biennale of Sydney.  All will be revealed on the night.  The presentation will build on the highly successful Melbourne Art Fair 2006 lecture LIVE IN YOUR HEAD: Places of art, when young Italian born curator Massimiliano Gioni thrilled the audience with his take on innovative forms of curatorial practice for contemporary visual arts across Europe and North America "
"Salon Conversations - Public art in the 21stCentury Media art for urban spaces – by invitation","26 June 2008, City Library – invite only - capacity 75",,"75","Craig Walsh David Napier Liz Hughes ",,"Contemporary media art has now become part of mainstream art practice. It incorporates technology into the creation and delivery of the artwork, seeks to engages audiences emotionally and place them at the centre of the artwork. The changing nature of urban and architectural spaces calls for a new kind of public art."
"Cities, nations, trains and transport – 2008 Deakins Lecture","11 June 2008, Melbourne Town Hall",,"300","Hon Tim Fischer AC - Former Deputy Prime Minister of Australia 
Austin Williams – Director, Future Cities Project, London
Mick Douglas – Artist and Lecturer RMIT Uninversity
Kate Archdeacon - Recent graduate Bachelor of Industrial Design, RMIT 
","Alfred Deakin Lectures 08 ","Melbourne is always at the top of the world’s most liveable cities list and its tram system is the envy of the nation. Yet the recent release of the Eddington Report into Melbourne’s east-west transport needs produced a huge reaction. Everyone has a view on how best to tackle the issue of transport (and the associated horrors of pollution, congestion and road rage) and in this conversation you will hear some of the most passionate views."
"Talk Blak 08: Land Rights! When do we want it? Now! ","3 June 2008, BMW Edge Fed Sq",,"120","Frank Hytten Adam McLean Warren Mundine Gary Murray Aretha Briggs ",,"Stories and conversations about country, land rights, traditional owner’s rights and the native title maze"
"Non-Renewable Energy – Coal, CO2, Nuclear","28 April 2008, BMW Edge Fed Sq",,"650","Peter Mares Dr Louis Wibberley Dr Ziggy Switkowski Dr Graeme Pearman ","ANZAAS, ATSE, Future Leaders","Developed in collaboration with the Australian & New Zealand Association for the Advancement of Science and the Australian Academy of Technological Sciences and Engineering. Kindly supported by Future Leaders."
"Renewable Energy –  Solar, Wind, Geo-thermal, Bio Mass and Tidal","21 April 2008, BMW Edge Fed Sq.",,"850","Peter Mares Professor Andrew Blakers Dr. Adrian Williams Ms. Dominique La Fontaine Dr Graeme Pearman ","ANZAAS, ATSE, Future Leaders","Developed in collaboration with the Australian & New Zealand Association for the Advancement of Science and the Australian Academy of Technological Sciences and Engineering. Kindly supported by Future Leaders"
"Does cultural diversity make a creative city?","17 March 2008, State Library of Victoria - Experimedia",,"150","Moderator John Smithies Keith Kahn Fotis Kapetopoulos Elizabeth Burns Coleman ",,"Local experts will join Keith Kahn, to discuss the achievements and challenges for multiculturalism and interculturalism and the role that arts & cultural activities play in creating the sense and identity of a contemporary city"
"The Urgent Design Challenge - Case studies from Australian and International metropolises","14 February 2008, BMW Edge Fed Sq. ",,"700","
Moderator: Jill Singer – Journalist and Writer
Norman Day: Architect and Adjunct Professor of Architecture, RMIT University, Melbourne
Enrique Penalosa:  Former Mayor, Bogota, Columbia
John Denton: Victorian government Architect, Melbourne
Peter Mould: New South Wales Government Architect, Sydney
Santha Sheela Nair: Secretary, Department of Drinking Water Supply, Government of India, New Delhi
Bernard Khoury:  Architect, Beirut, Lebanon
","part of the 2008 Sustainable Living Festival
","For the first time in human history more than half of the world’s population lives in cities. As Australia and the globe experience rapid climate change, the design industry faces an urgent challenge on how better urban planning and densification of our cities can significantly reduce our impact on the environment."
"Art, Migration and Indigeneity: What happens when cultures meet?","14 January 2008, Melbourne Town Hall ",,"1400","Dr Gerard Vaughan, Howard Morphy, Jaynie Anderson 
","British Council","Australian and international art experts will explore the conference theme through a variety of art history case studies and reflections from Australia, Canada, Holland and America"
"World AIDS Day Forum 2007","27 November 2007, Supper Room, Melbourne Town Hall",,"200","Moderator: Anton Enus – Broadcaster and Journalist SBS 
Professor Dennis Altman – Politics Program, LaTrobe University
Associate Professor Bebe Loff - Head Human Rights and Bioethics Unit, Department of Epidemiology and Preventive Medicine, Monash University
Dr Anne Mitchell - Director, Gay and Lesbian Health Victoria
","Victorian AIDS Council/Gay Men’s Health Centre","The World AIDS Day 2007 Forum features three distinct perspectives on HIV/AIDS and Human Rights. 

A Melbourne Conversations presented by the Victorian AIDS Council/Gay Men’s Health Centre in partnership with the City of Melbourne.

"
"Imaging the 2020’s – Art in the City: Scenarios for the future","26 November 2007, Swanston Room, Melbourne Town Hall",,"90","Robyn Archer AM - Performer and Producer 
Tony Birch - Writer and Academic 
Gabriella Coslovich – Senior Arts Writer, The Age 
Rupert Myer AM - Chairman, National Gallery of Australia
Pip Shea   - Multi Media Artist
Professor David Throsby - Dept. of Economics, Macquarie University, Sydney

",,"Join a lively discussion designed to gaze into the future and imagine what we would like Melbourne's diverse arts communities to look like in 20 years time. In a city likely to be affected by climate change, the impact of global political instability, increased density and a vastly different social mix, what might we begin to do now and over time to ensure a diverse and accessible ecology for the arts flourishes in the future? "
"Music: Players, Passion and Politics","22 November 2007, BMW Edge Fed Sq.",,"300","Sian Prior Genevieve Lacey Richard Mills Sophie Brous Deborah Conway ","Future Leaders ","Why is Melbourne emerging as an influential music city? Is it the depth and diversity of musicians, great venues, enthusiastic audiences and development opportunities or are we just lucky? Are the politics of the
 music industry understood and how will it develop?
"
"Living in Harmony - Three Personal Stories","21 March 2002 - Melbourne Town Hall",,"300","Julie Copeland (MC) Professor Thomas Trang AM, Arnold Zable, Mary Costas","ABC 774","Personal reflections on the migrant experience to celebrate multi-culturalism on ""Harmony Day"""
"The Contribution of Artists in a Global Society: The LINC story ","17 October 2007, BMW Edge, Fed Sq.",,"250","Kristy Edmunds, Sam Miller, Judilee Reed, Grisha Coleman, Hulleah J. Tsinhnahjinnie, Michelle Evans, Aaron Choulai ","Melbourne Arts Festival","LINC Leveraging Investments in Creativity is a ten-year, USA-based, national initiative to improve conditions for artists working in all disciplines. LINC's mission recognises that artists are a vital and immeasurable component of our cultural and collective identity, helping us to interpret our past, define our present and imagine our future. It states that working artists make resonant contributions to the daily lives of our communities, not only as creators, but also as entrepreneurs, educators and involved citizens. "
"Places in the heart – Fed Sq’s 5th B/day forum","11 October 2007, BMW Edge, Fed Sq. ",,"230","Rob Adams, Kate Brennan, Conrad Bodman, Paul Carter, Peter Davidson ","Fed Square","“The planners have successfully recreated the dynamism that has taken centuries to develop in civic squares in the Old World. This addition has created a new cultural centre for the city, fulfilling a long held ambition to provide an authentic civic destination.” Sara Gaventa , ‘New Public Spaces” 2006."
"Showing & Telling: The critical role of artists & Artist Run Initiatives in the city","5 September 2007, City Library, Melbourne",,"60","Kristy Edmunds
Amanda King
Angela Costi
Eloise Peace",,"Having worked with artist run spaces for 17 years, Brett Jones gave an overview of the place of ARIs in the City of Melbourne. There are 8 ARI’s in the City, 20 across the metropolitan area as a whole and they are generally operating for longer periods than in the past. Many receive institutional support though there are also initiatives that receive no public funding and are deliberately short term or transient. ARIs are working together through the ViaN network, which is staffed by volunteer labour and administered from Westspace. "
"Making & Talking about Art:  Politics, Risk and Responsibility","29 August 2007, City Library, Melbourne",,"60","Danielle Freakley, Dr Kate MacNeill, Robert Mangion, Kim Kruger, Julie Edwards ","future melboourne","Deliberately controversial and politically charged art works, when presented to the public or funded from the public purse, are often cause for shock media responses but artists and funding bodies usually deal with the issues fairly easily.  Council has a useful protocol for dealing with issues associated with controversial art works.  "
"Housing the Arts: Appropriate and affordable 
places for artists in the city – the way forward
","22 August 2007, Supper Room Melbourne Town Hall",,"75","Morris Bellamy
Simon Maidment 
Tai Snaith 
Rick Berry 
Rosslynd Piggott 
Dr Kate Shaw 
David Napier ","Future Melbourne","Many large western cities across the world are experiencing
the exodus of artists and their studios to the suburbs.  Artists,
having tilled the inner city soil, are now not able to afford the
rent as once neglected areas become gentrified with 
apartments and fashionable stores, bars and eateries. What
can be done to continue to house the arts in the city? 
"
"Places for artists in the city – the way forward","21 August 2007, BMW Edge, Fed Sq",,"150","Morris Bellamy Simon Maidment Tai Snaith Rick Berry Rosslynd Piggott Dr Kate Shaw David Napier ",,"Many large western cities across the world are experiencing the exodus of artists and their studios to the suburbs.  Artists, having tilled the inner city soil, are now not able to afford the rent as once neglected areas become gentrified with apartments and fashionable stores, bars and eateries. What can be done to continue to house the arts in the city? "
"Big Machines for Big Questions: the Australian Synchrotron and beyond","20 July 2007, BMW Edge, Fed Sq",,"250","Cathy Foley - President Australian Institute of Physics, Rachel Webster - University of Melbourne astrophysicist (and Chairman-elect of the National Committee for Astronomy), Robert Lamb - Science Director, Australian Synchrotron","A Melbourne Conversations supported event presented by Alfred Deakin Lectures","In Australia there is the Australian Synchrotron. The Americans are spending $3 billion to put the successor to Hubble in space. And in Geneva the Europeans are pouring money into the large hadron collider. Why are governments investing in big machines? Do we need them? A panel of leading Australian scientists considers this trend to giantism."
"Science, Business and the Law: Locking up innovation or sharing and harvesting it — which way to go?","16 July 2007, State Library Victoria",,"290","John Wilbanks, Richard Jefferson, Brian Fitzgerald,  MC Robyn Williams. 
","A Melbourne Conversations supported event presented by Alfred Deakin Lectures","As open source software continues to transform the internet, what can science learn from the computing revolution? Are we missing out on the full benefits of science and technology because of outdated ideas about copyright and patenting? This lecture will consider whether in our rush to protect intellectual property we are locking it up and damaging our capacity to deliver solutions for the critical issues of the 21st century. 
"
"Nature – Nuture: What makes us human?","10 July 2007, Melbourne Town Hall",,"800","Matt Ridley, Robert Williamson AO- Professor of Medical Genetics, University of Melbourne, Rhonda Galbally AO - CEO, Our Community, MC Natasha Mitchell 
","A Melbourne Conversations supported event presented by Alfred Deakin Lectures","That old chestnut - what defines human nature? Genes or experience? Are we free agents or genetically determined souls? These questions have fuelled a fierce fight - polarizing a battleground of social scientists, biologists, parents and politicians. World renowned science writer Matt Ridley is calling a truce, and arguing the case for Nature via Nurture. Genes aren't Gods, he argues, they're cogs. As agents of nurture, genes get switched on and off by our experiences. Join Natasha Mitchell with Matt and special guests to debate the implications. Part of the 2007 Alfred Deakin Innovation Lecture series."
"Talk Blak Series 1: Human Rights","25 May 2005 BMW Edge",,"200","Kim Kruger, Gary Murray, Walter Saunders, Dr Irene Watson","Australians for Native Title and Reconciliation, Reconciliation Victoria","How and where are Indigenous advocates working to seek relief from constant human rights violations? On the eve of National Day of Healing (formally Sorry Day), Indigenous Australians, working at the forefront of human rights, speak about control of culture and heritage, Kooris in the justice system and where peole can seek justice."
