"name","what","who","address_1","address_2","suburb","phone","phone_2","free_call","email","website","twitter","social_media","monday","tuesday","wednesday","thursday","friday","saturday","sunday","public_holidays","cost","tram_routes","bus_routes","nearest_train_station","category_1","category_2","category_3","category_4","category_5","category_6","longitude","latitude","geocoded_location"
"The Big Issue Australia","“The independent street magazine sold by homeless and unemployed people.”
magazine vendor opportunities
opportunity to make money and friends, gain confidence and learn skills
choose your own hours
no referral process needed
vendors paid for all contributions published in the magazine
Community Street Soccer Inclusive Program (see website for more information)
everybody welcome

The Big Issue is a non-profit organisation helping people to help themselves.",,,"148 Lonsdale Street","Melbourne","9663 4733",,,"bigissue@bigissue.org.au","thebigissue.org.au","@thebigissue","facebook.com/bigissueaustralia",,,,,,,,,,"85, 96 (stop 7 Russell St)",,,"Employment Assistance","N/A","N/A","N/A","N/A","N/A","144.96804399999999","-37.810394000000002","(-37.810394, 144.968044)"
"The Drum Youth Services","school based services, recreation programs, personal support, advocacy and referral, personal development and leadership programs, youth events, counseling, queer youth",,,"100 Drummond Street","Carlton","9663 6733",,,"enquiries@ds.org.au ","ds.org.au","@DrummondStreet","facebook.com/thedrumyouthservices","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Office - 195 Drummond Street - 9am-3pm)","Closed","Closed","Closed",", 9am-3pm","1, 3, 5, 6, 8, 16, 64, 67, 72 (stop 3 Lincoln Square)",,,"Counselling and Psychiatric Services","Employment Assistance","N/A","N/A","N/A","N/A","144.96793600000001","-37.804233000000004","(-37.804233, 144.967936)"
"TRAVELLERS AID - Spencer Street","free assistance (buggy and personal guidance) for frail, infirm, older people and people with disabilities, mobility issues and vision impairments to ensure swift, confident and safe passage throughout Southern Cross Station
Mobility Equipment Hire
Medical Companion Service (free service call 1300 700 399)
clean and accessible restrooms, baby change facilities, showers, internet access and family friendly resting space.
free personal care for people with a disability (assistance with meals and communication, fully accessible toilets with hoist and adult change table, Monday to Friday 10.00am to 5.00pm and Saturday 11.00am to 4.00pm",,"Main Concourse (located opposite the Luggage Hall) 
Southern Cross Station","99 Spencer Street","Melbourne","9670 2072",,"1300 700 399","scs@travellersaid.org.au","travellersaid.org.au","@TravellersAid","facebook.com/travellersaidaustralia","7.00am to 10.00pm","7.00am to 10.00pm","7.00am to 10.00pm","7.00am to 10.00pm","7.00am to 10.00pm","7.00am to 10.00pm","7.00am to 10.00pm","Closed",,"86, 96 (stop 1 Southern Cross Station)",,"Southern Cross","Showers / Laundry","Travel Assistance","N/A","N/A","N/A","N/A","144.953506","-37.818367000000002","(-37.818367, 144.953506)"
"Travel-related Emergency Relief (Southern Cross Station)","information and referrals
subsidized travel fares in crisis situations",,"Main Concourse (located opposite the Luggage Hall) 
Southern Cross Station","99 Spencer Street","Melbourne","9670 2873",,,,"travellersaid.org.au","@TravellersAid","facebook.com/travellersaidaustralia","10.30am to 4.00pm","Closed","10.30am to 4.00pm","Closed","10.30am to 4.00pm","12 Noon to 4.00pm","12 Noon to 4.00pm","Closed",,"86, 96 (stop 1 Southern Cross Station)",,"Southern Cross","Travel Assistance","Travel Assistance","N/A","N/A","N/A","N/A","144.953506","-37.818367000000002","(-37.818367, 144.953506)"
"TRAVELLERS AID - Flinders Street","Mobility Equipment Hire
Medical Companion Service (free service call 1300 700 399)
Free personal care for people with a disability (assistance with meals and communication, fully accessible toilets with hoist and adult change table).  All opening times",,"Main Concourse (between Platforms 9 & 10)
Flinders Street Station","Flinders & Swanston Sts","Melbourne ","9610 2030",,"1300 700 399","fss@travellersaid.org.au","travellersaid.org.au","@TravellersAid","facebook.com/travellersaidaustralia","8.00 am to 8.00pm","8.00 am to 8.00pm","8.00 am to 8.00pm","8.00 am to 8.00pm","8.00am – 10.00pm","8.00am – 10.00pm","8.00 am to 8.00pm","Open",,,,"Flinders Street","Travel Assistance","N/A","N/A","N/A","N/A","N/A","144.96739199999999","-37.817562000000002","(-37.817562, 144.967392)"
"Turning Point Drug & Alcohol Centre","assessment by telephone or face to face
information and advice on treatment options
referral to other alcohol and drug services or health and welfare agencies
pharmacotherapy
forensics client service
acquitted brain injury clinical consultation
combined AOD and mental health services
needle and syringe program (NSP)",,,"54-62 Gertrude Street","Fitzroy","8413 8444",,,"info@turningpoint.org.au","turningpoint.org.au",,,"9.30 AM - 5.00 PM","9.30 AM - 5.00 PM","9.30 AM - 5.00 PM","9.30 AM - 5.00 PM","9.30 AM - 5.00 PM","9.30 AM - 11.30 AM","9.30 AM - 11.30 AM","Closed","All services are free except medications.","86, 96 (stop 12 Melbourne Museum)",,,"Health Services / Pharmacy","Needle Exchange","Counselling and Psychiatric Services","Legal / Financial Advice","N/A","N/A","144.97599700000001","-37.805875","(-37.805875, 144.975997)"
"Victoria Police - Melbourne West","In case of an emergency or if you require immediate assistance call Triple Zero (000)",,,"637 Flinders Street ","Melbourne ","9247 6491",,"000","MELBOURNEWEST.UNI@police.vic.gov.au","police.vic.gov.au","@victoriapolice","facebook.com/victoriapolice","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,,,,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.95292499999999","-37.821835","(-37.821835, 144.952925)"
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"Victoria Police - Melbourne North","In case of an emergency or if you require immediate assistance call Triple Zero (000)",,,"36 Wreckyn Street ","North Melbourne","8379 0800",,"000","MELBOURNENORTH-UNI-OIC@police.vic.gov.au","police.vic.gov.au","@victoriapolice","facebook.com/victoriapolice","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours","24 hours",,,,,"Hospitals / Emergency","N/A","N/A","N/A","N/A","N/A","144.954611","-37.800099000000003","(-37.800099, 144.954611)"
"Victorian Aboriginal Health Service","health services, psychiatric services, drug and alcohol counselling, immunisation, preventative care for children, maternal and child health, women’s health, ante-natal care, dentist","This free health service is for Aboriginal people and Torres Strait Islanders.",,"186 Nicholson Street","Fitzroy","9419 3000",,,,"www.vahs.org.au","@VAHSHLT","facebook.com/pages/Victorian-Aboriginal-Health-Service/107843632590062","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","10.00am - 12.00 Noon","Closed","Closed",,"96 (stop 14 Bell St)",,,"Hospitals / Emergency","Clothes and Blankets","Needle Exchange","N/A","N/A","N/A","144.97519299999999","-37.799401000000003","(-37.799401, 144.975193)"
"Victorian Aboriginal Legal Service","legal services

Provides support with civil, family and criminal law matters for Aboriginal people and Torres Strait Islanders.","Aboriginal people and Torres Strait Islanders",,"273 High Street","Preston","9418 5999",,"1800 064 865",,"vals.org.au","@thevalsmob","facebook.com/VictorianAboriginalLegalService",,,,,,,,,,"86 (stop 46 East Preston Tram Depot)",,"Bell (Upfield Line)","Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","145.002669","-37.743763999999999","(-37.743764, 145.002669)"
"Victorian Legal Aid","legal advice
public library",,,"350 Queen Street","Melbourne","9269 0234",,,,"legalaid.vic.gov.au","@VicLegalAid",,"8.45 AM - 05.15 PM","8.45 AM - 05.15 PM","8.45 AM - 05.15 PM","8.45 AM - 05.15 PM","8.45 AM - 05.15 PM","Closed","Closed","Closed","There are no fees for appointments.","City Circle, 30 (stop 4 Queen St )",,,"Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","144.95889700000001","-37.810406999999998","(-37.810407, 144.958897)"
"Vietnamese & Settlement Program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VincentCare Youth Support Service","outreach housing support for young people","Outreach housing support services for homeless young people between the ages of 16 and 25 years",,"175 Glenroy Road","Glenroy","9304 0100",,,,"vincentcare.org.au",,,,,,,,,,,,,,"Glenroy (Craigieburn Line) ","Tenancy Assistance","N/A","N/A","N/A","N/A","N/A","144.91965999999999","-37.705865000000003","(-37.705865, 144.91966)"
"Waratah Clinic","psychiatric services","Waratah helps homeless people over 18 years of age who have a psychiatric illness.  Mainly in the inner-west region, and services night shelters, Office of Housing units and squats.","Level 2 ","641 Mt Alexander Road","Moonee Ponds","9377 3400",,,,"mh.org.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"59 (Stop 33 Moonee Ponds Junction)",,"Moonee Ponds (Craigieburn Line)","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","N/A","144.92438899999999","-37.766379000000001","(-37.766379, 144.924389)"
"William T Onus Hostel","temporary accommodation for indigenous people (fees apply)",,,"75 Westgarth Street","Northcote","9489 6701",,,"wtonus.hostel@ahl.gov.au","ahl.gov.au",,"facebook.com/AboriginalHostelsLimited","08:00 AM - 08:00 PM","08:00 AM - 08:00 PM","08:00 AM - 08:00 PM","08:00 AM - 08:00 PM","08:00 AM - 08:00 PM","08:00 AM - 07:30 PM","08:00 AM - 07:30 PM","Closed",,"86 (Stop 27 Westgarth St)"," 250, 251, 506 (Westgarth Railway Station)","Westgarth (Hurstbridge Line)","Accommodation","N/A","N/A","N/A","N/A","N/A","144.99948599999999","-37.781061999999999","(-37.781062, 144.999486)"
"Wintringham","residential Care
outreach – support and accommodation referral
housing – nursing home, independent living units and long term housing support
community care packages – home based care, support and case management","Wintringham provides quality care, accommodation and support services to men and women over the age of 50 years who have limited financial resources and are either homeless or at risk of becoming homeless.",,"136 Mt. Alexander Road","Flemington","9034 4824",,,"admin@wintringham.org.au","wintringham.org.au","@Wintringham1","facebook.com/WintringhamSpecialistAgedCare",,,,,,,,,,"59 (stop 25 Mount Alexander College)",,,"Accommodation","Health Services / Pharmacy","N/A","N/A","N/A","N/A","144.93544900000001","-37.783045999999999","(-37.783046, 144.935449)"
"WIRE (Women’s Information and Referral Exchange)","Free and confidential support, information and referrals for women by women on any issues – from leaving a violent relationship to coping with depression to everything in between.

WIRE Services include:
Telephone Support Service
Livechat Support Service 
Women’s Information Centre  - Drop in for face-to-face support or free computer and internet access
Email Support Service: inforequests@wire.org.au (Response within 2 working days).

WIRE’s free programs for women include:
computer classes
job coaching sessions
AMICA Women’s Lunch and Activity Club
legal clinics
monthly seminars.

To find out about free Women’s Programs, call (03) 9348 9416 (Press 2) ",,,"372 Spencer Street","West Melbourne","1300 134 130 ","9348 9416",,"inforequests@wire.org.au","wire.org.au/womensprograms","@WIREwomensinfo",,"Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Closed","Closed","Closed",,"Ciity Circle, 30, 75, 86  (stop 119 La Trobe St)",,,"Helpful phone number","Employment Assistance","N/A","N/A","N/A","N/A","144.951155","-37.811650999999998","(-37.811651, 144.951155)"
"Women’s Health Information Centre (WHIC)","The Women’s Health Information Centre (WHIC) is a free, confidential health service which offers information, individualized support and referral options on a wide range of women’s health issues.

Experienced women’s health nurses and midwives are available by telephone or email or women can come into our centre for one-on-one support and advice. ",,"Royal Women’s Hospital","Corner Grattan Street & Flemington Road","Parkville","8345 3045",,,"whicinfo@thewomens.org.au","thewomens.org.au","@thewomens","facebook.com/theroyalwomenshospital","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed",,"19 (stop 10 Royal Melbourne Hospital), 55, 59 (stop 14 Royal Melbourne Hospital)","401, 402 (Royal Melbourne Hospital/Grattan St (Parkville) stop ID 7587)",,"Legal / Financial Advice","N/A","N/A","N/A","N/A","N/A","144.955127","-37.799548999999999","(-37.799549, 144.955127)"
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"Women's Health West","Women's Health West is committed to improving equity and justice for women in Melbourne's diverse western region.  We incorporate a health promotion, research and development team with a family violence service for women and children providing:

information, referral , counselling , crisis support , court support , support groups",,,"317-319 Barkly Street","Footscray","9689 9588",,,"info@whwest.org.au","whwest.org.au","@whwest","facebook.com/womenshealthwest
au.linkedin.com/company/women's-health-west","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed","All services are free and confidential. ",,"216, 219, 220","Sunbury, (Werribee or Williamstown Lines)","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","N/A","144.893595","-37.799368000000001","(-37.799368, 144.893595)"
"Women’s Housing Limited","medium and long term housing accommodation 
tenancy assistance
housing information and referral",,"Suite 1, Level 1 ","21 Cremorne Street","Richmond","9412 6868",,,"info@womenshousing.com.au","womenshousing.com.au",,,"9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","9.00am - 5.00pm","Closed","Closed","Closed","The cost is the same as public housing (25 percent of your total income).  No crisis accommodation is available.","70 (stop 8 Richmond Station)",,"Richmond","Accommodation","Tenancy Assistance","N/A","N/A","N/A","N/A","144.99124800000001","-37.825933999999997","(-37.825934, 144.991248)"
"Young People’s Health Service","health services (free for 12-24 year olds)
provides primary health care.",,,"19 King Street","Melbourne","9611 2409",,,"frontyard@mcm.org.au","rch.org.au/cah/health_services/young_peoples_health_service/","@RCHMelbourne","facebook.com/rchmelbourne","12.00 pm – 4.30 pm","12.00 pm – 4.30 pm","12.00 pm – 4.30 pm","12.00 pm – 4.30 pm","12.00 pm – 4.30 pm","Closed","Closed","Closed",,"City Circle, 70, 75 (stop  2 Melbourne Aquarium)",,"Southern Cross","Health Services / Pharmacy","N/A","N/A","N/A","N/A","N/A","144.95730499999999","-37.819927999999997","(-37.819928, 144.957305)"
"Youth Support & Advocacy Service","drug services (before and after detox)","This service is for young people aged between 10 and 22 years",,"187-195 Langridge Street","Abbotsford","9415 8860",,"1800 458 685","contact@ysas.org.au","ysas.org.au",,"facebook.com/ysasyouthhealth","Closed","11:30 AM - 05:30 PM","11:30 AM - 05:30 PM","12:00 PM - 05:30 PM","11:30 AM - 07:30 PM","12:00 PM - 08:00 PM","Closed","Open",,"109 (stop 19 North Richmond Station)",,"North Richmond Station","Accommodation","Drug and Alcohol","N/A","N/A","N/A","N/A","144.992751","-37.807259999999999","(-37.80726, 144.992751)"
"Youth Services","You can ask to speak to a male or female youth worker. Service is based at North Melbourne Community Centre.

social support, advocacy and referral, youth arts programs, school-based programs, groups for young men and women, male or female youth worker available, 
youth counselling",,,"49-53 Buncle Street","North Melbourne","8378 1600",,,,"cohealth.org.au","@cohealth_au","facebook.com/cohealth",,,,,,,,,,"57, 59 (stop 20 Melrose St)",,"Macauley
(Upfield Line)","Hospitals / Emergency","Drug and Alcohol","N/A","N/A","N/A","N/A","144.94024300000001","-37.793166999999997","(-37.793167, 144.940243)"
"Victorian State-wide Human Services Directory",,,,,,,,,,"humanservicesdirectory.vic.gov.au ",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"City of Melbourne’s Social Support Directory",,,,,,,,,,"melbourne.vic.gov.au ",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"InfoXchange – Housing and Homelessness",,,,,,,,,,"infoxchange.net.au ",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"Council to Homeless Persons ",,,,,,,,,,"chp.org.au ",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"Aboriginal Housing Victoria ",,,,,,,,,,"ahvic.org.au",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"Homelessness Australia",,,,,,,,,,"homelessnessaustralia.org.au",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"Salvation Army - Crisis Services - Crisis Contact Centre","Homelessness support, Accommodation placement and/or support, Crisis/emergency accommodation, Housing information/referral, Financial assistance, Support",,,"29 Grey Street","ST KILDA",,,"1800 627 727",,"http://www.salvationarmy.org.au/crisisservices",,,"9am-11pm (face to face), Phone 24 hours","9am-11pm (face to face), Phone 24 hours","9am-11pm (face to face), Phone 24 hours","9am-11pm (face to face), Phone 24 hours","9am-11pm (face to face), Phone 24 hours","Phone 24 hours","Phone 24 hours","Phone 24 hours",,"16, 96 (stop 132 St Kilda Station)",,,"Helpful phone number","Hospitals / Emergency","Accommodation","N/A","N/A","N/A","144.97793300000001","-37.860681999999997","(-37.860682, 144.977933)"
"St Vincent de Paul Society Victoria Inc","Central phone number for support services (",,,,,"1300 305 330",,,"info@svdp-vic.org.au","vinnies.org.au/vic",,,"10am-3pm","10am-3pm","10am-3pm","10am-3pm","10am-3pm",,,,,,,,"Clothes and Blankets","N/A","N/A","N/A","N/A","N/A",,,
"Tenants Union of Victoria","We offer free and confidential advice, assistance and advocacy for tenants and residents renting residential accommodation in Victoria, including:
tenants in private residential accommodation
tenants in public housing
residents in caravan parks
residents and tenants in rooming houses",,"Ground Floor","55 Johnston Street","Fitzroy","9416 2577",,,"admin@tuv.org.au","tuv.org.au",,,"9.00 am to 4.30 pm","9.00 am to 4.30 pm","12.30 pm to 7.30 pm","9.00 am to 4.30 pm","9.00 am to 4.30 pm","Closed","Closed","Closed",,,,,"Tenancy Assistance","N/A","N/A","N/A","N/A","N/A","144.97666799999999","-37.798124000000001","(-37.798124, 144.976668)"
"Utility Relief Grant and Non-Mains Utility Relief Grant schemes","The Utility Relief Grant Scheme and the Non-Mains Utility Relief Grant Scheme provide assistance for domestic customers who are unable to pay their utility bills due to a temporary financial crisis.",,,,,,,"1800 658 521",,"www.dhs.vic.gov.au/for-individuals/financial-support/concessions/hardship/utility-relief-and-non-mains-utility-grant-scheme",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"mychild.gov.au","The mychild.gov.au website is Australia's online child care portal. On this website you will find information on different types of child care and how to get assistance with the cost of child care.",,,,,"13 36 84",,,,"mychild.gov.au",,,,,,,,,,,,,,,"Helpful website","N/A","N/A","N/A","N/A","N/A",,,
"Child Support Info Service","Child Support Info Service is an automated telephone information system that provides information 24 hours a day, seven days a week about your child support account.",,,,,"13 11 07",,,,"humanservices.gov.au/customer/themes/child-support-and-separated-parents",,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
"Parentline Victoria","Statewide telephone service providing counselling, information and referral for all Victorian parents and carers of children 0 - 18yrs.",,,,,"13 22 89",,,,"education.vic.gov.au/about/contact/Pages/parentline.aspx",,,"8am to midnight","8am to midnight","8am to midnight","8am to midnight","8am to midnight","8am to midnight","8am to midnight","8am to midnight",,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,
