"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","St. Pete Beach Reclaimed Water ILA","2020-10-01T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Agreement under review by County Atty.​","Graham, Joseph R",,,,"Update and execution of new interlocal agreement for the wholesale supply of reclaimed water to the City of St. Pete Beach.  Updated agreement to include current reclaimed water rate structure.",,"398",,"398_Utilities_1/28/2020 9:45 AM",
"Public Works","4 - Foster Continual Economic Growth and Vitality","Partner with Creative Pinellas to implement art on infrastructure.","2020-11-01T12:00:00.000","BCC","In Progress","2020-02-12T12:00:00.000","25","A pilot program was done in FY19.  A similar funding amount is available for FY20 but Creative Pinellas would like to discuss other opportunities for public art including County buildings, signal cabinets and other potential areas like parks.February 12, 2020 The call for interested aritst was released in early February, once interested candidates submit an application they will be reviewed by Creative Pinellas and Public Works Transportation staff to select an artist for each of the three murals.","Jacobs, Kenneth A",,,,"Support vibrant communities with art and culture",,"397","This is a discretionary project.","397_Public Works_2/12/2020 2:22 PM","2019-10-01T12:00:00.000"
"Planning","4 - Foster Continual Economic Growth and Vitality","Highpoint Community Redevelopment Initatives","2020-09-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","10","​The Draft Action Plan Outline has been completed.","Booth, Rachel M","Booth, Rachel M",,"Booth, Rachel M","The Highpoint Community Action Plan (CAP) serves two distinct purposes. First, it is a short-range strategic document that sets forth practical goals and specific actions that facilitates the preservation and improvement of the community. Secondly, it establishes specific actions that County departments agree to take to assist in achieving the goals. The process provides a framework for the community and partners to address issues through a step-by-step action plan that becomes a monitoring resource to ensure the actions are moving forward.",,"398","This is a discretionary project.","398_Planning_1/3/2020 11:07 AM","2019-10-01T12:00:00.000"
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Explore opportunities for Team Tampa Bay","2020-09-30T12:00:00.000","BCC","In Progress","2020-01-31T12:00:00.000","0","This will become an ongoing programby 10/01/20","Meidel, Mike",,,"Meidel, Mike","Explore the formation of a new regional economic development marketing organization to replace the services formerly provided by the Tampa Bay Partnership (TBP). TBP was Tampa Bay’s regional economic development marketing organization until they pivoted in 2017 to become an advocacy group only. This left a void for regional marketing and economic development.",,"395",,"395_Economic Development_1/31/2020 1:39 PM",
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Apply for the CAPRA Accreditation","2023-12-30T12:00:00.000","BCC","In Progress","2021-09-01T12:00:00.000","0","Multi-year effort. Staff is preparing tointerview area agencies which have gone through the accreditation process. Meeting with City of Largo occured in September of 2020 to review filing system. New filing system structure is in progress.",,,,,"Commence efforts to attain CAPRA accreditation for department by FY2021",,"456","This is a discretionary project to improve processes.","456_Parks and Conservation Resources_9/26/2021 10:58 AM","2020-08-01T12:00:00.000"
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Implement a Right-of-Way (ROW) Management and Maintenance Program","2020-12-31T12:00:00.000","BCC","In Progress","2020-04-09T12:00:00.000","30","2/17/20 - Drafting Phase 2 Cost and Funding ScenariosProgram is to clarify maintenance responsibilities with local municipalities and the County to improve customer service and efficiency of roadway maintenance functions. Phase 1 transfers (those that are mutually agreed upon) are first priority and Phase 2 are those requiring funding to resolve.  Complete Phase 1 transfers and move forward into Phase 2Phase 2 CIP cost and fuinding is complete.  Outstanding Phase 1 municipalities are currently in final mapping process.  Process is still on time.","Jacobs, Kenneth A","Hall, Brent D",,"Ferguson, Alexis","Support initiatives, programs and projects that improve travel times and enhance travel options within the Tampa Bay area.",,"418","This is a discretionary project to improve processes.","418_Public Works_4/9/2020 3:45 PM","2018-10-01T12:00:00.000"
"Utilities","3 - Practice Superior Environmental Stewardship","Be 100% compliant with all permit conditions for all facilities","2021-09-30T12:00:00.000","Department","In Progress","2020-04-30T12:00:00.000","5","​09/30/21 Determine if consultant is needed to implement an EMS ISO14001.","Duggan, Michele","Milford, Michelle","Weber, Hillary","Duggan, Michele",,"Utilities","473","This is a discretionary project to improve processes.","473_Utilities_4/15/2020 2:40 PM","2020-03-01T12:00:00.000"
"Planning","2 - Ensure Public Health, Safety, and Welfare","Health in All Policies (HiAP)","2021-02-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","45","Develop cross sector relationships HiAP working group and HiAP collaborative is complete. Enhance workforce capacity is approximately 50% complete. Incorporate health into decision-making processes is about 50% complete (sub-task of Complete a Health Impact Assessment is nearly completed)","Vincent, Renea","Murphy, Caitlin",,,"Health in All Policies (HiAP) is a collaborative approach to improving the health of all people by incorporating health considerations into decision-making across sectors and policy areas. To improve health and equity, community partners came together to form the HiAP Pinellas County Collaborative. Partners include Pinellas County Government, the City of Pinellas Park, the City of St. Petersburg, the Florida Department of Health in Pinellas County, Forward Pinellas, and the Foundation for a Healthy St. Petersburg. Through collaboration, policy change, and institutional transformation, the HiAP Collaborative aims to make the healthy choice the most easily accessible choice for all Pinellas County citizens.","County Administrator, Office of Management and Budget, Public Works","397","This is an administrative directive.","397_Planning_1/22/2020 4:29 PM","2019-04-01T12:00:00.000"
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Develop standard reports focused on strategic key measures.","2020-04-30T12:00:00.000","Department","In Progress","2019-12-25T12:00:00.000",,"OAM is currently reviewing the existing report list. Custom reports will be prioritized. We have competing report development issues between Accela and Utilities. Lori will complete testing of existing reports within the next two months. Cityworks management dashboard was completed.  Continuing to add improvements.","Dean, Paul",,,,"Implement CityWorks EAM software",,"404","This is a discretionary project to improve processes.","404_Public Works_12/24/2019 11:09 AM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","St. Pete Beach Reclaimed Water ILA","2020-10-01T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"12/6/2019- Draft agreement under review by County Atty.​Agreement under review by County Atty.​","Graham, Joseph R",,,,"Update and execution of new interlocal agreement for the wholesale supply of reclaimed water to the City of St. Pete Beach.  Updated agreement to include current reclaimed water rate structure.",,"398",,"398_Utilities_12/24/2019 12:14 PM",
"Airport","5 - Deliver First Class Services to the Public and Our Customers","Annual Fiscal Budget","2020-03-15T12:00:00.000","Department","Not Started",,,,,,,,,,"399",,"399_Airport_12/27/2019 1:59 PM",
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Generate 170,000 definite room nights resulting from the leads generated by the Meetings and Conventions Department.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"426",,"426_Convention and Visitors Bureau_12/27/2019 2:02 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Update the Master Plan for the water Utility to align with current and future funding requirements. The Master Plan should be reviewed and updated periodically as recommended by best practices.","2020-09-30T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Master Plan development is under way. Scheduled for completion in FY20.","Soltau, Steve",,,,,,"448","This is as a result of an IG audit.","448_Utilities_12/24/2019 12:14 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Billing issues","2020-10-30T12:00:00.000","Department","Completed","2019-12-24T12:00:00.000","100","​Maximo is not able to calculate charge rates consistently. Maximo is failing to generate several reports. BTS has not been able to be identify the root cause. We are now using Cityworks​.","Bollenbacher, Alan",,,,"The billing method was very cumbersome. It was hard to reproduce the exact same charges. Cityworks has corrected this.",,"449","This is as a result of an IG audit.","449_Utilities_1/13/2020 3:28 PM","2019-09-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Billing Process","2021-02-26T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000","50","Policies will be developed by the Maintenance Division in Cityworks. We have currently identified​ the process. we are now documenting it.","Bollenbacher, Alan",,,,"Implement written policies and procedures for the external customer billing processes. This should including BTS notification and controls to detect invoicing Q errors. Cityworks has corrected billing issues.",,"450","This is as a result of an IG audit.","450_Utilities_1/13/2020 3:34 PM","2019-09-01T12:00:00.000"
"Planning","4 - Foster Continual Economic Growth and Vitality","Execute Highpoint Community Redevelopment Initatives","2020-09-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","10","​The Draft Action Plan Outline has been completed.","Booth, Rachel M","Booth, Rachel M",,"Booth, Rachel M","The Highpoint Community Action Plan (CAP) serves two distinct purposes. First, it is a short-range strategic document that sets forth practical goals and specific actions that facilitates the preservation and improvement of the community. Secondly, it establishes specific actions that County departments agree to take to assist in achieving the goals. The process provides a framework for the community and partners to address issues through a step-by-step action plan that becomes a monitoring resource to ensure the actions are moving forward.",,"398","This is a discretionary project.","398_Planning_1/10/2020 3:09 PM","2019-10-01T12:00:00.000"
"Public Works","2 - Ensure Public Health, Safety, and Welfare","Assist in developing the County Resiliency and Sustainability State of the County Report","2020-02-29T12:00:00.000","County Administration","In Progress","2019-12-31T12:00:00.000",,"30% Complete Assist Hank Hodde and Action Team with all data requests to meet county admin's end of year deadline.","Dean, Paul",,,,"Assist Hank Hodde in the development of the State of County report.",,"398","This is an administrative directive.","398_Public Works_1/10/2020 10:51 AM","2019-10-01T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","ADA Compliance","2020-05-30T12:00:00.000","Department","In Progress",,,"​​Need to define what is intended to be accomplished and vet with County Admin; 10% as of 10/31/19 based on ADA compliance of FY20 Adopted Budget (except CIP section)​","Berger, William M",,,"Berger, William M",,,"1",,"1_Office of Management and Budget_1/10/2020 10:29 AM",
"Planning","4 - Foster Continual Economic Growth and Vitality","Downtown Palm Harbor Form-Based Code","2020-09-30T12:00:00.000","BCC","In Progress","2020-04-30T12:00:00.000","90","Still in progress.  Has 2 hearings before the BCC which were pushed out due to COVID. Put on hold until another related project has gone through it's BCC hearing cycle.First hearing with BCC in June 23, 2020. After this hearing, the other project will need to finish it's hearing cycle.Corresponding project has to go the the state for review so this end date is not in County control.","Swearengen, Scott M","Swearengen, Scott M",,,"Redevelopment code focused on the relationships among buildings, sidewalks and streets, as well as promoting walkability. Form-Based Code guides the development and redevelopment of properties within a specific area. Compared to conventional zoning, Form-Based Code puts less emphasis on the use inside a building and more on its form and placement, location of parking, treatment of public/private spaces and other aspects. Overall, the code results in more predictable redevelopment that enhances the community’s character.",,"394",,"394_Planning_5/13/2020 9:10 AM","2019-04-01T12:00:00.000"
"Administrative Services","3 - Practice Superior Environmental Stewardship","Training for CPR and Stop the Bleed Programs for County Departments","2019-09-30T12:00:00.000","County Administration","Completed",,,,,,,,,,"399",,"399_Administrative Services_1/10/2020 10:57 AM",
"County Administration","4 - Foster Continual Economic Growth and Vitality","Develop Short Term Solution for Palm Harbor Historical Museum Viability","2021-09-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","25","​Marketing plan is in development in order to aid in finding additional grant funding.","McKibben, Nancy",,,,"​Established by ordinance in 1995 but there was a lack of financial support","Administrative Services, Creative Pinellas, Parks and Conservation Resources","405","This is a discretionary project.","405_County Administration_5/27/2020 2:47 PM","2019-09-01T12:00:00.000"
"Solid Waste","3 - Practice Superior Environmental Stewardship","Assess possibility of implementing a Commercial Waste Profiling and Screening program","2021-07-31T12:00:00.000","Department","Not Started","2020-03-06T12:00:00.000",,,"Eichner, Catherine","Bush, Deb B",,,"Assess possibility of implementing a Commercial Waste Profiling and Screening program","Building and Development Review Services, Economic Development, Health Department, Public Works, Utilities","522","This is a discretionary project to improve processes.","522_Solid Waste_3/6/2020 1:55 PM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","JPA with City of Largo for Engineering Design Services for WM replacement - Rosery Rd","2019-11-20T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"November 5, 2019 The water main relocations were designed. The project is presently under construction.","Simpson, Dennis M",,,,,,"410",,"410_Utilities_12/24/2019 12:14 PM",
"Marketing and Communications","2 - Ensure Public Health, Safety, and Welfare","ESF-14 Emergency Activation Plan","2019-09-30T12:00:00.000","Department","Completed","2020-01-31T12:00:00.000",,,"Connor, David",,,"Connor, David",,,"392",,"392_Marketing and Communications_1/31/2020 1:39 PM",
"Solid Waste","1 - Create a Quality Workforce in a Positive, Supportive Organization","Develop a department ‘recruitment video’","2020-09-30T12:00:00.000","Department","Not Started","2019-12-24T12:00:00.000",,,"Watson, Stephanie",,,,"Maximize information provided to interviewees through development of a ‘recruitment video’",,"396","This is a discretionary project to improve processes.","396_Solid Waste_12/24/2019 11:55 AM",
"Parks and Conservation Resources","3 - Practice Superior Environmental Stewardship","Create Environmental Lands Acquisition procedure","2020-01-30T12:00:00.000","BCC","Completed","2019-12-31T12:00:00.000","100","1/2/2020 completed manual ranking of existing properties, and scheduled to meet with eGIS in two weeks to provide additional information for their application development process.","Harper, Steven J",,,,"Create procedure and ranking criteria for acquisition of environmental lands",,"399","This is an administrative directive.","399_Parks and Conservation Resources_1/21/2020 1:10 PM","2019-02-01T12:00:00.000"
"Planning","4 - Foster Continual Economic Growth and Vitality","Penny IV Affordable Housing","2020-09-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","50","​Program guidelines were approved by the BCC.  The application process implementation is approximately 40% complete. Amending the interlocal agreement with HFA has just begun.","Bussey, Bruce","Harris, Sherilyn K",,,"​Create a plan for Penny IV affordable housing projects. This includes the program's guidelines, application process, and funding strategies/recommendations.","Emergency Management, Public Works","399",,"399_Planning_1/22/2020 4:33 PM","2019-06-01T12:00:00.000"
"Administrative Services","1 - Create a Quality Workforce in a Positive, Supportive Organization","Lone Worker with Incapacitation Pilot Test","2020-09-30T12:00:00.000","Department","In Progress","2020-03-20T12:00:00.000","40",,"Mangicaro, David A",,,"Mangicaro, David A",,,"412",,"412_Administrative Services_3/20/2020 4:27 PM",
"Office of Management and Budget","1 - Create a Quality Workforce in a Positive, Supportive Organization","Budget and Financial Services Role Clarification","2019-12-31T12:00:00.000","Department","In Progress",,,"​​","Phillips, Aubrey","Berger, William M","Berger, William M","Phillips, Aubrey","Review, clarify, and define budgetand financial management services roles and provide recommendations for future state.​​",,"392","This is a discretionary project to improve processes.","392_Office of Management and Budget_12/27/2019 1:38 PM","2019-10-14T12:00:00.000"
"County Administration","4 - Foster Continual Economic Growth and Vitality","Develop a Business Area Plan for the Downtown Palm Harbor Activity Center","2021-09-01T12:00:00.000","BCC","In Progress","2019-12-27T12:00:00.000","30","Currently working with the DowntownPalm Harbor Merchants Association to further support revitalization andredevelopment with signage, wayfinding and other amenities.","McKibben, Nancy",,,,"Pinellas County ​Planning Department developed the Downtown Palm Harbor Master Plan, supported by the Form Base Code. The desire is to create a downtown disrtict similar to Dunedin or Safety Harbor.",,"406",,"406_County Administration_5/27/2020 2:46 PM",
"Airport","5 - Deliver First Class Services to the Public and Our Customers","FAA AIP Grant Approval","2020-09-15T12:00:00.000","Department","In Progress",,,,,,,,,,"400",,"400_Airport_12/27/2019 1:59 PM",
"Human Services","5 - Deliver First Class Services to the Public and Our Customers","Street Outreach RFP",,"BCC","Not Started","2019-12-31T12:00:00.000","20","Street Outreach LOI has been fully drafted and is currently in internal HS contract review. Holding from Purchasing review until Pharmacy RFP opens due to pharmacy being more time-sensitive.",,,,,"Homeless Prevention",,"400",,"400_Human Services_12/31/2019 3:43 PM",
"Planning","4 - Foster Continual Economic Growth and Vitality","Implement Lealman Form Based Code Plan","2020-05-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","90","​Adoption is underway.  Major milestones; drafting and adoption.","Booth, Rachel M","Keen, Alexandra",,,"Implement form-based code in the Lealman district.",,"400","This is a discretionary project.","400_Planning_1/10/2020 3:10 PM","2019-03-01T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Develop an integrated performance management system","2020-05-30T12:00:00.000","County Administration","In Progress",,,,"Phillips, Aubrey",,,,,,"396","This is an administrative directive.","396_Office of Management and Budget_12/27/2019 4:09 PM","2019-11-01T12:00:00.000"
"Office of Asset Management","2 - Ensure Public Health, Safety, and Welfare","Infrastructure Asset Inventory",,"Department","In Progress",,,,"Waugh, Jeremy",,,,"Build and develop maintenance plans for complete asset inventory (EAM Strategy 9.1,",,"400","This is an administrative directive.","400_Office of Asset Management_12/24/2019 12:15 PM",
"Public Works","4 - Foster Continual Economic Growth and Vitality","Develop Transporation Funding Strategy","2020-06-30T12:00:00.000","BCC","Canceled","2020-04-09T12:00:00.000","90","2.17.20 - Pending Board approval by 6.30.20​Present funding optionsto the Board for approval before end of February. CANCELLED DUE TO COVID-19","Jacobs, Kenneth A","Jacobs, Kenneth A",,"Ferguson, Alexis","​Explore options and partner with Local Municipalities and PSTA for additional funding sources to increase Transportation revenues.","Office of Management and Budget","425","This is an administrative directive.","425_Public Works_4/9/2020 8:51 AM","2018-10-01T12:00:00.000"
"Planning","4 - Foster Continual Economic Growth and Vitality","Implement Lealman Form Based Code Plan","2020-05-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","90","​Adoption is underway.  Major milestones; drafting and adoption.","Booth, Rachel M","Keen, Alexandra",,,"Implement form-based code in the Lealman district.",,"400","This is a discretionary project.","400_Planning_1/22/2020 4:36 PM","2019-03-01T12:00:00.000"
"Solid Waste","1 - Create a Quality Workforce in a Positive, Supportive Organization","Revitalize job descriptions for internal promotions and recruitment","2019-12-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,,"Stillwaugh, Donald M",,,,"Revitalize job descriptions/posting to entice potential employees",,"397","This is a discretionary project to improve processes.","397_Solid Waste_12/24/2019 11:55 AM",
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Continue to better understand the Orlando market and develop marketing programs that will reach this important audience.",,"Department","In Progress",,,,,,,,,,"400",,"400_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Office of Asset Management","2 - Ensure Public Health, Safety, and Welfare","Asset Level of Service Standards","2020-09-01T12:00:00.000","Department","In Progress",,,,"Waugh, Jeremy",,,,"Working with Departments, define level of service standards for each Track 1 managed asset including leading/lagging indicators of performance (EAM Strategy 2.1, 12.2)",,"402","This is an administrative directive.","402_Office of Asset Management_2/5/2020 9:38 AM","2020-04-01T12:00:00.000"
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Implement Transportation Audit Recommendations","2021-09-30T12:00:00.000","County Administration","In Progress","2020-04-09T12:00:00.000","10","​2.17.20 - ​Determining priority and scope of recommendations. Plan to address all recommendations in place and proceeding on schedule","Jacobs, Kenneth A","Levy, Kelli H",,"Ferguson, Alexis","​A Inspector General Audit was performed for Transportation Systems Operation that included several recommendations.  Develop a plan and address all recommeded actions.","Business Technology Services, County Attorney, Emergency Management, Marketing and Communications, Office of Asset Management (OAM), Office of Management and Budget, Office of Technology & Innovation (OTI), Public Works","429","This is as a result of an IG audit.","429_Public Works_4/9/2020 8:53 AM","2020-02-01T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Public Outreach Guidelines","2020-01-31T12:00:00.000","County Administration","In Progress","2020-01-31T12:00:00.000",,,"Connor, David",,,"Connor, David",,,"394",,"394_Marketing and Communications_1/31/2020 1:40 PM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","PPM Workflows and Project Management System Development","2020-06-30T12:00:00.000","Department","Canceled","2020-02-06T12:00:00.000",,"This item was removed from the workplan on 12/31/19","Goebel-Canning, Susan",,,,"Improve the delivery of Capital Improvement projects.",,"394","This is a discretionary project to improve processes.","394_Public Works_2/7/2020 8:58 AM",
"Office of Technology and Innovation","5 - Deliver First Class Services to the Public and Our Customers","Implement Accela Civic Platform; Development Review Services, Building Services, Code Enforcement","2020-09-30T12:00:00.000","BCC","In Progress","2020-02-28T12:00:00.000","80","A meeting scheduled with Marketing/Communications to discuss communication plan for public rollout.• OTI will also be seeking additional funding in order to meet PCI requirements outlined by Bank of America for card-present payment processing. Requirements fall outside the scope of Accela’s contract.• Project go-live targeted for Labor Day weekend.","Zordan, Dana M","Crayton, Vestina F","Lyon, Blake G","Zordan, Dana M","Permits Plus Replacement Improve customer and citizen experience by replacing BDRS's obsolete, unsupported permitting application with Accela Civic Platform, a Cloud/ SaaS application.","Administrative Services, Building and Development Review Services, Marketing and Communications","400","This is a discretionary project to improve processes.","400_Office of Technology and Innovation_5/15/2020 2:14 PM","2016-01-01T12:00:00.000"
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Assess the Development Services System - Phase 2","2020-04-30T12:00:00.000","BCC","In Progress","2020-01-31T12:00:00.000","70","George Arimes continues to meet monthly with the Development Advisory Committee (DAC) to identify areas of needed improvements and develop recommendations, strategies, etc.We are also meeting regularly with the Staff Steering Committee (SSC) and the Staff Action Team (SAT) to look for ways to implement near-term process improvements and develop recommendations.","Lyon, Blake G",,"Burton, Barry","Lyon, Blake G","The County is evaluatingthe development process, more specifically how projects get from entitlementssuch as zoning and land use amendments, through the site plan process, into theconstruction and inspections process, and to the completion phase of operationsand maintenance. The goal is to find an equilibrium that balance an efficientreview and permitting process with the need for public awareness andinvolvement.","Administrative Services, Building and Development Review Services, County Administrator, Planning, Public Works, Utilities","393","This is an administrative directive.","393_Building and Development Review Services_2/12/2020 1:03 PM","2019-06-01T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Establish LOS for Park Operations and Maintenance","2019-12-31T12:00:00.000","BCC","In Progress","2020-04-30T12:00:00.000","50","The draft level of service analysis​​ has been submitted to and reviewed with the Project Sponsors. Follow-up meetings are planned for January 2020 to develop an action plan based on sponsor feedback. Future milestone estimated completion dates are tentative pending this action plan.","Kunze, Shane",,,"Kunze, Shane","The purpose this initiative is to evaluate current (FY19) levels of service for Pinellas County’s Parks and Conversation Resources department and provide recommendations for establishing formal levels of service. PCR is seeking to set realistic expectations so it may better understand resource need and allocation, better communicate its narrative, and prepare for future park development more efficiently. PCR has not analyzed levels of service this intently in recent years and will objectively review its strengths and weaknesses. Levels of service are a key aspect to the success of a department because it communicates realistic expectations to staff, leadership, the public, and the Pinellas County Board of County Commissioners (BCC) and identifies gaps where additional focus or resources are needed. Understanding PCR’s levels of service and gaps will allow the department to better measure its success in the future and create a data driven narrative.​​","Parks and Conservation Resources","24","This is a discretionary project.","24_Office of Management and Budget_5/19/2020 11:02 AM","2019-05-01T12:00:00.000"
"Planning","2 - Ensure Public Health, Safety, and Welfare","Update 5-year Local Mitigation Strategy","2020-05-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","95","​Will be sent to the FDEM for review in January 2020.BCC adoption is anticipated in May 2020.","Swearengen, Scott M","Ambadi, Smita",,,"​ The purpose of the Local Mitigation Strategy (LMS) is to establish an ongoing process that makes hazard mitigation part of the daily functioning of the entire community, including both public and private sectors and our residents themselves. An update is required every 5 year.","Emergency Management, Forward Pinellas (MPO/PPC), Public Works","401","This is a mandatory or statutory requirement.","401_Planning_1/10/2020 3:01 PM","2019-01-01T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Constitutional Partner Outreach","2020-01-15T12:00:00.000","Department","In Progress",,,,"Connor, David",,,"Connor, David",,,"400",,"400_Marketing and Communications_12/27/2019 2:21 PM",
"Planning","4 - Foster Continual Economic Growth and Vitality","US Highway 19 Multi-modal Corridor Plan","2021-04-01T12:00:00.000","BCC","In Progress","2020-04-30T12:00:00.000","2","Draft scope has been released.Finishing proposed timeline for the project which will be released to GPC.  By end-June, close to having responses back.  Retained consultant anticipated by end of June. Kick off will occur after that.This is Phase 1 of this project. There will be another phase. Once the timeline is completed and have a consultant on board, the end date will be more clear, along with the content of each phase.","Swearengen, Scott M","Ambadi, Smita",,,"​This is a proactive response to pending roadway changes as Hwy 19 changes to the 'hump' design.",,"396","This is a discretionary project.","396_Planning_5/13/2020 9:18 AM","2020-04-01T12:00:00.000"
"Airport","2 - Ensure Public Health, Safety, and Welfare","Annual FAA Certification & Safety Inspection","2020-05-31T12:00:00.000","Department","Not Started",,,,,,,,,,"402",,"402_Airport_12/27/2019 2:00 PM",
"Solid Waste","5 - Deliver First Class Services to the Public and Our Customers","Widen scales to prevent damage","2024-09-30T12:00:00.000","Department","Not Started","2019-12-24T12:00:00.000",,,"Mills, Robert",,,,"Widen scales to prevent damage",,"530","This is a discretionary project.","530_Solid Waste_5/1/2020 10:51 AM",
"Utilities","3 - Practice Superior Environmental Stewardship","FDEP CO Jan 13, 2019 @ SCB -OGC File No.: 19-0090 (in-kind)","2020-05-19T12:00:00.000","Department","In Progress","2020-01-27T12:00:00.000",,"Proposal submitted on  8/20/19. Proposal accepted by FDEP 8/29/2019. SCB staff in process of procuring equipment - deadline is to install within 180 days from 8/29. Equipment for in-kind project in procurement process 11/8/2019. Equipment installed in 12/19. Draft Final Report in legal/management review. Intend to submit to DEP by Jan 31, 2020 to meet deadline.","Drexler, Ivy",,,,"​***NEED UPDATE*** Two power monitorsand CVs will be installed at the Generator 3 building at SCB. Will meet therequirements for the in-kind project specified under the current DEP Consent Order. Installation and completed report will be sent to FDEP unpon completion.",,"400","This is a regulatory requirement.","400_Utilities_1/27/2020 9:27 AM",
"Planning","4 - Foster Continual Economic Growth and Vitality","Create a Mobile Home Park Improvement Strategy","2020-12-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","25","​The Scope of Work and Strategy kick-off is nearly complete (95%). The DRAFT Strategy Recommendations Development is about 10% complete.","Vincent, Renea","Booth, Rachel M","Burton, Barry","Booth, Rachel M","The Manufactured Housing Strategy identifies guiding principles and a prioritized list of actions to further the Pinellas County Comprehensive Plan (PCCP) and Affordable Housing Strategy. Recognizing the importance of manufactured housing as an option for many households, the County desires policies and programs toencourage the preservation of existing manufactured home parks, the development of new manufactured home parks including increasing opportunities for resident-owned parks; andreduce or eliminate health and safety issues, and mitigate displacement and loss of housing. Strategies discussed ultimately must balance the needs of manufactured home owners/tenants, with the interests of park owners, and the feasibility of administration.","Emergency Management, Public Works","402","This is an administrative directive.","402_Planning_1/10/2020 3:04 PM","2019-11-01T12:00:00.000"
"Office of Asset Management","2 - Ensure Public Health, Safety, and Welfare","Training Program - Organizational Continual Improvement",,"Department","In Progress",,,,"Waugh, Jeremy",,,,"Develop and implement a  training program that accounts for organizational competency analysis, skills matrices, and business readiness.  (EAM Strategy 8.2, 8.4, 11.5, 12.1, 12.3)",,"399","This is an administrative directive.","399_Office of Asset Management_12/24/2019 12:15 PM",
"Office of Technology and Innovation","5 - Deliver First Class Services to the Public and Our Customers","OTI Strategic Plan","2020-06-01T12:00:00.000","BCC","In Progress","2020-02-28T12:00:00.000","100","​Currently working on draft plan.","Zumwalt, Bryan",,,,"​Management Partners developed a draft Implementation Action Plan to assist Pinellas County with the phasing and scheduling of implementation steps resulting from the Management System Review workshop, to prepare a multi-year Countywide Strategic Plan.",,"402","This is an administrative directive.","402_Office of Technology and Innovation_5/15/2020 2:15 PM","2019-06-01T12:00:00.000"
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Explore opportunities for Team Tampa Bay","2020-09-30T12:00:00.000","BCC","In Progress","2020-01-31T12:00:00.000","25","This will become an ongoing programby 10/01/20","Meidel, Mike",,,"Meidel, Mike","Explore the formation of a new regional economic development marketing organization to replace the services formerly provided by the Tampa Bay Partnership (TBP). TBP was Tampa Bay’s regional economic development marketing organization until they pivoted in 2017 to become an advocacy group only. This left a void for regional marketing and economic development.",,"395",,"395_Economic Development_2/18/2020 9:55 AM",
