"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"McMahon/Ryan Child Advoacy Site, Inc.","601 East Genesee Street","Syracuse","NY","13202","(315) 701-2985","ONONDAGA","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/15-9/30/20","C027695","207892.00","http://mcmahonryan.org","POINT (-76.143707 43.047513)"
"Institute for Family Health (Dutchess)","279 Main Street, Suite 201","Poughkeepsie","NY","12601","(845) 452-3387","DUTCHESS","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027574","715729.00","http://www.institute2000.org","POINT (-73.9278 41.703761)"
"Family and Childrens Service of Niagara, Inc.","1522 Main Street","Niagara Falls","NY","14305","(716) 285-6984","NIAGARA","Healthy Families New York Home Visiting","Delinking","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","12/1/16-11/30/21","C027928","180000.00","http://www.niagarafamily.org/","POINT (-79.052424 43.103416)"
"New York Foundling Hospital","590 Avenue of the Americas","New York","NY","10011","(212) 862-3427","NEW YORK","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/20-6/30/25","C028887","651749.00","https://www.nyfoundling.org/","POINT (-73.995583 40.73907)"
"University Settlement Society of New York Inc.","184 Eldrige Street","New York","NY","10002","(212) 289-6594","MANHATTAN","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","9/1/18-8/31/19","C028016","496310.00","http://www.universitysettlement.org/us","POINT (-73.990716 40.720597)"
"Retreat Inc., The","13 Good Friend Drive","East Hampton","NY","11937","(631)329-4398","SUFFOLK","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029201","30290.00","http://www.theretreatinc.org","POINT (-72.241931 40.968364)"
"Victims Assistance Center of Jefferson County, Inc.","418 Washington Street","Watertown","NY","13601","(315) 782-1855","JEFFERSON, LEWIS, ST LAWRENCE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029191","94027.00","http://www.vacjc.com","POINT (-75.911667 43.970447)"
"Wayne County Action Program, Inc.","28 Canal St.","Lyons","NY","14489","(315) 946-1259","WAYNE","Healthy Families New York Home Visiting","Delinking","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","12/1/21-11/30/25","C029039","69250.00","https://www.healthyfamiliesnewyork.org/","POINT (-76.991078 43.064203)"
"Ontario County Department of Social Services","Human Services Facility, 3010 County Complex Drive","Canandaigua","NY","14424","(585) 919-2476","ONTARIO","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027563","200008.00","http://www.co.ontario.ny.us/index.aspx?nid=118",
"Pathstone Corporation","400 East Avenue","Rochester","NY","14607","(866) 314-7233","ORLEANS","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028830","57000.00","http://www.pathstone.org","POINT (-77.593283 43.154759)"
"Brookdale Hospital Medical Center","One Brookdale Plaza, Schachne LL-13","Brooklyn","NY","11212","(718) 240-8340","KINGS","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","10/1/21-9/30/22","C028296","382162.00","https://www.healthyfamiliesnewyork.org/",
"YWCA of Schenectady","44 Washington Avenue","Schenectady","NY","12305","(518) 374-3386","SCHENECTADY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV88","538750.00","http://www.ywca-northeasternny.org","POINT (-73.949168 42.816584)"
"Bronx-Lebanon Hospital Center (MIECHV Oct)","1645 Grand Concourse, Suite 1k","Bronx","NY","10456","(718) 960-2084","BRONX","Healthy Families New York Home Visiting","Federal MIECHV funds","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","10/1/18-9/30/23","C028299","217985.00","http://www.bronx-leb.org","POINT (-73.911971 40.843718)"
"Prevent Child Abuse NY - Parent Helpline","1 Steuben Place","Albany","NY","12207","1-800-CHILDREN","Statewide","Prevention","Community Based Child Prevention Program-Federally Funded","Regional Child Abuse Prevention Initiatives utilizing the Protective Factors Framework training and convening cross-systems coalitions in four communities. Parent Information and Resource Center, including the Parent Helpline that assists parents/caregivers through calls, emails, and in-person requests, and website searches. Enough Abuse Campaign to reduce child sexual abuse. PCANY began as the Standard of Quality for Family Strengthening and Support (SOQ) trainer for the New York State Family Support Network (NYSFSN) during this past year. All of these activities include a parent leadership/engagement component.","12/16/19-12/15/23","C028518","125000.00","https://www.preventchildabuseny.org/","POINT (-73.749484 42.650932)"
"New York Asian Women's Center, Inc. (dba Womankind)","32 Broadway, FL 10","New York","NY","10004","(212) 732-0054","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV49","91588.00","https://www.nackidscan.org/","POINT (-74.013158 40.705991)"
"Mechanicville Area Community Services Center","PO Box 30, 6 Main Street, South","Mechanicville","NY","12118","(518) 664-8322         ext. 1004","SARATOGA","Prevention","Community Based Child Prevention Program-Federally Funded","Partners in Parenting: Support & Education for Today’s Families:  Structure parenting education classes and parenting support with Pre-K classes for their children.","8/1/19-7/31/24","C028531","40588.00","https://www.mechanicvilleacsc.org/",
"Cayuga/Seneca Community Action Agency, Inc.","89 York Street","Auburn","NY","13021","(315) 255-1703","CAYUGA","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","9/1/18-8/31/19","C028011","460661.00","http://www.cscaa.com","POINT (-76.575523 42.949403)"
"Family Counseling Service of the Finger Lakes, Inc.","671 South Exchange Street","Geneva","NY","14456","(877) 298-9468","ONTARIO, SENECA, YATES","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028822","22000.00","http://www.fcsfl.org","POINT (-76.982521 42.864314)"
"Sheltering Arms Children and Family Services","91-14 Merrick Blvd 4th Floor","Jamaica","NY","11432","(718) 526-2400","QUEENS","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","7/1/21-6/30/22","C028893","597365.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.794193 40.706162)"
"Behavioral Health Services North, Inc.","22 US Oval, Suite 218","Plattsburgh","NY","12903","(518) 563-6904","CLINTON, ESSEX","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028792","62000.00","http://www.bhsn.org","POINT (-73.446889 44.684674)"
"Urban Resource Institute","75 Broad Street, Suite 505","Brooklyn","NY","11201","(718) 260-2932","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV77","323250.00","http://urinyc.org","POINT (-74.014257 40.674402)"
"Willow Domestic Violence Center for Greater Rochester (dba Alternatives for Battered Women)","PO Box 39601","Rochester","NY","14604","(585) 232-5200","MONROE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029228","311172.00","http://www.abwrochester.org",
"Access: Supports for Living Inc.  (Newburgh)","2001 Route 17M","Middletown","NY","10941","(845) 562-7244","ORANGE","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027578","505461.00","http://www.occupations.org",
"Freedom House for People with Disabilities Inc.","637 East 138th Street","Bronx","NY","10454","(929) 281-2264","NEW YORK CITY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029221","16178.00","https://www.bflnyc.org/","POINT (-73.915098 40.805818)"
"Harlem Dowling-Westside Center for Child & Family Services","2090 ADAM CLAYTON POWELL JR BLVD 3RD FL","New York","NY","10027","(212) 749-3656 ext. 212","NEW YORK","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","Parenting Education for 0-18; New project: the community parenting partnership will address the current status of target pop. through two evidenced-based models, resources & referrals, parent advisory committee, engage families at risk for child abuse/neglect cases, parent/child conflict, prior to involvement of CPS","8/1/19-7/31/24","C028530","150000.00","https://harlemdowling.org/","POINT (-73.948659 40.808658)"
"Sunset Park Health Council, Inc. / NYU Langone","6025 6th Avenue","Brooklyn","NY","11220","718-630-7171","KINGS","Prevention","Community Based Child Prevention Program-Federally Funded","ParentChild+, a national, evidence-based early literacy, parenting and schoolreadiness program will be used to provide intensive home visiting to families with children (0-4) challenged by poverty, low levels of education, language and literacy barriers, and other challenges.  Simultaneously, the program will run a community education model that incorporates both reflective parenting education and interactive two-generation literacy activities that enable parents and
children to share positive interactions and learn together.","8/1/21-7/31/24","C029055","150000.00","https://nyulangone.org/locations/family-health-centers-at-nyu-langone/community-based-programs-family-health-centers-at-nyu-langone","POINT (-74.01427 40.637868)"
"Child and Family Resources Inc","263 Lake Street","Penn Yan","NY","14527","315-536-1134, ext. 2304","YATES, ONTARIO, SENECA","Child Abuse Prevention/DV","Trust Fund","Several components:Weekly year- long parenting education groups, group for Grandparents,  domestic violence prevention education and intergenerational abuse prevention;  Drop-in care program for children while parents attend appointments or need respite for self-care. Provide supervised visitation services ONLY to families not already receiving the above supports via LDSS.","8/1/19-7/31/24","C028541","150000.00","https://cfr.clubexpress.com/","POINT (-77.059938 42.652538)"
"Domestic Violence & Rape Crisis Services of Saratoga County Inc. (dba Wellspring)","2816 US 9","Malta","NY","12020","(518) 583-0280","SARATOGA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029163","55121.00","http://wellspringopensdoors.com","POINT (-73.789727 43.009509)"
"Buffalo Prenatal Network (MIECHV Oct)","625 Delaware Ave Ste 410","Buffalo","NY","14202","(716) 884-6711","ERIE","Healthy Families New York Home Visiting","Federal MIECHV funds","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","10/1/18-9/30/23","C028300","547355.00","http://www.buffaloprenatal.org","POINT (-78.873335 42.901313)"
"New York Council On Adoptable Children","333 W. 39th St, Fl 2","New York","NY","10018","(212) 475-0222","MANHATTAN, BRONX, QUEENS, BROOKLYN, STATEN ISLAND","Permanency Resource Centers","State Aid to Localities","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families.","12/1/16-11/30/21","C027918","333000.00","http://www.coac.org/support/","POINT (-73.992749 40.755992)"
"The Family Center, Inc.","493 Nostrand Avenue, 3rd Floor","Brooklyn","NY","11216","(718) 230-1379","BROOKLYN, QUEENS","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/16-8/31/20","C027816","100000.00","https://www.thefamilycenter.org/","POINT (-73.949599 40.680592)"
"Willow Domestic Violence Center for Greater Rochester (dba Alternatives for Battered Women)","PO Box 39601","Rochester","NY","14604","(585) 232-5200","MONROE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV85","538750.00","http://www.abwrochester.org",
"Catholic Charities of the Diocese of Rochester dba Catholic Family Center","89 N Clinton Avenue","Rochester","NY","14604","(585) 546-7220","MONROE","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/2015-8/31/20","C027685","102980.00","https://www.cfcrochester.org/","POINT (-77.60724 43.159177)"
"Safe Center LI, Inc., The","15 Grumman Road West, Suite 1000","Bethpage","NY","11714","(516) 465-4700","NASSAU","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029202","94027.00","http://www.cadvnc.org/cadv","POINT (-73.489163 40.743873)"
"Catholic Charities of Buffalo","2636 West State St., Ste 301","Olean","NY","14760","(716)218-1400","ALLEGANY, CATTARAUGUS","Kinship","State Aid","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","09/01/20-8/31/23","C028936",,"https://www.ccwny.org/","POINT (-78.459137 42.077076)"
"Julia Dyckman Andrus Memorial, Inc.","1156 North Broadway","Yonkers","NY","10701","(914) 968-1663","WESTCHESTER","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027565","473280.00","http://disabled.westchestergov.com/julia-dyckman-andrus-memorial-inc","POINT (-73.880612 40.9771)"
"Suicide Prevention & Crisis Services Inc.","100 River Rock Drive","Buffalo","NY","14207","(716) 834-2310","ERIE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029190","94027.00","http://crisisservices.org/rape-domestic-violence/","POINT (-78.898099 42.946973)"
"Family of Woodstock, Inc.","PO Box 3268","Kingston","NY","12401","(845) 338-2370","ULSTER","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028812","59000.00","http://hubwny.org/",
"Pinnacle Community Services, Inc","1522 Main Street","Niagara Falls","NY","14305","(716) 285-6984 Ext 209","NIAGARA, ORLEANS","Healthy Families New York Home Visiting","Delinking","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","12/1/21-11/30/22","C029033","211442.00","https://www.healthyfamiliesnewyork.org/","POINT (-79.052424 43.103416)"
"S.O.S. Shelter, Inc. (dba Rise-NY)","P. O. Box 393","Endicott","NY","13760","(607) 754-4340","BROOME","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028762","62000.00","http://www.sosshelter.org",
"Mechanicville Area Community Services Center","POB 30, 6 South Main Street","Mechanicville","NY","12118","(518) 664-4008","SARATOGA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029210","9608.00","http://www.mechanicvilleacsc.org",
"Cattaraugus Community Action, Inc. (dba Connecting Communities in Action)","25 Jefferson Street","Salamanca","NY","14779","(888) 945-3970","CATTARAUGUS","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029218","55121.00","http://www.ccaction.org","POINT (-78.717202 42.15427)"
"Catholic Charities Steuben/Livingston","23 Liberty Street","Bath","NY","14810","(607) 776-6621","STEUBEN","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","7/1/20-6/30/25","C028914","1378316.00","https://www.healthyfamiliesnewyork.org/","POINT (-77.318346 42.334276)"
"Lifespan of Greater Rochester, Inc.","1900 South Clinton Avenue","Rochester","NY","14618","(585) 244-8400","MONROE","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028755","27000.00","http://www.lifespan-roch.org","POINT (-77.594889 43.121047)"
"Family Service League of Suffolk Co., Inc.","790 Park Avenue","Huntington","NY","11743","(631) 647-3100","SUFFOLK","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","9/1/18-8/31/19","C028015","456351.00","http://www.fsl-li.org/home/index.php","POINT (-73.391764 40.85724)"
"C A C FOUNDATION INC","163 S. First Street","Fulton","NY","13069","(315) 592-4453","OSWEGO","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028047","188667.00","http://www.oswegocac.org","POINT (-76.41565 43.319719)"
"Hope's Door, Inc.","PO Box 262","Hawthorne","NY","10002","212-475-6400","WESTCHESTER","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV39","129300.00","https://hopesdoorny.org/",
"Violence Intervention Program Inc.","PO Box 1161, Triborough Station","New York","NY","10035","(929)436-1001","NEW YORK CITY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028788","65000.00","https://violenceinterventionprogram.org/",
"Seneca County Community Counseling Center","31 Thurber Drive","Waterloo","NY","13165","(315) 538-1958","SENECA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029215","55121.00","http://www.co.seneca.ny.us/dpt-comserv-mental-health.php","POINT (-76.8446 42.906311)"
"Saratoga Center for the Family, Inc.","359 Ballston Avenue","Saratoga Springs","NY","12866","(518) 587-8008","SARATOGA","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028062","162413.00","http://www.saratogacff.org","POINT (-73.799816 43.062886)"
"Freedom House for People with Disabilities Inc.","637 East 138th Street","Bronx","NY","10454","(929) 281-2264","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV32","91588.00","https://www.bflnyc.org/","POINT (-73.915098 40.805818)"
"Allegany County Community Opportunities and Rural Development, Inc. (aka ACCORD)","84 Schuyler Street, PO Box 573","Belmont","NY","14813","(585) 268-7605","ALLEGANY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028818","62000.00","http://www.accordcorp.org","POINT (-78.029996 42.225244)"
"Adoptive and Foster Family Coalition of New York","21 Greene Avenue","Amityville","NY","11701","(631) 598-1983","ROCKLAND, PUTNAM, NASSAU, SUFFOLK","Permanency Resource Centers","State Aid to Localities","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/17-3/30/23","C027993","300000.00","https://affcny.org/","POINT (-73.418494 40.678576)"
"Circulo de la Hispanidad, Inc.","26 West Park Avenue","Long Beach","NY","11561","(516) 889-3869","NASSAU","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029188","55121.00","http://www.cdlh.org","POINT (-73.664984 40.588371)"
"Rockland County District Attorneys Office","1 South Main Street","New City","NY","10956","(845) 821-5639","ROCKLAND","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","02/01/2022 - 09/30/2025","C029320","124008.00","http://www.putnamcac.org","POINT (-73.989528 41.146917)"
"Gustavus Adolphus Children and Family Services, Inc.","515 West 5th Street","Jamestown","NY","14701","(716) 708-6161","CATTARAUGUS, CHAUTAUQUA, ERIE, NIAGARA, WYOMING","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/17-3/30/23","C027992","300000.00","http://gafamilyservices.org","POINT (-79.248172 42.097059)"
"United Way of the Southern Tier","300 Nasser Civic Center Plaza, Suite 220","Corning","NY","14830","(607) 377-5828","CHEMUNG","Child Abuse Prevention","Public Private Partnership","Home Visiting Family Support: Voluntary, research-based maternal, infant, and early childhood home visiting provides services and supports to families that reduce child abuse and neglect, promote school readiness, improve child health and development, promote family self-sufficiency, and strengthen social attachments. Program uses Parents as Teachers curriculum.","03/1/19-11/30/20","C028457","344630.00","https://www.uwst.org/","POINT (-77.047719 42.14219)"
"Victim Resource Center of the Finger Lakes, Inc.","132 Harrison Street","Newark","NY","14513","(800) 456-1172","WAYNE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV79","193950.00","http://www.vrcfl.org/home0.aspx","POINT (-77.09274 43.048961)"
"Salvation Army of Jamestown","83 South Main Street, POB 368","Jamestown","NY","14702","(800) 252-8748","CHAUTAUQUA","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA39","144670.00","http://salvationarmynorth.org/community/jamestown","POINT (-79.237281 42.091963)"
"Jewish Family Service of Erie County, Inc.","70 Barker Street","Buffalo","NY","14209","(718) 883-1914","ERIE","Prevention","Trust Fund","Parenting education (The Incredible Years evidenced-based curriculum) and support services provided to refugee population in partnership with other refugee agencies.  Translation services are provided. The target population is comprised of resettled refugees, immigrant, and other limited English proficient parents of young children (less than 12 years of age) who may be at risk of or have experienced some form of abuse, maltreatment, family violence, or trauma.","8/1/19-7/31/24","C028533","92644.00","https://jfswny.org/","POINT (-78.870718 42.906747)"
"Child Development Council of CNY","100 Orange Place","Cortland","NY","13045","(607) 273-0259","Cortland, Tompkins","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","Family Strengthening and Support/Home Visiting for 30 families.","8/1/19-7/31/24","C028540","150000.00","https://www.childdevelopmentcouncil.org/",
"YWCA of Genesee County","301 North Street","Batavia","NY","14020","(585) 343-7513","GENESEE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV87","129300.00","http://ywcagenesee.org","POINT (-78.17327 43.004192)"
