"public_authority_type","public_authority_name","address_line_1","address_line_2","city","state","zip","website"
"LDC","Rensselaer Tobacco Asset Securitization Corporation","Bureau of Finance","1600 Seventh Avenue","TROY","NY","12180",
"LDC","Ramapo Local Development Corporation","C/O  TOWN OF RAMAPO","237 Route 59 - Purchasing","SUFFERN","NY","10901","http://www.ramapoldc.com"
"LDC","Rochester Economic Development Corporation","C/O Rochester Economic Development Department","57 St. Paul Street","ROCHESTER","NY","14604","http://www.redcoroc.com"
"LDC","Albany CSO Pool Communities Corporation","CDRPC","One Park Place, Suite 102","ALBANY","NY","12205-0850","http://cdrpc.org/programs/water-quality/combined-sewer-overflow-cso/"
"LDC","Cayuga County Development Corporation","Cayuga County Office Building","160 Genesee Street","AUBURN","NY","13021","http://www.cayugacounty.us/DoingBusiness/PlanningandEconomicDevelopment/EconomicDevelopment/PartnersandResources/DevelopmentCorporation.aspx#docs"
"IDA","Cayuga Industrial Development Agency","Cayuga Economic Development Agency (CEDA)","2 State Street","AUBURN","NY","13021","http://www.cayugacountyida.com/"
"LDC","BURA INC","City Hall","65 Niagara Sq Room 213","BUFFALO","NY","14202","http://burainc.org"
"LDC","City of Kingston Local Development Corporation","City Hall","420 Broadway","KINGSTON","NY","12401","http://www.kingston-ny.gov/kldc"
"Local","Rochester Urban Renewal Agency","City Hall","30 Church Street, Room 223B","ROCHESTER","NY","14614-1290","http://www.cityofrochester.gov/article.aspx?id=8589937368"
"Local","Schenectady Urban Renewal Agency","City Hall","105 Jay Street, Rm 14","SCHENECTADY","NY","12305",
"LDC","Troy Local Development Corporation","City Hall","433 River Street, Suite 5000","TROY","NY","12180","http://www.troyny.gov/departments/planning-department/economic-development/troy-ldc/"
"Local","Gloversville Community Development Agency","City Hall, 3 Frontage Road",,"GLOVERSVILLE","NY","12078","http://www.cityofgloversville.com"
"IDA","Mount Vernon Industrial Development Agency","City Hall, One Roosevelt Square",,"MOUNT VERNON","NY","10550","http://cmvny.com/departments/planning/industrial-development-agency/"
"LDC","White Plains Center Local Development Corporation","City of White Plains","255 Main Street Suite 102","WHITE PLAINS","NY","10601-2409",
"Local","Clifton-Fine Health Care Corporation","Clifton-Fine Hospital","1014 Oswegatchie Trail","STAR LAKE","NY","13690",
"LDC","Lake City Local Development Corporation","Community Development Office","41 City Hall Place","PLATTSBURGH","NY","12901","http://lakecityldc.com/"
"State","New York State Energy Research and Development Authority","Corporate Plaza West","17 Columbia Circle","ALBANY","NY","12203-6399","http://www.nyserda.org"
"LDC","Ontario Tobacco Asset Securitization Corporation","County Municipal Building","20 Ontario Street","CANANDAIGUA","NY","14424","http://www.co.ontario.ny.us/otasc/index.html"
"LDC","Washington County Local Development Corporation","County Municipal Center","383 Broadway, Building A","FORT EDWARD","NY","12828","http://www.wcldc.org"
"LDC","Washington Tobacco Asset Securitization Corporation","County Municipal Center - Building B","383 Broadway","FORT EDWARD","NY","12828","http://washingtoncountyny.gov/373/WTASC"
"LDC","Steuben Tobacco Asset Securitization Corporation","County Office Building","3 East Pulteney Square","BATH","NY","14810",
"LDC","Oneida Tobacco Asset Securitization Corporation","County Office Building","800 Park Avenue","UTICA","NY","13501","http://www.ocgov.net/comptroller/tobacco"
"LDC","Schuyler Tobacco Asset Securitization Corporation","County Office Building","105 Ninth Street","WATKINS GLEN","NY","14891","http://www.schuylercounty.us/Index.aspx?NID=433"
"LDC","Allegany County Capital Resource Corporation","Crossroads Commerce Center","6087 State Route 19N","BELMONT","NY","14813","http://www.acida.org"
"IDA","Allegany Industrial Development Agency","Crossroads Commerce Center","6087 State Route 19N - Suite 100","BELMONT","NY","14813","http://www.acida.org"
"LDC","The City of Newburgh Local Development Corporation","Department of Planning and Development","83 Broadway","NEWBURGH","NY","12550","http://www.newburgh-ny.com"
"Local","Nassau County Bridge Authority","Doughty Blvd",,"LAWRENCE","NY","11559","http://www.ncbaabb.com/"
"State","Development Authority of the North Country","Dulles State Office Building","317 Washington Street, Suite 414","WATERTOWN","NY","13601","http://www.danc.org"
"LDC","Niagara County Brownfields Development Corporation","Economic Development Center","6311 Inducon Corporate Drive","SANBORN","NY","14132","http://www.niagaracountybusiness.com/brownfields.asp"
"LDC","Broome Tobacco Asset Securitization Corporation","Edwin L Crawford County Office Building","P.O. Box 1766","BINGHAMTON","NY","13902",
"State","Roswell Park Cancer Institute Corporation","Elm and Carlton Street",,"BUFFALO","NY","14263","http://www.roswellpark.org"
"LDC","Broome County Local Development Corporation","FIVE South College Drive, Suite 201",,"BINGHAMTON","NY","13905","http://www.theagency-ny.com"
"IDA","Broome Industrial Development Agency","FIVE South College Drive, Suite 201",,"BINGHAMTON","NY","13905-9000","http://www.theagency-ny.com"
"LDC","Ontario County Four Seasons Development Corporation","Finger Lakes Visitors Connection","19 Susan B. Anthony Lane","CANANDAIGUA","NY","14424","http://www.visitfingerlakes.com"
"LDC","Genesee Tobacco Asset Securitization Corporation","Genesee County Building 1","15 Main Street","BATAVIA","NY","14020","http://genesee.yourtasc.com"
"LDC","Genesee County Funding Corporation","Genesee County Funding Corporation","99 MedTech Drive, Suite 106","BATAVIA","NY","14020","http://www.gcedc.com"
"IDA","Guilderland Industrial Development Agency","Guilderland Town Hall","P O Box 339","GUILDERLAND","NY","12084","http://www.townofguilderland.org/Pages/GuilderlandNY_IDA"
"LDC","The Suffolk County Land Bank Corporation","H. Lee Dennison Bldg","100 Veterans Memorial Hwy","HAUPPAUGE","NY","11788",
"LDC","Wyoming County Business Assistance Corporation","James Pierce","36 Center Street, Suite D","WARSAW","NY","14569","http://Wycoida.org"
"LDC","Onondaga Tobacco Asset Securitization Corporation","John H. Mulroy Civic Center, 14th Floor","421 Montgomery Street","SYRACUSE","NY","13202","http://www.ongov.net/otasc/"
"LDC","Village of Lancaster Community Development Corporation","Lancaster Municipal Building","5423 Broadway","LANCASTER","NY","14086","https://www.rediscoveringlancaster.com/"
"LDC","Livingston Tobacco Asset Securitization Corporation","Livingston City Government Center","6 Court Street, Room 302","GENESEO","NY","14454",
"LDC","Livingston County Development Corporation","Livingston County Government Center","6 Court St., Room 306","GENESEO","NY","14454","http://www.co.livingston.state.ny.us/lcdc.htm"
"State","Buffalo Fiscal Stability Authority","Market Arcade Bldg.","617 Main Street, Suite 400","BUFFALO","NY","14203","http://www.bfsa.state.ny.us"
"State","New York State Bridge Authority","Mid-Hudson Bridge Plaza","P.O. Box 1010","HIGHLAND","NY","12528","http://www.nysba.state.ny.us"
"Local","Jamestown Urban Renewal Agency","Municipal Building","200 East 3rd Street","JAMESTOWN","NY","14701",
"LDC","Cheektowaga Economic Development Corporation","Office of Community & Economic Development","275 Alexander Avenue","BUFFALO","NY","14211-2742","http://www.cheektowagadevelopment.com/"
"LDC","Greater Glens Falls Local Development Corporation","Office of Economic Development","42 Ridge Street","GLENS FALLS","NY","12801","http://www.glensfallsldc.com/"
"LDC","Theater Subdistrict Council Local Development Corporation","Office of The Counsel","120 Broadway, 31st Floor","NEW YORK","NY","10271","https://www1.nyc.gov/site/planning/zoning/districts-tools/theater-subdistrict-council-ldc.page"
"LDC","Batavia Development Corporation","One Batavia City Centre",,"BATAVIA","NY","14020","http://www.bataviadevelopmentcorp.org"
"LDC","Rockland Economic Development Corporation","One Blue Hill Plaza","P.O. Box 1575","PEARL RIVER","NY","10965","http://redc.org"
"State","Ogdensburg Bridge and Port Authority","One Bridge Plaza",,"OGDENSBURG","NY","13669","http://www.ogdensport.com"
"State","New York State Thoroughbred Breeding Development Fund","One Broadway Center - 1st floor",,"SCHENECTADY","NY","12305","http://www.nybreds.com"
"Local","Village of Rockville Centre Community Development Agency","One College Place and Clinton Avenue","P.O. Box 950","ROCKVILLE CENTRE","NY","11571-0950","http://www.rvcny.gov"
"LDC","Buffalo Niagara Convention Center Management Corporation","One Convention Center Plaza",,"BUFFALO","NY","14202-3105","http://www.buffaloconvention.com"
"LDC","Delaware County Local Development Corporation","One Courthouse Square","Suite 4","DELHI","NY","13753",
"IDA","Delaware County Industrial Development Agency","One Courthouse Square","Suite 4","DELHI","NY","13753",
"IDA","Seneca County Industrial Development Agency","One DiPronio Drive",,"WATERLOO","NY","13165","http://www.senecacountyida.org/"
"LDC","Seneca County Funding Corporation","One DiPronio Drive",,"WATERLOO","NY","13165","http://www.senecacountyida.org"
"LDC","Seneca County Economic Development Corporation","One Dipronio Drive","One DiPronio Drive","WATERLOO","NY","13165","http://www.senecacountyida.org"
"LDC","Columbia Economic Development Corporation","One Hudson City Centre","Suite 301","HUDSON","NY","12534","http://www.columbiaedc.com/"
"LDC","Columbia County Capital Resource Corporation","One Hudson City Centre","Suite 301","HUDSON","NY","12534","http://www.columbiaedc.com/?page_id=12"
"IDA","Columbia Industrial Development Agency","One Hudson City Centre","Suite 301","HUDSON","NY","12534","http://www.Columbiaedc.com"
"IDA","Yates County Industrial Development Agency","One Keuka Business Park",,"PENN YAN","NY","14527","http://fingerlakesedc.com"
"LDC","New York City Economic Development Corporation","One Liberty Plaza","14th Floor","NEW YORK","NY","10006","http://www.nycedc.com"
"LDC","Greater Lockport Development Corporation","One Locks Plaza",,"LOCKPORT","NY","14094","http://www.lockportny.gov/gldc"
"LDC","Canton Capital Resource Corporation","One Main St.","Suite 101","CANTON","NY","13617","https://cantonny.gov/canton-capital-corporation/"
"Local","Mount Vernon Urban Renewal Agency","One Roosevelt Square","City Hall, 2nd Floor","MOUNT VERNON","NY","10550",
"Local","Haverstraw Urban Renewal Agency","One Rosman Road",,"GARNERVILLE","NY","10923",
"LDC","Tuxedo Local Development Corporation","One Temple Drive",,"TUXEDO PARK","NY","10987-4436","http://www.tuxedogov.org"
"LDC","Tuxedo Farms Local Development Corporation","One Temple Drive",,"TUXEDO PARK","NY","10987-4436","http://www.tuxedogov.org/tuxedofarms"
"IDA","Clifton Park Industrial Development Agency","One Town Hall Plaza",,"CLIFTON PARK","NY","12065","http://www.cliftonpark.org/townhall/cpida"
"IDA","Clarence Industrial Development Agency","One Town Place",,"CLARENCE","NY","14031","http://www.clarenceida.com"
"LDC","Nassau County Land Bank Corporation","One West Street",,"MINEOLA","NY","11501","https://www.nassaucountyny.gov/4293/Land-Bank"
"Local","Oneida County Sports Facility Authority","Oneida County Office Building","800 Park Ave.","UTICA","NY","13501",
"IDA","Montgomery County Industrial Development Agency","P O Box 1500",,"FONDA","NY","12068","http://www.mcida.org"
"IDA","Hamilton County Industrial Development Agency","P O Box 205",,"LAKE PLEASANT","NY","12108","http://www.hamiltoncounty.com/economic-development"
"LDC","Glenville Local Development Corporation","P O Box 2894",,"GLENVILLE","NY","12325","http://www.GlenvilleLDC.org"
"IDA","City of Schenectady Industrial Development Agency","P O Box 68",,"SCHENECTADY","NY","12301-0068","http://www.cityofschenectady.com"
"Local","Water Authority of Southeastern Nassau County","P.O. Box 1098",,"BELLMORE","NY","11710-0176",
"LDC","Sackets Harbor Local Development Corporation","P.O. Box 121",,"SACKETS HARBOR","NY","13685","http://www.sacketsharbor-ny.gov"
"LDC","Village of South Glens Falls Local Development Corporation","P.O. Box 1210",,"SOUTH GLENS FALLS","NY","12803","http://www.sgfny.com/SGF-Village-Attorney.htm"
"IDA","Cattaraugus Industrial Development Agency","P.O. Box 1749","9 E Washington St","ELLICOTTVILLE","NY","14731","http://www.cattcoida.com"
"LDC","Ulster Tobacco Asset Securitization Corporation","P.O. Box 1800",,"KINGSTON","NY","12402-1800","http://ulstercountyny.gov/ulster-tobacco-asset-securitization-corporation"
"State","Nelson A. Rockefeller Empire State Plaza Performing Arts Center Operating Corporation","P.O. Box 2065","Empire State Plaza","ALBANY","NY","12220","http://www.theegg.org/"
"IDA","Essex County Industrial Development Agency","P.O. Box 217","7566 Court Street","ELIZABETHTOWN","NY","12932","http://www.essexcountyida.com"
"LDC","Bethel Local Development Corporation","P.O. Box 300",,"WHITE LAKE","NY","12786","http://www.town.bethel.ny.us/bldc.htm"
"IDA","Steuben County Industrial Development Agency","P.O. Box 393",,"BATH","NY","14810","http://www.steubencountyida.com"
"LDC","Greater Wawarsing Local Development Corporation","P.O. Box 46","108 Canal Street","ELLENVILLE","NY","12428","http://greaterwawarsing.org"
"LDC","Seneca Knit Development Corporation","P.O. Box 499",,"SENECA FALLS","NY","13148",
"LDC","Potsdam Community Development Corporation","P.O. Box 5168/Civic Center",,"POTSDAM","NY","13676","http://www.potsdamcdc.org"
"Local","Town of Islip Community Development Agency","P.O. Box 5587",,"BAY SHORE","NY","11706",
"LDC","Chemung Tobacco Asset Securitization Corporation","P.O. Box 588","203 Lake Street","ELMIRA","NY","14901",
"LDC","Chautauqua County Land Bank Corporation","P.O. Box 603",,"FREDONIA","NY","14063-0603","http://www.chautauqualandbank.org"
"Local","Ulster County Resource Recovery Agency","P.O. Box 6219",,"KINGSTON","NY","12402","http://www.ucrra.org"
"Local","Port Jervis Community Development Agency","PO Box 1002","20 Hammond St","PORT JERVIS","NY","12771","http://www.portjervisny.org"
"LDC","Newburgh Community Land Bank","PO Box 152",,"NEWBURGH","NY","12550","http://www.newburghcommunitylandbank.org"
"LDC","Ulster County Economic Development Alliance, Inc.","PO Box 1800","244 Fair Street","KINGSTON","NY","12402","http://ulstercountyny.gov/economic-development/ulster-county-economic-development-alliance"
"LDC","Golden Hill Local Development Corporation","PO Box 1800","P.O. Box 1800","KINGSTON","NY","12402","http://ulstercountyny.gov/golden-hill-local-development-corporation"
"LDC","Ticonderoga Revitalization Alliance","PO Box 247",,"TICONDEROGA","NY","12883","http://www.ticonderoga-alliance.org"
"LDC","The Walden Local Development Corporation","PO Box 367","158 Orange Avenue","WALDEN","NY","12586",
"LDC","Ulster County Capital Resource Corporation","PO Box 4265",,"KINGSTON","NY","12402","http://ulstercountyida.com"
"IDA","Ulster County Industrial Development Agency","PO Box 4265",,"KINGSTON","NY","12402","http://ulstercountyida.com"
"LDC","Village of Valatie Local Development Corporation","PO Box 702",,"VALATIE","NY","12184-9998",
"LDC","Lewis County Development Corporation","PO Box 704",,"LYONS FALLS","NY","13368","https://sites.google.com/site/lewiscountydevelopmentcorp/home"
"LDC","Municipal Electric and Gas Alliance, Inc","PO Box 88",,"ITHACA","NY","14851","http://www.megaenergy.org"
"IDA","Schenectady County Industrial Development Agency","PO Box 912",,"SCHENECTADY","NY","12301","http://www.schenectadycounty.com"
"LDC","Clayton Local Development Corporation","PO Box 99","913 Strawberry Lane","CLAYTON","NY","13624","http://www.claytonldc.org"
"State","Hudson River Park Trust","Pier 40 - 353 West St.","2nd Floor","NEW YORK","NY","10014","http://www.hudsonriverpark.org/"
"IDA","Hamburg Industrial Development Agency","S6100 South Park Avenue",,"HAMBURG","NY","14075",
"IDA","Putnam County Industrial Development Agency","Suite 2,","2 Route 164","PATTERSON","NY","12563","http://www.putnamida.com"
"Local","Syracuse Regional Airport Authority","Syracuse Hancock International Airport","1000 Colonel Eileen Collins Boulevard","SYRACUSE","NY","13212","http://www.flysyracuse.com"
"LDC","Syracuse Local Development Corporation","Syracuse Local Development Corporation","201 East Washington St., 7th Floor","SYRACUSE","NY","13202","http://www.syracuse.ny.us/SLDC.aspx"
"Local","Tonawanda (City) Community Development Agency","Tonawanda City Hall","200 Niagara Street","TONAWANDA","NY","14150","http://www.ci.tonawanda.ny.us"
"LDC","Town of Hempstead Local Development Corp.","Town Hall Plaza","350 Front Street Room 234-A","HEMPSTEAD","NY","11550","http://www.tohldc.org"
"LDC","Town of Dewitt Local Development Corporation","Town of Dewitt","5400 Butternut Drive","EAST SYRACUSE","NY","13057","http://www.townofdewitt.com/TownofDeWittLocalDevelopmentCorporation.aspx"
"State","United Nations Development Corporation","Two United Nations Plaza","27th Floor","NEW YORK","NY","10017-4403","http://www.undc.org/"
"State","Westchester County Health Care Corporation","Valhalla Campus","100 Woods Road","VALHALLA","NY","10595","http://www.worldclassmedicine.com/"
"Local","Victor Urban Renewal Agency","Village of Victor","60 East Main Street","VICTOR","NY","14564","http://victorny.org"
"LDC","Warren County Local Development Corporation","Warren County Municipal Center","1340 State Route 9","LAKE GEORGE","NY","12845","http://www.warrenldc.org"
"LDC","Warren Tobacco Asset Securitization Corporation","Warren County Municipal Center","1340 State Route 9","LAKE GEORGE","NY","12845",
"State","Albany Convention Center Authority","c/o Albany Capital Center","55 Eagle St","ALBANY","NY","12207","http://www.accany.com"
"LDC","Hudson Yards Development Corporation","c/o NYCEDC","165 Broadway, 14th Floor","NEW YORK","NY","10006","http://www.hydc.org"
"LDC","Schenectady County Capital Resource Corporation","c/o Schdy Co. IDA","PO Box 912","SCHENECTADY","NY","12301-0912","http://www.schenectadycounty.com"
"LDC","The Schoharie Community Development Corporation",,,,,,
"LDC","Nassau County Economic Development Corporation",,,,,,
"LDC","Otsego County Development Corporation",,,,,,
"LDC","Malone Economic Development Corporation",,,,,,
"LDC","Western Ontario Local Community Development Corporation",,,,,,
"LDC","Batavia Regional Recreation Corporation",,,,,,
"LDC","Southern Tier Economic Development, Inc.",,,,,,
"LDC","Oswegatchie Development Corporation",,,,,,
"LDC","Utica Industrial Development Corporation",,,,,,
"LDC","Rome Community Brownfield Restoration Corporation",,,,,,
"LDC","Sullivan County Partnership for Economic Development",,,,,,
"LDC","Tompkins Consolidated Area Transit Inc.",,,,,,
"LDC","Albion Housing and Economic Development Corporation",,,,,,
"LDC","Village of Highland Falls High Point Utility Local Development Corporation",,,,,,
"LDC","Allegany County Telecommunications Development Corp",,,,,,
"LDC","Ogdensburg Land Bank Corporation",,,,,,
"LDC","Ft. Edward Local Property Development Corporation",,,,,,
"LDC","Warwick Valley Local Development Corporation",,,,,,
"LDC","Tonawanda Local Development Corporation",,,,,,
"LDC","New York City School Bus Umbrella Services, Inc.",,,,,,
"LDC","Pelham Local Development Corporation",,,,,,
"LDC","Sullivan Broadband Local Development Corporation",,,,,,
"LDC","Plattsburgh Progress Local Development Corporation",,,,,,
"LDC","Dutchess County-Poughkeepsie Land Bank Corporation",,,,,,
"LDC","Ulster County Housing Development Corporation",,,,,,
