"vendor","fiscalyear","quarter","paymentamount"
"ATLANTIC ELECTRIC INC","2018-2019","2","81570.37"
"ATLANTIC ELECTRIC INC","2018-2019","1","69222.7"
"ATLANTIC ELECTRIC INC","2017-2018","4","65631.68"
"ATLANTIC ELECTRIC INC","2017-2018","2","96747.05"
"ATLANTIC ELECTRIC INC","2017-2018","1","241984.42"
"ATLANTIC ELECTRIC INC","2016-2017","4","318593.42"
"ATLANTIC ELECTRIC INC","2016-2017","3","80238.56"
"ATLANTIC ELECTRIC INC","2016-2017","2","100674.16"
"ATLANTIC ELECTRIC INC","2016-2017","1","74376.25"
"ATLANTIC ELECTRIC INC","2015-2016","4","35841.59"
"ATLANTIC ELECTRIC INC","2015-2016","3","71827.12"
"ATLANTIC ELECTRIC INC","2015-2016","2","37615.25"
"ATLANTIC ELECTRIC INC","2014-2015","4","10473.75"
"ATLANTIC TESTING LABORATORIES LIMITED","2022-2023","1","64168"
"ATLANTIC TESTING LABORATORIES LIMITED","2021-2022","4","123951"
"ATLANTIC TESTING LABORATORIES LIMITED","2021-2022","3","209566"
"ATLANTIC TESTING LABORATORIES LIMITED","2021-2022","2","169565"
"ATLANTIC TESTING LABORATORIES LIMITED","2021-2022","1","721119"
"ATLANTIC TESTING LABORATORIES LIMITED","2020-2021","4","2183118"
"ATLANTIC TESTING LABORATORIES LIMITED","2020-2021","3","313709"
"ATLANTIC TESTING LABORATORIES LIMITED","2020-2021","2","446609"
"ATLANTIC TESTING LABORATORIES LIMITED","2020-2021","1","361907"
"ATLANTIC TESTING LABORATORIES LIMITED","2019-2020","4","210936"
"ATLANTIC TESTING LABORATORIES LIMITED","2019-2020","3","337290"
"ATLANTIC TESTING LABORATORIES LIMITED","2019-2020","2","244290"
"ATLANTIC TESTING LABORATORIES LIMITED","2019-2020","1","89418"
"ATLANTIC TESTING LABORATORIES LIMITED","2018-2019","4","222044"
"ATLANTIC TESTING LABORATORIES LIMITED","2018-2019","3","154496"
"ATLANTIC TESTING LABORATORIES LIMITED","2018-2019","2","269110"
"ATLANTIC TESTING LABORATORIES LIMITED","2018-2019","1","25596"
"ATLANTIC TESTING LABORATORIES LIMITED","2017-2018","4","272379.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2017-2018","3","175071.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2017-2018","2","42615.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2017-2018","1","110022.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2016-2017","4","188817.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2016-2017","3","203984"
"ATLANTIC TESTING LABORATORIES LIMITED","2016-2017","2","99269"
"ATLANTIC TESTING LABORATORIES LIMITED","2016-2017","1","175851"
"ATLANTIC TESTING LABORATORIES LIMITED","2015-2016","4","110200"
"ATLANTIC TESTING LABORATORIES LIMITED","2015-2016","3","108407.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2015-2016","2","189014"
"ATLANTIC TESTING LABORATORIES LIMITED","2015-2016","1","152434"
"ATLANTIC TESTING LABORATORIES LIMITED","2014-2015","4","68416"
"ATLANTIC TESTING LABORATORIES LIMITED","2014-2015","3","166763"
"ATLANTIC TESTING LABORATORIES LIMITED","2014-2015","2","145753.00"
"ATLANTIC TESTING LABORATORIES LIMITED","2014-2015","1","204350.00"
"ATL ENGINEERING PC","2021-2022","4","3433"
"ATL ENGINEERING PC","2021-2022","3","6539"
"ATL ENGINEERING PC","2021-2022","1","62958"
"ATL ENGINEERING PC","2020-2021","3","18717"
"ATL ENGINEERING PC","2020-2021","2","6805"
"ATL ENGINEERING PC","2020-2021","1","1485"
"ATL ENGINEERING PC","2019-2020","4","22171"
"ATL ENGINEERING PC","2019-2020","3","38867"
"ATL ENGINEERING PC","2019-2020","2","38338"
"ATL ENGINEERING PC","2019-2020","1","17770"
"ATL ENGINEERING PC","2018-2019","4","15679"
"ATL ENGINEERING PC","2018-2019","3","48779"
"ATL ENGINEERING PC","2018-2019","2","41528"
"ATL ENGINEERING PC","2018-2019","1","47001"
"ATL ENGINEERING PC","2017-2018","4","65607.00"
"ATL ENGINEERING PC","2017-2018","3","27306.00"
"ATL ENGINEERING PC","2017-2018","2","40765.00"
"ATL ENGINEERING PC","2017-2018","1","57274.00"
"ATL ENGINEERING PC","2016-2017","4","49403.00"
"ATL ENGINEERING PC","2016-2017","3","57819"
"ATL ENGINEERING PC","2016-2017","2","53926"
"ATL ENGINEERING PC","2016-2017","1","36614"
"ATL ENGINEERING PC","2015-2016","4","22055"
"ATL ENGINEERING PC","2015-2016","3","9596.00"
"ATL ENGINEERING PC","2015-2016","2","46692"
"ATL ENGINEERING PC","2015-2016","1","76958"
"ATL ENGINEERING PC","2014-2015","4","74335"
"ATL ENGINEERING PC","2014-2015","3","112643"
"ATL ENGINEERING PC","2014-2015","2","85959.00"
"ATL ENGINEERING PC","2014-2015","1","116351.00"
"ATR CONTRACTING AND SUPPLIES INC","2021-2022","4","45418.16"
"ATR CONTRACTING AND SUPPLIES INC","2021-2022","2","18951"
"ATR CONTRACTING AND SUPPLIES INC","2021-2022","1","211239"
"ATR CONTRACTING AND SUPPLIES INC","2020-2021","3","56897"
"ATR CONTRACTING AND SUPPLIES INC","2020-2021","1","11128"
"ATR CONTRACTING AND SUPPLIES INC","2019-2020","4","101592"
"ATR CONTRACTING AND SUPPLIES INC","2019-2020","3","20751"
"A TREFFEISEN & SONS LLC","2019-2020","1","1665.3"
"A TREFFEISEN & SONS LLC","2018-2019","4","285"
"A TREFFEISEN & SONS LLC","2018-2019","3","28505.7"
"A TREFFEISEN & SONS LLC","2018-2019","2","2850"
"A TREFFEISEN & SONS LLC","2016-2017","4","79572.00"
"A TREFFEISEN & SONS LLC","2016-2017","3","193918.75"
"A TREFFEISEN & SONS LLC","2016-2017","2","21066.25"
"A TREFFEISEN & SONS LLC","2016-2017","1","8455"
"A TREFFEISEN & SONS LLC","2015-2016","4","37584.60"
"A TREFFEISEN & SONS LLC","2015-2016","2","190790.40"
"A TREFFEISEN & SONS LLC","2014-2015","3","34466.7"
"A TREFFEISEN & SONS LLC","2014-2015","1","285.00"
"AUTUMN CONTRACTING LLC","2016-2017","2","91859.68"
"AUTUMN CONTRACTING LLC","2016-2017","1","277864.51"
"AUTUMN CONTRACTING LLC","2015-2016","4","120943.37"
"AUTUMN CONTRACTING LLC","2015-2016","3","126449.82"
"AUTUMN CONTRACTING LLC","2015-2016","2","486803.65"
"AUTUMN CONTRACTING LLC","2015-2016","1","477977.48"
"AUTUMN CONTRACTING LLC","2014-2015","4","150392.38"
"AUTUMN CONTRACTING LLC","2014-2015","3","253639.13"
"AUTUMN CONTRACTING LLC","2014-2015","2","302132.19"
"AUTUMN CONTRACTING LLC","2014-2015","1","294240.96"
"AVENTURA CONSTRUCTION CORPORATION","2022-2023","1","145525.33"
"AVENTURA CONSTRUCTION CORPORATION","2021-2022","4","200791.21"
"AVENTURA CONSTRUCTION CORPORATION","2021-2022","3","326202.61"
"AVENTURA CONSTRUCTION CORPORATION","2021-2022","2","934155.06"
"AVENTURA CONSTRUCTION CORPORATION","2021-2022","1","1022458.26"
"AVENTURA CONSTRUCTION CORPORATION","2020-2021","4","794479.23"
"AVENTURA CONSTRUCTION CORPORATION","2020-2021","3","792045.34"
"AVENTURA CONSTRUCTION CORPORATION","2020-2021","2","537471.80"
"AVENTURA CONSTRUCTION CORPORATION","2020-2021","1","565302.22"
"AVENTURA CONSTRUCTION CORPORATION","2019-2020","4","423581.23"
"AVENTURA CONSTRUCTION CORPORATION","2019-2020","3","988809.35"
"AVENTURA CONSTRUCTION CORPORATION","2019-2020","2","835530.33"
"AVENTURA CONSTRUCTION CORPORATION","2019-2020","1","704199.5"
"AVENTURA CONSTRUCTION CORPORATION","2018-2019","4","526994.55"
"AVENTURA CONSTRUCTION CORPORATION","2018-2019","3","1069128.21"
"AVENTURA CONSTRUCTION CORPORATION","2018-2019","2","304566.94"
"AVENTURA CONSTRUCTION CORPORATION","2018-2019","1","356903.45"
"AVENTURA CONSTRUCTION CORPORATION","2017-2018","4","381790.63"
"AVENTURA CONSTRUCTION CORPORATION","2017-2018","3","604865.76"
"AVENTURA CONSTRUCTION CORPORATION","2017-2018","2","293742.04"
"AVENTURA CONSTRUCTION CORPORATION","2017-2018","1","272635.05"
"AVENTURA CONSTRUCTION CORPORATION","2016-2017","4","393736.69"
"AVENTURA CONSTRUCTION CORPORATION","2016-2017","3","661724.87"
"AVENTURA CONSTRUCTION CORPORATION","2016-2017","2","554998.39"
"AVENTURA CONSTRUCTION CORPORATION","2016-2017","1","681582.02"
"AVENTURA CONSTRUCTION CORPORATION","2015-2016","4","465997.69"
"AVENTURA CONSTRUCTION CORPORATION","2015-2016","3","429523.82"
"AVENTURA CONSTRUCTION CORPORATION","2015-2016","2","61181.40"
"AVENTURA CONSTRUCTION CORPORATION","2015-2016","1","76430.75"
"AVENTURA CONSTRUCTION CORPORATION","2014-2015","4","92810.74"
"AVENUE CONTRACTING INC","2022-2023","1","16770"
"AVENUE CONTRACTING INC","2021-2022","3","13642"
"AVENUE CONTRACTING INC","2020-2021","4","160797"
"AVENUE CONTRACTING INC","2020-2021","3","38066"
"AVENUE CONTRACTING INC","2020-2021","2","218968.19"
"AVENUE CONTRACTING INC","2020-2021","1","259712.75"
"AVENUE CONTRACTING INC","2019-2020","4","383846.21"
"AVENUE CONTRACTING INC","2019-2020","3","847269.85"
"AVL CONTRACTORS INC","2021-2022","3","20410.27"
"AVOLIO BROTHERS LLC","2015-2016","3","7186.65"
"AVOLIO BROTHERS LLC","2015-2016","2","31973.35"
"A&W ARCHITECTS AND ENGINEERS PC","2017-2018","4","12642.00"
"A&W ARCHITECTS AND ENGINEERS PC","2016-2017","4","104109.00"
"A&W ARCHITECTS AND ENGINEERS PC","2015-2016","3","59998.00"
"A&W ARCHITECTS AND ENGINEERS PC","2014-2015","2","5200.00"
"A&W ARCHITECTS AND ENGINEERS PC","2014-2015","1","123264.00"
"AWE INCORPORATED","2021-2022","4","194124.9"
"AWE INCORPORATED","2021-2022","3","24510.95"
"AWE INCORPORATED","2021-2022","2","17667.62"
"AWE INCORPORATED","2021-2022","1","387870.75"
"AWE INCORPORATED","2014-2015","4","36017.4"
"AWE INCORPORATED","2014-2015","3","143742.6"
"AWE INCORPORATED","2014-2015","2","433694.00"
"A W FARRELL & SON INC","2019-2020","4","53873"
"A W FARRELL & SON INC","2018-2019","2","5499"
"A W FARRELL & SON INC","2018-2019","1","63541"
"A W FARRELL & SON INC","2016-2017","1","41204"
"A W FARRELL & SON INC","2014-2015","4","53213"
"A W FARRELL & SON INC","2014-2015","2","1528.00"
"A W FARRELL & SON INC","2014-2015","1","70964.93"
"AWL INDUSTRIES INC","2021-2022","4","24884.85"
"AWL INDUSTRIES INC","2021-2022","1","378250.26"
"AWL INDUSTRIES INC","2020-2021","2","41307.67"
"AWL INDUSTRIES INC","2020-2021","1","217590.77"
"AWL INDUSTRIES INC","2019-2020","4","885215.61"
"AWL INDUSTRIES INC","2019-2020","3","53554.82"
"AWL INDUSTRIES INC","2019-2020","1","101193.24"
"AWL INDUSTRIES INC","2018-2019","4","58781.02"
"AWL INDUSTRIES INC","2018-2019","3","274295.00"
