"area_type","area_name","period","soc_level","standard_occupational_classification","occupational_title","base_year_employment_estimate","projected_year_employment_estimate","numeric_change","percentage_change","exits","transfers","median_hourly_wage","total_job_openings","median_annual_wage","entry_level_education","work_experience","job_training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-2098","Assemblers and Fabricators, All Other, Including Team Assemblers","100","110","10","10.0","40","80","0.00","130","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-3000","Food Processing Workers","1660","1720","60","3.6","790","1400","0.00","2250","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-3021","Butchers and Meat Cutters","180","200","20","11.1","80","160","14.87","260","30926","No formal educational credential","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","80","80","0","0.0","50","70","12.72","120","26449","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-3093","Food Cooking Machine Operators and Tenders","50","60","10","20.0","40","50","19.67","100","40924","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-4000","Metal Workers and Plastic Workers","620","600","-20","-3.2","190","480","0.00","650","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-4041","Machinists","50","50","0","0.0","20","40","20.16","60","41938","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-4121","Welders, Cutters, Solderers, and Brazers","330","340","10","3.0","90","280","17.90","380","37215","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-5100","Printing Workers","240","250","10","4.2","130","180","0.00","320","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-5112","Printing Press Operators","100","100","0","0.0","40","70","19.67","110","40903","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-6000","Textile, Apparel, and Furnishings Workers","180","180","0","0.0","100","130","0.00","230","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-6011","Laundry and Dry-Cleaning Workers","60","50","-10","-16.7","30","40","12.28","60","25548","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-7000","Woodworkers","50","40","-10","-20.0","20","30","0.00","40","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-7011","Cabinetmakers and Bench Carpenters","30","30","0","0.0","10","20","13.77","30","28641","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-8000","Plant and System Operators","240","240","0","0.0","70","160","0.00","230","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-8013","Power Plant Operators","50","60","10","20.0","10","40","0.00","60","0","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-8031","Water and Wastewater Treatment Plant and System Operators","160","150","-10","-6.3","50","90","23.42","130","48699","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","51-9000","Other Production Occupations","2350","2350","0","0.0","970","1900","0.00","2870","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","300","310","10","3.3","80","270","21.22","360","44150","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","90","80","-10","-11.1","30","70","17.31","90","36007","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","330","280","-50","-15.2","120","260","17.35","330","36099","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9111","Packaging and Filling Machine Operators and Tenders","850","860","10","1.2","380","620","16.06","1010","33415","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9122","Painters, Transportation Equipment","60","60","0","0.0","20","50","0.00","70","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","50","50","0","0.0","30","40","0.00","70","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9193","Cooling and Freezing Equipment Operators and Tenders","50","50","0","0.0","20","40","27.79","60","57805","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9198","Helpers--Production Workers","330","330","0","0.0","180","310","15.18","490","31571","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","51-9199","Production Workers, All Other","80","90","10","12.5","30","70","23.34","110","48545","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","53-0000","Transportation and Material Moving Occupations","6920","8280","1360","19.7","3610","6060","14.82","11030","30828","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","53-1000","Supervisors of Transportation and Material Moving Workers","270","350","80","29.6","100","230","0.00","410","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-1048","First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling","270","350","80","29.6","100","230","0.00","410","0","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","53-2000","Air Transportation Workers","40","40","0","0.0","10","30","0.00","40","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","53-3000","Motor Vehicle Operators","2740","3190","450","16.4","1420","2020","0.00","3890","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-3022","Bus Drivers, School or Special Client","580","500","-80","-13.8","420","260","0.00","600","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-3031","Driver/Sales Workers","160","170","10","6.3","70","120","0.00","200","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-3032","Heavy and Tractor-Trailer Truck Drivers","1540","2010","470","30.5","730","1290","19.26","2490","40046","Postsecondary non-degree award","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-3033","Light Truck or Delivery Services Drivers","440","500","60","13.6","190","340","22.02","590","45812","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","53-6000","Other Transportation Workers","30","30","0","0.0","10","30","0.00","40","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","53-7000","Material Moving Workers","3820","4640","820","21.5","2060","3730","0.00","6610","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-7032","Excavating and Loading Machine and Dragline Operators","30","30","0","0.0","10","20","0.00","30","0","High school diploma or equivalent","<5 years","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-7051","Industrial Truck and Tractor Operators","640","730","90","14.1","210","560","18.74","860","38968","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-7061","Cleaners of Vehicles and Equipment","470","500","30","6.4","240","470","13.21","740","27479","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-7062","Laborers and Freight, Stock, and Material Movers, Hand","1180","1590","410","34.7","630","1300","13.75","2340","28599","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","53-7064","Packers and Packagers, Hand","1440","1720","280","19.4","940","1330","12.48","2550","25975","No formal educational credential","None","Short-term on-the-job training"
