"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"338","SCANDROOTS COLOMBIA SAS","KM 61 VIA BOGOTA GIRARDOT","SECTOR SERVICIOS","2020","3900","Actividades de saneamiento ambiental y otros servicios de gestión de desechos"
"339","GALINDO MELO MARIA LUZ BENI","CRA 5 A 1 25 NORTE  LA CABAÑA","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"340","CACAIS ANGEL JULI ANDREA","CR 8 7 67","SECTOR SERVICIOS","2016","9602","Peluquería y otros tratamientos de belleza."
"341","MARIN RENDON JOHN ERLEY","KM 49 AUTOPISTA GIRARDOT- BOGOTA","SECTOR INDUSTRIAL","2017","1084","Elaboración de comidas y platos preparados."
"342","FANDIÑO VARGAS LUIS FELIPE","CL 18 B 1 A 24","SECTOR INDUSTRIAL","2019","3110","Fabricación de muebles."
"343","AMADO AVILA JUAN FELIPE","CL 19 39 A 31","SECTOR COMERCIAL","2016","4631","Comercio al por mayor de productos alimenticios."
"344","CHACON MORA ANDRES ENRIQUE","CL 9 3 56","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"345","COMERCIALIZADORA JIREHCOL SAS","CL 19 39 A 31","SECTOR COMERCIAL","2016","4663","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción."
"346","TOSCANO ARDILA MARIA DEL ROSARIO","TV 12  18 83","SECTOR SERVICIOS","2020","4762","Comercio al por menor de artículos deportivos, en establecimientos especializados."
"347","AGROMILENIO SA","CR 35 W  71 37 BOD 59 PROV SOTO BUCARAMANGA","SECTOR COMERCIAL","2020","4664","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario."
"348","TIENDA EL PARCHE","LA AGUADITA","SECTOR COMERCIAL","2012","201","COMERCIAL"
"349","BAR Y FUENTE DE SODA EL TROPEZON","CL 7 A 9 29","SECTOR COMERCIAL","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"350","TRANSPORTE ASOTAXIS","MANZANA E CAS A29 PEKIN","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"351","LEMUS PEREZ JORGE ALBERTO","CL 27 A2 B 26","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"352","PULIDO BELTRAN JESUS ANTONIO","CL 22 49 20","SECTOR SERVICIOS","2017","4520","Mantenimiento y reparación de vehículos automotores."
"353","SERVILAVADO LA 22","CALLE 22 No. 8   07","SECTOR SERVICIOS","2016","9601","Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel."
"354","GARCIA MURCIA ARMANDO","CR 2 CL 19 ALTO FUSACATAN","SECTOR SERVICIOS","2017","9609","Otras actividades de servicios personales n.c.p."
"355","CUPIHELADOS","CARRERA 7 No. 8 80","SECTOR SERVICIOS","2019","5613","Expendio de comidas preparadas en cafeterías."
"356","TALLER LA 4 CON 3","CL 3 5 21","SECTOR SERVICIOS","2014","4520","Mantenimiento y reparación de vehículos automotores."
"357","VENTA DE DULCES Y CIGARRILLOS","CL 9 CR 6 FRENTE A C.C. SUTAGAO","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"358","RESTAURANTE LA TABLA FUSAGASUGUEÑA","CL 7 6 41","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"359","HERNANDEZ VELASQUEZ CESAR AUGUSTO","CR 8  17 36","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"360","SERVICIO ELECTRICO MAGDIESSEL","AV LAS PALMAS 16 82","SECTOR COMERCIAL","2015","45","Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios"
"361","TALLER AMIGOS DE FUSA","AV LAS PALMAS 16 82","SECTOR COMERCIAL","2015","45","Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios"
"362","LA GRAN ESQUINA DE ESTEFANY","CR 71 20 03","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"363","MAYERLYS PELUQUERIA Y CENTRO DE BELLEZA","CR 49 20 19","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"364","FERRETERIA LA CABAÑA DE FUSA","CL 22 36 65","SECTOR COMERCIAL","2015","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"365","EL PORTAL DE LAS PALMAS  UNO","PLAZOLETA  DE  MATAS Y FLORES-PLAZA  DE MERCADO","SECTOR COMERCIAL","2012","201","COMERCIAL"
"366","GONZALEZ DE SUAREZ MARIELA","CARRERA 7 N0. 9 40","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"367","MENESES SOLANO LUZ MARY","CR 11  7 A 19 LC 37","SECTOR COMERCIAL","2017","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"368","BERNAL DE SANABRIA NOHORA","CR 6  7 36  CC ESCORIAL CENTER LC 118","SECTOR COMERCIAL","2020","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"369","GOMEZ DIAZ ORFIDIA","CR 2 D 23 20","SECTOR COMERCIAL","2020","4775","Comercio al por menor de artículos de segunda mano."
"370","NO REPORTADO","CASA  13 MANZ. N PEKIN","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"371","SANTA CRUZ","CALLE 3 NO. 2 95 LA AGUADITA","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"372","CENTRO DEL COLOR SHERWIN","CL 11 7 01","SECTOR COMERCIAL","2015","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"373","CEDIPAL","CR 1 1 57 B  NORTE","SECTOR COMERCIAL","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"374","PLASTICOS Y DESECHABLES YUMIS","PLAZA DE MERCADO LC 167","SECTOR COMERCIAL","2020","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"375","NO REPORTADO","TV 63 21 BIS 06","SECTOR SERVICIOS","2015","49","Transporte terrestre pasajeros"
"376","TIEND A PUERTO PINTO","CR 10 7 10","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"377","CANAL 6","CR 6 5 15 CENTRO","SECTOR COMERCIAL","2019","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"378","BELTRAN CHAVEZ LUZ DARY","AV LAS PALMAS 9-22 LC 117","SECTOR COMERCIAL","2017","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"379","EL PUNTO BAR LICORERA","CL 9 6 44","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"380","VIVERO  JARDINES LA UVITA  II  CHINAUTA","VIA  CHINAUTA  FCA   VILLA  LILIANAA  K.M. 61","SECTOR INDUSTRIAL","2016","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"381","CAICEDO ALVARADO FRANCY YAMILE","CR 6 7 33","SECTOR SERVICIOS","2020","6209","Otras actividades de tecnologías de información y actividades de servicios informáticos"
"382","GREEN TWO SHOES","CR 6 8 49 LC 116","SECTOR COMERCIAL","2020","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"383","NINGUNO REPORTADO","CR 2 8 31","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"384","CLUB FAMILIAR DE MINITEJO EL PALENQUE","CR 12 5 23","SECTOR SERVICIOS","2016","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"385","DEPOSITO DE CERVEZA Y GASEOSA GARCIA","CARRERA 11 No. 8-07","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"386","EXTINTORES EL SUTAGAO","CR 5 6 16","SECTOR INDUSTRIAL","2020","2029","Fabricación de otros productos químicos n.c.p."
"387","BERRIO RODRIGUEZ PEDRO ELIAS","AUTOPISTA SUR KM 56 ESTACION EL INDIO","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"580","ALMACEN NANI´S","CALLE 10 # 6 11","SECTOR COMERCIAL","2012","201","COMERCIAL"
"388","TECNIAUTOS FUSAGASUGA","VDA JORDAN ALTO KM 4 VIA LA AGUADITA","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"389","OSMAR T ALTA PELUQUERIA","CR 8 10 71","SECTOR SERVICIOS","2015","9602","Peluquería y otros tratamientos de belleza."
"390","GUZMAN BARAJAS DANIEL","K.M. 12 2-16","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"391","ZA ZA ZA BAR","AV LAS PALMAS 5 59","SECTOR SERVICIOS","2012","304","SERVICIOS"
"392","RANGERS SPORT FUSA","CR 1 A 24 08 BRR COMUNEROS","SECTOR COMERCIAL","2016","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"393","LEON HERNANDEZ HECTOR ENRIQUE","CL 5 6 33 BARRIO CENTRO","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"394","MORENO ESPITIA EDGAR EDUARDO","CL 2 10 21","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"395","VARELA JOHN DAVID","CL 9 A 2 A 24","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"396","FIDUCIARIA LA PREVISORA S.A","CL 72 10 03 PS 4 BOGOTA","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"397","FIDUCIA PATRIMONIO AUTONOMO LA PREVISORA S.A.","CL 72 10 03 PS 4 BOGOTA","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"398","POICE BOUTIQUE","CR 8  10A  02","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"399","CENTRAL MASYORISTA  PREMIUM",,"SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"400","BUFFALO SEGURIDAD S.A.S.","CRA 7 8-81 PISO 2","SECTOR COMERCIAL","2019","4652","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
"401","TIENDA FERNELLY","CL 21 1A- BIS-22 ESTE","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"402","CEA AUTOVIAL S.A.S.","CR 8  5  49","SECTOR SERVICIOS","2020","8559","Otros tipos de educación n.c.p."
"403","GONZALEZ GONZALEZ MARIA CLAUDIA","CRA 69 20-04","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"404","OLIMPIA IT S.A.S","AV EL DORADO No. 69A-51 T. B PS 2","SECTOR SERVICIOS","2020","6202","Actividades de consultoría informática y actividades de administración de instalaciones informáticas"
"405","GARCIA ALVAREZ ALBA DORIS","CARRERA 12 7-26 LUXEMBURGO","SECTOR SERVICIOS","2020","5613","Expendio de comidas preparadas en cafeterías."
"406","MUEBLES DISEÑARTE","CL 10 4-37","SECTOR INDUSTRIAL","2015","3110","Fabricación de muebles."
"407","YIYE COMUNICACIONES","CRA 9 10-+07","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"408","NOVA DE CUERVO MARIA DOLORES","CARRERA 3 No. 18C 86","SECTOR COMERCIAL","2020","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"409","TIENDA","CR 5 2 05 NORTE  DE LA CABAÑA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"410","TELEFONIA A.H.","CL 9 3 15","SECTOR SERVICIOS","2019","6190","Otras actividades de telecomunicaciones."
"411","GONZALEZ RODRIGUEZ ALBA INES","CR 12 1 36 NORTE","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"412","CENTRO DE COPIADO PAPELERIA UNIVERSITARIA","TV 12 19 22","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"413","CABAÑA JERICO","CR 11 9 07","SECTOR COMERCIAL","2020","4620","Comercio al por mayor de materias primas agropecuarias; animales vivos."
"414","CHAMORRO BELLO GLORIA STELLA","CR 6 8 49 LC 107","SECTOR COMERCIAL","2019","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"415","LABORATORIO DENTAL ORMADENT","CR 10 5 08","SECTOR COMERCIAL","2017","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"416","PARADOR LOS ALERCES","CHINAUTA KM 65","SECTOR COMERCIAL","2016","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"417","CAMPO DE TEJO Y TIENDA EL CONDOR SARDINAS","VDA SARDINAS FCA EL RECUERDO","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"418","NAHKA CALZADO Y ACCESORIOS","CL 10 9 30","SECTOR COMERCIAL","2016","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"419","TRANSPORTE","CL 10 A 7 65","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"420","IBARRA BOHORQUEZ DORIS","CR 8 10 A 14","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"421","CASETA COMESTIBLES","DIAGONAL 16 No. 14 35","SECTOR COMERCIAL","2012","201","COMERCIAL"
"422","ESPITIA SANABRIA ELSA IDALÍ","CALLE 19 NO. 1E 11 B. AMERICAS","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"423","CAMACHO GONZALEZ LEILA YURANI","CL 16 B 13 26","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"424","CALZADO FACCINI","CRA 10 NO. 17A 28","SECTOR INDUSTRIAL","2020","1521","Fabricación de calzado de cuero y piel, con cualquier tipo de suela."
"425","SALA DE BELLEZA GENTE ESTILO`S","CL 7 8 21","SECTOR SERVICIOS","2019","9602","Peluquería y otros tratamientos de belleza."
"426","ELECTRICOS Y ELECTRONICA JUPITER","CR 9 10 A 26","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"427","FUENTE DE SODA LA ESQUINA DEL POTOSI","CR 10 10 A 58","SECTOR SERVICIOS","2017","5613","Expendio de comidas preparadas en cafeterías."
"428","CASTIBLANCO MORENO DIANA PATRICIA","CR 8 6 32","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"429","FLORISTERIA FLOWERS JARDILANDIA","CR 7 5 16","SECTOR COMERCIAL","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"430","FABRICA  YESOS   EL ESCULTOR","CR 6 15 77","SECTOR INDUSTRIAL","2020","2394","Fabricación de cemento, cal y yeso."
"431","SAN BLAS MUSICA COMIDA  Y ALGO MAS","CR 11 20 19","SECTOR SERVICIOS","2013","55","HOTELES, RESTAURANTES, BARES Y SIMILARES"
"432","LIBRERIA NUESTRA  SEÑORA  DE BELEN","CR 6 6 78","SECTOR COMERCIAL","2017","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"433","ENGLISH ZONE","CL 7 7 58 PS 2","SECTOR SERVICIOS","2014","85","Educación. Excepto los códigos CIIU 851 y  852"
"434","CYBERCITY COMUNICACIONES.COM","AV LAS PALMAS 7 37 PISO DOS","SECTOR COMERCIAL","2020","6190","Otras actividades de telecomunicaciones."
"435","MAQUI AGRO FUSA","CR 9 9 19","SECTOR SERVICIOS","2015","3312","Mantenimiento y reparación especializada de maquinaria y equipo."
"436","PANADERIA AMERICANA DE CARLOS JULIO CRUZ","CR 7 5 24","SECTOR INDUSTRIAL","2020","1081","Elaboración de productos de panadería."
"437","NO REPORTADO","CL 17 A 12 16 B. PIEDR A GRANDE","SECTOR SERVICIOS","2013","60","TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
"438","PEREZ RAMIREZ GIIOVANNY ANDRES","KM 68 VIA BOGOTA","SECTOR SERVICIOS","2019","5611","Expendio a la mesa de comidas preparadas."
"439","EXOSTOS Y ACEROS ANGEL","CL 22 39 A 75","SECTOR INDUSTRIAL","2017","2930","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"440","HOTEL EL REFUGIO CENTRAL","CL 22 14 80  CASA  2D","SECTOR SERVICIOS","2017","5511","Alojamiento en hoteles."
"441","BAZAR ACCESORIOS PARA SENTIR","CR 6 7 31 LC121","SECTOR COMERCIAL","2012","201","COMERCIAL"
"442","PELUQUERIA NAYPAO","CALLE ANTURIOS CHINAUTA","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"443","QUINTANA CASTELLANOS ELSA","CR 7 9 40","SECTOR SERVICIOS","2020","8621","Actividades de la práctica médica, sin internación."
"444","VEHICULO DE PLACAS THV 332","CL 25 2 03","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"445","FRUTERIA LA VIÑA","INT. PLAZA DE MERCADO LC 120-121","SECTOR SERVICIOS","2019","5613","Expendio de comidas preparadas en cafeterías."
"446","TRANSPORTE DE PASAGEROS POR CARRETERA","CR 24 2 BIS 49","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"447","MORA RINCON GLORIA INES","CALLE 5 No. 4-46","SECTOR COMERCIAL","2017","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"448","MOLINA DE VELASQUEZ MARIA GUERLY","CARRERA 14 A No. 0 35 norte","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"449","TRANSPORTE","CL 8 2 19","SECTOR SERVICIOS","2015","49","Transporte terrestre pasajeros"
"450","MILLAN DE PUENTES MARIA TERESA","CALLE 22 No. 74 28","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"451","NINGUNO REPORTADO","CL 9 4 37","SECTOR SERVICIOS","2012","301","SERVICIOS"
"452","CASTELLANOS MOYA MARIA JULIA","CR 2 20 61","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"453","RODRIGUEZ DE BARRIOS FABIOLA","CR 7 8 29","SECTOR COMERCIAL","2016","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"454","CASTELLANOS PARRA LUZ MARINA","CR 6 23 10","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"455","HERNANDEZ  MARIA HELENA","PARQUE PRINCIPAL","SECTOR COMERCIAL","2020","4789","Comercio al por menor de otros productos en puestos de venta móviles."
"456","LOCAL CENTRO COMERCIAL UNO A","CALLE 8 No. 9 50 L. 68","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"457","MORENO GUTIERREZ MARIA INES","CL 8 9 50  LC 45","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"458","MARTHA INES BANOY DE RIVERA","CR 3 7 A 33 NORTE","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"459","BAZURTO RAMIREZ AIDA","CRA 8  9 64","SECTOR SERVICIOS","2020","9609","Otras actividades de servicios personales n.c.p."
"460","PARQUEADERO  LA  19 DE FUSAGASUGA","DG 19 6 77","SECTOR SERVICIOS","2020","5221","Actividades de estaciones, vías y servicios complementarios para el transporte terrestre"
"461","VERGARA URREGO GLORIA CECILIA","CL 26 2 B 03","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"462","ESQUINA LA ESMERALDA DE LA OCTAVA","CARRERA 8 No. 4-07","SECTOR COMERCIAL","2012","201","COMERCIAL"
"463","CASAS  MARTHA CECILIA","CL 14 6 47","SECTOR SERVICIOS","2020","5621","Catering para eventos."
"464","VELASQUEZ MUÑOZ LUIS EDUARDO","CR 64 23 A 41","SECTOR ECONÓMICO NO DECLARADO","2020","1081","Elaboración de productos de panadería."
"465","AGUACATES DEL TOLIMA",,"SECTOR COMERCIAL","2015","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"466","ACERO LUZ MARINA","TV 9 1 D 19 B- NUEVAESPERANZA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"467","GARCIA PALACIOS JESUS ANTONIO","CL 23 B 1 46","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"468","INMOBILIARIA LAS QUINTAS","CR 26 2 C N 29","SECTOR SERVICIOS","2020","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"469","FERRETERIA RANGERFLEX","CR 9 10 A 28","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"470","CLUB GALLISTICO ÑANGAS","TV 4 9 A 18","SECTOR SERVICIOS","2013","93","OTRAS ACTIVIDADES DE SERVICIOS"
"471","CARPINTER","CR 14 B 2 11 NORTE","SECTOR INDUSTRIAL","2015","1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
"472","FERRELECTRICOS C.T.N.","CL 10 B 9 22 LC1  FUSA","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"473","PROMOVER SALUD Y VIDA","CR 8 6 49 OF 404","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"474","GUTIERREZ CASTRO JAIRO","MANZANA  N CASA 8 PEKIN","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"475","PARRA GARCIA PEDRO VICENTE","CL 25 37 76","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"476","HOTEL SCALA","CR 8 10 30","SECTOR SERVICIOS","2020","5511","Alojamiento en hoteles."
"477","RAMIREZ PARRA EDUARDO","CR 7 10 69","SECTOR SERVICIOS","2017","9601","Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel."
"478","ELECTRONICA B.P.","CARRERA 1B NO  22 25 STA BARBARA","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"479","TIENDA LA CADENITA","CR 9 10 A 78","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"480","HOTEL CALIPSO","CARRERA 6 No. 4 53","SECTOR SERVICIOS","2020","5511","Alojamiento en hoteles."
"481","NINGUNO REPORTADO","CL 3 N 11 32","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"482","GAONA DE VILLALBA ISIDORA","CL 22 71 24","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"483","TIENDA LA ESPERANZA","CALLE 4 No. 2 72","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"484","OTALORA DE CASTELLANOS MARINA","CUCHARAL ALTO","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"485","DENIS FASHION","TV 12  22 42 LOC 65","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"486","TIENDA LA AVENA FAMOSA","CL 6 9 57","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"487","RESTAURANTE PIQUETEADERO TRISMER","PLAZA DE MERCADO L. 04","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"488","FELIX DE ROJAS MARIA CHIQUINQUIRA","CALLE 8 No. 9 50 L. 29/30","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"489","NOVOA DE MALDONADO ROSA MYRIAM","CL 7 1 31 ESTE PEKIN","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"490","GONZALEZ ORTIZ LEONOR","VEREDA ESPINALITO","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"491","FERRETERIA ELECTRICOS EL LOBO","CR 8 10 A 03","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"492","LOZANO TORRES JORGE HENRY","CALLE 17A No. 11 25","SECTOR INDUSTRIAL","2019","2720","Fabricación de pilas, baterías y acumuladores eléctricos."
"493","panaderia","TRANSVERSAL 13 # 23 33","SECTOR INDUSTRIAL","2012","101","INDUSTRIAL"
"494","PUNTO CRUZ","CR 6 18 18","SECTOR COMERCIAL","2017","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"495","TALLER DE JOYERIA SCHUL´S","CR 6 7 36 LC 107","SECTOR INDUSTRIAL","2016","2432","Fundición de metales no ferrosos."
"496","NINGUNO REPORTADO -AUTOFUSA-","TV 60 52 23 SUR BOGOTA","SECTOR SERVICIOS","2012","302","SERVICIOS"
"497","GABRIEL CASTILLO","CL 23 2 03","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"498","DROGUERIA BALMORAL D E LA 17","CR 6 16 A 85","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"499","GUEVARA PARDO JOSE VICENTE","K.M. 67 VIA A CHINAUTA","SECTOR SERVICIOS","2016","5011","Transporte de pasajeros marítimo y de cabotaje."
"500","MIGUEL ALFONSO GUZMAN MONROY",,"SECTOR SERVICIOS","2017","6820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata."
"501","SANCHEZ CALLEJAS EFRAIN","CL 22 66 A 07","SECTOR COMERCIAL","2016","4520","Mantenimiento y reparación de vehículos automotores."
"502","ESTUPIÑAN LOPEZ JUAN","KM 65 CHINAUTA","SECTOR INDUSTRIAL","2017","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"503","RODRIGUEZ BEJARANO LUZ CELY","CL 22 2 B 29","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
