"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"QUIMIPACIFICO LTDA","TV 4 NO 1-46 PARCELACION INDUSTRIAL LA DOLORES","8150023602","6669492","NO REGISTRA","PALMIRA","VALLE DEL CAUCA","2011-01-24T00:00:00.000","REUNE LAS CONDICIONES SANITARIAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDADA PARA FABRICAR PRODUCTOS DE HIGIENE DOMESTICAEN FORMA LIQUIDA LIMPIAPISOS LIMPIAVIDRIOS DETERGENTE INDUSTRIAL Y BLANQUEADOR"
"QUIMISANDER LIMITADA","KR 17 # 14-65 BARRIO SAN FRANCISCO","804011899-8","6356841","NO REGISTRA","BUCARAMANGA","SANTANDER","2015-11-17T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DE ROPA QUITAMANCHAS AMBIENTADORES PRODUCTOS DE HIGIENE CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"RAM INDUSTRIA QUIMICA S A S","CL 69 A NO 94-68/66","830142718-1","4303012","4303125","BOGOTA DC","CUNDINAMARCA","2004-10-14T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICAR Y ENVASAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA JABONES Y DETERGENTES NO COSMETICOS PRODUCTOS LAVALOZA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y DESMANCHADORES LIMPIAVIDRIOS SHAMPO PARA AUTOS SHAMPOO PARA ALFOMBRAS LUSTRA MUEBLES DESINFECTANTES Y LIMPIADORES"
"RAZON SOCIAL SUCESORES DE JOSE JESUS RESTREPO Y CIA SA Y NOMBRE COMERCIAL CASA LUKER LA JOYA","CL 19 # 66-62","890800718-1","4473700","4141331","BOGOTA DC","CUNDINAMARCA","2019-04-30T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS DETERGENTES PRODUCTOS LAVAVAJILLAS PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISOLIDOS PRODUCTOS LAVAVAJILLAS"
"RECKITT BENCKISER COLOMBIA SA","CL 46 # 5-76","890300684-4","6836100","4462840","CALI","VALLE DEL CAUCA","2019-10-22T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES QUITAMANCHAS LIMPIADORES DE SUPERFICIES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE EN FORMA SOLIDA BLANQUEADORES Y QUITAMANCHAS (POLVO) Y SE AMPLIA SU CAPACIDAD INSTALADA PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES BLANQUEADORES SE INCLUYE UN TANQUE CON CAPACIDAD DE 7400KG"
"RED SMART SERVICES SAS","KILOMETRO 3 PUNTO 5 VIA SIBERIA COSTADO SUR MODULO 5 BODEGA 1","90036467-0","6209252","8415727","COTA","CUNDINAMARCA","2011-03-02T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIENICAS TECNICASLOCATIVAS SANITARIAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION Y ENVASE DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA DESINFECTANTES DE USO DOMESTICO JABONES Y DETERGENTES NO COSMETICOS PRODUCTOS LAVA VAJILLAS Y PULIDORES DE COCINA PRODUCTOS DESMANCHADORES LIMPIADORES BLANQUEADORES AMBIENTADORES SHAMPOO PARA ALFOMBRAS SHAMPOO PARA AUTOS PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DE ROPA SUAVIZANTES PARA ROPA PRODUCTOS LAVA LOZA Y PRODUCTOS PARA EL LAVADO DE LOZA"
"RELUCIR ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE SEPULVEDA CORTES MARIA STELLA","CARRERA 58 # 35 A 21","43427819-5","3188536221 3164176458","NO REGISTRA","BELLO","ANTIOQUIA","2020-10-06T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"REPRESENTACIONES D JESCA SAS","CARRERA 66 NO. 12 - 16","900917512 - 0","4673690","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-12-02T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, AMBIENTADORES, LIMPIADORES DE SUPERFICIES Y EN FORMA SÓLIDA: PRODUCTOS LAVAVAJILLAS, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES."
"REPRESENTACIONES D JESCA SAS","KR 15 C # 18-77 BARRIO VILLA LUZ","900917512-0","3138321329","NO REGISTRA","SOACHA","CUNDINAMARCA","2016-01-21T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"REPRESENTACIONES UNIDAS DEL CARIBE LTDA","AMBERES SEGUNDO CLJON NO 27-74","8904048619","6744210","NO REGISTRA","CARTAGENA","BOLIVAR","2006-11-29T00:00:00.000","FABRICACION Y ENVASE DE PRODUCTOS DE ASEO Y LIMPIEZA DE USO DOMESTICO EXCLUSIVAMENTE LIMPIADORES SODA CAUSTICA"
"REY ALARCON MAURICIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO IMPRONOVA","CRA 97 #19-69","1107051602-1","4042883-4049496","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2014-10-08T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE ASEO EN FORMA DE LIQUIDOS JABONES Y DETERGENTE PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"ROSA HELENA FLOREZ FLOREZ","TV 5 J # 48 C -29","51650125-6","3133770347","5679632","BOGOTA DC","CUNDINAMARCA","2012-02-21T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA DE FABRICACION DE PRODUCTOS DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA BLANQUEADORES QUITAMANCHA PRODUCTOS DE HIGIENEN DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES EN FORMA LIQUIDA"
"SANCHEZ CAMACHO DIANA CAROLINA PROPIETARIA DEL ESTABLECIMIENTO INDUSTRIAS DICASA","VEREDA JUDA FINCA EL OCASO SALIDA SUAITA VADO REAL","1103712712-6","3125373640","NO REGISTRA","SUAITA VADO REAL","SANTANDER","2016-10-26T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"SANMIGUELAGRO SOLUCIONES INTEGRALES S.A.S.","CARRERA 59 NO. 28 - 69 BARRIO TRINIDAD","900697093-0","4083613   3006135117","NO REGISTRA","MEDELLIN","ANTIOQUIA","2021-05-20T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, BLANQUEADORES Y QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES"
"SANNOX DE COLOMBIA S.A.S","CALLE 30A NO. 11B- 08","901359625-3","3178539056 - 3167438049","NO REGISTRA","CALI","VALLE DEL CAUCA","2020-09-22T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMAS LIQUIDAS: JABONES Y DETERGENTES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES; Y SOLIDAS: LAVALOZA Y PULIDORES DE COCINA, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES"
"SAVANAH PRODUCTOS S.A.S","CALLE 29 # 57-30 INTERIOR 202","901516170-8","3148967551   3148967144   3148966675","NO REGISTRA","MEDELLIN","ANTIOQUIA","2020-03-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES PRODUCTOS PARA EL PRELAVADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"SCALPI COSMETICA SA","ZONA FRANCA PERMANENTE INTEXMODA/INTEXZONA KM 1 VI SIBERIA- FUNZA BODEGA 21 A B C","900225474-9","8233971/72/73","NO REGISTRA","COTA","CUNDINAMARCA","2015-05-22T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS, LOCATIVAS, HIGIENICAS, SANITARIAS, DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION, ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLA Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, SEMISOLIDOS (BAJA Y MEDIA VISCOCIDAD): JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLA Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, AEROSOL: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA."
"SELLO GLOBAL S.A.S.","KR 48A # 67 SUR -15","901087786 - 2","3537758","6046535 EXT 120","SABANETA","ANTIOQUIA","2015-07-02T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"SELLO GLOBAL S.A.S.","CARRERA 43ª NO 61 SUR – 152 BODEGA 137","901087786 - 2","316 4350775","NO REGISTRA","SABANETA","ANTIOQUIA","2020-06-26T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO DE ROPA QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"SELLO GLOBAL S.A.S.","CR 48B NO 99 SUR 59 BG 24 UNIDAD SAN BARTOLOME","901087786-2","3164350775     3167429999","NO REGISTRA","LA ESTRELLA","ANTIOQUIA","2021-09-07T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES; SEMISOLIDOS: SUAVIZANTES Y SOLIDOS: AMBIENTADORES (VELAS)"
"SERVICIO DE ASEO INDUSRIAL LTDA - SEASIN LTDA","KR 76 NO 76-09","800057657-6","4303361","4342230","BOGOTA DC","CUNDINAMARCA","2012-06-11T00:00:00.000","FABRICAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA TALES COMO LIMPIADORES AMBIENTADORES BLANQUEADORES DESMANCHADORES Y SUAVIZANTES PARA ROPA"
"SERVIPACKING LTDA","KM 1.5 VIA FUNZA SIBERIA PARQUE INDUSTRIAL SAN DIEGO BODEGA 6G","832010919-4","6315468   6357328   3112261253","NO REGISTRA","FUNZA","CUNDINAMARCA","2021-06-01T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMÉSTICA Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL EN TODAS SUS FORMAS FÍSICAS PARA LAS SIGUIENTES ACTIVIDADES: CODIFICADO, ETIQUETADO, DESETIQUETADO, ESTUCHADO, DESESTUCHADO, TERMOSELLADO, TERMOENCOGIDO, ACONDICIONAMIENTO DE EMPAQUE TERCIARIO, COLOCACIÓN DE: INSERTO, STICKER,"
"SERVIPACKING LTDA","KILOMETRO 1,5 VIA FUNZA SIBERIA BG 5 E ( PARQUE INSUTRIAL SAN DIEGO )","832010919-4","6315468   6357328   3112261253","NO REGISTRA","FUNZA","CUNDINAMARCA","2021-08-23T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO, EN LAS ACTIVIDADES DE ETIQUETADO Y DESETIQUETADO, ESTUCHADO Y DESESTUCHADO, ELABORACIÓN Y COLOCACIÓN DE STICKER INSERTOS, CAMBIO O ACONDICIONAMIENTO DE EMPAQUE TERCIARIO, ELABORACIÓN DE OFERTAS, MARCACIÓN EN INKJET (CODIFICADO Y LOTEADO) EMBOLSADO, TERMOSELLADO Y TERMOENCOGIDO DE PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL (TOALLAS HIGIÉNICAS, PAÑALES DESECHABLES, TAMPONES, PROTECTORES DE FLUJOS ÍNTIMOS Y PAÑITOS HÚMEDOS) Y PRODUCTOS DE HIGIENE DOMESTICA (JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES) DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES."
"SIMONIZ SA","CARRERA 127 NO 15 B - 60,50 Y 55 INTERIOR 2 BODEGAS 1,2, 3 Y 4 ; INTERIOR 4 BODEGAS 1,2,3,4 Y 5","800203984-6","4220610-4220616","4132663","BOGOTA DC","CUNDINAMARCA","2008-04-22T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LIQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES. EN FORMA SEMISÓLIDA: LIMPIADORES DE SUPERFICIES, AMBIENTADORES Y PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA. EN FORMA SÓLIDA: LIMPIADORES DE SUPERFICIES. EN AEROSOL: LIMPIADORES DE SUPERFICIES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y AMBIENTADORES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES."
"SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A., SIGLA SPRB S.A.","CALLE 1A CARRERA 38 TERMINAL MARÍTIMO ORILLA DEL RÍO MAGDALENA","800186891-6","3716231 / 3156360845","NO REGISTRA","BARRANQUILLA","ATLANTICO","2021-02-02T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO EN LAS ACTIVIDADES DE: ETIQUETADO PARA PRODUCTOS DE HIGIENE DOMÉSTICA EN TODAS SUS FORMAS."
"SOLAR FIRE S A S","KR 45 A # 67 B - 109","901075939-0","3023716599 - 3748132","NO REGISTRA","ITAGUI","ANTIOQUIA","2018-12-13T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y SEMISOLIDOS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE"
"SOLCHEMICAL SAS","CARRERA 30 # 39 - 20 SUR","900304986-7","3007441466","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2019-08-05T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS DETERGENTE PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRELAVADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"SOLOASEO DISTRIBUCIONES S A S","KR 26 C # 35 C -51 SUR","900591334-4","3004913","5612026","BOGOTA DC","CUNDINAMARCA","2015-10-01T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES SUAVIZANTES Y PRODUCTOS DE PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"SOLUCIONES CLEAN COLOMBIA SAS","CARRERA 33 22 71-73","901244133-7","3155546475","NO REGISTRA","VILLAVICENCIO","META","2021-06-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES"
"SOLUCIONES ECOAMIGABLES S.A.S.","AVENIDA SANTANDER # 2 E -73","901061266-1","3106180390   3166021182   3317111","NO REGISTRA","PEREIRA","RISARALDA","2017-05-31T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"SOLUCIONES INDUSTRIALES MONTERREY SAS","CARRERA 73A # 66-72","901000847-1","3187956099-3099405","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-10-21T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES"
