"nombre_establecimiento","tipo_de_establecimiento","tipo_de_productos_que","direccion","barrio","telefono","correo_electronico","municipo","fecha_ltima_visita_ivc","concepto"
"SUPER DROGAS LA MATA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 3 # 1-30","LA MATA","NT","NT","LA MATA","28/08/2012","N/A"
"DROGUERIA KEREN","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 6-23","ROBLES","NT","isaid0511@hotmail.com","LA PAZ","15/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MARINO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 5A-25 Lc 1 y 2","CENTRO","5770986","isaid0511@hotmail.com","LA PAZ","13/08/2019","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN FRANCISCO CM","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 5- 232","LAS DELICIAS","3126342148","drogueriasanfrancisco@gmail.com","LA PAZ","13/08/2019","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN MARTIN. ZA S.A.S","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","Calle 6 # 9-08","LAS FLORES","3145712984","kattyardila@hotmail.com","LA PAZ","14/08/2019","DESFAVORABLE"
"LA ECONOMIA DROGUERIA MINI MARKET No. 472","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 6-08","CENTRO","NT","economia472@drogaslaeconomia.com","LA PAZ","15/06/2017","FAVORABLE"
"LA REBAJA DROGUERIA No. 1 LA PAZ","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 6-112","CENTRO","NT","rebaja_1_la_paz@copservir.com","LA PAZ","15/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA EL PESO MENOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 2 # 5-85","CENTRO","NT","NT","MANAURE","29/09/2017","DESFAVORABLE"
"DROGUERIA TRIPLE A","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 2F # 6-40","CENTRO","NT","adri_melo05@hotmail.com","MANAURE","12/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y VARIEDADES MULTICENTRO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 5-90","CENTRO","NT","cacharreriamana@hotmail.com, inversionesalpachsas@gmail.com","MANAURE","12/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LA GRAN BENDICION","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 6-06","MARIANGOLA","NT","rubielachinchilla@hotmail.com","MARIANGOLA","25/09/2017","DESFAVORABLE"
"DROGUERIA SAN JOSE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL5 # 4-42","MARIANGOLA","NT","marleneplatatapias@yahoo.es","MARIANGOLA","15/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FUENTE DE VIDA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 7-25","MEDIA LUNA","NT","NT","MEDIA LUNA","03/12/2012","N/A"
"DROGUERIA KEILA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 3-56","MEDIA LUNA","5799027","jerroperovera77@hotmail.com","MEDIA LUNA","13/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LAUDYS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 CRA 3A ESQ","MEDIA LUNA","5798308 / 3157152185","ramiaren@gmail.com","MEDIA LUNA","13/09/2017","DESFAVORABLE"
"DROGAS CABRERA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 5-108","CENTRO","NT","cristiancam777@gmail.com","PAILITAS","01/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMAPAI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6 # 5-58 Loc 2","CENTRO","NT","rojasjuanp33@hotmail.com, martha@hotmail.com","PAILITAS","01/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MI SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 6-75","CENTRO","NT","NT","PAILITAS","01/08/2017","DESFAVORABLE"
"DROGUERIA PAILITAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6 # 6-04","CENTRO","NT","jograri14@hotmail.com","PAILITAS","01/08/2017","DESFAVORABLE"
"DROGUERIA SAICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 6-03","CENTRO","NT","NT","PAILITAS","01/08/2017","DESFAVORABLE"
"DROGUERIA Y VARIEDADES FELIPE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 6-79 CASA 1","CENTRO","NT","piconreyes22@hotmail.com","PAILITAS","01/08/2017","FAVORABLE"
"LA ECONOMIA DROGUERIA MINI MARKET No. 5007 (antes LIDER 7)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 6-53","CENTRO","NT","recepcionvp@eticos.com","PAILITAS","04/05/2018","FAVORABLE"
"SUPER DROGUERIA KANIED","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","TRANS 6 # 7-07","CENTRO","NT","nevisguette@gmail.com","PAILITAS","04/052108","FAVORABLE"
"SUPER DROGUERIA NICOL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 5A-53","CENTRO","NT","eflorez15@hotmail.com","PAILITAS","04/05/2018","FAVORABLE"
"SUPERDROGUERIA KANIED","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","TRANSVERSAL 6  N° 7- 07","CENTRO","NT","nevisguette@gmail.com","PAILITAS","01/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PALESTINA LA NUEVA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3C # 2-35","PALESTINA","NT","silfamy@gmail.com","PALESTINA","03/08/2015","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FAMILIAR GENESIS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 7 # 10-34","JARDIN CENTRAL","NT","jotanacional2010@gmail.com","PELAYA","17/08/2017","DESFAVORABLE"
"DROGUERIA KIRIOSS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9 # 5-64","JARDIN CENTRAL","NT","mapas-917@hotmail.com","PELAYA","16/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MARLI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 # 10-70","SAN BERNARDO","NT","NT","PELAYA","16/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PELAYA LA SUPERBARATA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 # 10-105","SAN BERNARDO","NT","algued@hotmail.com","PELAYA","16/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA TORCOROMA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 10 # 7A-110","LAS DELICIAS","NT","gustavitopaez30@hotmail.com","PELAYA","15/09/2014","DESFAVORABLE"
"DROGUERIA VALERY SOFIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 # 8-04","ALFONSO LOPEZ","NT","wilsonrivera45@hotmail.com, drogueriavaleisofia@hotmail.com","PELAYA","16/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA PAGUE MENOS PELAYA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 8 # 8-73","CENTRO","NT","zahenzapardiel@hotmail.com","PELAYA","05/05/2016","FAVORABLE CON REQUERIMIENTOS"
"LA ECONOMIA DROGUERIA MINIMARKET No. 5005","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 # 7A-131","CENTRO","NT","recepcionvp@eticos.com","PELAYA","16/08/2017","FAVORABLE"
"SUPER DROGAS PARRA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 # 9-51","CENTRO","NT","jhonny733@hotmail.com","PELAYA","16/08/2017","FAVORABLE"
"DROGAS SIERRA NEVADA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9 # 4-91","CENTRO","NT","fernanalberto.93@gmail.com","PUEBLO BELLO","14/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA KARWA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9 # 5-38","CENTRO","NT","drogueriakarwa@hotmail.com","PUEBLO BELLO","14/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA NUTRIFARMA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 9 # 4-29","CENTRO","NT","harrisonmejia71@gmail.com","PUEBLO BELLO","14/09/2017","DESFAVORABLE"
"DROGUERIA OLIMPICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 8-71","CLL CENTRAL","NT","miriamgelvisrojas@hotmail.com","PUEBLO BELLO","04/08/2015","DESFAVORABLE"
"DROGUERIA PHARMA SALUD No. 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 12 CR 5-120","RINCON HONDO","NT","ivan940329@hotmail.com","RINCON HONDO","18/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SHIRLAU","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6 CLL 7-5 CLL CENTRAL","RINCON HONDO","NT","ingeniero718@gmail.com","RINCON HONDO","18/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MEDICA PROFESIONAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 1C # 2-03","PARQUE PRINCIPAL","NT","anarosaza28@gmail.com","RIO DE ORO","05/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PAGUE MENOS RIO DE ORO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 5 # 0-120","VIA PRINCIPAL","NT","luxuryadalid@hotmail.com","RIO DE ORO","05/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA SU SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","KDX J9-320","AV ARAUJO COTES","NT","car-san24@hotmail.com","RIO DE ORO","06/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAMIR QUINTERO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 15 # 8- 16","PARQUE PRINCIPAL","NT","solimanzano@hotmail.com","SAN MARTIN","06/09/2017","FAVORABLE CON REQUERIMIENTOS"
"CAJA SANTANDEREANA DE SUBSIDIO FAMILIAR CAJASAN MINIMARKET","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 4-54","CENTRO","NT","supermercado.sanalberto@cajasan.com","SAN ALBERTO","12/10/2017","FAVORABLE CON REQUERIMIENTOS"
"COMERCIALIZADORA Y DROGUERIA OLIMPICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 2-26","CENTRO","NT","lucho.ee@hotmail.com","SAN ALBERTO","10/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA ALEMANA No. 31","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 2 # 3-49","CENTRO","NT","alemana31@unidrogas.net.co, asistentecontable@unidrogas.com.co","SAN ALBERTO","11/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA CALIZ","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 2 # 11-119","CENTRO","NT","jorgeemirocarreño@hotmail.com","SAN ALBERTO","12/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COSMESALUD S.A.S","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 3 # 3-80","CENTRO","NT","hernandocardenas03@hotmail.com","SAN ALBERTO","09/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA EL VELEÑO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 2 # 4-04","VILLA FANNY","NT","vilmarmoncadapinzon3@gmail.com","SAN ALBERTO","13/10/2017","DESFAVORABLE"
"DROGUERIA FARMA PRECIO MEDICLUB","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 3-23","CENTRO","NT","jdjm26sep@hotmail.com","SAN ALBERTO","09/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LA ECONOMIA N° 8007","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 2 # 2-73","CENTRO","NT","recepcionvp@eticos.com","SAN ALBERTO","27/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA NUESTRA SEÑORA DE TORCOROMA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 4-195","VIA LA PALMA","NT","astridmolinaperez@hotmail.com","SAN ALBERTO","09/10/2017","FAVORABLE"
"DROGUERIA PAGUE MENOS HOSPITAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6B # 1D- 39","VILLA FANY","NT","jdjm_26sep@hotmail.com","SAN ALBERTO","10/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PAGUE MENOS MEDICLUB (antes ZAGY)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 2-18","CENTRO","NT","n-j-f-d@hotmail.com","SAN ALBERTO","10/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA RIOFARMA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 4-337","VIA LA PALMA","NT","clara.paola.giraldo@hotmail.com","SAN ALBERTO","09/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA HL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 4-38","CENTRO","NT","albeiro-12341@hotmail.com","SAN ALBERTO","11/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA PANAMERICANA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 2 # 2-37","CENTRO","NT","dropanameric@hotmail.com, mantillaramiro@gmail.es","SAN ALBERTO","12/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA PAULA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 3-57","VILLA PRADO","NT","drogueriapaula2@hotmail.com","SAN ALBERTO","09/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA PAULA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 2C # 6B-05","VILLA FANNY","NT","marly306@hotmail.com","SAN ALBERTO","10/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y SUPERMERCADO BERAKA - UNION","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 4 # 2-58","CENTRO","NT","ecortesduran@hotmail.com","SAN ALBERTO","13/10/2017","DESFAVORABLE"
"DROGUERIA Y VARIEDADES DOÑA LAURA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 4-69","CENTRO","NT","drogueriayvariedadeslaura@hotmail.com","SAN ALBERTO","09/10/2017","FAVORABLE CON REQUERIMIENTOS"
"LA ECONOMIA DROGUERIA MINIMARKET No.657","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 3 # 2-113","CENTRO","NT","recepcionvp@eticos.com","SAN ALBERTO","10/10/2017","FAVORABLE"
"DROGUERIA EMANUEL SD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 8A-75","CENTRO","NT","marines_riva@hotmail.com","SAN DIEGO","13/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN DIEGO EGP","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 10-12 202","CENTRO","NT","edilbertogonzalez@hotmail.com","SAN DIEGO","13/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN RAFAEL ARCANGEL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 4 #7-50","CHIPANA","NT","diego_el_gody@hotmail.com","SAN DIEGO","13/06/2017","DESFAVORABLE"
"DROGUERIA SAN ROQUE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 4 CRA 9 # 3-90","CENTRO","NT","diego_el_gody@hotmail.com","SAN DIEGO","14/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA VEINTIUNO DE ENERO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 2 E # 13A-09","21 DE ENERO","NT","virinamontenegro@hotmail.com","SAN DIEGO","NUEVO","N/A"
"LA DROGUERIA MAXI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 # 3-53","CENTRO","NT","yuriska21@hotmail.com","SAN DIEGO","12/06/2016","DESFAVORABLE"
"DROGAS SAN JOSE DE ORIENTE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 5-22","SAN JOSE DE ORIENTE","NT","armelia.quintero@hotmail.com","SAN JOSE DE ORIENTE","19/09/2011","N/A"
"DROGUERIA ASIS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 3-28","SAN CAYETANO","3114348978 / 3016331195","distribuidoresasis@gmail.com","SAN JOSE DE ORIENTE","14/09/2011","N/A"
"DROGUERIA SAN JOSE E.C.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 5-39","SAN JOSE DE ORIENTE","NT","nohemiduarteto@hotmail.com","SAN JOSE DE ORIENTE","14/09/2011","N/A"
"DROGAS HEROZ MAX (antes  ZULIMAX)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 7 # 16-45","CENTRO","NT","NT","SAN MARTIN","13/08/2013","N/A"
"DROGUERIA SERVIC'D","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 14-12","CENTRO","NT","luisk0228@hotmail.com","SAN MARTIN","05/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA TRINIDAD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 7 # 15-01","CENTRO","NT","salvadorarteagarueda@hotmail.com","SAN MARTIN","05/09/2017","FAVORABLE"
"DROGUERIA TRINIDAD # 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 # 20F-52","LA CUMBRE","3153097190","salvadorarteagarueda@hotmail.com","SAN MARTIN","05/09/2017","FAVORABLE"
"DROGUERIA Y PAPELERIA LA OCTAVA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 # 15-41","CENTRO","NT","marcus.1531@hotmail.com","SAN MARTIN","06/09/2017","DESFAVORABLE"
"FARMACIA Y PERFUMERIA LEON","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 17 # 7-95","CENTRO","NT","NT","SAN MARTIN","13/08/2013","N/A"
"DROGUERIA EL BUEN PASTOR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 4-68","CENTRO","NT","NT","TAMALAMEQUE","05/04/2014","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMAMEQUE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 6-24","CENTRO","NT","aquimin.44@hotmail.com","TAMALAMEQUE","02/05/2018","FAVORABLE"
"LA ECONOMIA DROGUERIA MINI MARKET No. 5008 (antes LIDER 8)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 5-73","CENTRO","NT","recepcionvp@eticos.com","TAMALAMEQUE","03/05/2018","FAVORABLE"
"BELLA PIEL SAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CENTRO COMERCIAL GUATAPURI PLAZA LOCAL 119","CAMPANOS","NT","bellapiel.carlos@gmail.com","VALLEDUPAR","08/02/2018","FAVORABLE"
"DERMIS TIENDA DE LA PIEL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 14 # 14-51","ALFONSO LOPEZ","NT","alvarocordobam@hotmail.com","VALLEDUPAR","24/05/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COLOMBIA ATH","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 17A # 24A-114","FUNDADORES","310537174 / 5871050","andresmunives@hotmail.com","VALLEDUPAR","18/06/2019","FAVORABLE"
"DROGAS CONDOR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 18 Bis1 # 36-05","LA VICTORIA","NT","jahinepp@hotmail.com","VALLEDUPAR","01/12/2017","FAVORABLE CON REQUERIMIENTO"
"DROGAS JORDAMA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 18 BIS # 30A-189 Local 1","MANANTIAL","NT","aliirojuliom@yahoo.es, raulmada@hotmail.com","VALLEDUPAR","18/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA BOTICA 5 DE NOVIEMBRE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 20BIS # 4H-111","5 DE NOVIEMBRE","NT","alfaresgerencia@gmail.com","VALLEDUPAR","22/05/2017","DESFAVORABLE"
"DROGAS LA BOTICA CLINICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 16 # 15-69","ALFONSO LOPEZ","NT","alfaresgerencia@gmail.com","VALLEDUPAR","23/09/2013","N/A"
"DROGAS LA BOTICA DOCE DE OCTUBRE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL  25A # 15-59","12 DE OCTUBRE","NT","alfaresgerencia@gmail.com","VALLEDUPAR","17/05/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA BOTICA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 16 # 18-134","SAN VICENTE","NT","alfaresgerencia@gmail.com","VALLEDUPAR","23/09/2013","N/A"
