"geographic_area","geographic_name","gender","age","ethnicity","year","time_period","time_period_dates","hiv_incidence_rate","hiv_incidence_rate_description","newly_diagnosed_hiv_count","newly_diagnosed_hiv_count_1","population_estimate","population_estimate_1","population_estimate_notes","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","longitude","geocoded_column"
"County","Beaver","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","4","4","42","7","40.68349246","-80.35107356","POINT (-80.35107356 40.68349246)"
"County","Westmoreland","All","All (0 to 99 years)","All","2016","2016 Q4","10/1/2016-12/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","65","65","42","129","40.310315","-79.47134118","POINT (-79.47134118 40.310315)"
"County","Cumberland","All","All (0 to 99 years)","All","2018","2018 Annual","1/1/2018-12/31/2018","0.4","Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses","247433","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","21","21","42","41","40.16759839","-77.26866271","POINT (-77.26866271 40.16759839)"
"State","Commonwealth","All","40 to 44 years","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","11","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","50 to 54 years","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Forest","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","27","27","42","53","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"County","Lancaster","All","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","37.8","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","3","New HIV diagnoses among individuals using injection drugs","7936","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","36","36","42","71","40.04590796","-76.25138768","POINT (-76.25138768 40.04590796)"
"County","Mifflin","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","44","44","42","87","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Mifflin","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","44","44","42","87","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Elk","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","24","24","42","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Mercer","All","All (0 to 99 years)","All","2017","2017 Annual","1/1/2017-12/31/2017","42.32","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs","2363","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","43","43","42","85","41.30237777","-80.26009411","POINT (-80.26009411 41.30237777)"
"County","Tioga","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","59","59","42","117","41.77333834","-77.25788076","POINT (-77.25788076 41.77333834)"
"State","Commonwealth","All","All (0 to 99 years)","Hispanic","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","39","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Butler","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","10","10","42","19","40.91083185","-79.91711779","POINT (-79.91711779 40.91083185)"
"County","Northumberland","All","All (0 to 99 years)","All","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","49","49","42","97","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Columbia","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","19","19","42","37","41.04912086","-76.4100218","POINT (-76.4100218 41.04912086)"
"State","Commonwealth","All","35 to 39 years","All","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","132","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Montour","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","47","47","42","93","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"County","Juniata","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","34","34","42","67","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Armstrong","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","3","3","42","5","40.81509526","-79.47316899","POINT (-79.47316899 40.81509526)"
"County","Elk","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","24","24","42","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Northumberland","All","All (0 to 99 years)","All","2017","2017 Annual","1/1/2017-12/31/2017","5.37","Rate of new HIV diagnoses per 100,000 individuals","5","New HIV diagnoses","93038","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","49","49","42","97","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Snyder","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Snyder","All","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","4.97","Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses","40246","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Berks","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","8","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","6","6","42","11","40.41939635","-75.93077327","POINT (-75.93077327 40.41939635)"
"County","Bucks","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","12","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","9","9","42","17","40.33501133","-75.11291241","POINT (-75.11291241 40.33501133)"
"County","Blair","All","All (0 to 99 years)","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","7","7","42","13","40.48555024","-78.34907687","POINT (-78.34907687 40.48555024)"
"County","Union","All","All (0 to 99 years)","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","60","60","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Venango","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","61","61","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"State","Commonwealth","All","All (0 to 99 years)","Black/African American (non-Hispanic)","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","133","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Cameron","All","All (0 to 99 years)","All","2016","2016 Q4","10/1/2016-12/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","12","12","42","23","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Montour","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","47","47","42","93","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"County","Dauphin","All","All (0 to 99 years)","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","22","22","42","43","40.41974636","-76.77960568","POINT (-76.77960568 40.41974636)"
"County","Centre","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","14","14","42","27","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Erie","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","25","25","42","49","41.99413787","-80.0407591","POINT (-80.0407591 41.99413787)"
"County","Tioga","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","59","59","42","117","41.77333834","-77.25788076","POINT (-77.25788076 41.77333834)"
"County","Wayne","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","64","64","42","127","41.64969805","-75.3051535","POINT (-75.3051535 41.64969805)"
"State","Commonwealth","All","All (0 to 99 years)","Multiple race","2019","2019 Annual","1/1/2019-12/31/2019","8.16","Rate of new HIV diagnoses per 100,000 individuals","20","New HIV diagnoses","245139","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Centre","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","14","14","42","27","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"State","Commonwealth","All","50 to 54 years","All","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","63","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Cambria","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","11","11","42","21","40.49127491","-78.71894174","POINT (-78.71894174 40.49127491)"
"County","Greene","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","30","30","42","59","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Philadelphia","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","114","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","51","51","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"County","Lackawanna","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","35","35","42","69","41.43910064","-75.61218345","POINT (-75.61218345 41.43910064)"
"State","Commonwealth","All","45 to 49 years","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","13","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","All (0 to 99 years)","Asian/Pacific","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Bradford","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","8","8","42","15","41.79117814","-76.51825624","POINT (-76.51825624 41.79117814)"
"County","Pike","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Erie","All","All (0 to 99 years)","All","2016","2016 Q4","10/1/2016-12/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","4","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","25","25","42","49","41.99413787","-80.0407591","POINT (-80.0407591 41.99413787)"
"County","Butler","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","10","10","42","19","40.91083185","-79.91711779","POINT (-79.91711779 40.91083185)"
"State","Commonwealth","All","All (0 to 99 years)","White (non-Hispanic)","2020","2020 Annual","1/1/2020-12/31/2020","2.51","Rate of new HIV diagnoses per 100,000 individuals","243","New HIV diagnoses","9685118","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Fayette","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","26","26","42","51","39.9194478","-79.65189635","POINT (-79.65189635 39.9194478)"
"County","Somerset","All","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","56","56","42","111","39.97146299","-79.03100206","POINT (-79.03100206 39.97146299)"
"State","Commonwealth","All","0 to 11 years","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","40 to 44 years","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","12 to 19 years","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","13","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","All (0 to 99 years)","Asian/Pacific","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Mifflin","All","All (0 to 99 years)","All","2016","2016 Q4","10/1/2016-12/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","44","44","42","87","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Blair","All","All (0 to 99 years)","All","2019","2019 Annual","1/1/2019-12/31/2019","0","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs","1959","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","7","7","42","13","40.48555024","-78.34907687","POINT (-78.34907687 40.48555024)"
"County","Bedford","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","5","5","42","9","40.00737536","-78.49116474","POINT (-78.49116474 40.00737536)"
"County","Huntingdon","All","All (0 to 99 years)","All","2017","2017 Q2","4/1/2017-6/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","31","31","42","61","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"County","Susquehanna","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","58","58","42","115","41.8205686","-75.80250303","POINT (-75.80250303 41.8205686)"
"County","Beaver","All","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","12.84","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs","7788","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","4","4","42","7","40.68349246","-80.35107356","POINT (-80.35107356 40.68349246)"
"County","Union","All","All (0 to 99 years)","All","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","60","60","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"State","Commonwealth","All","0 to 11 years","All","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Snyder","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Northumberland","All","All (0 to 99 years)","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","49","49","42","97","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Sullivan","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","57","57","42","113","41.4480994","-76.5147922","POINT (-76.5147922 41.4480994)"
"County","Northumberland","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","49","49","42","97","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Butler","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","10","10","42","19","40.91083185","-79.91711779","POINT (-79.91711779 40.91083185)"
"County","Westmoreland","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","65","65","42","129","40.310315","-79.47134118","POINT (-79.47134118 40.310315)"
"State","Commonwealth","All","45 to 49 years","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","35 to 39 years","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","7","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Schuylkill","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","4.23","Rate of new HIV diagnoses per 100,000 individuals","6","New HIV diagnoses","141935","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","54","54","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
