"institution","institution_type","county","fiscal_year","date","corrections_population","location_1"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2019-2020","2019-11-30T00:00:00.000","1119","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2019-2020","2019-10-31T00:00:00.000","199","N/A
N/A, N/A N/A"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2019-2020","2019-10-31T00:00:00.000","2460","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2019-2020","2019-11-30T00:00:00.000","1413","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2019-2020","2019-11-30T00:00:00.000","2928","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2019-2020","2019-10-31T00:00:00.000","2033","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"In County Jails","County Jails","N/A","FY 2019-2020","2019-12-31T00:00:00.000","0","N/A
N/A, N/A N/A"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2019-2020","2019-11-30T00:00:00.000","199","N/A
N/A, N/A N/A"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2019-2020","2019-10-31T00:00:00.000","2045","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2019-2020","2019-11-30T00:00:00.000","1391","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2019-2020","2019-11-30T00:00:00.000","2256","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2019-2020","2019-11-30T00:00:00.000","1192","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2019-2020","2019-10-31T00:00:00.000","1396","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2019-2020","2019-10-31T00:00:00.000","2337","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2019-2020","2019-12-31T00:00:00.000","2016","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2019-2020","2019-11-30T00:00:00.000","154","N/A
N/A, N/A N/A"
"Forest (FRS)","State Correctional Institution","Forest","FY 2019-2020","2019-10-31T00:00:00.000","2152","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Phoenix (PHX)","State Correctional Institution","Montgomery","FY 2019-2020","2019-11-30T00:00:00.000","2906","1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2019-2020","2019-10-31T00:00:00.000","1990","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2019-2020","2019-12-31T00:00:00.000","1500","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2019-2020","2019-11-30T00:00:00.000","2174","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2019-2020","2019-11-30T00:00:00.000","1383","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2019-2020","2019-12-31T00:00:00.000","1386","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2019-2020","2019-11-30T00:00:00.000","996","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2019-2020","2019-10-31T00:00:00.000","1231","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2019-2020","2019-11-30T00:00:00.000","2017","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2019-2020","2019-10-31T00:00:00.000","2327","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2019-2020","2019-10-31T00:00:00.000","1007","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Phoenix (PHX)","State Correctional Institution","Montgomery","FY 2019-2020","2019-10-31T00:00:00.000","2954","1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2019-2020","2019-11-30T00:00:00.000","2328","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2019-2020","2019-10-31T00:00:00.000","982","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"In County Jails","County Jails","N/A","FY 2016-2017","2017-01-31T00:00:00.000","470","N/A
N/A, N/A N/A"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2016-04-30T00:00:00.000","81","N/A
N/A, N/A N/A"
"In Federal Prisons","Federal Prisons","N/A","FY 2016-2017","2017-05-31T00:00:00.000","8","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2017-2018","2018-02-28T00:00:00.000","371","N/A
N/A, N/A N/A"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2016-2017","2016-09-30T00:00:00.000","263","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2016-2017","2017-04-30T00:00:00.000","372","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2015-2016","2016-01-31T00:00:00.000","802","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2017-2018","2017-10-31T00:00:00.000","343","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2015-2016","2016-04-30T00:00:00.000","594","N/A
N/A, N/A N/A"
"In Federal Prisons","Federal Prisons","N/A","FY 2015-2016","2016-01-31T00:00:00.000","7","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2016-2017","2016-07-31T00:00:00.000","603","N/A
N/A, N/A N/A"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2015-2016","2016-03-31T00:00:00.000","2521","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2016-2017","2016-12-31T00:00:00.000","2095","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2015-2016","2015-10-31T00:00:00.000","1253","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2014-2015","2015-06-30T00:00:00.000","98","N/A
N/A, N/A N/A"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2017-2018","2017-08-31T00:00:00.000","1413","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2016-2017","2016-07-31T00:00:00.000","1431","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2018-04-30T00:00:00.000","2374","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2018-2019","2018-10-31T00:00:00.000","1503","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2017-2018","2017-08-31T00:00:00.000","3544","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2017-2018","2018-06-30T00:00:00.000","2594","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2014-2015","2015-06-30T00:00:00.000","2473","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2014-2015","2015-06-30T00:00:00.000","1536","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2017-10-31T00:00:00.000","197","N/A
N/A, N/A N/A"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2016-2017","2016-10-31T00:00:00.000","2424","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2015-2016","2015-08-31T00:00:00.000","2479","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2015-2016","2015-08-31T00:00:00.000","1420","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2017-2018","2018-05-31T00:00:00.000","2311","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2017-2018","2017-11-30T00:00:00.000","2111","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2015-2016","2015-08-31T00:00:00.000","2274","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2015-2016","2015-11-30T00:00:00.000","2382","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2017-2018","2018-03-31T00:00:00.000","1110","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"In County Jails","County Jails","N/A","FY 2015-2016","2015-12-31T00:00:00.000","984","N/A
N/A, N/A N/A"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2016-2017","2017-02-28T00:00:00.000","2375","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2016-2017","2016-08-31T00:00:00.000","2050","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2018-2019","2018-07-31T00:00:00.000","1427","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2016-2017","2016-08-31T00:00:00.000","2119","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2015-2016","2016-05-31T00:00:00.000","1114","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2016-2017","2017-02-28T00:00:00.000","105","N/A
N/A, N/A N/A"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2018-2019","2018-07-31T00:00:00.000","1219","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2017-2018","2018-06-30T00:00:00.000","1485","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2018-2019","2018-09-30T00:00:00.000","1288","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2018-06-30T00:00:00.000","2366","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2017-2018","2018-04-30T00:00:00.000","2170","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"In County Jails","County Jails","N/A","FY 2016-2017","2017-05-31T00:00:00.000","374","N/A
N/A, N/A N/A"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2016-2017","2016-07-31T00:00:00.000","97","N/A
N/A, N/A N/A"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2016-2017","2017-05-31T00:00:00.000","2486","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2018-2019","2018-09-30T00:00:00.000","2577","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2017-2018","2018-06-30T00:00:00.000","1835","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2015-2016","2016-03-31T00:00:00.000","1392","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2018-01-31T00:00:00.000","2412","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2016-2017","2016-07-31T00:00:00.000","2130","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2016-2017","2016-11-30T00:00:00.000","1397","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2015-2016","2015-11-30T00:00:00.000","1228","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Forest (FRS)","State Correctional Institution","Forest","FY 2016-2017","2017-02-28T00:00:00.000","2376","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2017-2018","2018-04-30T00:00:00.000","2176","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2017-2018","2018-06-30T00:00:00.000","2580","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"In County Jails","County Jails","N/A","FY 2015-2016","2015-08-31T00:00:00.000","900","N/A
N/A, N/A N/A"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2015-2016","2015-09-30T00:00:00.000","3543","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2017-2018","2018-04-30T00:00:00.000","2352","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2016-06-30T00:00:00.000","71","N/A
N/A, N/A N/A"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2018-2019","2018-08-31T00:00:00.000","60","N/A
N/A, N/A N/A"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2015-2016","2016-01-31T00:00:00.000","3216","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2018-2019","2018-08-31T00:00:00.000","1820","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2015-2016","2015-10-31T00:00:00.000","1390","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2016-2017","2016-11-30T00:00:00.000","1382","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2016-2017","2017-03-31T00:00:00.000","136","N/A
N/A, N/A N/A"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2018-2019","2018-07-31T00:00:00.000","229","N/A
N/A, N/A N/A"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2018-2019","2019-01-31T00:00:00.000","2158","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2015-2016","2015-09-30T00:00:00.000","86","N/A
N/A, N/A N/A"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2016-2017","2016-08-31T00:00:00.000","1299","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2016-2017","2016-10-31T00:00:00.000","1380","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2016-2017","2016-09-30T00:00:00.000","101","N/A
N/A, N/A N/A"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2018-2019","2018-12-31T00:00:00.000","1468","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2015-2016","2015-07-31T00:00:00.000","1283","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2018-2019","2018-10-31T00:00:00.000","2196","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2018-01-31T00:00:00.000","1283","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2015-2016","2016-05-31T00:00:00.000","2071","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2016-10-31T00:00:00.000","1600","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2017-2018","2018-05-31T00:00:00.000","1601","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"In Federal Prisons","Federal Prisons","N/A","FY 2017-2018","2017-10-31T00:00:00.000","8","N/A
N/A, N/A N/A"
"Forest (FRS)","State Correctional Institution","Forest","FY 2016-2017","2017-01-31T00:00:00.000","2385","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2016-2017","2017-01-31T00:00:00.000","3294","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2016-2017","2016-12-31T00:00:00.000","3228","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2018-2019","2018-12-31T00:00:00.000","0","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2016-2017","2016-07-31T00:00:00.000","150","N/A
N/A, N/A N/A"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2016-2017","2017-03-31T00:00:00.000","1422","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2015-2016","2015-11-30T00:00:00.000","483","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2018-02-28T00:00:00.000","137","N/A
N/A, N/A N/A"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2017-2018","2017-12-31T00:00:00.000","85","N/A
N/A, N/A N/A"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2016-2017","2017-05-31T00:00:00.000","2148","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2017-2018","2018-02-28T00:00:00.000","1447","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2016-2017","2016-10-31T00:00:00.000","1186","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2017-08-31T00:00:00.000","2393","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2017-2018","2018-04-30T00:00:00.000","1204","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2017-2018","2018-04-30T00:00:00.000","2390","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2015-2016","2015-09-30T00:00:00.000","1110","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2015-2016","2016-01-31T00:00:00.000","295","N/A
N/A, N/A N/A"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2015-2016","2015-11-30T00:00:00.000","1130","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Forest (FRS)","State Correctional Institution","Forest","FY 2016-2017","2016-10-31T00:00:00.000","2367","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2016-2017","2017-01-31T00:00:00.000","1727","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2014-2015","2015-06-30T00:00:00.000","93","N/A
N/A, N/A N/A"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2016-2017","2016-10-31T00:00:00.000","1359","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2017-06-30T00:00:00.000","1600","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2018-2019","2019-01-31T00:00:00.000","2254","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2018-2019","2018-07-31T00:00:00.000","0","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2015-2016","2016-06-30T00:00:00.000","226","N/A
N/A, N/A N/A"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2016-2017","2017-06-30T00:00:00.000","1413","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2018-2019","2018-09-30T00:00:00.000","2392","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2016-2017","2017-01-31T00:00:00.000","110","N/A
N/A, N/A N/A"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2018-2019","2018-09-30T00:00:00.000","2358","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2015-2016","2015-12-31T00:00:00.000","2019","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2016-2017","2017-03-31T00:00:00.000","2114","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2017-2018","2018-04-30T00:00:00.000","2553","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2017-2018","2017-07-31T00:00:00.000","1569","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2017-2018","2018-02-28T00:00:00.000","1113","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2016-2017","2016-11-30T00:00:00.000","1280","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2016-2017","2017-02-28T00:00:00.000","349","N/A
N/A, N/A N/A"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2016-2017","2016-12-31T00:00:00.000","107","N/A
N/A, N/A N/A"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2018-2019","2018-08-31T00:00:00.000","2391","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2016-2017","2017-03-31T00:00:00.000","1141","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2017-2018","2017-11-30T00:00:00.000","1381","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2018-2019","2018-12-31T00:00:00.000","2079","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2015-2016","2015-08-31T00:00:00.000","2361","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2016-2017","2017-01-31T00:00:00.000","2471","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2016-2017","2017-03-31T00:00:00.000","2274","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2016-11-30T00:00:00.000","1602","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2018-2019","2018-08-31T00:00:00.000","1444","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2018-2019","2018-08-31T00:00:00.000","2282","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2017-07-31T00:00:00.000","1308","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2017-2018","2017-08-31T00:00:00.000","116","N/A
N/A, N/A N/A"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2018-2019","2018-10-31T00:00:00.000","2161","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2018-2019","2019-01-31T00:00:00.000","1225","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2017-2018","2017-11-30T00:00:00.000","2155","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2015-2016","2015-10-31T00:00:00.000","237","N/A
N/A, N/A N/A"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2014-2015","2015-06-30T00:00:00.000","1260","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
