"observationname","label","relatedsampleuri","otherid","sampledepth","measurementunits","sitelocationname","localityterms","county","latdegreewgs84","longdegreewgs84","srs","locationuncertaintystatement","samplecollectiondate","samplemeasurementdate","sampletype","sampleshape","sampledimensionsheight","sampledimensionswidth","sampledimensionslength","sampledimensionsunits","sampledensity","uncertaintydensity","sampledensityunits","laboratory","measurementdevice","measurementprocedure","measurementpressure","measurementpressureunits","sampletemperature","sampletemperatureunits","measurementduration","measurementdirection","measurementrun","bulkmixingformula","saturationfluid","saturatedsampleconductivity","drysampleconductivity","averagethermalconductivity","uncertaintytc","correctiontc","correctiondescription","unitstc","specificheat","uncertaintyspecificheat","specificheatunits","thermaldiffusivity","uncertaintythermaldiffusivity","unitsthermaldiffusivity","geologicformationname","geologicformationuri","geologicformationtype","datumelevation","elevation","permeability","unitspermeability","porosity","notes","metadatauri","source","location_1"
"Pavant Butte-1 EXP DB Depth Interval 5300-5330","Pavant Butte-1 EXP DB Depth Interval 5300-5330",,,"5330","Feet","Arco Pavant Butte-1 Oil Exploration Well","Black Rock Desert","Millard","39.12415","-112.604","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:17:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.8660000000000001","±10%",,,"W/(m·K)",,,,,,,"Miocene Sediments",,"Claystone","MSL","4595",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 1710-1740","State of Utah E1 EXP DB Depth Interval 1710-1740",,,"1740","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.7270000000000001","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84173","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.5950790000000001","C","12.5",,"1",,"Tap Water","1.75",,"4.03","±10%",,,"W/(m·K)",,,,,,,"Quaternary",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 290-300","PA-7A NP Depth Interval 290-300",,,"300","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1000000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"ROZEL-1 NP Depth Interval 540-548","ROZEL-1 NP Depth Interval 540-548",,,"548","Feet","UGS/USGS Rozel-1 Thermal Gradient Well","North Great Salt Lake Area-Rozel Flat","Box Elder","41.529919999999997","-112.654","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:27:00.000","1970-01-01T04:28:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.379","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale | Conglomerate","MSL",,,,,"Predominantly  Unconsolidated Sediments",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 90-100","PA-4 NP Depth Interval 90-100",,,"100","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","2012-11-09T11:43:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1259999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 200-210","PA-3 NP Depth Interval 200-210",,,"210","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.3089999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"ROZEL-1 NP Depth Interval 170-180","ROZEL-1 NP Depth Interval 170-180",,,"180","Feet","UGS/USGS Rozel-1 Thermal Gradient Well","North Great Salt Lake Area-Rozel Flat","Box Elder","41.529919999999997","-112.654","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:27:00.000","1970-01-01T04:28:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.5980000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale | Conglomerate","MSL","4343",,,,"Predominantly  Unconsolidated Sediments",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 520-530","PA-4 NP Depth Interval 520-530",,,"530","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:27:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.268","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 210-220","PA-1 NP Depth Interval 210-220",,,"220","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.242","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"P-2A NP Depth Interval 790-800","P-2A NP Depth Interval 790-800",,,"800","Feet","UGS Pavant-2A Thermal Gradient Well","Black Rock Desert","Millard","39.034120000000001","-112.54900000000001","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:17:00.000","1970-01-01T04:19:00.000","Cuttings","Fine Material",,,,,,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.4790000000000001","±10% based on instrument specifications",,,"W/(m·K)","2.5659999999999998","±10% based on instrument specifications","MJ/(m³·K)","0.57699999999999996","±10% based on instrument specifications","mm²/s","Plio-Quaternary Sediments",,"Shale","MSL","4684",,,,"Predominantly Hydrated Clay | Sample Measurement Date Estimated",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 3510-3550","Gronning-1 EXP DB Depth Interval 3510-3550",,,"3550","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:29:00.000","Cuttings","Cylinder","1.7370000000000001","3.99",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","10.179679999999999","C","12.5",,"1",,"Tap Water","1.3079000000000001",,"2.7166999999999999","±10%",,,"W/(m·K)",,,,,,,"Oligocene Volcanics",,"Agglomerate","MSL","4590",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-2 NP Depth Interval 110-120","PA-2 NP Depth Interval 110-120",,,"120","Feet","UGS Pavant Area-2 Thermal Gradient Well","Black Rock Desert","Millard","39.348289999999999","-112.69499999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.204","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4599",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 DB Depth Interval 110-120","PA-3 DB Depth Interval 110-120",,,"120","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.8209520000000001","C","12.5",,"1",,,"1.3747",,"1.3747","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 4450-4490","Gronning-1 EXP DB Depth Interval 4450-4490",,,"4490","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:29:00.000","Cuttings","Cylinder","1.7370000000000001","3.99",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.9590479999999992","C","12.5",,"1",,"Tap Water","1.4559",,"2.8367","±10%",,,"W/(m·K)",,,,,,,"Oligocene Sediments",,"Claystone | Sandstone","MSL","4590",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 DB Depth Interval 280-290","PA-6 DB Depth Interval 280-290",,,"290","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","7.8282540000000003","C","12.5",,"1",,,"1.0517000000000001",,"1.0517000000000001","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Pavant Butte-1 EXP DB Depth Interval 11030-11040","Pavant Butte-1 EXP DB Depth Interval 11030-11040",,,"11040","Feet","Arco Pavant Butte-1 Oil Exploration Well","Black Rock Desert","Millard","39.12415","-112.604","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:17:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"4.5759999999999996","±10%",,,"W/(m·K)",,,,,,,"Prospect Mountain Quartzite",,"Quartzite","MSL","4595",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 40-50","PA-7A NP Depth Interval 40-50",,,"50","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.0980000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 1400-1490","Gronning-1 EXP DB Depth Interval 1400-1490",,,"1490","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.84","±10%",,,"W/(m·K)",,,,,,,"Pleistocene-Pliocene Alluvial and Lacustrine Sediments",,"Shale | Sandstone","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 450-460","PA-1 NP Depth Interval 450-460",,,"460","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.2669999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-5A DB Depth Interval 300-310","PA-5A DB Depth Interval 300-310",,,"310","Feet","UGS Pavant Area-5A Thermal Gradient Well","Black Rock Desert","Millard","38.950310000000002","-112.596","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.6677780000000002","C","12.5",,"1",,,"1.3634999999999999",,"1.3634999999999999","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4681",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 6965-7005","Gronning-1 EXP DB Depth Interval 6965-7005",,,"7005","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"3.637","±10%",,,"W/(m·K)",,,,,,,"Lower Tertiary  Sediments and Volcanics",,"Sandstone | Siltstone |Claystone | Conglomerate","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 330-340","PA-1 NP Depth Interval 330-340",,,"340","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.296","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 5540-5550","State of Utah E1 EXP DB Depth Interval 5540-5550",,,"5550","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.7270000000000001","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84196","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.4549210000000006","C","12.5",,"1",,"Tap Water","3.15",,"8.3699999999999992","±10%",,,"W/(m·K)",,,,,,,"Unknown",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 80-90","PA-4 NP Depth Interval 80-90",,,"90","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","2012-11-09T11:36:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.2310000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Pavant Butte-1 EXP DB Depth Interval 1800-1950","Pavant Butte-1 EXP DB Depth Interval 1800-1950",,,"1950","Feet","Arco Pavant Butte-1 Oil Exploration Well","Black Rock Desert","Millard","39.12415","-112.604","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:17:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.7430000000000001","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.7350790000000007","C","12.5",,"1",,"Tap Water","1.17",,"2.89","±10%",,,"W/(m·K)",,,,,,,"Miocene-Pliocene Sediments",,"Claystone","MSL","4595",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 320-330","PA-1 NP Depth Interval 320-330",,,"330","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.2649999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 DB Depth Interval 380-390","PA-1 DB Depth Interval 380-390",,,"390","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.708","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.8103169999999995","C","12.5",,"2",,,"1.21445",,"1.21445","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
