"location_1","county","geoid","unemployment_rate","median_household_income","gini_index","below_poverty_level","below_poverty_level_male","below_poverty_level_male_under_5_years","below_poverty_level_male_5_years","below_poverty_level_male_6_to_11_years","below_poverty_level_male_12_to_14_years","below_poverty_level_male_15_years","below_poverty_level_male_16_and_17_years","below_poverty_level_male_18_to_24_years","below_poverty_level_male_25_to_34_years","below_poverty_level_male_35_to_44_years","below_poverty_level_male_45_to_54_years","below_poverty_level_male_55_to_64_years","below_poverty_level_male_65_to_74_years","below_poverty_level_male_75_years_and_over","below_poverty_level_female","below_poverty_level_female_under_5_years","below_poverty_level_female_5_years","below_poverty_level_female_6_to_11_years","below_poverty_level_female_12_to_14_years","below_poverty_level_female_15_years","below_poverty_level_female_16_and_17_years","below_poverty_level_female_18_to_24_years","below_poverty_level_female_25_to_34_years","below_poverty_level_female_35_to_44_years","below_poverty_level_female_45_to_54_years","below_poverty_level_female_55_to_64_years","below_poverty_level_female_65_to_74_years","below_poverty_level_female_75_years_and_over","at_or_above_poverty_level","at_or_above_poverty_level_male","at_or_above_poverty_level_male_under_5_years","at_or_above_poverty_level_male_5_years","at_or_above_poverty_level_male_6_to_11_years","at_or_above_poverty_level_male_12_to_14_years","at_or_above_poverty_level_male_15_years","at_or_above_poverty_level_male_16_and_17_years","at_or_above_poverty_level_male_18_to_24_years","at_or_above_poverty_level_male_25_to_34_years","at_or_above_poverty_level_male_35_to_44_years","at_or_above_poverty_level_male_45_to_54_years","at_or_above_poverty_level_male_55_to_64_years","at_or_above_poverty_level_male_65_to_74_years","at_or_above_poverty_level_male_75_years_and_over","at_or_above_poverty_level_female","at_or_above_poverty_level_female_under_5_years","at_or_above_poverty_level_female_5_years","at_or_above_poverty_level_female_6_to_11_years","at_or_above_poverty_level_female_12_to_14_years","at_or_above_poverty_level_female_15_years","at_or_above_poverty_level_female_16_and_17_years","at_or_above_poverty_level_female_18_to_24_years","at_or_above_poverty_level_female_25_to_34_years","at_or_above_poverty_level_female_35_to_44_years","at_or_above_poverty_level_female_45_to_54_years","at_or_above_poverty_level_female_55_to_64_years","at_or_above_poverty_level_female_65_to_74_years","at_or_above_poverty_level_female_75_years_and_over"
"
Thatcher, Utah 
(41.679741, -112.296831)","Box Elder","16000US4975800",,"69432","0.27800000000000002","20","14","7","0","0","0","0","0","7","0","0","0","0","0","0","6","0","0","0","0","0","0","6","0","0","0","0","0","0","640","346","23","15","42","22","0","5","36","9","38","84","36","6","30","294","18","18","26","8","0","31","6","48","14","49","27","23","26"
"
Teasdale, Utah 
(38.285877, -111.477482)","Wayne","16000US4975470",,"26250","0.23699999999999999","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","78","41","0","0","0","4","5","5","0","0","0","5","5","17","0","37","0","0","0","0","0","5","0","0","5","5","0","22","0"
"
Apple Valley, Utah 
(37.09535, -113.120286)","Washington","16000US4901905",,"51083","0.3926","107","37","4","0","5","3","0","3","2","9","0","4","7","0","0","70","9","7","2","0","2","0","7","21","4","9","9","0","0","594","302","42","0","32","7","0","0","15","22","39","36","45","46","18","292","15","4","23","16","0","6","15","46","24","45","58","35","5"
"
Springville, Utah 
(40.165232, -111.610625)","Utah","16000US4972280","4.2","58333","0.373","2324","1036","245","8","102","25","0","0","259","158","85","52","67","35","0","1288","153","34","60","23","8","33","373","215","135","44","60","115","35","28119","14339","1827","291","1680","796","203","502","1778","2100","1894","1250","901","505","612","13780","1484","350","1568","914","275","464","1631","2017","1677","1194","1054","551","601"
"
Stockton, Utah 
(40.454231, -112.360801)","Tooele","16000US4973050",,"56563","0.34899999999999998","125","40","0","0","0","2","12","3","0","6","0","10","0","7","0","85","3","8","3","3","0","19","0","12","23","1","0","13","0","580","316","16","9","30","5","0","10","22","48","37","44","54","21","20","264","17","0","26","24","0","5","12","41","34","37","43","23","2"
"
Riverside, Utah 
(41.788832, -112.149407)","Weber","16000US4964230",,"64107","0.1449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","793","415","114","14","76","0","0","0","0","105","0","11","83","11","1","378","26","0","101","45","0","0","0","97","0","22","85","0","2"
"
Oak City, Utah 
(39.37719, -112.336105)","Millard","16000US4955430",,"61944","0.32290000000000002","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","3","2","599","340","20","4","31","27","2","35","22","54","16","63","24","25","17","259","14","14","18","7","4","6","28","20","13","56","46","15","18"
"
Moab, Utah 
(38.571738, -109.550796)","Grand","16000US4950700",,"43000","0.36969999999999997","623","310","0","0","0","0","0","0","90","90","25","35","55","0","15","313","0","0","0","16","0","0","18","122","77","26","35","0","19","4368","2215","134","0","162","185","16","63","158","298","367","357","252","76","147","2153","76","24","125","87","18","104","125","232","442","275","320","143","182"
"
Lehi, Utah 
(40.387876, -111.849167)","Utah","16000US4944320","3.9","74566","0.35310000000000002","2639","1300","282","42","176","74","52","54","183","281","112","15","29","0","0","1339","167","20","329","0","0","54","121","395","105","60","30","16","42","48989","25117","3194","697","4185","1405","344","736","2494","3748","3761","1895","1396","840","422","23872","3567","767","3491","1365","293","944","1730","3793","3452","1815","1436","665","554"
"
Saratoga Springs, Utah 
(40.346408, -111.910081)","Utah","16000US4967825",,"73896","0.28739999999999999","624","290","65","13","110","13","22","0","0","22","23","22","0","0","0","334","14","12","13","42","0","87","92","0","21","38","15","0","0","20344","10222","1542","193","2049","723","266","369","325","1633","1823","696","236","224","143","10122","1659","160","1740","694","246","294","625","1909","1631","483","318","277","86"
"
Leamington, Utah 
(39.534945, -112.2829)","Millard","16000US4943880",,"81071","0.32129999999999997","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","5","0","0","6","0","2","197","106","12","3","4","0","0","19","0","12","9","14","15","18","0","91","6","0","5","6","5","0","6","15","5","19","8","14","2"
"
Ballard, Utah 
(40.279673, -109.948347)","Uintah","16000US4903345",,"70000","0.3221","49","21","0","0","6","3","3","0","0","0","2","7","0","0","0","28","0","4","0","0","3","0","1","16","2","0","2","0","0","639","351","34","10","28","18","2","10","57","67","35","30","45","6","9","288","38","8","12","12","0","5","14","63","16","57","35","17","11"
"
Milford, Utah 
(38.395555, -113.011107)","Beaver","16000US4950040",,"43696","0.40770000000000001","220","99","13","0","22","20","0","0","0","0","19","0","14","11","0","121","0","0","0","14","0","1","14","18","29","12","12","18","3","1472","817","40","25","129","80","8","25","124","88","88","105","60","4","41","655","63","9","90","66","7","11","39","89","89","90","29","32","41"
"
Parowan, Utah 
(37.842186, -112.827605)","Iron","16000US4958510",,"43048","0.43519999999999998","298","135","0","0","25","9","9","0","10","21","0","24","19","0","18","163","20","0","25","14","0","9","0","0","43","28","0","19","5","2449","1262","70","0","159","79","49","59","153","77","168","152","112","96","88","1187","60","18","90","94","12","28","77","126","168","196","117","115","86"
"
Mantua, Utah 
(41.497046, -111.943838)","Box Elder","16000US4947840",,"79338","0.28299999999999997","25","15","1","0","0","0","0","0","2","0","2","6","0","0","4","10","0","0","2","0","0","0","0","2","0","0","0","0","6","723","387","33","15","25","17","9","8","23","37","38","65","75","26","16","336","13","13","29","23","2","4","31","25","30","84","51","22","9"
"
Torrey, Utah 
(38.29902, -111.421079)","Wayne","16000US4977010",,"46875","0.34820000000000001","55","27","5","5","8","0","0","0","0","5","0","2","2","0","0","28","2","0","15","0","0","0","0","8","2","1","0","0","0","199","95","0","0","1","0","0","7","0","0","8","38","23","7","11","104","7","3","0","12","0","0","0","0","25","27","13","15","2"
"
Samak, Utah 
(40.623829, -111.204264)","Summit","16000US4967400",,"80163","0.25929999999999997","38","20","0","0","0","0","0","0","0","0","0","0","20","0","0","18","0","0","0","0","0","0","0","0","0","0","18","0","0","133","90","0","0","0","0","11","11","0","35","0","14","19","0","0","43","0","0","0","0","0","0","0","0","11","15","17","0","0"
"
Hildale, Utah 
(37.005515, -112.964696)","Washington","16000US4935300",,"33333","0.40860000000000002","1072","480","83","4","195","62","20","5","27","20","38","15","11","0","0","592","115","32","147","52","6","34","22","103","48","15","14","0","4","1767","861","81","67","125","52","12","82","190","90","69","36","54","0","3","906","57","37","167","48","34","52","198","52","109","80","32","4","36"
"
Brigham City, Utah 
(41.510372, -112.015716)","Box Elder","16000US4908460",,"52025","0.36459999999999998","1380","726","17","0","74","35","17","23","100","59","216","92","49","29","15","654","19","25","77","18","2","22","48","149","82","43","89","44","36","16330","7970","745","139","898","383","242","286","716","1071","1012","873","614","555","436","8360","759","230","768","351","103","206","776","1218","917","1009","831","653","539"
"
Kingston, Utah 
(38.208301, -112.187348)","Piute","16000US4941350",,"43125","0.37480000000000002","68","35","5","0","6","6","0","0","6","0","0","7","0","5","0","33","0","0","10","0","8","0","3","0","7","5","0","0","0","202","84","0","4","14","4","5","2","0","5","16","8","2","10","14","118","0","0","0","16","0","12","10","2","33","14","2","26","3"
"
Newton, Utah 
(41.862401, -111.991216)","Cache","16000US4954550",,"57656","0.30559999999999998","33","5","0","0","2","0","0","0","0","0","2","0","0","0","1","28","2","0","6","6","5","2","3","2","2","0","0","0","0","703","360","59","10","35","12","7","3","30","40","41","55","37","20","11","343","16","13","40","24","4","22","13","75","31","23","38","30","14"
"
Kanosh, Utah 
(38.803564, -112.437739)","MIllard","16000US4940250",,"44167","0.38269999999999998","47","24","8","0","0","5","0","0","0","0","1","0","0","9","1","23","0","0","4","0","0","0","4","2","0","0","1","1","11","356","192","3","6","19","6","0","13","7","24","10","29","29","24","22","164","15","0","16","11","0","1","19","11","6","18","28","24","15"
"
Lake Shore, Utah 
(40.121324, -111.730498)","Utah","16000US4942230",,"72625","0.29659999999999997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","663","337","23","6","47","0","0","0","31","47","29","78","23","22","31","326","6","7","10","12","6","0","80","26","30","74","23","10","42"
"
Minersville, Utah 
(38.21699, -112.924009)","Beaver","16000US4950590",,"56544","0.37909999999999999","93","45","9","0","0","0","10","0","0","18","5","0","3","0","0","48","8","0","0","0","0","0","0","6","0","22","0","2","10","897","453","25","0","57","58","14","13","26","54","56","47","73","16","14","444","46","12","45","8","0","5","57","56","52","91","41","24","7"
"
Independence, Utah 
(40.2481, -109.934402)","Wasatch","16000US4937690",,"85156","0.25750000000000001","5","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172","62","0","0","16","2","0","0","3","0","23","17","0","1","0","110","10","3","7","9","0","2","0","3","15","22","9","8","22"
"
Portage, Utah 
(41.975652, -112.239641)","Box Elder","16000US4961590",,"51458","0.31830000000000003","33","18","2","3","2","0","0","3","0","1","0","7","0","0","0","15","3","0","0","2","0","0","4","0","2","2","0","0","2","225","103","2","1","5","3","7","2","10","11","5","14","29","7","7","122","4","2","9","3","0","9","10","9","9","18","30","9","10"
"
Highland, Utah 
(40.431963, -111.785106)","Utah","16000US4935190",,"105944","0.39810000000000001","749","421","34","9","80","97","14","54","31","0","76","17","9","0","0","328","16","14","70","17","0","37","64","0","60","34","9","0","7","15248","8058","831","323","1243","637","310","421","855","511","1187","666","727","251","96","7190","594","164","1208","618","137","334","522","780","1093","770","638","219","113"
"
Toquerville, Utah 
(37.219231, -113.281845)","Washington","16000US4976900",,"46786","0.4395","315","137","16","0","38","24","0","0","6","5","34","7","5","2","0","178","11","21","36","0","0","0","5","52","32","8","7","3","3","1405","687","51","16","57","18","14","43","72","50","67","68","113","67","51","718","36","14","60","60","19","35","65","51","73","87","133","55","30"
"
Sunset, Utah 
(41.139884, -112.026022)","Davis","16000US4974480",,"51019","0.38269999999999998","1092","647","74","32","115","60","49","52","7","75","121","38","24","0","0","445","61","6","53","33","0","6","48","35","139","0","8","43","13","4033","2073","181","42","116","71","117","95","192","370","245","188","223","126","107","1960","216","35","54","101","10","103","133","340","255","269","206","95","143"
"
Clinton, Utah 
(41.139865, -112.064452)","Davis","16000US4914290",,"72216","0.29310000000000003","844","350","23","0","89","71","11","0","38","95","3","20","0","0","0","494","137","16","32","30","11","0","15","108","120","13","0","0","12","19935","10441","1098","261","1482","565","142","392","999","1409","1544","1242","798","356","153","9494","884","100","1051","396","167","299","891","1799","1492","1024","644","421","326"
"
Daniel, Utah 
(40.470784, -111.414432)","Wasatch","16000US4918140",,"59375","0.35210000000000002","125","50","17","3","13","0","0","0","4","0","13","0","0","0","0","75","14","0","3","0","3","14","18","2","11","0","3","7","0","1007","445","18","0","26","5","6","20","75","41","49","65","91","26","23","562","64","3","26","13","8","31","91","63","63","65","83","26","26"
"
Central, Utah 
(37.420648, -113.625413)","Sevier","16000US4912200",,"42353","0.4244","54","21","0","0","0","3","0","0","0","0","4","4","10","0","0","33","0","0","3","0","5","0","0","17","3","0","5","0","0","561","289","32","0","0","0","0","22","32","34","23","31","38","32","45","272","43","0","15","21","0","0","0","30","63","9","30","39","22"
"
Cottonwood Heights, Utah 
(40.616306, -111.810524)","Salt Lake","16000US4916270","3.7","74768","0.44330000000000003","1972","739","37","0","121","16","0","65","236","61","46","81","50","13","13","1233","78","0","103","53","0","66","266","166","108","185","49","159","0","31846","15652","741","229","1153","631","98","340","1682","2569","1828","2180","2097","1283","821","16194","1080","291","1133","606","235","369","1570","2391","2029","2003","2127","1503","857"
"
Harrisville, Utah 
(41.28141, -111.985828)","Weber","16000US4933540",,"56274","0.3014","181","83","11","5","13","0","0","0","0","6","14","15","19","0","0","98","5","0","23","0","0","0","37","18","0","15","0","0","0","5492","2848","297","89","219","174","51","62","333","631","307","218","294","67","106","2644","300","32","226","90","37","71","273","434","469","308","232","96","76"
"
Sigurd, Utah 
(38.865711, -111.965496)","Sevier","16000US4968650",,"58125","0.39589999999999997","73","23","5","0","11","5","0","0","0","0","0","2","0","0","0","50","4","0","9","7","0","0","0","14","0","11","0","5","0","519","270","36","5","29","25","3","2","25","17","50","14","23","30","11","249","20","6","46","16","14","0","9","27","31","21","27","13","19"
"
Elmo, Utah 
(39.389664, -110.812449)","Emery","16000US4922540",,"39028","0.32390000000000002","26","7","0","0","0","0","0","0","7","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","6","6","5","2","396","220","44","5","26","11","0","13","17","36","17","17","19","4","11","176","19","25","15","1","3","0","12","37","20","12","9","8","15"
"
Fairfield, Utah 
(40.263263, -112.094379)","Utah","16000US4924410",,"81932","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","43","2","0","1","4","2","2","2","3","4","5","16","2","0","41","0","2","3","0","0","0","10","2","4","13","5","2","0"
"
Clearfield, Utah 
(41.113869, -112.020467)","Davis","16000US4913850","5.3","48733","0.3906","4188","2323","534","112","664","176","17","27","140","154","319","57","79","14","30","1865","204","8","233","97","53","32","187","493","156","121","167","44","70","25989","13184","1143","313","1329","680","349","406","1488","2554","1829","1320","1047","432","294","12805","1346","282","1405","638","198","295","1465","2418","1589","1387","949","551","282"
"
Emery, Utah 
(38.923149, -111.250477)","Emery","16000US4922870",,"58636","0.28660000000000002","26","11","0","0","3","0","0","3","0","0","3","0","2","0","0","15","3","0","0","0","3","0","6","0","3","0","0","0","0","339","185","27","10","8","11","0","18","4","16","21","22","34","11","3","154","0","0","7","18","2","0","26","10","28","17","26","7","13"
"
Dammeron Valley, Utah 
(37.305046, -113.671021)","Washington","16000US4918090",,"63750","0.39279999999999998","56","31","0","0","0","0","0","0","0","19","0","0","0","12","0","25","0","0","0","0","0","14","0","0","0","0","11","0","0","512","232","13","0","14","0","15","0","0","14","26","39","66","38","7","280","43","0","48","0","0","0","0","13","63","35","61","17","0"
"
Scofield, Utah 
(39.723931, -111.161153)","Carbon","16000US4967990",,"63750","0.26719999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","24","0","0","0","0","0","0","9","6","2","2","2","2","1","15","0","0","0","0","0","0","0","5","0","4","2","2","2"
"
Huntington, Utah 
(39.331728, -110.973812)","Emery","16000US4936950",,"52536","0.313","195","27","12","0","8","0","0","0","0","0","3","0","4","0","0","168","20","4","17","0","0","6","18","36","0","52","3","12","0","1988","1005","87","26","80","33","11","19","91","132","154","194","91","50","37","983","93","52","128","47","27","42","45","173","76","90","108","70","32"
"
Hanksville, Utah 
(38.374413, -110.714596)","Wayne","16000US4933100",,"43750","0.41980000000000001","37","14","0","0","0","0","0","0","7","2","0","0","0","5","0","23","1","0","0","0","0","0","10","2","0","0","3","7","0","94","47","2","0","6","0","6","0","5","2","9","10","7","0","0","47","3","0","6","3","0","6","5","3","3","4","7","0","7"
"
Hyrum, Utah 
(41.633985, -111.852406)","Cache","16000US4937500",,"58182","0.35909999999999997","907","407","61","0","101","16","24","30","35","60","53","19","8","0","0","500","82","10","88","7","0","0","101","105","66","29","12","0","0","6738","3353","372","60","395","237","125","94","326","393","503","334","259","205","50","3385","375","38","343","321","64","167","178","461","561","311","312","159","95"
"
West Point, Utah 
(41.121659, -112.11258)","Davis","16000US4983390",,"75522","0.29659999999999997","617","290","0","0","0","115","0","72","42","0","32","0","29","0","0","327","20","0","42","34","0","0","22","40","43","0","19","50","57","9032","4884","310","111","873","402","60","323","503","417","736","613","306","140","90","4148","308","95","552","314","97","152","225","460","729","547","407","169","93"
"
Oljato-Monument Valley, Utah 
(37.027645, -110.225393)","San Juabn","16000US4956440",,"27625","0.53469999999999995","486","194","40","5","42","11","6","4","21","6","37","16","6","0","0","292","25","20","50","12","11","25","20","53","25","9","28","10","4","566","276","30","3","22","5","0","17","40","43","36","44","26","7","3","290","32","0","28","7","0","0","40","83","22","22","41","12","3"
"
South Salt Lake, Utah 
(40.71786, -111.882616)","Salt Lake","16000US4971070",,"37307","0.40550000000000003","6755","3088","678","87","489","108","22","35","268","728","247","354","38","34","0","3667","676","213","275","198","23","147","522","749","429","247","61","115","12","16245","8605","744","75","577","184","197","309","1054","2162","1190","509","959","412","233","7640","527","15","501","385","63","157","753","1674","1110","847","988","322","298"
"
Glendale, Utah 
(37.316356, -112.59751)","Kane","16000US4929360",,"38438","0.4037","68","28","6","0","6","1","0","0","0","1","10","4","0","0","0","40","4","2","6","1","2","4","7","3","0","5","0","6","0","237","119","2","0","11","0","0","3","15","11","11","9","18","22","17","118","16","2","7","0","0","0","15","11","6","15","22","17","7"
"
Centerfield, Utah 
(39.128566, -111.819178)","Sanpete","16000US4911870",,"44306","0.39579999999999999","313","144","27","2","26","19","11","13","6","6","21","5","8","0","0","169","19","23","38","14","0","0","8","9","27","17","0","0","14","1038","549","49","14","57","47","7","9","68","53","64","59","80","19","23","489","28","7","29","42","22","21","24","58","60","68","43","30","57"
"
Avon, Utah 
(41.532629, -111.813194)","Cache","16000US4902960",,"63583","0.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","441","213","9","0","19","8","0","7","17","21","11","60","17","30","14","228","0","10","0","36","0","25","17","19","35","18","49","9","10"
"
Lynndyl, Utah 
(39.516841, -112.372087)","Millard","16000US4946740",,"52955","0.28599999999999998","10","3","2","0","0","0","0","0","0","1","0","0","0","0","0","7","3","0","0","0","0","0","0","2","0","0","0","0","2","109","47","0","0","1","0","3","0","5","0","13","4","6","5","10","62","0","0","6","4","0","12","0","0","2","19","6","4","9"
"
Naples, Utah 
(40.414614, -109.498447)","Uintah","16000US4953560",,"77292","0.32619999999999999","157","67","5","3","25","0","0","0","13","0","4","9","8","0","0","90","22","0","4","4","0","2","4","19","9","7","19","0","0","1969","954","100","8","137","20","10","23","107","171","104","107","110","30","27","1015","140","22","117","42","12","20","66","158","110","133","112","50","33"
"
Trenton, Utah 
(41.913984, -111.943074)","Cache","16000US4977230",,"49028","0.38069999999999998","76","45","5","6","7","0","0","0","2","6","13","0","6","0","0","31","6","0","9","2","0","2","0","5","0","2","1","0","4","430","218","21","1","22","19","2","8","18","24","22","26","22","15","18","212","7","10","15","12","7","8","3","32","36","22","25","15","20"
"
Hideout, Utah 
(40.638874, -111.396403)","Wasatch","16000US4935120",,"39583","0.41739999999999999","98","54","5","0","10","3","0","3","19","0","10","4","0","0","0","44","13","0","0","3","3","0","2","4","5","6","0","8","0","303","116","0","0","7","15","0","5","0","40","17","27","3","2","0","187","36","4","34","3","0","0","6","35","48","10","9","2","0"
"
Elsinore, Utah 
(38.684651, -112.14873)","Sevier","16000US4922650",,"34875","0.40400000000000003","168","43","0","6","5","5","7","0","10","0","0","0","10","0","0","125","5","0","21","5","0","0","18","4","16","6","13","14","23","678","321","27","0","18","0","6","17","44","55","39","28","33","15","39","357","40","17","28","22","12","10","29","43","44","31","22","29","30"
"
Meadow, Utah 
(38.887747, -112.410593)","Millard","16000US4948830",,"46750","0.31090000000000001","12","12","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","233","143","0","2","15","8","7","25","3","16","10","10","16","22","9","90","1","0","13","4","4","4","6","8","8","16","11","13","2"
"
Silver Summit, Utah 
(40.735554, -111.499876)","Summit","16000US4969280",,"130337","0.35199999999999998","150","45","0","0","0","0","0","11","0","0","0","25","9","0","0","105","0","0","20","21","0","0","23","14","19","0","8","0","0","3259","1592","102","28","99","104","27","104","140","72","260","383","211","62","0","1667","125","0","250","63","53","15","143","86","257","472","157","38","8"
"
Delta, Utah 
(39.352381, -112.57362)","Millard","16000US4918910",,"45964","0.44409999999999999","817","343","57","0","90","8","0","43","86","33","8","11","0","0","7","474","92","47","83","0","0","0","35","77","53","18","41","0","28","2576","1430","103","39","174","58","30","26","110","216","150","193","158","116","57","1146","120","20","93","38","8","53","63","157","102","174","166","74","78"
"
Sutherland, Utah 
(39.390483, -112.633242)","Millard","16000US4974590",,"63571","0.33150000000000002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","424","160","13","28","8","0","0","11","0","21","9","19","31","20","0","264","12","0","8","44","0","46","0","23","32","0","32","34","33"
"
Circleville, Utah 
(38.236874, -112.223724)","Piute","16000US4912970",,"33594","0.37769999999999998","202","69","13","0","6","0","1","0","3","16","18","1","9","2","0","133","7","0","17","15","0","0","35","32","6","2","10","1","8","512","262","15","0","24","18","7","8","18","14","46","31","26","38","17","250","8","0","19","11","2","6","7","28","43","29","48","37","12"
"
Salt Lake City, Utah 
(40.758478, -111.888142)","Salt Lake","16000US4967000","4.0999999999999996","50827","0.52839999999999998","31890","14881","1628","284","1332","32","163","260","3994","2986","1030","1207","1196","688","81","17009","1456","0","1784","499","0","280","4827","3268","1686","808","736","604","1061","154872","81268","4970","1179","5362","3017","736","2009","8059","16319","12986","9647","8524","4773","3687","73604","6063","888","4860","2365","424","1772","6177","14655","9454","8795","8278","5606","4267"
"
Tabiona, Utah 
(40.354484, -110.711957)","Duchesne","16000US4974920",,"43750","0.3967","4","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2","220","122","23","0","7","15","0","7","1","16","15","13","4","13","8","98","15","2","10","8","0","0","3","15","11","10","9","13","2"
"
Oasis, Utah 
(39.294009, -112.628259)","Millard","16000US4955760",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","22","0","0","12"
"
Spanish Fork, Utah 
(40.115007, -111.654713)","Utah","16000US4971290","4.2","62073","0.34160000000000001","2427","838","133","0","206","0","0","13","76","215","61","45","67","22","0","1589","186","18","206","7","21","24","146","499","277","133","30","24","18","32544","16738","1827","735","2968","1050","237","469","1697","2584","2068","1502","727","458","416","15806","1687","403","2258","1068","291","560","1416","2696","1903","1426","962","706","430"
"
Sunnyside, Utah 
(39.551232, -110.388125)","Carbon","16000US4974370",,"42841","0.33210000000000001","89","44","11","3","0","0","0","0","0","14","0","12","2","0","2","45","6","0","3","4","0","0","13","8","8","0","1","2","0","422","220","22","0","36","9","3","4","18","30","34","29","17","15","3","202","18","0","22","21","0","4","7","25","29","23","20","17","16"
"
Riverton, Utah 
(40.518701, -111.931665)","Salt Lake","16000US4964340","3.9","82373","0.32540000000000002","1774","769","99","13","209","6","0","43","56","47","16","67","117","15","81","1005","305","0","0","16","0","16","76","263","31","98","97","47","56","38435","19338","2500","552","2081","967","340","738","1580","2897","2759","2471","1534","524","395","19097","1560","250","2765","1303","503","612","1608","3155","2535","2099","1545","714","448"
"
Ephraim, Utah 
(39.359772, -111.584173)","Sanpete","16000US4923530",,"42988","0.43269999999999997","1719","586","10","8","114","19","11","0","333","53","9","21","0","0","8","1133","15","8","84","37","0","17","758","108","24","13","54","15","0","3865","2008","189","56","217","219","61","56","231","202","298","125","140","121","93","1857","129","35","227","93","29","54","286","278","242","116","127","142","99"
"
Morgan, Utah 
(41.036034, -111.677457)","Morgan","16000US4951910",,"71214","0.33650000000000002","120","69","14","9","8","0","0","7","19","12","0","0","0","0","0","51","0","0","22","0","0","0","7","16","0","6","0","0","0","3596","1809","170","32","165","201","50","59","157","198","274","159","134","77","133","1787","141","39","240","71","25","106","123","176","295","132","135","166","138"
"
Marion, Utah 
(40.674991, -111.280833)","Summit","16000US4948170",,"68226","0.37240000000000001","39","14","0","0","0","0","0","0","0","0","0","0","0","14","0","25","0","0","0","0","0","0","0","0","0","0","0","14","11","656","238","0","28","11","11","0","0","13","19","97","9","20","30","0","418","52","0","114","56","11","0","0","17","79","39","20","21","9"
"
Ophir, Utah 
(40.369352, -112.256786)","Tooele","16000US4956750",,"91250","0.091800000000000007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","8","3","0","0","0","0","0","0","0","3","0","0","2","0","8","3","0","0","0","0","0","0","3","0","1","1","0","0"
"
Paradise, Utah 
(41.566524, -111.832778)","Cache","16000US4957850",,"67689","0.27389999999999998","72","33","7","3","8","0","3","0","5","3","0","0","4","0","0","39","6","0","4","0","0","5","5","3","4","0","0","0","12","998","512","27","2","57","38","9","15","77","68","60","59","42","50","8","486","23","10","80","27","11","8","43","37","73","55","69","32","18"
"
Cornish, Utah 
(41.975347, -111.95413)","Cache","16000US4915940",,"42500","0.42799999999999999","118","77","0","7","5","1","0","1","35","5","1","0","22","0","0","41","2","0","5","2","0","2","2","5","1","0","22","0","0","252","114","9","4","12","5","0","6","19","11","16","10","15","4","3","138","9","3","29","8","0","3","4","18","19","21","18","6","0"
"
Heber, Utah 
(40.506311, -111.411672)","Wasatch","16000US4934200",,"58883","0.35460000000000003","1598","640","113","0","119","61","0","47","53","123","24","49","51","0","0","958","191","27","106","26","44","15","150","167","80","111","23","18","0","10136","5362","566","166","759","308","107","164","475","819","785","712","224","138","139","4774","451","51","602","364","84","232","387","751","806","432","267","191","156"
"
Farmington, Utah 
(40.980489, -111.88758)","Davis","16000US4924740",,"81952","0.37169999999999997","917","442","0","0","119","69","0","0","101","26","56","39","32","0","0","475","42","0","61","13","0","35","113","47","83","35","19","0","27","19413","9578","1154","164","868","560","248","250","745","1815","1299","794","798","612","271","9835","1047","386","1542","471","136","362","460","1735","1071","891","907","607","220"
"
Herriman, Utah 
(40.51417, -112.033044)","Salt Lake","16000US4934970",,"69504","0.34570000000000001","2634","1229","109","0","170","181","122","150","122","23","352","0","0","0","0","1405","135","0","218","35","116","176","284","34","407","0","0","0","0","22024","11270","1595","441","2057","620","179","314","763","1478","1821","1394","347","176","85","10754","910","152","1654","1132","499","366","459","1914","1877","1064","351","179","197"
