"reference_period","type_of_service","aggregation_level","county","state_fips","county_fips","number_of_fee_for_service_beneficiaries","number_of_providers","average_number_of_users_per_provider","percentage_of_users_out_of_ffs_beneficiaries","average_number_of_providers_per_county","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_0_to_2_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_3_to_4_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_5_to_9_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_10_to_19_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_20_or_more_providers","location_1"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Box Elder","49","3","5326","4","93.8","7","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Wasatch","49","51","2308","12","63.3","32.90","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Davis","49","11","25990","14","125.86","6.78","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Salt Lake","49","35","82580","20","61.6","1.50","20","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Kane","49","25","1766","4","156.5","35.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Uintah","49","47","3041","2","86","5.70","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Piute","49","31","422","1","16","3.79","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Kane","49","25","1801","3","31","5.16","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Davis","49","11","25699","13","24.3","1.20","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Utah","49","49","32366","16","90.1","4.50","16","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Uintah","49","47","3041","2","55","3.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Wasatch","49","51","2329","9","85.44","33.02","9","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Piute","49","31","412","2","7","3.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Carbon","49","7","3922","6","40.200000000000003","6.10","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Cache","49","5","7657","3","189","7.40","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Beaver","49","1","1096","2","33","6","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Sevier","49","41","3664","1","236","6.44","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Carbon","49","7","3922","3","95.3","7.30","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Wasatch","49","51","2281","1","40","1.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Iron","49","21","5847","2","98.5","3.37","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Box Elder","49","3","5326","5","37.6","3.50","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Wasatch","49","51","2281","1","46","2.02","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Rich","49","33","320","1","23","7.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Duchesne","49","13","2482","1","46","1.85","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Utah","49","49","32366","15","32.200000000000003","1.50","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Sevier","49","41","3664","2","110","6","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Sanpete","49","39","4128","5","12.8","1.55","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Iron","49","21","5719","2","178","6.20","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Cache","49","5","7662","2","269.5","7","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Uintah","49","47","3162","5","32.4","5.12","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Uintah","49","47","3041","2","77","5.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Tooele","49","45","5619","2","49","1.74","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Beaver","49","1","1096","6","110.2","60.30","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Rich","49","33","319","0",,"5.96","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","San Juan","49","37","1991","9","52.9","23.90","9","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Wasatch","49","51","2308","3","62.3","8.10","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Wayne","49","55","599","1","22","3.67","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Beaver","49","1","1096","1","17","1.55","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Sevier","49","41","3640","3","28.67","2.36","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Piute","49","31","422","1","24","5.69","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Davis","49","11","25990","35","62.23","8.38","35","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Washington","49","53","24950","33","508.8","67.30","33","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Kane","49","25","1801","1","32","1.78","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Emery","49","15","1890","1","128","6.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Iron","49","21","5847","3","42","2.15","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Tooele","49","45","5569","2","198.5","7.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Summit","49","43","3753","4","15.5","1.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Sanpete","49","39","4109","5","12","1.50","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","San Juan","49","37","1980","1","91","4.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Grand","49","19","1888","1","104","5.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Washington","49","53","24950","13","147.80000000000001","7.70","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Duchesne","49","13","2482","1","50","2.01","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Millard","49","27","2244","1","144","6.40","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Cache","49","5","7657","3","107.67","4.22","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Beaver","49","1","1089","0",,"1.10","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Carbon","49","7","3989","3","30","2.26","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Duchesne","49","13","2422","1","37","1.53","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Kane","49","25","1801","1","39","2.17","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Juab","49","23","1557","6","63.5","24.47","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Duchesne","49","13","2422","1","68","2.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Beaver","49","1","1089","1","68","6.24","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","San Juan","49","37","2015","10","51","25.31","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Morgan","49","29","1028","1","53","5.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Carbon","49","7","3989","3","114.67","8.62","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Garfield","49","17","1099","5","150.4","68.43","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Beaver","49","1","1096","1","52","4.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Weber","49","57","23685","11","179","8.31","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Uintah","49","47","3162","2","47.5","3","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Tooele","49","45","5569","2","177.5","6.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Duchesne","49","13","2482","1","69","2.78","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Piute","49","31","422","5","60","71.09","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Grand","49","19","1852","0",,"1.10","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Duchesne","49","13","2415","1","135","5.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Weber","49","57","23685","19","608.37","48.80","19","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Sevier","49","41","3664","3","26.67","2.18","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Grand","49","19","1888","1","28","1.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Grand","49","19","1852","3","38.700000000000003","6.30","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Weber","49","57","23684","31","65.900000000000006","8.60","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Kane","49","25","1791","4","164.8","36.80","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Carbon","49","7","3989","2","152.5","7.65","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Rich","49","33","327","0",,"5.50","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Wasatch","49","51","2308","2","14.5","1.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","STATE","--ALL--","49",,"252292","32","315","4","13.2","3.60","10.30","11.20","42.10","32.70","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Juab","49","23","1557","2","37","4.75","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Iron","49","21","5729","2","185.5","6.50","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Davis","49","11","25822","12","89.1","4.10","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Rich","49","33","319","1","20","6.27","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Juab","49","23","1510","6","63.3","25.20","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Piute","49","31","413","1","21","5.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Summit","49","43","3806","13","168.62","57.59","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Tooele","49","45","5569","2","46.5","1.70","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Emery","49","15","1936","2","22","2.27","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Rich","49","33","320","5","36.4","56.90","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Iron","49","21","5847","6","644","66.09","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","San Juan","49","37","1980","3","15.7","2.40","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Cache","49","5","7657","7","31.29","2.86","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Washington","49","53","24937","13","42.54","2.22","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Grand","49","19","1852","5","78","21.10","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Juab","49","23","1537","1","128","8.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","San Juan","49","37","2015","0",,"0.69","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Weber","49","57","23684","12","10","0.50","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Sanpete","49","39","4128","7","40.43","6.86","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Wayne","49","55","580","0",,"5.50","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Rich","49","33","320","1","17","5.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Garfield","49","17","1099","2","33","6.01","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Summit","49","43","3753","2","43","2.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Wayne","49","55","580","1","40","6.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Garfield","49","17","1082","2","37","6.80","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Garfield","49","17","1099","0",,"1.46","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Iron","49","21","5719","2","172","6","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Kane","49","25","1791","3","33","5.50","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Wayne","49","55","599","1","19","3.17","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Salt Lake","49","35","83412","20","322.3","7.73","20","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Tooele","49","45","5569","4","28","2.01","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Wasatch","49","51","2281","3","53.7","7.10","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Wayne","49","55","580","1","32","5.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Utah","49","49","32462","14","98.93","4.27","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Garfield","49","17","1092","4","21.5","7.90","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Davis","49","11","25990","23","525.74","46.53","23","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Davis","49","11","25822","35","59.5","8.10","35","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Weber","49","57","23684","19","612.70000000000005","49.20","19","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Carbon","49","7","3965","3","32.33","2.45","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Weber","49","57","23541","20","577.79999999999995","49.10","20","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Summit","49","43","3760","1","59","1.57","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Juab","49","23","1557","0",,"1.61","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Cache","49","5","7662","16","263.10000000000002","54.90","16","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Duchesne","49","13","2482","11","128.27000000000001","56.85","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Uintah","49","47","3041","1","78","2.56","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Morgan","49","29","1049","2","44","8.39","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Piute","49","31","412","0",,"6.80","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Juab","49","23","1537","2","51","6.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Garfield","49","17","1099","2","39.5","7.19","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Piute","49","31","412","2","13","6.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Salt Lake","49","35","83412","20","60.75","1.46","20","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Washington","49","53","25523","8","213.13","6.68","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Iron","49","21","5719","7","531.1","65","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Morgan","49","29","1015","0",,"2.17","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Juab","49","23","1557","1","44","2.83","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Summit","49","43","3806","4","17","1.79","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Piute","49","31","413","1","28","6.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Utah","49","49","32112","16","90.1","4.50","16","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Kane","49","25","1791","2","20","2.20","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Utah","49","49","32462","31","461.97","44.12","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Weber","49","57","23684","11","178.2","8.30","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Carbon","49","7","3965","10","257.39999999999998","64.90","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Box Elder","49","3","5326","5","76","7.10","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Piute","49","31","413","1","15","3.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","San Juan","49","37","2015","3","31.67","4.71","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Beaver","49","1","1096","1","53","4.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Wasatch","49","51","2329","3","17","2.19","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Beaver","49","1","1089","1","53","4.87","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Summit","49","43","3753","4","48.8","5.20","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Iron","49","21","5729","2","31","1.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
