"hospital_name","provider_number","period","claim_type","avg_spending_per_episode_hospital","avg_spending_per_episode_state","avg_spending_per_episode_nation","percent_of_spending_hospital","percent_of_spending_state","percent_of_spending_nation","measure_start_date","measure_end_date","location_1"
"BEAVER VALLEY HOSPITAL","460035","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","573","939","759","6.37","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","Complete Episode","Total","17044","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","642","644","664","4.81","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","21","12","9","0.10","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","77","126","107","0.49","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","During Index Hospital Admission","Durable Medical Equipment","17","28","23","0.09","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3461","3520","3087","19.03","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 through 30 days After Discharge from Index Hospital Admission","Carrier","748","760","1078","4.10","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","Complete Episode","Total","18187","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","2439","2068","2602","10.67","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","Complete Episode","Total","22868","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","294","126","107","1.25","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","651","644","664","3.22","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","1326","3520","3087","14.74","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","During Index Hospital Admission","Durable Medical Equipment","36","28","23","0.20","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","427","644","664","2","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","7","16","13","0.04","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","646","644","664","5.92","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","During Index Hospital Admission","Inpatient","5557","10176","8997","61.77","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 to 3 days Prior to Index Hospital Admission","Outpatient","81","192","113","0.41","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1649","939","759","6.95","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","During Index Hospital Admission","Durable Medical Equipment","31","28","23","0.18","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","9","16","13","0.06","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","During Index Hospital Admission","Inpatient","8563","10176","8997","42.40","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","2346","3520","3087","19.62","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3019","3520","3087","20.39","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","4002","3520","3087","20.79","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","During Index Hospital Admission","Inpatient","9675","10176","8997","46.93","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 to 3 days Prior to Index Hospital Admission","Outpatient","7","192","113","0.03","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","During Index Hospital Admission","Durable Medical Equipment","37","28","23","0.15","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","During Index Hospital Admission","Inpatient","7119","10176","8997","45.22","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","Complete Episode","Total","23494","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","7","16","13","0.03","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","113","126","107","0.58","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 to 3 days Prior to Index Hospital Admission","Outpatient","58","192","113","0.36","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","7","12","9","0.05","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 through 30 days After Discharge from Index Hospital Admission","Hospice","111","115","119","0.56","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","0","16","13","0","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","1 to 3 days Prior to Index Hospital Admission","Inpatient","2","4","5","0.01","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","During Index Hospital Admission","Durable Medical Equipment","29","28","23","0.18","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 to 3 days Prior to Index Hospital Admission","Carrier","153","432","488","0.64","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","During Index Hospital Admission","Carrier","1203","1464","1511","6.59","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","414","644","664","2.28","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","8","12","9","0.05","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 through 30 days After Discharge from Index Hospital Admission","Hospice","101","115","119","0.43","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 to 3 days Prior to Index Hospital Admission","Carrier","497","432","488","2.93","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","1","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","During Index Hospital Admission","Durable Medical Equipment","17","28","23","0.08","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","901","939","759","6","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","40","16","13","0.24","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","1","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","During Index Hospital Admission","Inpatient","10243","10176","8997","47.97","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","331","644","664","1.72","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","106","126","107","0.53","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","During Index Hospital Admission","Durable Medical Equipment","27","28","23","0.12","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 through 30 days After Discharge from Index Hospital Admission","Hospice","141","115","119","1.23","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","2","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","1","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 to 3 days Prior to Index Hospital Admission","Outpatient","21","192","113","0.12","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","Complete Episode","Total","16957","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","104","126","107","0.44","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","642","644","664","4.02","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 through 30 days After Discharge from Index Hospital Admission","Hospice","160","115","119","0.79","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","During Index Hospital Admission","Inpatient","11800","10176","8997","51.88","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","2345","2068","2602","12.89","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1031","939","759","5.10","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","During Index Hospital Admission","Inpatient","7276","10176","8997","54.45","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","86","126","107","0.58","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","873","939","759","4.23","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","780","939","759","3.67","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","0","12","9","0","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1418","2068","2602","9.43","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 to 3 days Prior to Index Hospital Admission","Outpatient","61","192","113","0.26","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Carrier","476","432","488","2.47","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","During Index Hospital Admission","Inpatient","9660","10176","8997","49.33","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 to 3 days Prior to Index Hospital Admission","Carrier","414","432","488","2.63","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","158","126","107","0.69","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","1213","3520","3087","10.58","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1255","939","759","5.52","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","4","16","13","0.03","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","2038","2068","2602","10.09","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","1","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
