"term","definition","language"
"تجارة الجملة (42)","يتألف قطاع تجارة الجملة من المؤسسات التي تعمل في تجارة الجملة للبضائع، بشكل عام دون تحويل، وتقديم خدمات عرضية لبيع البضائع. تشمل البضائع الموصوفة في هذا القطاع مخرجات الزراعة والتعدين والتصنيع وبعض الصناعات المعلوماتية، مثل النشر.","عربى"
"ناقلات الاتصالات السلكية واللاسلكية (51731)","تضم هذه الصناعة مؤسسات تعمل بشكل أساسي في تشغيل وصيانة و / أو توفير إمكانية الوصول إلى مرافق التحويل والإرسال والبنية التحتية التي تمتلكها و / أو تستأجرها لنقل الصوت البشري والبيانات والنص والصوت والفيديو باستخدام شبكات الاتصالات السلكية واللاسلكية. قد تعتمد مرافق النقل على تقنية واحدة أو مجموعة من التقنيات. وباستثناء ذلك، فإن المؤسسات التي توفر خدمات توزيع القنوات الفضائية باستخدام المرافق والبنية التحتية التي تشغلها في هذه الصناعة.","عربى"
"تصنيع منتجات الأخشاب (321)","تقوم المؤسسات في القطاع الفرعي لتصنيع المنتجات الخشبية بتصنيع المنتجات الخشبية، مثل الخشب المنشور، والخشب الرقائقي، والقشرة، والحاويات الخشبية، والأرضيات الخشبية، والجمالونات الخشبية، والمنازل المصنعة (مثل المنازل المتنقلة)، والمباني الخشبية الجاهزة. تشمل عمليات الإنتاج للقطاع الفرعي لتصنيع المنتجات الخشبية النشر والتخطيط والتشكيل والتصفيح وتجميع منتجات الأخشاب بدءًا من جذوع الأشجار المقطوعة إلى براغي، أو الخشب الذي يمكن قطعه بعد ذلك أو تشكيله بواسطة المخارط أو أدوات التشكيل الأخرى.كما يمكن أيضا أن يكون الخشب المنشور أو الأشكال الخشبية المتحولة الأخرى مملس أو مصقول في وقت لاحق، وأن يتم تجميعه إلى منتجات نهائية، مثل حاويات الخشب. يشمل القطاع الفرعي لتصنيع المنتجات الخشبية المؤسسات التي تصنع منتجات الأخشاب من جذوع الأشجار والبراغي التي يتم نشرها وتشكيلها، والمؤسسات التي تشتري الأخشاب المنشورة وتصنع المنتجات الخشبية. باستثناء المناشر ومؤسسات الحفاظ على الأخشاب، يتم تجميع المؤسسات في صناعات تعتمد بشكل أساسي على المنتجات المحددة المصنعة.","عربى"
"住宿 (721)","住宿部门企业为旅行者、度假者和其他人提供住宿或短期住宿。这些行业有各种各样的企业。有的只提供住宿，有的提供膳食、洗衣服务、娱乐设施和住宿。即使提供了能产生更多收入的额外服务，住宿场所也应归入住宿部门。提供的额外服务类型因机构而异。","简体中文"
"住宿和餐饮服务 (72)","住宿和餐饮服务部门包括为客户提供住宿和/或准备膳食、小吃和饮料以供即时消费的机构。该部门包括住宿和食品服务机构，因为这两种服务通常在同一机构中进行。
该部门不包括公民和社会组织；游乐园和休闲公园；剧院；以及其他提供餐饮服务的娱乐或娱乐场所。","简体中文"
"会计、税务准备、簿记和薪资服务 (54121)","该行业包括主要从事提供服务的机构，例如审计会计记录、设计会计系统、编制财务报表、制定预算、编制纳税申报表、处理工资单、簿记和计费。","简体中文"
"行政和支持以及废物管理和补救服务 (56)","行政和支持以及废物管理和补救服务部门包括为其他组织的日常运营执行例行支持活动的机构。这些基本活动通常由许多经济部门的机构在内部进行。该部门的机构专门从事一项或多项此类支持活动，并向各行各业的客户提供这些服务，在某些情况下，还为家庭提供这些服务。开展的活动包括：办公室管理、人员招聘和安置、文件准备和类似文书服务、征集、收集、安全和监视服务、清洁和废物处理服务。","简体中文"
"广告、公共关系及相关服务 (5418)","该行业包括主要从事广告、公共关系和相关服务的机构，例如媒体购买、独立媒体代理、户外广告、直邮广告、广告材料分发服务以及其他与广告相关的服务。","简体中文"
"艺术家、运动员、艺人和其他公众人物的代理人和经理 (711410)","该行业包括主要从事代表和/或管理创意和表演艺术家、体育人物、演艺人员和其他公众人物的代理和经理机构。代理和管理包括代表客户参与合同谈判等活动；管理或组织客户的财务事项；以及总体上促进其客户的职业发展。","简体中文"
"农业、林业、渔业和狩猎 (11)","农业、林业、渔业和狩猎部门包括主要从事种植作物、饲养动物、收获木材以及从农场、牧场或其自然栖息地收获鱼类和其他动物的机构。","简体中文"
"所有其他信息服务 (519190)","该行业包括主要从事提供其他信息服务的机构（新闻集团、图书馆、档案馆、互联网出版和广播以及网络搜索门户除外）。","简体中文"
"游乐园和游乐场 (7131)","该行业包括主要从事经营游乐园、游乐场和游乐馆的机构。","简体中文"
"建筑、工程及相关服务 (5413)","该行业包括主要从事建筑、工程和相关服务的机构，例如绘图服务、建筑检验服务、地球物理测绘服务、测绘（地球物理除外）服务和测试服务。","简体中文"
"艺术、娱乐和休闲 (71)","艺术、娱乐和休闲行业包括各种经营设施或提供服务的机构，以满足其顾客的各种文化、娱乐和休闲兴趣。该行业包括 (1) 参与制作、推广或参与供公众观看的现场表演、活动或展览的机构；(2)保存和展示具有历史、文化或教育意义的物品和遗址的机构；(3)经营设施或提供服务的场所，使顾客能够参与娱乐活动或享受娱乐、爱好和休闲兴趣。","简体中文"
"饮料制造 (3121)","该行业包括主要从事下述业务的机构：制造软饮料和冰水；净化和装瓶水；以及生产啤酒厂、葡萄酒厂和蒸馏酒厂产品。","简体中文"
"建筑材料、园艺设备和用品经销商 (444)","建筑材料、园艺设备和用品经销商经销商行业，在固定的销售点零售新的建筑材料、园艺设备和用品。该行业的企业拥有展示设备，用于处理木材和相关产品，以及可以存放在室内或室外覆盖区域下的园艺设备和用品。工作人员通常熟悉在住宅和相关场地的建造、维修和维护中零售的特定产品的使用。","简体中文"
"服装和服装配饰店 (448)","服装和服装配饰店行业在固定的销售点零售新的服装和服装配饰。该行业的企业拥有类似的展示设备和员工，他们对时尚趋势以及款式、颜色以及服装和配饰的组合、客户特征和品味的适当搭配了如指掌。","简体中文"
"服装和纺织品制造 (313-316)","制造 (31) 部门包括从事将机械、物理或化学材料、物质或组件转化为新产品的机构。制造产品的组成部分的组装被视为制造，除非相关活动已适当地归类在第23部分（建筑）之中。","简体中文"
"计算机及电子产品制造 (334)","计算机和电子产品制造部门中的行业是指制造计算机、计算机外围设备、通信设备和类似电子产品的企业，以及为此类产品制造组件的企业。","简体中文"
"建筑 (23)","建筑行业包括主要从事建筑或工程项目（例如高速公路和公用事业系统）建设的机构。主要从事准备新建筑用地的机构，和主要从事细分出售土地作为建筑工地的机构，也包括在该部门中。","简体中文"
"信用中介及相关活动 (522)","信贷中介及相关活动部门集团机构中的行业 (1) 借出从存款人筹集的资金；(2) 将信贷市场借款筹集的资金贷出；(3) 通过从事抵押贷款经纪、票据交换所和储备服务、支票兑现服务等活动，为资金借贷或信贷发行提供便利。","简体中文"
"教育服务 (611)","教育服务部门的机构提供各种学科的教学和培训。教学和培训由专门机构提供，例如学校、学院、大学和培训中心。","简体中文"
"电气设备、电器和部件制造 (335)","电气设备、电器和组件制造行业中的机构制造用于产生、分配和使用电力的产品。电力照明设备制造企业生产电灯泡、照明设备和零件。家用电器制造企业生产小型和大型电器和零件。电气设备制造企业生产商品，例如电动机、发电机、变压器和开关设备。其他电气设备和部件制造企业制造用于存储电力（例如电池）、传输电力（例如绝缘线）和接线设备（例如电源插座、保险丝盒和电灯开关）的设备。","简体中文"
"电子电器店 (443)","电子电器店行业中的企业在销售点零售新的电子产品和电器。该行业中的企业通常在相关场地运营，以满足特殊电力容量的地面显示屏特殊要求，从而确保产品的正确展示。工作人员包括熟悉所零售商品系列特性和质保的销售人员，也包括经过培训负责处理电子设备和电器维护和维修的维修人员。该部门内的分类主要是根据经营每种类型商店所需的产品类型和专业知识进行的。","简体中文"
"金属制品制造 (332)","金属制品制造行业中的企业将金属转化为中间产品或最终产品（机械、计算机和电子产品以及金属家具除外），或处理其他地方制造的金属和金属成型产品。重要的金属加工工艺是用于塑造单个金属件的锻造、冲压、弯曲、成型和机加工，以及将单独的零件连接在一起的其他流程（例如焊接和组装）。该行业的企业可以使用这些流程之一或这些流程的组合。","简体中文"
"金融和保险 (52)","金融与保险部门包括主要从事金融交易（涉及金融资产的创建、清算或所有权变更的交易）和/或促进金融交易的机构。","简体中文"
"食品和饮料店 (445)","食品和饮料店部门的企业通常在固定的销售点零售食品和饮料商品。该部门的企业拥有用于展示食品和饮料的特殊设备（例如，冷冻机、冷藏展示柜、冰箱）。他们有受过食品加工培训的员工，以保证监管机构要求的适当储存和卫生条件。","简体中文"
"食品制造 (311)","食品制造部门的企业将牲畜和农产品转化为中间或最终消费产品。该部门不同行业的区别在于加工成食品的原材料（通常来自动物或植物）。","简体中文"
"餐饮服务和饮酒场所 (722)","食品服务和饮酒场所行业中的企业根据客户订单准备餐点、小吃和饮料，以供现场和场外即时消费。这些行业有各种各样的企业。有些只提供食物和饮料，而另一些则提供座位空间、服务员/女服务员服务和附带设施（例如有限的娱乐）的各种组合。该部门的不同行业根据所提供服务的类型和水平进行分组。行业组分为特殊食品服务，例如食品服务承包商、餐饮服务商和移动食品服务；饮酒场所（酒精饮料）服务；以及餐馆和其他饮食场所服务。","简体中文"
"家具和家居用品店 (442)","家具和家居用品店行业在固定的销售点零售新家具和家居用品。该行业的企业通常在展列室运营，并拥有大量展示其产品的区域。除了产品销售外，许多公司还提供室内装饰服务。","简体中文"
"家具及相关产品制造 (337)","家具及相关产品制造部门的企业生产家具和相关物品，例如床垫、百叶窗、橱柜和固定装置。家具制造中使用的工艺包括木材、金属、玻璃、塑料和藤条等材料的切割、弯曲、成型、层压和组装。然而，家具的生产过程不仅仅是弯曲金属、切割和成型木材或者挤压和成型塑料。设计和流行趋势在家具生产中扮演着重要的角色。产品的美学和功能性综合设计也是家具制造过程的重要组成部分。设计服务可以由家具企业的工人完成，也可以从工业设计师那里购买。","简体中文"
"博彩业 (7132)","该行业包括主要从事经营博彩设施（例如赌场、宾果游戏厅和视频游戏终端）或提供博彩服务（例如彩票和场外投注）的机构（赌场酒店除外）。赌场酒店归入第72112类行业（赌场酒店）。","简体中文"
"加油站 (447)","加油站行业中的企业零售汽车燃料（例如汽油、柴油燃料、汽油酒精、替代燃料）和汽车油，或将这些产品与便利店商品结合起来进行零售。这些企业拥有用于储存和分配汽车燃料的专门设备。","简体中文"
"杂货店 (452)","杂货店部门中的企业在固定的销售点零售新的杂货。该行业的企业是独特的，因为它们拥有能够从单一地点零售多种商品的设备和员工。这包括各种展示设备和经过培训的员工，以提供有关许多产品线的信息。","简体中文"
"健康和个人护理用品店 (446)","健康和个人护理店的企业在固定的销售点零售健康和个人护理商品。该部门的企业主要以其零售的产品为特征，部分健康和个人护理店可能有受过产品处理培训的专业员工。工作人员可能包括药剂师、配镜师和其他从事零售、为客户提供建议和/或根据客户需求调整所售产品的专业人员。","简体中文"
"卫生保健和社会救助 (62)","医疗保健和社会救助部门包括为个人提供医疗保健和社会救助的机构。该部门包括医疗保健和社会救助，因为有时很难区分这两种活动的界限。该部门的行业是连续排列的，从专门提供医疗保健的机构开始，然后是提供医疗保健和社会救助的机构，最后是仅提供社会救助的机构。该部门的机构由训练有素的专业人员提供服务。该部门的所有机构都具有流程的共性，即具有必要专业知识的卫生从业人员或社会工作者的劳动投入。该部门的许多行业都是根据行业内从业者所持有的教育程度来定义的。","简体中文"
"独立艺术家、作家和表演者 (711510)","该行业包括主要从事下述活动的独立个人（即自由职业者）：艺术作品表演，艺术、文化成果或作品创作，或者提供上述作品所需的技术专长。该行业还包括专门从事产品代言、发表演讲或公开露面并收取费用的运动员和其他名人。","简体中文"
"信息 (51)","信息部门包括从事以下流程的机构：(a)生产和分发信息和文化产品，(b)提供传输或分发这些产品、数据或通信的手段，以及(c)处理数据。","简体中文"
"法律服务 (5411)","该行业包括主要从事提供法律服务的机构，例如由律师事务所、公证事务所、产权和结算办公室以及律师助理提供的服务。","简体中文"
"机械制造 (333)","机械制造行业中的企业创造了应用机械力（例如，齿轮和杠杆的应用）来执行工作的最终产品。机械制造的一些重要流程是用于塑造单个金属件的锻造、冲压、弯曲、成型和机加工。焊接和组装等工艺用于将不同的零件连接在一起。尽管这些工艺类似于金属制造企业中使用的工艺，但机械制造的不同之处在于它通常采用多种金属成型工艺来制造机器的各个部件。此外，复杂的装配操作也是生产过程的固有部分。","简体中文"
"公司和企业管理 (55)","公司和企业管理部门包括 (1) 为拥有控股权或影响管理决策而持有公司和企业证券（或其他股权）的单位，或 (2) 管理、监督和治理公司或企业机构的，而且通常承担公司或企业的战略或组织规划和决策角色的单位（政府机构除外）。履行管理、监督和治理职责的机构可以持有公司或企业的证券。","简体中文"
"管理、科学和技术咨询服务 (5416)","该行业包括主要从事向企业和其他组织提供有关管理、环境、科学和技术问题的建议和协助的单位。","简体中文"
"制造 (31-33)","制造业包括以机械、物理或化学方式将材料、物质或组件转化为新产品的企业。制造产品的组成部分的组装被视为制造，除非相关活动已适当地归类在第23部分（建筑）之中。","简体中文"
"采矿、采石、石油和天然气开采 (21)","采矿、采石、石油和天然气开采部门包括提取天然矿物固体（如煤和矿石）、液态矿物（如原油）和气体（例如天然气）的企业。采矿一词在广义上包括采石、井作业、选矿（例如，破碎、筛选、洗涤和浮选）和其他通常在矿场进行的准备工作，或作为采矿活动的一部分的工作。","简体中文"
"杂货店零售商 (453)","杂货店零售商行业在固定销售点零售商品（不包括下述商品：新的或旧的汽车和零件；新家具和家居用品；新电器和电子产品；新建筑材料和园艺设备和用品；食品和饮料；健康和个人护理用品；汽油；新服装和配饰；以及新的体育用品、爱好用品、书籍和音乐）。该部门的场所包括具有独特特征的商店，例如花店、二手商品店以及宠物和宠物用品店。","简体中文"
"电影和视频行业 (5121)","该行业包括主要从事电影、视频、电视节目或商业广告的制作和/或发行的机构；执行电影展览的机构；或提供后期制作和相关服务的机构。","简体中文"
"汽车和零件经销商 (441)","汽车和零件经销商行业中的企业在固定的销售点零售汽车和零件。该行业的企业通常在陈列室和/或展示车辆的露天场地运营。车辆及相关部件的展示几乎不需要展示设备。人员通常包括熟悉车辆注册和融资要求的销售人员和销售支持人员，以及受过培训为车辆提供维修和保养服务的零件专家和机械师。该行业中包含的特定企业根据所零售的车辆类型确定。","简体中文"
"博物馆、历史遗迹和类似机构 (712)","博物馆、历史遗址和类似机构部门的机构从事具有历史、文化和/或教育价值的物品、遗址和自然奇观的保存和展览。","简体中文"
"报纸、期刊、书籍和目录出版商 (5111)","该行业包括主要从事出版报纸、杂志或其他期刊、书籍、目录和邮件列表以及其他作品（例如日历、贺卡和地图）的机构。这些作品的特点是其开发所需的智力创造力，通常受版权保护。出版商发行或安排发行这些作品。","简体中文"
"非商店零售商 (454)","非商店零售商中的行业使用适当方法零售商品，例如广告发布、广告电话直销、分发纸质和电子产品目录、上门推销、家庭演示、便携式摊位销售以及贩卖机销售。该行业的经营者包括邮购店、自动售货机运营商、送货上门销售员、上门销售员、派对计划销售员、电子购物和便携式摊位销售元（例如，街头小贩，食品店除外）。从事直接销售（即非商店）产品的机构，例如家庭取暖油经销商和报纸递送服务提供商，也包括在该行业中。","简体中文"
"其他娱乐业 (7139)","该行业包括主要从事经营下述业务的机构：高尔夫球场和乡村俱乐部；滑雪设施；码头；健身和休闲运动中心；保龄球中心；以及提供其他娱乐和康乐服务。","简体中文"
"其他专业、科学和技术服务 (5419)","该行业包括主要从事专业、科学和技术服务（但不含下述服务：法律服务；会计、税务准备、簿记及相关服务；建筑、工程及相关服务；专业设计服务；计算机系统设计及相关服务；管理、科学和技术咨询服务；科学研究和开发服务；以及广告、公共关系和相关服务）的机构。","简体中文"
"其他服务（公共行政除外）(81)","其他服务（公共行政除外）部门包括从事提供（分类系统中其他行业未专门提供的）服务的机构。该部门的机构主要从事相关业务活动，比如设备和机械维修、促进或管理宗教活动、赠款、宣传以及提供干洗和洗衣服务、个人护理服务、死亡护理服务、宠物护理服务、冲印服务、临时停车服务和约会服务。","简体中文"
"其他电信 (51791)","该行业的企业主要从事下述业务：(1) 从电信网络的所有者和运营商处购买访问和网络权利，并向企业和家庭转售有线和无线电信服务（卫星服务除外）；(2) 提供卫星跟踪、通信遥测、雷达站运营等专业电信服务；(3) 提供与一个或多个地面系统相连接的卫星终端站和相关设施，能够向卫星系统传输电信和从卫星系统接收电信；或者 (4) 通过客户提供的电信连接提供互联网接入服务或互联网协议语音 (VoIP) 服务。该行业的企业不得作为电信运营商运营。该行业包括移动虚拟网络运营商 (MVNO)。","简体中文"
"演艺公司 (7111)","该行业包括主要从事现场表演的机构，涉及演员、演员、歌手、舞者、音乐团体和艺术家以及其他表演艺术家的表演。","简体中文"
"个人和洗衣服务 (812)","个人和洗衣服务部门中的机构为个人、家庭和企业提供个人和洗衣服务的机构。提供的服务包括：个人护理服务；临终关怀服务；洗衣和干洗服务；以及范围广泛的其他个人服务，例如宠物护理（兽医除外）服务、冲印服务、临时停车服务和约会服务。","简体中文"
"初级金属制造 (331)","初级金属制造行业的企业使用电冶金和其他工艺冶金技术，从矿石、生料或废料中冶炼和/或精炼黑色金属和有色金属。该行业的企业还通过将其他化学元素引入纯金属，来制造金属合金和高温合金。冶炼和精炼的产出物通常以铸锭形式用于轧制、拉拔和挤压操作，以制造薄板、带材、棒材、棒材或线材，并以熔融形式制造铸件和其他基本金属产品。","简体中文"
"私人家庭 (814)","私人家庭部门中的企业，包括在场所内或场所附近雇佣工人，主要从事与家庭经营有关的活动的私人家庭。这些私人家庭可以雇用个人，例如厨师、女佣、管家和外部工人（例如园丁、看护人和其他维修工人）。","简体中文"
"职业、科技和技术服务 (541)","职业、科技和技术服务部门中的企业从事以人力资本为主要投入的流程。这些企业通常按照具体工作，利用向客户提供服务的员工个人或团体的专业知识和技能提供服务。该部门的不同企业是根据服务提供者的特定专业知识和培训来界定的。","简体中文"
"表演艺术、体育和类似活动的发起人 (7113)","该行业包括主要从事组织、推广和/或管理现场表演艺术作品、体育赛事和类似活动的机构，他们在管理和运营的设施中或在其他人管理和运营的设施中履行服务。","简体中文"
"公共管理 (92)","公共管理部门由联邦、州和地方政府机构组成，这些机构负责管理、监督和治理公共项目，并对特定区域内的其他机构拥有行政、立法或司法权力。这些机构还制定政策、颁布法律、裁决民事和刑事法律案件，并为公共安全和国防提供保障。一般而言，公共管理部门的政府机构负责监督非私营机构执行的政府计划和活动。该部门的机构通常从事公共产品和服务生产的组织和融资，其中大部分是免费提供的或以不具有经济意义的价格提供。","简体中文"
"广播电视广播（5151）","该行业包括主要经营播音室和设施的机构，通过空中或卫星传送广播和电视节目。这些机构通常从事节目的制作或购买，或通过向广告商出售播出时间，通过受赠和补贴，或通过节目销售产生收入。","简体中文"
"房地产租赁 (53)","房地产和租赁部门包括主要从事出租、租赁或以其他方式允许使用有形或无形资产的机构，以及提供相关服务的机构。该部门的主要部分包括出租、租赁或以其他方式允许他人使用其资产的机构。资产可能是有形的，如房地产和设备；也可能是无形的，如专利和商标。","简体中文"
"宗教、资助、公民、专业和类似组织 (813)","宗教、资助、公民、专业和类似组织部门的机构，组织和促进宗教活动；通过拨款支持各种事业；倡导各种社会和政治事业；并促进和捍卫其成员的利益。","简体中文"
"维修和保养 (811)","维修和保养行业中的企业将机械、设备和其他产品恢复到正常工作状态。这些企业通常还对此类产品提供一般或日常维护（即服务），以确保它们有效工作并防止故障和不必要的维修。","简体中文"
"零售交易 (44-45)","零售交易部门包括从事零售商品（一般不进行改造）并提供与商品销售相关服务的企业。","简体中文"
"科研开发服务（5417）","该行业包括从事在系统基础上进行原始调查以获取新知识（研究）和/或应用研究结果或其他科学知识，以创造新的或显著改进的产品或工艺（实验开发）的企业。技术可能包括建模和模拟。该部门内的行业是根据研究领域界定的；也就是说，建立在科学专业知识上。","简体中文"
"专业设计服务 (5414)","该行业包括提供专业设计服务（建筑、工程和计算机系统设计除外）的机构。","简体中文"
"专业贸易承包商 (238)","专业贸易承包商部门包括其主要活动是执行特定活动（例如，浇筑混凝土、场地准备、管道、油漆和电气工作）的企业，这些活动涉及建筑施工或与所有类型建筑类似的其他活动，但不负责整个项目。执行的工作可能包括新工程、添加、更改、维护和修理。该部门的企业进行的生产工作，通常是从总承包商类型的企业或待售项目建筑商分包出去的，但（特别是）在改建和维修施工中，工作也可以直接为财产所有者完成。专业贸易承包商通常在建筑工地完成大部分工作，尽管他们可能在自有工厂进行预制和其他工作。主要从事为新建筑准备场地的机构也包括在该部门中。","简体中文"
"观赏性体育运动 (71121)","该行业包括：(1) 主要在付费观众面前参加现场体育赛事的运动队或俱乐部；(2) 主要经营赛马场的机构；(3) 在付费观众面前参与现场体育赛事或赛车比赛的独立运动员；(4) 主要从事赛车或其他观赏性体育赛事参赛的汽车、犬、马等参赛方的所有者；(5) 主要从事提供专业服务以支持体育赛事或比赛参与者的机构，例如体育教练。该行业中的运动队和俱乐部可能（也可能不）经营自己的竞技场、体育场或其他设施，来展示其比赛或其他观赏性体育赛事。","简体中文"
"体育用品、爱好、乐器和书店 (451)","体育用品、业余爱好、乐器和书店部门的企业从事运动设备或其他特定休闲活动用品（例如串线和乐器）的零售，并提供使用上述用品的专业知识。书店也包括在这个部门中。","简体中文"
"运输和仓储 (48-49)","运输和仓储部门包括提供客货运输、货物仓储、风景和观光运输以及与运输方式相关的支持活动的企业。该行业的企业使用运输设备或运输相关设施作为生产资产。设备的类型取决于运输方式。运输方式有航空、铁路、水路、公路和管道。","简体中文"
"运输设备制造 (336)","运输设备制造行业中的企业生产用于运输人员和货物的设备。运输设备是机械的一种。由于其经济规模在所有三个北美国家中的重要性，整个部门都致力于这项活动。","简体中文"
"公用事业 (22)","公用事业部门包括从事提供以下公用事业服务的机构：电力、天然气、蒸汽供应、供水和污水处理。在该部门内，与提供的公用事业服务相关的具体活动因公用事业而异：电力包括发电、输电和配电；天然气包括配送；蒸汽供应包括供应和/或分配；供水包括处理和分配；污水清除包括通过下水道系统和污水处理设施收集、处理和处置废物。","简体中文"
"废品管理和修复服务 (562)","废品管理和修复服务部门的企业从事废物材料收集、处理和处置。这包括从事下述业务的企业：当地废物运输；运营材料回收设施（即从垃圾流中分类可回收材料的设施）；提供补救服务（即提供清理受污染建筑物、矿场、土壤或地下水的服务）；以及提供抽粪池和其他杂项废物管理服务。该部门内的三个行业将这些活动分为废物收集、废物处理和处置，以及修复和其他废物管理。","简体中文"
"批发贸易 (42)","批发贸易部门包括从事批发商品（一般不进行改造）并提供与商品销售相关服务的企业。该部门所指的商品包括农业、采矿业、制造业和某些信息产业（例如出版业）的产出品。","简体中文"
"有线和无线电信运营商 (51731)","该行业包括主要从事运营、维护和/或提供对他们拥有和/或租赁的交换和传输设施以及基础设施进行访问的企业，用于使用有线和无线电信网络传输语音、数据、文本、声音和视频。传输设施可能基于单一技术或技术组合。作为例外，使用其运营的设施和基础设施提供卫星电视分发服务的企业也包括在该行业中。","简体中文"
"木制品制造 (321)","木制品制造行业中的企业生产木制品，例如木材、胶合板、单板、木容器、木地板、木桁架、预制房屋（即活动房屋）和预制木结构建筑。木制品制造行业的生产过程包括锯切、刨削、成型、层压和组装木制品，从切割成螺栓的原木或木材开始，然后可以进一步切割，或用车床或其他成型工具成型。木材或其他变形的木材形状也可以随后被刨平或平滑，并组装成成品，例如木容器。木制品制造部门包括使用锯切和成型的原木和螺栓制造木制品的企业，以及购买锯材和制造木制品的企业。除了锯木厂和木材防腐企业外，这些企业主要根据生产的特定产品分为不同的行业。","简体中文"
"住宿 (721)","住宿部門企業為旅行者、度假者和其他人提供住宿或短期住宿。這些行業有各種各樣的企業。有的只提供住宿，有的提供膳食、洗衣服務、娛樂設施和住宿。即使提供了能產生更多收入的額外服務，住宿場所也應歸入住宿部門。提供的額外服務類型因機構而異。","中國傳統的"
"住宿和餐飲服務 (72)","住宿和餐飲服務部門包括為客戶提供住宿和/或準備膳食、小吃和飲料以供即時消費的機構。該部門包括住宿和食品服務機構，因為這兩種服務通常在同一機構中進行。
該部門不包括公民和社會組織；遊樂園和休閒公園；劇院；以及其他提供餐飲服務的娛樂或娛樂場所。","中國傳統的"
"會計、稅務準備、簿記和薪資服務 (54121)","該行業包括主要從事提供服務的機構，例如審計會計記錄、設計會計系統、編制財務報表、制定預算、編制納稅申報表、處理工資單、簿記和計費。","中國傳統的"
"行政和支持以及廢物管理和補救服務 (56)","行政和支持以及廢物管理和補救服務部門包括為其他組織的日常運營執行例行支持活動的機構。這些基本活動通常由許多經濟部門的機構在內部進行。該部門的機構專門從事一項或多項此類支持活動，並向各行各業的客戶提供這些服務，在某些情況下，還為家庭提供這些服務。開展的活動包括：辦公室管理、人員招聘和安置、文件準備和類似文書服務、徵集、收集、安全和監視服務、清潔和廢物處理服務。","中國傳統的"
"廣告、公共關係及相關服務 (5418)","該行業包括主要從事廣告、公共關係和相關服務的機構，例如媒體購買、獨立媒體代理、戶外廣告、直郵廣告、廣告材料分發服務以及其他與廣告相關的服務。","中國傳統的"
"藝術家、運動員、藝人和其他公眾人物的代理人和經理 (711410)","該行業包括主要從事代表和/或管理創意和表演藝術家、體育人物、演藝人員和其他公眾人物的代理和經理機構。代理和管理包括代表客戶參與合同談判等活動；管理或組織客戶的財務事項；以及總體上促進其客戶的職業發展。","中國傳統的"
"農業、林業、漁業和狩獵 (11)","農業、林業、漁業和狩獵部門包括主要從事種植作物、飼養動物、收穫木材以及從農場、牧場或其自然棲息地收穫魚類和其他動物的機構。","中國傳統的"
"所有其他資訊服務 (519190)","該行業包括主要從事提供其他資訊服務的機構（新聞集團、圖書館、檔案館、互聯網出版和廣播以及網路搜索門戶除外）。","中國傳統的"
"遊樂園和遊樂場 (7131)","該行業包括主要從事經營遊樂園、遊樂場和遊樂館的機構。","中國傳統的"
"建築、工程及相關服務 (5413)","該行業包括主要從事建築、工程和相關服務的機構，例如繪圖服務、建築檢驗服務、地球物理測繪服務、測繪（地球物理除外）服務和測試服務。","中國傳統的"
"藝術、娛樂和休閒 (71)","藝術、娛樂和休閒行業包括各種經營設施或提供服務的機構，以滿足其顧客的各種文化、娛樂和休閒興趣。該行業包括 (1) 參與制作、推廣或參與供公眾觀看的現場表演、活動或展覽的機構；(2)保存和展示具有歷史、文化或教育意義的物品和遺址的機構；(3)經營設施或提供服務的場所，使顧客能夠參與娛樂活動或享受娛樂、愛好和休閒興趣。","中國傳統的"
"飲料製造 (3121)","該行業包括主要從事下述業務的機構：製造軟飲料和冰水；淨化和裝瓶水；以及生產啤酒廠、葡萄酒廠和蒸餾酒廠產品。","中國傳統的"
"建築材料、園藝設備和用品經銷商 (444)","建築材料、園藝設備和用品經銷商經銷商行業，在固定的銷售點零售新的建築材料、園藝設備和用品。該行業的企業擁有展示設備，用於處理木材和相關產品，以及可以存放在室內或室外覆蓋區域下的園藝設備和用品。工作人員通常熟悉在住宅和相關場地的建造、維修和維護中零售的特定產品的使用。","中國傳統的"
"服裝和服裝配飾店 (448)","服裝和服裝配飾店行業在固定的銷售點零售新的服裝和服裝配飾。該行業的企業擁有類似的展示設備和員工，他們對時尚趨勢以及款式、顏色以及服裝和配飾的組合、客戶特徵和品味的適當搭配瞭若指掌。","中國傳統的"
"服裝和紡織品製造 (313-316)","製造 (31) 部門包括從事將機械、物理或化學材料、物質或元件轉化為新產品的機構。製造產品的組成部分的組裝被視為製造，除非相關活動已適當地歸類在第23部分（建築）之中。","中國傳統的"
"電腦及電子產品製造 (334)","電腦和電子產品製造部門中的行業是指製造電腦、電腦週邊設備、通信設備和類似電子產品的企業，以及為此類產品製造元件的企業。","中國傳統的"
"建築 (23)","建築行業包括主要從事建築或工程項目（例如高速公路和公用事業系統）建設的機構。主要從事準備新建築用地的機構，和主要從事細分出售土地作為建築工地的機構，也包括在該部門中。","中國傳統的"
"信用仲介及相關活動 (522)","信貸仲介及相關活動部門集團機構中的行業 (1) 借出從存款人籌集的資金；(2) 將信貸市場借款籌集的資金貸出；(3) 透過從事抵押貸款經紀、票據交換所和儲備服務、支票兌現服務等活動，為資金借貸或信貸發行提供便利。","中國傳統的"
