"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Police","https://data.austintexas.gov/d/h8jq-pcz3","R2R 2016","dataset","334","2017-09-07T00:00:00.000","Annually","Public Safety","police,response to resistance,r2r,public safety","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/h3xg-ijts","Power Pole Accidents","dataset","331","2016-05-16T00:00:00.000","As Needed","Utilities and City Services","austin energy,power pole,power pole accidents,hit poles,hit pole,streetlight accidents","Austin Energy","shannon.wisner@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","N/A","N/A","1"
"Austin Transportation","https://data.austintexas.gov/d/m964-vp2q","Wayfinding Destinations","gis map","329","2017-09-21T00:00:00.000","As Needed","Locations and Maps","wayfinding,transportation,austin,pedestrian,traffic,destinations,attractions","jhrncir",,"Public Domain","City of Austin","http://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/wayfinding_destinations/FeatureServer",,,,,,"6"
"Economic Development","https://data.austintexas.gov/d/uuk6-933w","City of Austin Public Art Collection","dataset","329","2018-08-10T00:00:00.000","Annually","Recreation and Culture","art,culture,public,collection,aipp","FrankWick","EDD@austintexas.gov","Public Domain","Economic Development Department","http://www.austintexas.gov/department/art-in-public-places",,"Creative Economy","N/A","Cultural and Learning Opportunities","N/A","1"
,"https://data.austintexas.gov/d/aqjn-7bbi","Brownfield Site Map","gis map","328","2019-03-13T00:00:00.000",,"Locations and Maps","brownfield","erin.benoit@austintexas.gov",,"Public Domain",,,,,,,,"10"
"Financial Services","https://data.austintexas.gov/d/567b-4d24","Austin Finance Online eCheckbook Column Definitions","dataset","327","2014-04-15T00:00:00.000","As Needed","Budget and Finance","financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments,austin finance online","Chris",,"Public Domain","City of Austin Financial Services","https://www.austintexas.gov/financeonline/checkbook/index.cfm",,,,,,"6"
"Watershed Protection","https://data.austintexas.gov/d/33sj-9y9z","Eastern Watersheds Erosion Hazard Zones","gis map","327","2019-03-13T00:00:00.000","As Needed","Locations and Maps","erosion,fluvial geomorphology,creek,stream,watershed,geology,geomorphology,water resources,development,meander,migration,urbanization","Janna Renfro",,"Public Domain",,,,,,,,"8"
"Austin Convention Center","https://data.austintexas.gov/d/2e3p-8zzy","ACCD :: Discarded Materials – Fiscal Year 2014","dataset","321","2015-07-20T00:00:00.000","Annually","Utilities and City Services","convention center,recycle,reuse,landfill,waste","Chris G Hernandez","chris.hernandez@austintexas.gov","Public Domain","Austin Convention Cetner Department",,,"Green Infrastructure","Healthy Austin","Health","N/A","2"
"Austin Energy","https://data.austintexas.gov/d/6egj-ay6c","Solar For Schools","dataset","317","2016-10-14T00:00:00.000","As Needed","Utilities and City Services","solar for schools,solar,solar energy,solar power,energy conservation","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy",,,"Green Infrastructure","N/A","Government that Works for All of Us","N/A","2"
"Library","https://data.austintexas.gov/d/qunj-fzvx","Austin Public Library Social Media Presence","dataset","315","2018-09-24T00:00:00.000","As Needed","Recreation and Culture","library,social media","Sarah","Sarah.Cronin@austintexas.gov","Public Domain","Austin Public Library",,,"Workforce Development","Healthy Austin","Cultural and Learning Opportunities","Health","2"
"Public Information Office","https://data.austintexas.gov/d/q86y-e7vw","Proposed One- Day- Per- Week Watering Schedule","dataset","315","2016-02-11T00:00:00.000","As Needed","City Government",,"AustinGo",,"Public Domain",,,,,,,,"9"
"Austin Water","https://data.austintexas.gov/d/sbi4-ahzs","​​​Austin Water - Energy Consumption for All Plants","dataset","309","2018-10-12T00:00:00.000","Annually","Utilities and City Services","aw,kwh,treated,water,wastewater","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Parks & Recreation","https://data.austintexas.gov/d/8dff-2vkt","Recreation Centers","dataset","309","2016-05-11T00:00:00.000","As Needed","Recreation and Culture","recreation center,after school,teens,programs,athletics,fitness,seniors","Betty","parksmarketing@austintexas.gov","Public Domain","City of Austin Park and Recreation","http://www.austintexas.gov/recreation",,"Complete Communities (Imagine Austin vision)","N/A","Cultural and Learning Opportunities","N/A","1"
"Capital Planning Office","https://data.austintexas.gov/d/jcph-5cgq","Long-Range CIP Strategic Plan - Strategic Areas","gis map","308","2017-09-21T00:00:00.000","Annually","Locations and Maps","long range cip,cpo,cip,strategic areas","Ashley Parsons","ashley.parsons@austintexas.gov","Public Domain","City of Austin","https://www.austintexas.gov/department/draft-long-range-cip-strategic-plan",,,,,,"5"
"Austin Energy","https://data.austintexas.gov/d/vqjt-678g","Disconnects For Non-pay","dataset","306","2016-11-14T00:00:00.000","As Needed","Utilities and City Services","disconnect,utilities,delinquent,payment,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy",,,"N/A","N/A","N/A","N/A","2"
"Austin Transportation","https://data.austintexas.gov/d/4r2j-b4rx","Dynamic Message Signs (DMS)","dataset","306","2019-05-07T00:00:00.000","Hourly","Transportation and Mobility","safety,signs,transportation","Austin Transportation",,"Public Domain","City of Austin Transportation Department",,,,,,,"7"
,"https://data.austintexas.gov/d/uic2-id33","URO Recycling Master Affected Property List","dataset","304","2019-04-30T00:00:00.000",,"Utilities and City Services",,"ARROpenData",,"Public Domain","Austin Resource Recovery",,,,,,,"10"
"Management Services","https://data.austintexas.gov/d/qmwp-kjjs","2012 Bond Program Voter Results","dataset","194","2013-08-23T00:00:00.000","As Needed","City Government","2012 bond,election,votes","Ashley Parsons","ashley.parsons@austintexas.gov","Public Domain","City of Austin","http://www.data.austintexas.gov",,,,,,"5"
"Public Information Office","https://data.austintexas.gov/d/75gm-hb4x","AAQOL Community Comments Oct 27 2016","dataset","297","2016-10-27T00:00:00.000","As Needed","City Government","asian,asian american,quality of life,aaqol,austin,multicultural,asia,20131024-084,city manager,marion,marion sanchez,city council,community conversations,conversations over tea,visioning,department,aarc,themes","Marion Sanchez","marion.sanchez@AustinTexas.gov","Public Domain","Marion Sanchez: City of Austin, City Manager's Office, Communications & Public Information Office, Community Engagement","http://www.austintexas.gov/asianlifeaustin",,,,,,"5"
"Emergency Medical Services","https://data.austintexas.gov/d/6aie-5tjd","EMS - Annual Report Open Data Table","dataset","296","2018-08-02T00:00:00.000","Annually","Public Safety","annual report,performance data,ems,atcems,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County Emergency Medical Services","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/jttf-iwhx","Purchase Power Agreements","dataset","295","2016-08-02T00:00:00.000","As Needed","Utilities and City Services","purchase power agreements,renewable energy,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"Green Infrastructure","Creative Economy","Government that Works for All of Us","N/A","1"
"Austin Water","https://data.austintexas.gov/d/8ih9-dnxa","Austin Water - Dillo Dirt Vendors","dataset","295","2018-10-24T00:00:00.000","As Needed","Utilities and City Services","aw,water,wastewater,dillo dirt","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"N/A",,"N/A",,"4"
"City Clerk","https://data.austintexas.gov/d/58ix-34ma","Lobbyist - Registrants","dataset","292","2019-05-02T00:00:00.000","As Needed","City Government","lobbyist,ethics,city clerk,business entity","City of Austin - Lobbyists","lobbyists@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Communication and Technology Management","https://data.austintexas.gov/d/4etb-jk4d","Future Land Use","gis map","292","2018-01-25T00:00:00.000","Weekly","Locations and Maps","future land use map. flum,planning,neighborhood,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/ppk6-q5mg","Subdivision","gis map","289","2019-04-16T00:00:00.000","Daily","Locations and Maps","agoltosocrata","EGS Data Services",,"Public Domain","Development Services",,,,,,,"7"
"Municipal Court","https://data.austintexas.gov/d/sy52-ckds","Municipal Court Caseload Information FY 2017","dataset","287","2019-04-18T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Jim Warren","jim.warren@austintexas.gov","Public Domain","City of Austin, Municipal Court","https://www.austintexas.gov/AmcPublicInquiry/pubportal.aspx?ReturnUrl=%2fAmcPublicInquiry%2fsearch%2fdocketsearch.aspx",,"N/A","N/A","N/A","N/A","1"
"Austin Resource Recovery","https://data.austintexas.gov/d/afb5-r2ni","Recycle Right Campaign Routes","gis map","286","2018-06-07T00:00:00.000","As Needed","Locations and Maps","recycling,recycle right","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","http://www.austintexas.gov/department/resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/b2z2-zp7a","Neighborhood Plan Status","gis map","286","2019-04-17T00:00:00.000","Weekly","Locations and Maps","neighborhood,planning,areas,npa,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,"Land Development Regulations (CodeNEXT)","Compact & Connected","Government that Works for All of Us","N/A","3"
"Austin Energy","https://data.austintexas.gov/d/6yrz-de8g","System Fuel Cost Average","dataset","285","2016-08-02T00:00:00.000","As Needed","Utilities and City Services","system fuel cost average,energy,austin energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"Fleet Services","https://data.austintexas.gov/d/5j2i-tq4k","COA FUEL BY DEPARTMENT","dataset","282","2019-05-07T00:00:00.000","As Needed","City Government",,"Fleet Services","fleettechnicalservices@austintexas.gov","Public Domain",,,,,,,,"8"
"City Clerk","https://data.austintexas.gov/d/7ena-g23u","Lobbyist - Clients","dataset","280","2019-05-02T00:00:00.000","As Needed","City Government","lobbyist,ethics,financial,city clerk","City of Austin - Lobbyists","lobbyists@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Communication and Technology Management","https://data.austintexas.gov/d/h73i-geqi","Underground Storage Tanks","gis map","279","2019-04-17T00:00:00.000","Monthly","Locations and Maps","underground storage tanks,gas tanks,historical underground storage tanks,ust,structure,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,"N/A",,"N/A",,"5"
"Communication and Technology Management","https://data.austintexas.gov/d/kxhq-vqsq","Community Registry","gis map","278","2019-04-16T00:00:00.000","Weekly","Locations and Maps","community registry,public information office,neighborhood groups,neighborhood associations,agoltosocrata","EGS Data Services",,"Public Domain","Public Information Office",,,,,,,"7"
"Austin Convention Center","https://data.austintexas.gov/d/y6ng-5ymj","ACCD :: Discarded Materials – Fiscal Year 2013","dataset","275","2015-07-20T00:00:00.000","Annually","Utilities and City Services","convention center,recycle,reuse,landfill,waste","Chris G Hernandez",,"Public Domain","Austin Convention Center Department",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/isev-msr7","Debt Service Coverage Ratio","dataset","273","2017-04-18T00:00:00.000","Annually","Utilities and City Services","debt service,finance,austin energy,utilities,bond ratings,equity,debt","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/corporate-reports",,"N/A","N/A","Government that Works for All of Us","N/A","1"
,"https://data.austintexas.gov/d/bj3a-ar3q","Recycling Routes","gis map","273","2019-03-13T00:00:00.000",,"Locations and Maps","recycling,route,arr","Thomas Montgomery",,"Public Domain",,,,,,,,"10"
"Capital Planning Office","https://data.austintexas.gov/d/84xi-bque","Long-Range CIP Strategic Plan - Strategic Investment Areas","gis map","272","2017-09-21T00:00:00.000","Annually","Locations and Maps","lrcsp strategic investment areas,cip,cpo","Ashley Parsons","ashley.parsons@austintexas.gov","Public Domain","City of Austin","https://www.austintexas.gov/department/draft-long-range-cip-strategic-plan",,,,,,"5"
"Austin Water","https://data.austintexas.gov/d/eyec-w6nz","Austin Water - Registered Water Services Technicians","dataset","271","2018-10-24T00:00:00.000","As Needed","Utilities and City Services","aw,water,technicians","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Austin Code Department","https://data.austintexas.gov/d/ge82-ij4h","Repeat Offender Property Deficiencies","dataset","269","2019-05-03T00:00:00.000","Weekly","Health and Community Services","code,violation,housing,safety,health","Nate Brigmon","ACDITStaff@austintexas.gov","Creative Commons 1.0 Universal (Public Domain Dedication)","Austin Code Department","http://www.austintexas.gov/department/repeat-offender-program",,"N/A","N/A","N/A","N/A","1"
"City Clerk","https://data.austintexas.gov/d/teb3-cwz9","Campaign Finance - Loans Dataset","dataset","269","2019-05-02T00:00:00.000","As Needed","City Government","election,financial,campaign finance,city clerk,loans","City of Austin - Elections","elections@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Emergency Medical Services","https://data.austintexas.gov/d/cp98-xi7y","EMS - Communications - MPDS Compliance","dataset","267","2019-04-16T00:00:00.000","Monthly","Public Safety","ems,atcems,communications,mpds,operations,dispatch,call taking,triage,911,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Comunications","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Watershed Protection","https://data.austintexas.gov/d/juvk-qass","Gated Low Water Crossings","gis map","267","2019-03-21T00:00:00.000","As Needed","Locations and Maps","flood,austin,central texas,low water crossing gates,flood early warning system","Rob",,"Public Domain","City of Austin Watershed Protection","http://atxfloods.com",,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/ij6a-fwpi","Parking Lot Entranaces and Exits","dataset","266","2016-12-12T00:00:00.000","Annually","Transportation and Mobility","parking,atx,austin,transportation,surface parking,parking lot,parking garage,mobility,transit","Austin Transportation","john.clary@austintexas.gov","Public Domain","City of Austin Transportation Department",,,,,,,"6"
"Austin Public Health","https://data.austintexas.gov/d/2t4x-8jhn","WIC Participation Data for Austin Public Health","dataset","263","2018-08-08T00:00:00.000","Monthly","Health and Community Services","wic,nutrition,women,infant,children mother","Stefan Wray","PublicHealthOpenData@austintexas.gov","Public Domain","Texas Health and Human Services","https://www.dshs.texas.gov/wichd/",,"Healthy Austin",,"Health",,"3"
"Austin Convention Center","https://data.austintexas.gov/d/bvdj-b937","ACCD :: Discarded Materials – Fiscal Year 2015","dataset","262","2016-01-25T00:00:00.000","Annually","Utilities and City Services","accd,convention center,recycle,recycling","Chris G Hernandez","chris.hernandez@austintexas.org","Public Domain U.S. Government","Austin Convention Center Department",,,,,,,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/h4as-bnn4","Analytics Austin GO Mobile Views","dataset","261","2013-05-03T00:00:00.000","Monthly","City Government","google analytics,statistics,mobile views","Divya Rathanlal",,"Public Domain",,,,,,,,"8"
"Communication and Technology Management","https://data.austintexas.gov/d/k4sq-5xm6","Imagine Austin Centers","gis map","261","2019-04-17T00:00:00.000","Weekly","Locations and Maps","comprehensive,planning,urban,imagine,austin,centers,growth,development,preservation,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,"Compact & Connected","Land Development Regulations (CodeNEXT)","Government that Works for All of Us","N/A","3"
"Parks & Recreation","https://data.austintexas.gov/d/kp5v-bj5i","Parkranger 2016 10","dataset","261","2018-11-09T00:00:00.000","As Needed","Recreation and Culture","park ranger,outdoor,wildlife,urban,bird,cottage,dog","Betty","parksmarketing@austintexas.gov","Public Domain","City of Austin Park and Recreation","http://www.austintexas.gov/parkrangers",,"Complete Communities (Imagine Austin vision)","N/A","Cultural and Learning Opportunities","N/A","1"
"Emergency Medical Services","https://data.austintexas.gov/d/xk4x-hrkq","EMS - FY2016 Annual Report Revenue Table","dataset","259","2017-06-21T00:00:00.000","As Needed","Budget and Finance","fy2016,annual report,revenue,ems,atcems,911,ambulance,austin,travis county,emergency medical services","David Andersen","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County Emergency Medical Services Budget & Finance","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Law","https://data.austintexas.gov/d/3tiy-6kg3","Claim Settlements for City of Austin","dataset","256","2015-08-11T00:00:00.000","Quarterly","City Government","claims,law,accident,paid,auto,liability","ledelc","christopher.ledel@austintexas.gov","Public Domain","COA Law Department","http://austintexas.gov/department/law/faq",,,,,,"5"
"Municipal Court","https://data.austintexas.gov/d/d98x-72q3","Municipal Court Caseload Information FY 2018","dataset","255","2019-04-18T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Jim Warren","jim.warren@austintexas.gov","Public Domain","City of Austin, Municipal Court","https://www.austintexas.gov/AmcPublicInquiry/pubportal.aspx?ReturnUrl=%2fAmcPublicInquiry%2fsearch%2fdocketsearch.aspx",,"N/A","N/A","N/A","N/A","1"
"Austin Transportation","https://data.austintexas.gov/d/g8w2-8uap","Traffic Signal Re-Timing","dataset","249","2019-04-27T00:00:00.000","Daily","Transportation and Mobility","transportation,transit,mobility,traffic signals,austin,re-timing","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department - Arterial Management Division",,,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/b87j-3i3i","Medically Vulnerable Program","dataset","246","2016-10-28T00:00:00.000","As Needed","Utilities and City Services","medically vulnerable,illness,social service,bill,help","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Healthy Austin","Household Affordability","Health","Economic Opportunity and Affordability","2"
"Austin Resource Recovery","https://data.austintexas.gov/d/95nz-ruth","Brush Collection Routes","gis map","246","2018-07-12T00:00:00.000","As Needed","Locations and Maps","brush,collection,route,austin resource recovery,arr","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Emergency Medical Services","https://data.austintexas.gov/d/2cxe-9vbj","EMS - Quarterly OMD Clinical Performance Indicators","dataset","244","2019-04-19T00:00:00.000","Quarterly","Health and Community Services","ems,atcems,clinical data,clinical performance,clinical measures,patient care,stroke,stemi,trauma,alert,cpi,omd,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"City Clerk","https://data.austintexas.gov/d/aahu-djdd","Lobbyist - Reports","dataset","218","2019-05-02T00:00:00.000","As Needed","City Government","lobbyist,ethics,financial,city clerk","City of Austin - Lobbyists","lobbyists@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Capital Planning Office","https://data.austintexas.gov/d/psd6-eiah","Proposed Corridor Construction Program","dataset","241","2018-02-23T00:00:00.000","As Needed","City Infrastructure","2016 mobility bond,2016 bond,corridor construction program,road projects,sidewalk projects,bicycle projects,traffic signals,pavement rehabilitation,corridors","saradanae","corridors@austintexas.gov","Public Domain","City of Austin Corridor Program Office","http://www.austintexas.gov/corridoroffice",,"Compact & Connected","Complete Communities (Imagine Austin vision)","Mobility",,"2"
"Austin Energy","https://data.austintexas.gov/d/gdnf-za7q","Electric Utility Discount Program By Year","dataset","240","2018-12-04T00:00:00.000","Annually","Utilities and City Services","electric utility,discount program,electric utility discount,customer assistance program","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com",,"Household Affordability","N/A","Economic Opportunity and Affordability","N/A","1"
"Austin Resource Recovery","https://data.austintexas.gov/d/vadr-q7p7","Pay As You Throw (PAYT) Routes","gis map","240","2018-06-07T00:00:00.000","As Needed","Locations and Maps","garbage,pay as you throw,trash,routes,waste","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Economic Development","https://data.austintexas.gov/d/ad59-ajf8","Creative Space Survey 2017- Individual Artists","dataset","238","2018-07-06T00:00:00.000","As Needed","Recreation and Culture","creative space,arts,cultural arts division,artist","Shirley Rempe","culturalarts@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://austintexas.gov/creativespacesurvey",,"Creative Economy","Creative Economy","Cultural and Learning Opportunities","Cultural and Learning Opportunities","1"
"Development Services","https://data.austintexas.gov/d/nbzi-qabm","Zoning by Address","dataset","234","2018-09-14T00:00:00.000","Daily","Locations and Maps","zoning,addresses,planning,development","DSD Open Data","paul.frank@austintexas.gov","Public Domain","City of Austin Development Services",,,,,,,"6"
"Watershed Protection","https://data.austintexas.gov/d/2c74-xuqw","Stream Restoration Projects","gis map","233","2017-09-21T00:00:00.000","As Needed","Locations and Maps","water quality,erosion,threatened,structures,trees","Rob",,"Public Domain","City of Austin, Watershed Protection","http://www.austintexas.gov/department/watershed-protection/projects",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/gzz4-cedg","Green Building Education","dataset","230","2018-01-18T00:00:00.000","Annually","Environment","green building,education,seminars,graduates,energy,austin energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://greenbuilding.austinenergy.com/aegb/",,"Green Infrastructure","Complete Communities (Imagine Austin vision)","Cultural and Learning Opportunities","N/A","1"
"Emergency Medical Services","https://data.austintexas.gov/d/2mb6-tu96","EMS - Monthly Finance Measures","dataset","229","2019-04-12T00:00:00.000","Monthly","Budget and Finance","ems,atcems,revenue collection,business processes,finance,administration,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Budget & Finance","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/i7vh-fpaj","Green Building Energy Code Compliance","dataset","228","2018-01-18T00:00:00.000","Annually","Utilities and City Services","austin energy,green building,code,compliance,conservation","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","Land Development Regulations (CodeNEXT)","Government that Works for All of Us","N/A","2"
"Office of Real Estate","https://data.austintexas.gov/d/3a2g-g96r","Property Leased by the City of Austin through the Office of Real Estate Services","gis map","228","2017-09-21T00:00:00.000","As Needed","Locations and Maps","office of real estate services,ores,property,city-owned,leased","Charles Boas",,"Public Domain","City of Austin Office of Real Estate Services","http://www.austintexas.gov",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/etsz-sahk","2015-2017: ECAD Residential Audit Data","dataset","227","2018-05-16T00:00:00.000","As Needed","Utilities and City Services","ecad,energy benchmarking,energy audit","Jessica Galloway","Andrew.tighe@austinenergy.com","Public Domain",,,,"Household Affordability","Green Infrastructure","Economic Opportunity and Affordability","Government that Works for All of Us","3"
"Austin Energy","https://data.austintexas.gov/d/3kyh-ggqg","Solar On City Facilities","dataset","226","2016-11-14T00:00:00.000","As Needed","Utilities and City Services","solar,energy,electric","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/green-power/solar-solutions/solar-solutions",,"Green Infrastructure","N/A","N/A","N/A","1"
"Austin Water","https://data.austintexas.gov/d/pbam-er2r","Austin Water - List of Active Liquid Waste Haulers","dataset","224","2018-10-24T00:00:00.000","As Needed","Utilities and City Services","aw,water,waste haulers","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Austin Public Health","https://data.austintexas.gov/d/iicu-im5w","Social Service Vendor Main Headquarter Locations","dataset","223","2017-03-13T00:00:00.000","As Needed","Health and Community Services","social services,non-profit,non profit,locations","Allan","PublicHealthOpenData@austintexas.gov","Public Domain","Austin Public Health","http://austintexas.gov/department/health",,"Healthy Austin","Household Affordability","Health","Economic Opportunity and Affordability","1"
"Public Works","https://data.austintexas.gov/d/pc5y-5bpw","Sidewalks","gis map","223","2019-04-16T00:00:00.000","As Needed","Locations and Maps","sidewalk,sidewalks,network,pedestrian,transportation,mobility,infrastructure","EGS Data Services","PWDOpenData@austintexas.gov","Public Domain","Communications and Technology Department",,,"Compact & Connected","N/A","Mobility","Government that Works for All of Us","2"
"Austin Energy","https://data.austintexas.gov/d/d683-uqui","System Production Cost","dataset","220","2016-09-09T00:00:00.000","Annually","Utilities and City Services","system production cost,average system production cost,energy production,cost,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"Economic Development","https://data.austintexas.gov/d/pzmf-qcv7","COA Key Indicators Pilot","dataset","220","2015-10-22T00:00:00.000","As Needed","City Government",,"Julia Campbell","EDD@austintexas.gov","Public Domain","Economic Development Department","http://www.austintexas.gov/department/economic-development",,,,,,"6"
"Building Services","https://data.austintexas.gov/d/7pv3-htyn","EPA Energy Star Portfolio Manager Score","dataset","219","2017-10-05T00:00:00.000","Annually","City Government","building services,bsd,epa,portfolio manager score","Korrie Johnson","building.services@austintexas.gov","Public Domain","Building Services Department",,,"N/A",,"Government that Works for All of Us",,"4"
"Communication and Technology Management","https://data.austintexas.gov/d/six2-p7d6","Marbella Annexation","gis map","218","2019-03-29T00:00:00.000","As Needed","Locations and Maps","marbella,annexation,street ranges","Sara",,"Public Domain",,,,"Land Development Regulations (CodeNEXT)","Household Affordability","Government that Works for All of Us","N/A","4"
"Austin Energy","https://data.austintexas.gov/d/h47z-b72v","Energy Efficiency Program Participation","dataset","217","2016-12-15T00:00:00.000","Annually","Utilities and City Services","energy efficiency,energy,power,climate protection","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/energy-efficiency",,"Green Infrastructure","N/A","N/A","N/A","1"
"Austin Water","https://data.austintexas.gov/d/6v99-vnq3","Austin Water - Wastewater Service Connection Count By Zip Code","dataset","217","2018-10-12T00:00:00.000","Annually","Utilities and City Services","aw,wastewater,services,count","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Austin Police","https://data.austintexas.gov/d/3t4q-mqs5","2017 Annual Crime","dataset","211","2018-09-25T00:00:00.000","As Needed","Public Safety","police,annual crime,public safety","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/rs4a-x7f5","ECAD  2017 Commercial Annual Benchmarking (7/25/2018)","dataset","208","2018-07-25T00:00:00.000","Annually","City Government","ecad,energy portfolio manager,epa,energy benchmarking","Jessica Galloway","Jessica.Galloway@austinenergy.com","Public Domain","Austin Energy",,,,,,,"6"
"Austin Public Health","https://data.austintexas.gov/d/53bh-5yzd","Most Popular Baby Names 2008-2017 City Of Austin","dataset","208","2018-08-14T00:00:00.000","Annually","Health and Community Services","names,girls,boys","Jeff","Jeff.Taylor@austintexas.gov","Public Domain","Office of Vital Records, Austin Public Health","http://www.austintexas.gov/birthcertificates",,"Healthy Austin",,"Health",,"3"
