"bill_number","title","sponsor","final_status"
"HB 0714","Bay Restoration Fund - Intended Use Plans and Privately Owned Wastewater Facilities","Dana Stein","House - Passed Enrolled"
"HB 0269","Juvenile Law - Child Interrogation Protection Act","Sandy Bartlett","Senate - Referred Rules"
"HB 0299","Labor and Employment - Employment Standards and Conditions - Definition of Employer","Speaker","House - Unfavorable Report by Economic Matters"
"SB 0348","Conservation Finance Act","Sarah Elfreth","Senate - Passed Enrolled"
"HB 0061","Charter Counties - Enforcement of Local Building Performance Laws (Building Energy Performance Standards Act of 2022)","Vaughn Stewart","House - Hearing 1/19 at 1:00 p.m."
"SB 0163","Election Law - Ballots - Processing and Reporting Procedures","Cheryl Kagan","Senate - Passed Enrolled"
"HB 0030","Election Law - Polling Sites - Firearms Prohibitions","Shaneka Henson","House - Hearing 1/19 at 1:00 p.m."
"HB 1160","Mental Health Law - Reform of Laws and Delivery of Service","Nicholaus Kipke","House - Withdrawn by Sponsor"
"SB 0833","Cannabis Reform","Brian Feldman","House - Referred Rules and Executive Nominations"
"HB 1478","Hemp Farming Program - Use of Hemp and Hemp Products in Consumable Products","David Fraser-hidalgo","House - Rereferred to Environment and Transportation"
"HB 0537","Housing and Community Development - Homeowner's Extreme Weather Mitigation and Preparation Grant Program","Julian Ivey","House - Unfavorable Report by Environment and Transportation"
"HB 0706","Maryland Department of Emergency Management - Office of Resilience","Sheree Sample-Hughes","Senate - Favorable Report by Education, Health, and Environmental Affairs"
"HB 0551","Real Property - Residential Leases - Notification of Rent Increases","Melissa Wells","Senate - Hearing 3/31 at 1:00 p.m."
"SB 0263","Health - Food Service Facilities - Beverage Options With Children's Meals","Pamela Beidle","House - Withdrawn by Sponsor"
"SB 0850","Criminal Procedure - Restorative Justice Program","Chris West","Senate - Withdrawn by Sponsor"
"SB 0107","State Government - State and Local Government Employees and Contractors - Cybersecurity Training","Michael Jackson","Senate - Hearing 3/03 at 1:00 p.m."
"SB 0308","Environment - Statewide Green Business Certification Program","Clarence Lam","Senate - Hearing 2/02 at 1:00 p.m."
"SB 0541","Natural Resources - Maryland Park Service and State Parks - Alterations (Great Maryland Outdoors Act)","Sarah Elfreth","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 39"
"SB 0350","Maryland Medical Assistance Program - Community Violence Prevention Services","Charles Sydnor","Senate - Returned Passed"
"HB 1413","Child Support Enforcement - License Applications - Taxpayer Identification Number","David Moon","House - First Reading House Rules and Executive Nominations"
"SB 0479","Environment - On-Site Wastewater Services - Regulation","Katie Hester","House - Referred Rules and Executive Nominations"
"SB 0552","Environment - Climate Crisis Plan - Requirement (Better Together to Save Our Weather Act of 2022)","Benjamin Kramer","Senate - Hearing 2/24 at 1:00 p.m."
"HB 0814","Environment - Statewide Green Business Certification Program","Emily Shetty","House - Hearing 2/23 at 1:00 p.m."
"HB 0279","Veterans Affairs - Communications, Outreach, and Advocacy Program - Veterans Advocacy and Education Act","Mike Rogers","House - Passed Enrolled"
"SB 0372","Environment - Sealant Products - Prohibitions (Safer Sealant Act of 2022)","Cheryl Kagan","Senate - Returned Passed"
"SB 0939","Tax Sales - Property Maintenance and Nuisance Condition Violation Judgments","George Edwards","Senate - First Reading Senate Rules"
"HB 1349","Education Support Professionals - Bonus and Report","Shaneka Henson","House - Returned Passed"
"SB 0901","Property Tax - Elderly Individuals and Veterans Tax Credit - Amount and Duration","Stephen Hershey","Senate - Returned Passed"
"HB 0428","Election Law - Foreign Manufacture of Election Systems - Notification and Termination of Contract","Samuel Rosenberg","Senate - Hearing 3/23 at 1:00 p.m."
"HB 0233","Montgomery County - Alcoholic Beverages - Class 7 Micro-Brewery License and Licenses in the Town of Kensington MC 07-22","Montgomery County Delegation","House - Returned Passed"
"SB 0907","Elections - Polling Place Location Restrictions - Repeal","Bryan Simonaire","Senate - Returned Passed"
"SB 0514","Transportation - Investment Program - MARC Rail Service (Maryland Regional Rail Transformation Act)","Pamela Beidle","House - Gubernatorial Veto Override (Legislative date: 4/8/2022) - Chapter 52"
"HB 0983","Housing and Community Development - Expansion of Affordable Housing - County Grants","Jheanelle Wilkins","House - Withdrawn by Sponsor"
"SB 0072","Minority Participation in the Alcoholic Beverages Industry - Study","Obie Patterson","House - Favorable Adopted Second Reading Passed"
"HB 0140","Real Property - Condominiums and Homeowners Associations - Governing Bodies and Annual Meetings","Marvin Holmes","House - Withdrawn by Sponsor"
"SB 0044","Crimes - Unattended Dogs - Extreme Weather Conditions and Heat","Chris West","Senate - Returned Passed"
"SB 0090","Department of the Environment - Supplemental Environmental Projects Database","Chris West","Senate - Returned Passed"
"HB 0523","St. Mary's County - Newspaper or Newspaper in General Circulation - Definition","St. Mary's County Delegation","House - Hearing 3/01 at 1:30 p.m."
"HB 0923","Property Tax - Exemption for Dwellings of Surviving Spouses of Disabled Veterans - Application","Kriselda Valderrama","House - Hearing 2/22 at 1:00 p.m."
"SB 0768","Criminal Law - Victims of Child Sex Trafficking and Human Trafficking - Safe Harbor and Service Response","Susan Lee","House - Referred Rules and Executive Nominations"
"HB 1202","Local Government Cybersecurity - Coordination and Operations (Local Cybersecurity Support Act of 2022)","Pat Young","House - Passed Enrolled"
"HB 0795","Gross Receipts Tax on Short-Term Lease or Rental of Heavy Equipment - Alterations","Eric Luedtke","House - Returned Passed"
"SB 0291","Creation of a State Debt - Maryland Consolidated Capital Bond Loan of 2022, and the Maryland Consolidated Capital Bond Loans of 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, and 2021","President","Senate - Passed Enrolled"
"SB 0099","Cigarettes, Tobacco Products, and Electronic Smoking Devices - Local Law Authorization","Benjamin Kramer","Senate - Hearing 1/27 at 2:00 p.m."
"HB 1044","Public Safety - Use of Force Incident Reports","Nicole Williams","House - Hearing 3/01 at 1:00 p.m."
"SB 0764","Childhood Exposure to Violence - Health and Social Impacts - Public Awareness Campaign Workgroup","Charles Sydnor","Senate - Withdrawn by Sponsor"
"HB 1029","Maryland Higher Education Commission - Access to Mental Health Advisory Committee - Establishment","Geraldine Valentino-Smith","House - Hearing 3/15 at 1:00 p.m."
"HB 1352","Health and Wellness Standards - Correctional Facilities","Terri Hill","House - Hearing 3/09 at 3:00 p.m. (Health and Government Operations)"
"HB 0425","Public Safety - Untraceable Firearms","Lesley Lopez","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 18"
"HB 0365","Public School Construction - Fossil Fuel-Based Energy System Costs - Prohibition (Green School Construction Act of 2022)","Marc Korman","House - Hearing 2/08 at 1:00 p.m."
"SB 0877","Criminal Law - Animal Cruelty - Petition for Costs for Care of Seized Animal","Jeff Waldstreicher","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0006","Landlord and Tenant - Residential Leases - Tenant Rights and Protections (Tenant Protection Act of 2022)","Jeff Waldstreicher","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 34"
"SB 0659","Maryland Medical Assistance Program - Psychiatric Inpatient Care - Admissions Restrictions (Psychiatric Hospital Admissions Equity Act)","Joanne Benson","House - Referred Rules and Executive Nominations"
"SB 0101","Election Law - Contested Elections","Cheryl Kagan","Senate - Returned Passed"
"HB 0525","Montgomery County Council and Prince George's County Council - Candidate Residency Requirements","Ben Barnes","House - Hearing 2/08 at 1:00 p.m."
"SB 0744","Housing and Community Development - Affordable Housing - Excess Real Property","Shelly Hettleman","Senate - Passed Enrolled"
"HB 0129","Behavioral Health Crisis Response Services and Public Safety Answering Points - Modifications","Lorig Charkoudian","House - Returned Passed"
"HB 0270","Business Regulation - Innkeepers - Maintenance of Guest Records and Employee Human Trafficking Awareness Training and Policy","Eric Ebersole","House - Passed Enrolled"
"HB 0727","Natural Resources - Maryland Park Service and State Parks - Alterations (Great Maryland Outdoors Act)","Eric Luedtke","House - Hearing 2/23 at 1:00 p.m. (Environment and Transportation)"
"HB 0117","Cooperative Housing Corporations and Condominium Associations - Evidence of Insurance","Vaughn Stewart","House - Hearing 1/18 at 1:00 p.m."
"SB 0299","Education - Public and Nonpublic Schools - Seizure Action Plans (Brynleigh's Act)","Ronald Young","Senate - Passed Enrolled"
"HB 1019","Transportation - Elderly and Handicapped Transportation Service - County Funding","Karen Young","Senate - Rereferred to Budget and Taxation"
"SB 0273","Environment - PFAS Chemicals - Prohibitions and Requirements (George ""Walter"" Taylor Act)","Sarah Elfreth","Senate - Passed Enrolled"
"HB 0023","School Discipline - Data Collection","Alonzo Washington","Senate - Hearing 4/05 at 1:00 p.m."
"HB 0628","Employment - Workers"" Compensation and Workplace Discrimination - Use of Medical Cannabis","Karen Young","House - Unfavorable Report by Economic Matters"
"HB 0494","Public Safety - Police Athletic League Grant Fund - Establishment","Carl Jackson","House - Hearing 2/15 at 1:00 p.m."
"HB 1171","Declaration of Rights - Right to Reproductive Liberty","Adrienne Jones","Senate - Hearing 3/30 at 1:00 p.m."
"HB 0114","Access to Counsel in Immigration Proceedings Program","Nicole Williams","House - Hearing 2/02 at 1:00 p.m."
"HB 0979","Tax Sales - Homeowner Protection Program - Automatic Enrollment and Funding","Anne Kaiser","House - Hearing 3/01 at 1:00 p.m."
"HB 1039","Property Tax - Community Solar Energy Generating Systems - Agrivoltaics","Eric Luedtke","House - Passed Enrolled"
"SB 0230","Health Occupations - Service Members, Veterans, and Military Spouses - Temporary Licensure, Certification, Registration, and Permitting","Michael Jackson","House - Hearing 3/24 at 1:30 p.m."
"HB 0407","Health Occupations - Health Care Staffing Shortage Emergency - Declaration and Licensing and Practice Requirements (Health Care Heroes Act of 2022)","Carl Anderton","House - Hearing 2/10 at 1:30 p.m."
"SB 0989","Election Law - Absentee Ballot Envelopes - Party Affiliation","Arthur Ellis","Senate - First Reading Senate Rules"
"SB 0654","Veterans Affairs - Communications, Outreach, and Advocacy Program - Veterans Advocacy and Education Act","Katherine Klausmeier","Senate - Passed Enrolled"
"HB 0685","Education - Regional Resource Centers and Libraries - Funding","Chanel Branch","House - Passed Enrolled"
"HB 0408","Statewide Targeted Overdose Prevention (STOP) Act of 2022","Carl Anderton","House - Hearing 2/16 at 1:30 p.m."
"HB 1158","Driving Under the Influence of Alcohol - Subsequent Offenders - Mandatory Ignition Interlock","Barrie Ciliberti","House - Withdrawn by Sponsor"
"SB 0762","Criminal Procedure - Facial Recognition Technology - Requirements, Procedures, and Prohibitions","Charles Sydnor","Senate - Hearing 3/10 at 1:00 p.m."
"SB 0328","Criminal Law - Stalking - Definition","Jeff Waldstreicher","Senate - Returned Passed"
"HB 1240","Education - Low-Density Calculation - Mandated Funding","Jay Jacobs","House - Hearing 3/15 at 1:00 p.m."
"SB 0653","Drunk Driving Offenses - Ignition Interlock System Program","Jeff Waldstreicher","Senate - Hearing 3/03 at 1:00 p.m."
"SB 1001","Property Tax - Withholding of Property From Tax Sale - Demolition","George Edwards","Senate - First Reading Senate Rules"
"HB 0201","Election Law - Voter Registration Drive - High Schools","Ariana Kelly","House - Withdrawn by Sponsor"
"HB 1046","Criminal Procedure - Facial Recognition Technology - Requirements, Procedures, and Prohibitions","David Moon","House - Hearing 2/22 at 1:00 p.m."
"SB 0111","Occupational Licenses or Certificates - Pre-application Determinations - Criminal Convictions","Cory McCray","Senate - Hearing 2/01 at 1:00 p.m."
"HB 0656","Safe Access for All (SAFE) Roads Act of 2022","Lorig Charkoudian","Senate - Referred Finance"
"HB 0788","State and Local Parks - Child Safe Zone Program - Establishment (Equitable Access to Safe Parks Act)","Dana Stein","House - Hearing 2/23 at 1:00 p.m."
"HB 0708","Comprehensive Climate Solutions","Kumar Barve","House - Hearing 3/04 at 1:00 p.m."
"HB 1017","Frederick County - Mental Health Law - Assisted Outpatient Treatment Pilot Program","Karen Young","House - Hearing 3/09 at 3:00 p.m."
"HB 0496","Commission on the Establishment of a Family and Medical Leave Insurance Program","C.T. Wilson","House - Passed Enrolled"
"HB 1051","Elderly Individuals - Howard County and Montgomery County Adult Day Health Care Services Pilot Program and Task Force","Ariana Kelly","House - Returned Passed"
"SB 0698","Alcoholic Beverages - Maryland Alcohol Manufacturing and Promotion","Craig Zucker","Senate - Passed Enrolled"
"HB 0916","Higher Education - Programs for Behavioral Health Professionals in Primary and Secondary Schools - Requirements and Grant Program","Kirill Reznik","House - Hearing 3/10 at 1:00 p.m."
"HB 0341","Public Service Commission - Reporting Requirements","Benjamin Brooks","House - Returned Passed"
"HB 1060","Residential Owners in Common Ownership Communities Bill of Rights","Marvin Holmes","House - Withdrawn by Sponsor"
"HB 0318","Environment - On-Site Wastewater Services - Regulation","Dana Stein","House - Returned Passed"
"HB 1128","Public Health - Secretary of Health - Indoor Masking Orders","Shane Pendergrass","House - Hearing canceled"
"HB 1342","Cannabis - Legalization and Regulation (Cannabis Legalization and Equity Act)","Gabriel Acevero","House - Hearing 3/08 at 1:00 p.m."
"HB 0058","Income Tax - Credit for Energy Efficiency Upgrades - Passive Houses","Benjamin Brooks","House - Hearing 1/13 at 1:00 p.m."
"HB 0857","Education - Concentration of Poverty School Grant Program - School Lunch","Kirill Reznik","House - Hearing 3/03 at 1:00 p.m."
"HB 0896","Maryland Stadium Authority - Increase of Bond Authorization - Camden Yards","Appropriations","House - Returned Passed"
"SB 0014","Sustainable Maryland Program Fund - Establishment","Sarah Elfreth","Senate - Passed Enrolled"
"HB 0439","Workers"" Compensation - Occupational Disease Presumptions - 9""1""1 Specialists","Terri Hill","House - Hearing 2/15 at 1:00 p.m."
"HB 0307","Environment - Packaging Materials - Producer Responsibility","Brooke Lierman","House - Hearing 2/02 at 1:00 p.m. (Environment and Transportation)"
"SB 0384","Landlord and Tenant - Stay of Eviction Proceeding for Rental Assistance Determination","Shelly Hettleman","Senate - Returned Passed"
"SB 0068","Sexual Offenses - Crime of Violence and Lifetime Supervision","Jack Bailey","House - Hearing canceled"
"HB 0154","Public Schools - Anaphylactic Food Allergies - Guidelines and Requirements","Julie Palakovich Carr","Senate - Referred Education, Health, and Environmental Affairs"
"HB 0304","Criminal Law - Failure to Obey a Reasonable and Lawful Order","Sheila Ruth","House - Hearing 2/01 at 1:00 p.m."
"HB 1187","Transportation - Highway User Revenues - Revenue and Distribution","Carl Anderton","House - Passed Enrolled"
"SB 0527","Elderly Individuals - Howard County and Montgomery County Adult Day Health Care Services Pilot Program and Task Force","Brian Feldman","Senate - Returned Passed"
"HB 0286","Emergency Medical Services - Paramedics - Immunization Administration - Effective Date","Anne Kaiser","House - Returned Passed"
"HB 0581","Public Safety - Fire, Rescue, or Emergency Medical Services Entities - Peer Support Programs","Pat Young","House - Returned Passed"
"SB 0755","Infrastructure Grants - Federal Infrastructure Investment and Coordination Unit - Established","Katie Hester","House - Referred Rules and Executive Nominations"
"HB 1096","Economic Development Tax Credit Programs - Qualified Position and Qualified Employee - Definitions","Jessica Feldmark","House - Hearing 3/02 at 1:00 p.m."
"HB 0864","Renewable Energy Portfolio Standard - Renewable Energy Credits - Solar Energy Sources","Regina Boyce","House - Unfavorable Report by Economic Matters"
"HB 0282","Sales and Use Tax - Diapers and Other Baby Products - Exemption","Dana Jones","House - Approved by the Governor - Chapter 8"
"SB 0122","Income Tax - Subtraction Modification - Volunteer Fire, Rescue, and Emergency Medical Services","Michael Jackson","House - Referred Rules and Executive Nominations"
"HB 0223","Criminal Law - Person in a Position of Authority - Sexual Offenses With a Minor","Sara Love","House - Hearing 1/25 at 1:00 p.m."
"HB 0203","Homestead Property Tax Credit Program - Retroactive Qualification and Calculation of the Credit","Dalya Attar","House - Returned Passed"
"SB 0616","Renewable Energy Portfolio Standard - Eligible Sources - Waste""to""Energy and Refuse""Derived Fuel","Michael Hough","Senate - Hearing 3/15 at 1:00 p.m."
"SB 0880","Safe Access for All (SAFE) Roads Act of 2022","Jeff Waldstreicher","Senate - Hearing 3/09 at 1:00 p.m."
"HB 0085","Income Tax - Healthy Indoor Air Quality Tax Credit","Benjamin Brooks","House - Hearing 1/13 at 1:00 p.m."
"HB 0358","Maryland Condominium Act - Amendments to the Declaration - Interest in Common Elements","Nick Charles","House - Unfavorable Report by Environment and Transportation"
"HB 1384","Economic Development - Industry 4.0 Technology Grant Program (Maryland Manufacturing Innovation Act of 2022)","Lily Qi","Senate - Referred Rules"
"HB 0230","Automated Enforcement - Exclusion of Vehicle Rental Companies - Repeal and Notification Requirement","Alfred Carr","Senate - Hearing 3/30 at 1:00 p.m."
"SB 0070","Emergency Medical System Plan - Guidelines for Emergency Medical Services - Law Enforcement Canines","Mary Carozza","Senate - Withdrawn by Sponsor"
"HB 1186","Property Tax Credit - Elderly Individuals and Veterans Tax Credit - Amount and Duration","Teresa Reilly","House - Passed Enrolled"
"SB 0295","Maryland Medical Assistance Program - Emergency Service Transporters - Reimbursement","Jason Gallion","House - Second Reading Passed with Amendments"
"HB 1249","Libraries - Capital Projects - State Share Adjustments","Wendell Beitzel","House - Returned Passed"
"HB 0053","Vehicle Laws - Dedicated Bus Lanes - Prohibition and Monitoring Systems","Robbyn Lewis","House - Passed Enrolled"
"HB 0533","Occupations and Professions - Licenses, Certificates, and Registration - Immigrants","Joseline Pena-Melnyk","House - Hearing 2/15 at 1:00 p.m."
"SB 0752","Public Safety - Use of Force Incident Reports","Michael Jackson","Senate - Hearing 3/01 at 1:00 p.m."
"SB 0528","Climate Solutions Now Act of 2022","Paul Pinsky","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 38"
"HB 0001","Constitutional Amendment - Cannabis - Adult Use and Possession","Luke Clippinger","House - Assigned a chapter number, enactment subject to constitutional referendum - Chapter 45"
"SB 0516","Equitable and Inclusive Transit-Oriented Development Enhancement Act","Malcolm Augustine","House - Referred Rules and Executive Nominations"
"HB 0338","Child Abuse and Neglect - Definition of Neglect","Lesley Lopez","House - Hearing 2/10 at 1:00 p.m."
"HB 1200","Environment - Permit Applications - Environmental Justice Screening","Melissa Wells","House - Returned Passed"
"SB 0221","Department of the Environment - Enforcement Authority","President","House - Referred Environment and Transportation"
"SB 0100","General Provisions - Commemorative Days - Overdose Awareness","Michael Jackson","Senate - Hearing 3/10 at 1:00 p.m."
"SB 0592","Landlord and Tenant - Right to Redemption of Leased Premises - Form of Payment","Susan Lee","Senate - Returned Passed"
"HB 0831","Reducing Greenhouse Gas Emissions - Commercial and Residential Buildings","Dana Stein","House - Hearing 2/25 at 1:00 p.m."
"HB 1250","Task Force to Study Solar Energy Incentives","Jessica Feldmark","Senate - Hearing 3/31 at 1:00 p.m."
"SB 0390","State Government - Information Technology - Cybersecurity","Jack Bailey","Senate - Hearing 3/03 at 1:00 p.m."
"SB 0196","Maryland Department of Health - Overdose Report","Finance","Senate - Returned Passed"
"SB 0320","Mold Inspections and Remediation - Standards, Reporting, Penalties, and Tax Credit","Obie Patterson","Senate - Hearing 2/02 at 1:00 p.m."
"SB 0743","Maryland Medical Assistance Program - Affordable Assisted Living Enhanced Care Pilot Program","Mary Washington","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0198","Correctional Officer - Death Benefit - Eligibility","Judicial Proceedings","Senate - Returned Passed"
"SB 0368","Municipalities - Charter Amendments - Notice","Jeff Waldstreicher","Senate - Hearing 2/08 at 1:00 p.m."
"SB 0586","Criminal Procedure and Public Safety - Courts and Criminal Justice in Baltimore City","Cory McCray","Senate - Passed Enrolled"
"HB 1054","Criminal Law - Use or Possession of a Controlled Dangerous Substance - De Minimis Quantity","David Moon","House - Hearing 3/08 at 1:00 p.m."
"SB 0845","Economic Development - Maryland Technology Development Corporation - Rural Business Innovation Initiative Fund","George Edwards","Senate - Hearing 3/10 at 1:00 p.m."
"HB 1261","Community Solar Energy Generating Systems Pilot Program - Alterations","Pamela Queen","House - Hearing 3/10 at 1:00 p.m."
"SB 0127","Public Safety - Police Athletic League Programs","Chris West","House - Hearing 3/22 at 1:40 p.m."
"HB 0225","Criminal Procedure - Victims of Sexually Assaultive Behavior","Karen Young","Senate - Referred Judicial Proceedings"
"SB 0264","Community Solar Energy Generating Systems - Exemption From Property Taxes","Sarah Elfreth","House - Hearing 3/29 at 2:45 p.m."
"HB 0294","Juvenile Court - Jurisdiction","Charlotte Crutchfield","House - Hearing 2/10 at 1:00 p.m."
"HB 0633","Education - Accountability and Implementation Board - Membership","Jeff Ghrist","House - Hearing 3/03 at 1:00 p.m."
"HB 1119","Election Law - Polling Places and Early Voting Centers - Aerial Pictures of Electioneering Boundary","Neil Parrott","House - Hearing 3/08 at 1:00 p.m."
"HB 0993","Child Care Capital Support Revolving Loan Fund - Established","Eric Ebersole","House - Passed Enrolled"
"HB 0220","Health Occupations - State Board of Massage Therapy Examiners - Requiring License to Practice and Other Revisions","Ariana Kelly","House - Returned Passed"
"SB 0316","Sales and Use Tax - Diapers and Baby Products - Exemption","Sarah Elfreth","Senate - Approved by the Governor - Chapter 7"
"HB 0063","Vehicle Laws - Parking Enforcement","Anne Healey","House - Hearing 1/20 at 1:00 p.m."
"HB 0609","Local Health Officers - Removal - Process","Joseline Pena-Melnyk","Senate - Gubernatorial Veto Override (Legislative date: 4/8/2022) - Chapter 53"
"HB 0562","Consumer Protection - Right to Repair - Farm Equipment","Kevin Hornberger","House - Unfavorable Report by Economic Matters"
"SB 0772","Child in Need of Assistance - Neglect - Marijuana Use","Jill Carter","House - Hearing 4/06 at 1:00 p.m."
"HB 1322","Operating Budget - Consolidated Transportation Program and Unanticipated Federal Funds","Maggie McIntosh","House - Hearing 3/08 at 1:00 p.m."
"HB 0661","Health - Food Service Facilities - Beverage Options With Children's Meals","Diana Fennell","House - Unfavorable Report by Economic Matters"
"SB 0506","Children - Therapeutic Child Care Program - Funding","Nancy King","House - Third Reading Passed (134-1)"
"HB 1324","Transportation - Maryland Rail Authority - Establishment (Maryland Rail Investment Act of 2022)","Marc Korman","House - Hearing 3/08 at 1:00 p.m. (Appropriations)"
"HB 0619","Election Law - Polling Places at Continuing Care Retirement Communities","Nino Mangione","House - Hearing 2/15 at 1:00 p.m."
"SB 0569","Alcoholic Beverages - Class 4 Limited Winery Licenses - Extension","Bryan Simonaire","House - Favorable Adopted Second Reading Passed"
"HB 0559","Probation Before Judgment - Probation Agreements - Probation Not Deportation","Wanika Fisher","Senate - Motion Special Order until Next Session (Senator Ready) Adopted"
"HB 0440","Electricity - Community Solar Energy Generating Systems - Net Energy Metering and Generating Capacity","Luke Clippinger","House - Returned Passed"
"HB 1377","Childhood Exposure to Violence - Health and Social Impacts - Public Awareness Campaign Workgroup","Roxane Prettyman","House - Withdrawn by Sponsor"
"HB 1290","Education - Public School Construction - Funding and Administration","Maggie McIntosh","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 32"
"HB 1086","Opioid Restitution Fund - Appropriation of Settlement Funds and Grant Program","Samuel Rosenberg","House - Returned Passed"
"SB 0615","Vehicle Laws - Manufacturers and Dealers - Prices Listed on Dealer Website","Michael Hough","Senate - Withdrawn by Sponsor"
"HB 0535","Washington Suburban Transit Commission - Montgomery County and Prince George's County Commissioners - Repeal of Term Limit PG/MC 111-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"HB 0404","Vehicle Laws - Speed Limits - Establishment","Mary Lehman","Senate - Hearing 3/24 at 1:00 p.m."
"HB 1279","Sunday Hunting and Archery Hunting Safety Zones - Statewide Authorization and Establishment","Kevin Hornberger","House - Unfavorable Report by Environment and Transportation"
"SJ 0002","Legislative Districting Plan of 2022","President","Senate - Assigned a resolution number - Joint Resolution 1"
"SB 0993","Local Government Tort Claims Act - Definition of Local Government","Adelaide Eckardt","House - Referred Rules and Executive Nominations"
"HB 1404","Election Law - Curbside Voting - Establishment","Nicole Williams","House - Hearing 3/15 at 1:00 p.m."
"HB 0162","Public Safety - Law Enforcement - Body-Worn Cameras","Jazz Lewis","House - Hearing 3/01 at 1:00 p.m."
"SB 0551","Criminal Procedure - Fresh Pursuit by Law Enforcement - Requirements and Prohibitions","Jill Carter","Senate - Hearing 2/23 at 1:00 p.m."
"HB 1340","Montgomery County - Economic Development - Business Improvement Districts MC 08-22","Montgomery County Delegation","House - Returned Passed"
"HB 0248","Legionnaires' Disease Prevention Act","Vaughn Stewart","House - Hearing 2/02 at 1:00 p.m."
"SB 0267","Income Tax - Healthy Indoor Air Quality Tax Credit","Joanne Benson","Senate - Hearing 1/26 at 1:00 p.m."
"SB 0800","Sales and Use Tax - Electricity for Agricultural Purposes - Exemption","Guy Guzzone","Senate - Hearing 3/09 at 2:00 p.m."
"HB 0625","Commission to Study the Health Care Workforce Crisis in Maryland - Establishment","Ariana Kelly","House - Passed Enrolled"
"HB 0956","Natural Resources - Recreation on Private Land - Hunting","Jerry Clark","House - Hearing 3/02 at 1:00 p.m."
"HB 1052","Public Safety - Natural Gas and Liquefied Propane Piping Systems - Construction Requirements (Flynn and Laird Act)","Marvin Holmes","House - Returned Passed"
"HB 0927","Housing and Community Development - Affordable Housing - Listing and Disposal of Excess Real Property","Julie Palakovich Carr","Senate - Third Reading Passed (47-0)"
"SB 0374","Workers' Compensation - Occupational Disease Presumptions - 9-1-1 Specialists","Cheryl Kagan","Senate - Hearing 3/08 at 1:00 p.m."
"HB 0959","Criminal Law - Sexual Offense in the Fourth Degree - Person in a Position of Authority Over a Minor","Reid Novotny","House - Hearing 2/22 at 1:00 p.m."
"HB 0032","Mental Health Law - Petitions for Emergency Evaluation - Electronic Record","Heather Bagnall","House - Returned Passed"
"SB 0706","Nonpublic Educational Programs - Children With Disabilities - Costs of Teacher Salaries","Craig Zucker","House - Hearing 3/31 at 1:00 p.m."
"HB 0329","Election Law - Ballots - Processing and Reporting Procedures","David Moon","House - Hearing 3/08 at 1:00 p.m."
"HB 1420","Criminal Law - Animal Abuse or Neglect - Penalties","Mary Lehman","House - First Reading House Rules and Executive Nominations"
"HB 1353","Omnibus Procurement Reform Act (""OPRA"") of 2022","C.T. Wilson","House - Hearing 3/08 at 1:30 p.m."
"SB 0446","Public Safety - Fire, Rescue, or Emergency Medical Services Entities - Peer Support Programs","Jeff Waldstreicher","Senate - Returned Passed"
"HB 0731","Department of Aging - Dementia Care Coordinator and Dementia Care Navigation Programs","Karen Young","House - Hearing 2/17 at 1:30 p.m."
"HB 1325","Child in Need of Assistance - Neglect - Marijuana Use","Nicole Williams","House - Hearing 3/03 at 1:00 p.m."
"HB 0588","Community Action Agencies - Provision of Feminine Hygiene Products","Heather Bagnall","House - Returned Passed"
"HB 0297","Facilities - Disabilities, Juveniles, Behavioral Health, and Health Care - Plans","Samuel Rosenberg","Senate - Referred Rules"
"HB 0148","Criminal Law - Stalking - Definition","Sandy Bartlett","House - Passed Enrolled"
"SB 0398","Out-of-State Health Care Practitioners - Provision of Behavioral Health Services via Telehealth - Authorization","Jack Bailey","Senate - Hearing 3/03 at 1:00 p.m."
"SB 0147","Motor Vehicles - Operation When Approaching Stopped, Standing, or Parked Vehicles","Jeff Waldstreicher","Senate - Returned Passed"
"HB 0038","Maryland Transportation Authority - Video Tolls - Collection","Anne Healey","House - Returned Passed"
"HB 0813","Montgomery County - Speed and School Bus Monitoring Systems MC 03""22","Montgomery County Delegation","House - Returned Passed"
"HB 0327","Elections - Election Judges - Minimum Compensation","Dana Jones","House - Hearing 2/08 at 1:00 p.m."
"HB 0459","Juvenile Justice Reform","Luke Clippinger","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 42"
"SB 0373","Department of Transportation - Notice of Entry Onto Private Property","Cheryl Kagan","Senate - Returned Passed"
"SB 0875","Discrimination in Housing - Citizenship, Immigration Status, and National Origin","Jeff Waldstreicher","House - Referred Environment and Transportation"
"HB 1059","Bicounty Commissions - Ethics - Certification of Compliance PG/MC 103-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"HB 0079","Courts - Prohibited Indemnity and Defense Liability Agreements","Jon Cardin","House - Hearing 1/19 at 1:00 p.m."
