"bill_no","title","enacted_bill","sponsors","co_sponsors","introduction_date","expiration_date_of_pending_bills","public_hearing_date","action_date","effective_date","effective_date_2","sunset_date","mc_code_chapter","mc_code_section","lmc_chapter_no","status","yeas","nays","abstain","absent","final_vote","executive_action","lead_analyst","veto_override_date","veto_override_vote","disapprove_date","voted_to_disapprove_vote","withdrawn_date"
"28-16","Solid Waste (Trash) - Strategic Plan to Advance Composting, Compost Use and Food Waste Diversion","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1030_1_1078_Bill_28-16_Signed_20170227.pdf","Berliner","Katz, Hucker, Elrich, Riemer, Navarro","2016-06-28T00:00:00.000",,"2016-07-19T00:00:00.000","2016-11-15T00:00:00.000","2017-02-27T00:00:00.000",,,"48","48-17B","Ch. 33, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/28/2016","Josh Hamlin",,,,,
"50-10","Special Taxing District - White Flint - Creation","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?759_1_3316_Bill_50-10_Signed_20110310.pdf","Council President at the Request of the County Executive",,"2010-10-05T00:00:00.000","2012-04-05T00:00:00.000","2010-10-26T00:00:00.000","2010-11-30T00:00:00.000","2011-03-10T00:00:00.000",,,"Adding 68C, Whit Filnt Special Taxing District",,"Ch. 52, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal, Trachtenberg",,,,"9 Yeas - 0 Nays","Approved 12/09/2010","Michael Faden",,,,,
"35-21","Prevailing Wage Requirements - Construction Contracts - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2726_1_21265_Bill_35-21_Signed_20220404.pdf","Hucker, Jawando","Glass, Rice, Albornoz, Katz, Riemer, Navarro","2021-10-12T00:00:00.000",,"2021-11-02T00:00:00.000","2022-03-22T00:00:00.000","2022-07-04T00:00:00.000",,,,,"Ch. 11, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/4/2022",,,,,,
"16-22E","Special Capital Improvements Projects - 6th District Police Station (P470301)","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2757_1_22441_Bill_16-22E_Signed_20220725.pdf","Council President at the Request of the County Executive",,"2022-06-14T00:00:00.000",,"2022-06-21T00:00:00.000","2022-06-28T00:00:00.000","2022-10-24T00:00:00.000",,,,,"Ch. 21, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/25/2022",,,,,,
"38-12","Capital Improvements Program - Child Care Assessment","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?848_1_2614_Bill_38-12_Signed_20130614.pdf","Riemer, Floreen, Andrews, Navarro, Ervin, Rice, Berliner",,"2012-12-04T00:00:00.000","2014-06-04T00:00:00.000","2013-01-22T00:00:00.000","2013-03-05T00:00:00.000","2013-06-14T00:00:00.000",,,"27","27-62A","Ch. 8, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 3/15/2013","Michael Faden",,,,,
"25-10","Special Capital Improvements Project - Olney Library Renovation and Addition","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?734_1_3507_Bill_25-10_Signed_20100920.pdf","Council President at the Request of the County Executive",,"2010-04-20T00:00:00.000","2011-10-20T00:00:00.000","2010-06-15T00:00:00.000","2010-06-15T00:00:00.000","2010-09-20T00:00:00.000",,,"Adding to the LMC 2010",,"Ch. 28, LMC 2010","Enacted","Navarro, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal",,,"Knapp, Trachtenberg","7 Yeas - 0 Nays","Approved 06/21/2010","Glenn Orlin",,,,,
"3-15","Streets and Roads - Obstruction Signage","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?951_1_1718_Bill_3-15_Signed_20150708.pdf","Berliner, Navarro, Floreen, Elrich, Hucker, Rice, Riemer, Katz",,"2015-01-20T00:00:00.000",,"2015-02-10T00:00:00.000","2015-03-31T00:00:00.000","2015-07-08T00:00:00.000",,,"49","49-11","Ch. 15, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/8/2015","Jeffrey Zyontz",,,,,
"18-13E","Special Capital Improvements Project - Public Safety Training Academy (PSTA) Relocation","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?869_1_2448_Bill_18-13E_Signed_20130708.pdf","Council President at the Request of the County Executive",,"2013-06-11T00:00:00.000",,"2013-06-25T00:00:00.000","2013-06-25T00:00:00.000","2013-07-08T00:00:00.000",,,"Adding to the LMC 2013",,"Ch. 18, LMC 2013","Enacted","Andrews, Berliner, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer","Ervin",,,"8 Yeas - 1 Nays","Approved 7/08/2013","Glenn Orlin",,,,,
"49-21E","Police Accountability Board - Administrative Charging Committee � Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2740_1_20204_Bill_49-21E_Signed_20220502.pdf","Council President at the Request of the County Executive",,"2021-12-14T00:00:00.000",,"2022-01-18T00:00:00.000","2022-04-19T00:00:00.000","2022-05-02T00:00:00.000",,,,,"Ch. 12, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/2/2022",,,,,,
"54-10E","Retirement - Investments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?763_1_3283_Bill_54-10E_Signed_20101210.pdf","Council President at the Request of the County Executive",,"2010-10-26T00:00:00.000","2012-04-26T00:00:00.000","2010-11-23T00:00:00.000","2010-11-30T00:00:00.000","2010-12-10T00:00:00.000",,,"33, Personnel and Human Resources","33-44, 33-113, 33-116, 33-120, 33-121, 33-125, and 33-145","Ch. 56, LMC 2010","Enacted","Navarro, Knapp, Andrews,Floreen, Berliner, Elrich, Ervin, Leventhal",,,"Trachtenberg","8 Yeas - 0 Nays","Approved 12/10/2010","Robert Drummer",,,,,
"17-18E","Property Tax Credit-Elderly Individuals and Retired Military Services Members - Application","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2569_1_273_Bill_17-18E_Signed_20180702.pdf","Leventhal","Rice, Katz, Floreen, Navarro, Hucker","2018-05-01T00:00:00.000",,"2018-06-12T00:00:00.000","2018-06-19T00:00:00.000","2018-07-02T00:00:00.000",,,"Amending Ch. 52","Section 52-110","Ch. 12. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/2/18","Amanda Mihill",,,,,
"24-18E","Forest Conservation - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2577_1_225_Bill_24-18E_Signed_20181017.pdf","Council President at the request of the Planning Board",,"2018-06-19T00:00:00.000",,"2018-07-10T00:00:00.000","2018-10-09T00:00:00.000","2018-10-17T00:00:00.000",,,"Amending Ch 22A","Sections 22A-3, 22A-5, and 22A-16","Ch. 27. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 10/17/18","Amanda Mihill",,,,,
"35-17","Finance - Payments to Service Providers","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1461_1_539_Bill_35-17_Signed_20171219.pdf","Berliner","Leventhal, Elrich, Katz, Floreen, Rice, Hucker, Riemer, Navarro","2017-10-31T00:00:00.000",,"2017-11-28T00:00:00.000","2017-12-12T00:00:00.000","2018-03-19T00:00:00.000",,,"Adding 20","Article XVI; Section 20-83","Ch. 37, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/18/17","Josh Hamlin",,,,,
"43-15","Contracts and Procurement - Wage Requirements - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?992_1_1372_Bill_43-15_Signed_20160510.pdf","Elrich, Navarro","Leventhal, Riemer","2015-10-20T00:00:00.000",,"2015-11-17T00:00:00.000","2016-02-02T00:00:00.000","2016-05-10T00:00:00.000",,,"Amending 11B","11B-33A and11B-37","Ch. 1, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 2/9/2016","Amanda Mihill",,,,,
"33-12","Bill 33-12, Health and Sanitation - Smoking - County Property","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?843_1_2666_Bill_33-12_Signed_20130527.pdf","Floreen, Navarro, Rice, Riemer, Leventhal, Elrich, Andrews",,"2012-11-27T00:00:00.000","2014-05-27T00:00:00.000","2013-01-15T00:00:00.000","2013-02-12T00:00:00.000","2013-05-27T00:00:00.000",,,"24","24-9","Ch. 5, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 2/25/13","Amanda Mihill",,,,,
"22-19","Accessory Dwelling Units - Licensing - Requirements -  Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2618_1_9729_Bill_22-19_Signed_20190930.pdf","Riemer, Friedson, Jawando, Navarro","Albornoz, Hucker","2019-07-16T00:00:00.000",,"2019-09-10T00:00:00.000","2019-09-24T00:00:00.000","2019-12-31T00:00:00.000",,,"Amending Ch. 2, 26, 29","Amending Sections 2-140, 26-5, 26-18A, 29-1, 29-19, 29-20, 29-24, 29-26, 29-27, and 29-28","Ch. 18. LMC 2019","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 9/30/19","Jeffrey Zyontz",,,,,
"19-16","Health and Sanitation - Strategic Plan to Achieve Food Security","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1020_1_1131_Bill_19-16_Signed_20161018.pdf","Berliner","Leventhal, Rice, Hucker, Navarro, Elrich, Katz, Riemer","2016-04-19T00:00:00.000",,"2016-06-14T00:00:00.000","2016-07-12T00:00:00.000","2016-10-18T00:00:00.000",,,"Adding 24","24-8B","Ch. 27, LMC 2016","Enacted","Berliner, Elrich, Floreen, Katz, Leventhal, Navarro, Rice, Riemer",,,"Hucker","8 Yeas - 0 Nays","Approved 7/19/2016","Amanda Mihill",,,,,
"10-19","Legislative Branch - Economic Impact Statements - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2606_1_42_Bill_10-19_Signed_20190812.pdf","Friedson","Albornoz, Navarro, Katz, Rice, Glass, Hucker, Riemer, Jawando","2019-05-07T00:00:00.000",,"2019-06-11T00:00:00.000","2019-07-30T00:00:00.000","2020-03-01T00:00:00.000",,,"Amending Ch. 2; Article IV","Section 2-81B","Ch. 14. LMC 2019","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/6/19","Robert Drummer",,,,,
"1-17","Contracts and Procurement - Vending Machine Service Contracts - Healthy Vending Standards","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1079_1_848_Bill_1-17_Signed_20170426.pdf","Leventhal","Rice, Berliner, Navarro, Riemer, Elrich, Hucker","2017-02-07T00:00:00.000",,"2017-02-28T00:00:00.000","2017-04-18T00:00:00.000","2017-07-24T00:00:00.000",,,"Adding 11B","Article XVIII: 11B-78, 11B-79, 11B-80, 11B-81, and 11B-82","Ch. 8, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/24/2017","Amanda Mihill",,,,,
"28-11E","Property Tax Credit - Renewable Energy - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?799_1_3036_Bill_28-11E_Signed_20111121.pdf","Berliner","Leventhal, Floreen, Riemer, Ervin, Elrich","2011-09-20T00:00:00.000","2013-03-20T00:00:00.000","2011-10-11T00:00:00.000","2011-11-08T00:00:00.000","2011-11-21T00:00:00.000",,,"52","52-18R","Ch. 20, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/21/2011","Amanda Mihill",,,,,
"26-15E","Special Capital Improvements Project - MCPS and MNCPPC Maintenance Facilities Relocation","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?976_1_1495_Bill_26-15E_Signed_20150706.pdf","Council President at the Request of the County Executive",,"2015-06-09T00:00:00.000",,"2015-06-23T00:00:00.000","2015-06-23T00:00:00.000","2015-07-06T00:00:00.000",,,"Adding to the laws of Montgomery County 2015",,"Ch. 31, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/6/2015",,,,,,
"24-20E","Administration - Police - Assistant Chiefs of Police","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2663_1_10864_Bill_24-20E_Signed_20200807.pdf","Council President at the Request of the County Executive",,"2020-06-16T00:00:00.000",,"2020-07-07T00:00:00.000","2020-07-29T00:00:00.000","2020-08-07T00:00:00.000",,,,,"Ch. 22. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/7/20",,,,,,
"8-19","Erosion, Sediment Control and Stormwater Management High - PAH Sealants","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2604_1_56_Bill_8-19_Signed_20190812.pdf","Rice","Navarro","2019-03-19T00:00:00.000",,"2019-04-23T00:00:00.000","2019-07-30T00:00:00.000","2020-07-01T00:00:00.000",,,"Amending Ch. 19","Amending Section 19-68","Ch. 13. LMC 2019","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/6/19","Robert Drummer",,,,,
"26-17","Forest Conservation - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1452_1_627_Bill_26-17_Signed_20171128.pdf","Council President for Planning Board",,"2017-07-25T00:00:00.000",,"2017-09-19T00:00:00.000","2017-11-14T00:00:00.000","2018-02-26T00:00:00.000",,,"Amending 22A","Sections  22A-3, 22A-4, 22A-5, 22A-9, 22A-11, 22A-12, 22A-21, 22A-30, and 22A-31","Ch. 34. LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/27/17","Amanda Mihill",,,,,
"31-11","Council Districts - Boundaries","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?802_1_3012_Bill_31-11_Signed_20120307.pdf","Ervin",,"2011-10-04T00:00:00.000","2013-04-04T00:00:00.000","2011-11-01T00:00:00.000","2011-11-29T00:00:00.000","2012-03-07T00:00:00.000",,,"16","16-2","Ch. 22, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/07/2011","Jeffrey Zyontz",,,,,
"31-21E","Property Tax Credits - Energy Conservation Devices and Energy Efficient Buildings - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2723_1_17766_Bill_31-21E_Signed_20211013.pdf","Council President at the Request of the County Executive",,"2021-07-20T00:00:00.000",,"2021-09-14T00:00:00.000","2021-10-05T00:00:00.000","2021-10-13T00:00:00.000",,,,,"Ch. 28. LMC 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays",,,,,,,
"32-11","Boards, Committees, and Commissions - Committee Evaluation and Review Board - Report","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?803_1_3006_Bill_32-11_Signed_20120220.pdf","Navarro, Rice, Ervin, Riemer",,"2011-10-04T00:00:00.000","2013-04-04T00:00:00.000","2011-10-25T00:00:00.000","2011-11-08T00:00:00.000","2012-02-20T00:00:00.000",,,"2","2-146","Ch. 21, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/21/2011","Amanda Mihill",,,,,
"26-13E","Bond Authorization","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?877_1_2378_Bill_26-13E_Signed_20131010.pdf","Council President at Request of County Executive",,"2013-09-24T00:00:00.000",,"2013-10-01T00:00:00.000","2013-10-01T00:00:00.000","2013-10-10T00:00:00.000",,,"Adding Laws of MC",,"Ch. 26, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Navarro, Rice, Riemer",,,"Leventhal","8 Yeas - 0 Nays","Approved 10/10/2013","Jacob Sesker",,,,,
"34-17","Housing - Moderately Priced Dwelling Units (MPDU) - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1460_1_553_Bill_34-17_Signed_20180803.pdf","Floreen","Rice","2017-10-31T00:00:00.000",,"2017-12-05T00:00:00.000","2018-07-24T00:00:00.000","2018-10-31T00:00:00.000",,,"Amending 25A","Sections 25A-1, 25A-2, 25A-3, 25A-4, 25A-5, 25A-5A, 25A-5B, 25A-6, 25A-7, 25A-8, 25A-9, and 25A-12","Ch. 20. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/1/18","Josh Hamlin",,,,,
"1-11","Administration - Department of Health and Human Services - Duties","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?770_1_3235_Bill_1-11_Signed_20110609.pdf","Leventhal","Navarro, Rice","2011-01-18T00:00:00.000","2012-07-18T00:00:00.000","2011-02-01T00:00:00.000","2011-03-01T00:00:00.000","2011-06-09T00:00:00.000",,,"2, 24","2-42A, 24-22 and 24-24","Ch. 3, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 03/10/2011","Amanda Mihill",,,,,
"4-18E","Transient Housing - Carbon Monoxide Detector","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2553_1_355_Bill_4-18E_Signed_20180522.pdf","Floreen",,"2018-03-06T00:00:00.000",,"2018-04-03T00:00:00.000","2018-04-17T00:00:00.000","2018-07-01T00:00:00.000",,,"Amending 54","54-43","Ch. 8. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/24/18","Jeffrey Zyontz",,,,,
"28-15E","Special Capital Improvements Project - Snouffer School Road","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?978_1_1481_Bill_28-15E_Signed_20150706.pdf","Council President at the Request of the County Executive",,"2015-06-09T00:00:00.000",,"2015-06-23T00:00:00.000","2015-06-23T00:00:00.000","2015-07-06T00:00:00.000",,,"Adding to the laws of Montgomery County 2015",,"Ch. 33, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/6/2015","Glenn Orlin",,,,,
"34-16E","Streets and Roads - Design","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1037_1_1020_Bill_34-16E_Signed_20170213.pdf","Planning Housing and Economic Development Committee",,"2016-08-02T00:00:00.000",,"2016-09-13T00:00:00.000","2016-11-15T00:00:00.000","2017-02-13T00:00:00.000",,,"Amending 49","49-1, 49-11, 49-26 and 49-33","Ch. 34, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/28/2016","Jeffrey Zyontz",,,,,
"47-10E","Administration - Legislative Branch - County Council - Economic Impact Statements","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?752_1_3372_Bill_47-10E_Signed_20101012.pdf","Knapp","Floreen, Ervin","2010-07-27T00:00:00.000","2012-01-27T00:00:00.000","2010-09-21T00:00:00.000","2010-10-05T00:00:00.000","2010-10-12T00:00:00.000",,,"2, Article IV","2-81A","Ch. 43, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen, Berliner, Ervin, Leventhal",,"Elrich","Trachtenberg","7 Yeas - 0 Nays","Approved 10/12/2010","Robert Drummer",,,,,
"10-15E","Personnel - Veteran Hiring Preference - Public Safety Position","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?958_1_1653_Bill_10-15E_Signed_20150422.pdf","Council President at the Request of the County Executive, Katz",,"2015-03-03T00:00:00.000",,"2015-03-17T00:00:00.000","2015-04-14T00:00:00.000","2015-04-22T00:00:00.000",,,"33","33-7","Ch. 23, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/22/2015","Robert Drummer",,,,,
"6-14","Environmental Sustainability - Office of Sustainability - Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?891_1_2270_Bill_6-14_Signed_20140916.pdf","Berliner, Floreen, Riemer, Leventhal, Andrews, Navarro",,"2014-01-28T00:00:00.000",,"2014-02-11T00:00:00.000","2014-06-10T00:00:00.000","2014-09-16T00:00:00.000",,,"Amending 8, 18A, 40; Deleting 8, 18A","8A-14B, 18A-12, 18A-13, 18A-14, 18A-17, 18A-19, 18A-20, AND 18A-23; 40-13B; 8-14C and 8-53, 18A-15 and 18A-16","Ch. 15, LMC 2014","Enacted","Andrews, Berliner, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,"Branson","8 Yeas - 0 Nays","Approved 6/17/2014","Amanda Mihill",,,,,
"16-14","Elections - Public Campaign Financing","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?902_1_2180_Bill_16-14_Signed_20150115.pdf","Andrews, Elrich, Berliner, Riemer, Leventhal, Rice, Navarro, Floreen, Branson",,"2014-02-04T00:00:00.000",,"2014-03-04T00:00:00.000","2014-09-30T00:00:00.000","2015-01-15T00:00:00.000",,,"Amending 16; Adding 16","16-17; Artice IV","Ch. 28, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 10/06/2014","Robert Drummer",,,,,
"35-10E","Personnel - Disability Retirement - Imputed Compensation","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?744_1_3434_Bill_35-10E_Signed_20100630.pdf","Elrich","Andrews, Trachtenberg","2010-05-25T00:00:00.000","2011-11-27T00:00:00.000","2010-06-15T00:00:00.000","2010-06-22T00:00:00.000","2010-06-30T00:00:00.000",,,"33","33-35 and 33-43","Ch. 32, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal, Trachtenberg",,,,"9 Yeas - 0 Nays","Approved 06/30/2010","Robert Drummer",,,,,
"1-16","Solid Waste - Illegal Dumping and Litter Control","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1002_1_1289_Bill_1-16_Signed_20160622.pdf","Navarro, Rice","Leventhal, Riemer, Floreen, Katz, Elrich, Hucker, Berliner","2016-01-19T00:00:00.000",,"2016-02-09T00:00:00.000","2016-03-15T00:00:00.000","2016-06-22T00:00:00.000",,,"Amending 48; Adding 48","48-1 and 48-11; 48-11A","Ch. 6, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 3/23/2016","Josh Hamlin",,,,,
"40-10E","Stormwater Management - Revisions","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?749_1_3396_Bill_40-10E_Signed_20100727.pdf","Council President at the Request of the County Executive",,"2010-06-29T00:00:00.000","2011-12-29T00:00:00.000","2010-07-13T00:00:00.000","2010-07-27T00:00:00.000","2010-07-27T00:00:00.000",,,"Amending 19; Adding 19","Amending 19-20 through 19-35; Adding 19-21A, 19-23A","Ch. 34, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal, Trachtenberg",,,,"9 Yeas - 0 Nays","Approved 07/27/10","Michael Faden",,,,,
"47-20","Ethics, Ethics Commission - Conflicts of Interest � Financial Disclosure - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2685_1_14282_Bill_47-20_Signed_20210311.pdf","Council President on behalf of the Ethics Commission",,"2020-12-01T00:00:00.000",,"2021-01-12T00:00:00.000","2021-03-02T00:00:00.000","2021-06-01T00:00:00.000",,,,,"Ch. 4. LMC 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 3/11//2021",,,,,,
"8-11","Taxation - Excise Tax - Disposable Carryout Bags","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?777_1_3180_Bill_8-11_Signed_20120101.pdf","Council President at the Request of the County Executive",,"2011-03-15T00:00:00.000","2012-09-15T00:00:00.000","2011-03-31T00:00:00.000","2011-05-03T00:00:00.000","2012-01-01T00:00:00.000",,,"52, Article XIV","52-101, 52-102, 52-103, 52-104, 52-105, 52-106, and 52-107","Ch. 6, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Leventhal, Navarro, Rice, Riemer","Floreen",,,"8 Yeas - 1 Nays","Approved 05/11/2011","Michael Faden",,,,,
"21-14","Streets and Roads - Sidewalk Snow Removal Plan","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?906_1_2137_Bill_21-14_BecameLaw_20150203.pdf","Riemer, Navarro",,"2014-04-22T00:00:00.000",,"2014-07-08T00:00:00.000","2014-10-21T00:00:00.000","2015-02-03T00:00:00.000",,,"49","49-17","Ch. 33, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Navarro, Rice, Riemer","Leventhal",,,"8 Yeas - 1 Nays","Returned unsigned 11/03/14","Robert Drummer",,,,,
"31-20","Public Campaign Financing - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2670_1_10980_Bill_31-20_Signed_20201016.pdf","Navarro, Katz, Friedson,  Government Operations and Fiscal Policy Committee",,"2020-07-21T00:00:00.000",,"2020-09-15T00:00:00.000","2020-10-06T00:00:00.000","2021-01-15T00:00:00.000",,,,,"Ch. 31. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 10/16/2020",,,,,,
