"caseno","opendate","closedate","casedesc","caseyear","type","sub_type","street_no","street_name","city","zip","geolocation"
"20211131","2021-02-02T00:00:00.000","2021-02-03T00:00:00.000","Case Description From 311: caller looking to add NO DUMPING signs to location, requesting a courtesy call to discuss","2021","Solid Waste","No Dumping Signage","9206","CYPRESS","BETHESDA","20814","POINT (-77.102646 39.006122)"
"20202790","2020-11-17T00:00:00.000","2021-01-29T00:00:00.000","Case Description From 311: SR Open date :11/17/2020 09:0: Caller states that there are leaves behind left by residents on side of road blocking street parking and blocking storm drains in their community and they would like to discuss regulation and if it falls under illegal dumping.","2020","Solid Waste","Public Land","9661","REACH","POTOMAC","20854","POINT (-77.196106 39.052281)"
"20211075","2021-01-20T00:00:00.000","2021-01-29T00:00:00.000","Case Description From 311: Reporting debris, trash bags, and appliances being dumped constantly at intersections:
Snouffer School Rd & Flower Hill Way
Snouffer School Rd & Centerway Rd
Items are currently there now. He doesn't know who is dumping items.","2021","Solid Waste","Public Land",,"SNOUFFER SCHOOL","GAITHERSBURG","20879",
"20211028","2021-01-12T00:00:00.000","2021-01-28T00:00:00.000","Case Description From 311: SR Open date :01/11/2021 16:2: Please Provide a ""NO DUMPING"" sign.  
108 Schuyler Road Silver Spring is a rental property
The Management Office is at 110 N. Washington St.  #340 Rockville MD 20850.  matthew@patnerlaw.com thank you","2021","Solid Waste","No Dumping Signage","108","SCHUYLER","SILVER SPRING","20901","POINT (-77.012635 39.002903)"
"20211099","2021-01-25T00:00:00.000","2021-01-27T00:00:00.000","Case Description From 311: SR Open date :01/24/2021 17:1: Home of 2100 Cascade Rd, Silver Spring, MD 20902 has illegally dumped a very large tree branch onto boulevard. The tree tree limb is located on the Bucknell Dr side of the home.

Note - this is part of the tree that the residents were informed to remove (by Montgomery county) last time they illegally dumped it the other month. They original dragged it back onto their property after being informed of the infraction, now it was moved back onto the boulevard. It is blocking the green space used for waking safety in the grass off of the street. Thanks","2021","Solid Waste","Public Land","2100","CASCADE","SILVER SPRING","20902","POINT (-77.043791 39.028592)"
"20202594","2020-10-08T00:00:00.000","2021-01-27T00:00:00.000","Case Description From 311: SR Open date :10/08/2020 10:2: Caller states that a yard waste company in his community has been illegally dumping leaves in the cul de sac in his neighborhood","2020","Solid Waste","Residential","12601","NORCROSS","SILVER SPRING","20904","POINT (-77.00004 39.063373)"
"20211103","2021-01-25T00:00:00.000","2021-01-27T00:00:00.000","Case Description From 311: SR Open date :01/25/2021 12:2: Property manager reports illegal dumping of approx. 20 tires next to the apartment complex dumpster. States it was reported to him it was noticed this past weekend. Requests to be removed please.","2021","Solid Waste","Dumpster","13205","Twinbrook","ROCKVILLE","20851","POINT (-77.113194 39.071972)"
"20211102","2021-01-25T00:00:00.000","2021-01-26T00:00:00.000","Case Description From 311: SR Open date :01/25/2021 10:4: caller states that people litter in front of this address from food trucks from shopping center, please investigate","2021","Solid Waste","Commercial","4103","COLIE","SILVER SPRING","20906","POINT (-77.082677 39.058318)"
"20211098","2021-01-25T00:00:00.000","2021-01-25T00:00:00.000","Case Description From 311: 6 large truck tires, a large tarp and paint cans were dumped on Johnson Road.  Someone has thoughtfully moved them out of the road and piled them up at the beginning of Johnson Road by the Blake High school entrance for easier pick up.  No one saw the dumpers.","2021","Solid Waste","Public Land",,"Johnson","Silver Spring","20902",
"20211035","2021-01-13T00:00:00.000","2021-01-22T00:00:00.000","Case Description From 311: Anonymous Caller states that house owner is cutting trees and they are dumping the huge tree logs on a creek that is behind the property- Please send someone to investigate","2021","Solid Waste","Public Land","1415","Fallswood","POTOMAC","20854","POINT (-77.172594 39.077904)"
"20211078","2021-01-21T00:00:00.000","2021-01-22T00:00:00.000","Case Description From 311: Caller said a truck dumped a bunch of  paper everywhere with Geico letter heads on them. 
Happened around 3pm on Montrose RD about a  1/2 mile east of 270 exit. In front of Tilden Swim Club.","2021","Solid Waste","Public Land","6808","Tilden","Rockville","20852","POINT (-77.139178 39.044131)"
"20211025","2021-01-12T00:00:00.000","2021-01-22T00:00:00.000","Case Description From 311: White Chevy Truck Plate #1dw3736 reported to dump a HUGE pile of bulk trash in community.  Please email me at SFarrell@comsource.com and Ill be happy to pass along the pictures from the resident who caught them.","2021","Solid Waste","Residential","20312","GRAZING","MONTGOMERY VILLAGE","20886","POINT (-77.192209 39.189611)"
"20211056","2021-01-19T00:00:00.000","2021-01-21T00:00:00.000","Case Description From 311: Hello,
There is huge trash dumped on the gate of 10116 Green Forest Dr, Silver Spring, MD 20903 (Hillandale Swim & Tennis Association) I tried to contact the club to inform them but they don't answer their phone., 1445552999 : Reporting illegal dumping at a Pool/Tennis Association. Truck came on property and dumped building supplies, car bumper, buckets. No description of vehicle. Some of items dumped have Amazon labels.","2021","Solid Waste","Commercial","10116","Green Forest","Silver Spring","20903","POINT (-76.969742 39.021354)"
"20211067","2021-01-19T00:00:00.000","2021-01-20T00:00:00.000","Case Description From 311: Anonymous Caller states that there 2 neighbors area  illegal  dumping items into the creek -
They  back their truck into her property to start dumping the  things into the stream.(caller states that she has sees them  doing it ) caller state that it happen on 1/18 around 9:25am","2021","Solid Waste","Public Land","17304","Twin Ridge","SILVER SPRING","20905","POINT (-76.970339 39.14057)"
"20211046","2021-01-15T00:00:00.000","2021-01-15T00:00:00.000","Case Description From 311: Anonymous call.  1 box  spring on the side of the road","2021","Solid Waste","Public Land",,"Wightman","GAITHERSBURG","20879",
"20211048","2021-01-15T00:00:00.000","2021-01-15T00:00:00.000","Case Description From 311: DEBRIS PICKUP - On 1/14/2021 between the hours of 4:30 PM and 7:00 PM someone illegally dumped a red leather sofa on the farmland next to my home. The address is approximate. When traveling NW on Prices Distillery Rd away from Clarskrbug Road, the sofa is located near the top of the hill on the left side of the road.","2021","Solid Waste","Farm Land","12821","PRICES DISTILLERY","CLARKSBURG","20871","POINT (-77.267644 39.293164)"
"20211027","2021-01-12T00:00:00.000","2021-01-15T00:00:00.000","Case Description From 311: Illegal (eviction?) dumping. Supervised by MCPD. Multiple code violations","2021","Solid Waste","Public Land",,"BICKERSTAFF","GAITHERSBURG","20878",
"20211022","2021-01-11T00:00:00.000","2021-01-14T00:00:00.000","Case Description From 311: Reporting illegal dumping of bulk trash (white table) and yard clippings and other waste. States this is a ongoing issues that needs to be looked into.","2021","Solid Waste","Public Land",,"Father Hurley","GERMANTOWN","20874",
"20202955","2020-12-31T00:00:00.000","2021-01-14T00:00:00.000","Case Description From 311: A abandoned car and dismounted tires have been found illegally dumped in the backyard woods behind the property (5920 Willow Knoll Dr, Rockville, MD, 20855). Plates were removed. The VIN: 1HGED3645KA037033. The car seems to be 1989 Honda Civic. Please find the owner and ask him/her to remove the dumped car and tires. Thank you","2020","Solid Waste","Public Land","5920","WILLOW KNOL","ROCKVILLE","20855","POINT (-77.122338 39.138418)"
"20211032","2021-01-13T00:00:00.000","2021-01-14T00:00:00.000","Case Description From 311: Caller said there is 1 mattress and 1 cardboard box sitting on the corner of the intersection of Ridgecrest DR & Hickory Way. Caller said it is not on their property, but they would like it picked up. Caller called on 1/13 21.","2021","Solid Waste","Public Land",,"Ridgecrest","GERMANTOWN","20874",
"20211023","2021-01-11T00:00:00.000","2021-01-14T00:00:00.000","Case Description From 311: A pile of trash has been left behind the gas station on Battery Lane across the street from Harris Twitter.","2021","Solid Waste","Commercial","8240","Wisconsin","BETHESDA","20814","POINT (-77.096042 38.992549)"
"20211017","2021-01-08T00:00:00.000","2021-01-14T00:00:00.000","Case Description From 311: Caller is reporting illegal dumping of beer bottles and other junk. States people come at night park on at the intersection drop trash and other junk before they enter the park. This is a on going issue that needs to be looked into.","2021","Solid Waste","Public Land",,"LAUREL HILL","GERMANTOWN","20874",
"20211015","2021-01-08T00:00:00.000","2021-01-08T00:00:00.000","Case Description From 311: 1 headboard dumped on the sidewalk near the large rock.","2021","Solid Waste","Public Land",,"Wisteria","GERMANTOWN","20874",
"20211010","2021-01-07T00:00:00.000","2021-01-08T00:00:00.000","Case Description From 311:  a couch was dumped at the intersection, would like it removed","2021","Solid Waste","Public Land",,"Bradley","BETHESDA","20814",
"20202902","2020-12-14T00:00:00.000","2021-01-08T00:00:00.000","Case Description From 311: SR Open date :12/14/2020 08:5: To Charles Duvall and staff, There continues to be illegal dumping of tires at the above address, 11400 Neelsville Church Rd, Germantown. The latest dumping was last night, Sunday December 13, 2020. This is a one acre vacant lot.
This is a request to have them removed, hopefully by the property owner. P.S. While the owners are there removing the tires, please have them mow the front area and pick up the rest of the trash. Thank you for your service to Montgomery County.  Margaret Schoap","2020","Solid Waste","Residential","11400","NEELSVILLE CHURCH RD","GERMANTOWN","20876","POINT (-77.235774 39.197413)"
"20211014","2021-01-08T00:00:00.000","2021-01-08T00:00:00.000","Case Description From 311: Anonymous Caller wants to make a complaint against property owner living at 17508 shenandoah ct. caller states that the person is leaving large amounts of trash bags in county ROW. (12 bags of trash) caller states that the neighbor is aware that the county does not collect their trash but states that the property owner is leaving the trash in ROW and wants to report. Caller wants to remain anonymous.","2021","Solid Waste","Public Land","17508","SHENANDOAH","ASHTON","20861","POINT (-76.983156 39.143061)"
"20211011","2021-01-07T00:00:00.000","2021-01-08T00:00:00.000","Case Description From 311: SR Open date :01/06/2021 21:5: Our business, Bella?s Reserve Adult Day Care Center, has had a lot of problems with neighbors dumping their trashes in our dumpster illegally. Not only they put trashes in our dumpster, but also places all the furniture and junks next to our dumpster creating pollutions and contaminations. We cleaned it up every time and called the hauler to pick it up. Our regular pick up service was done yesterday, but today we found two trash bags next to our dumpster. We opened the bag and found an envelope belonging to the person who does illegal dumping. I have that picture. Please contact me at 301-244-5112 to address this problem. Thank you very much.","2021","Solid Waste","Dumpster","2120","Industrial","SILVER SPRING","20904",
"20202861","2020-12-07T00:00:00.000","2021-01-07T00:00:00.000","Case Description From 311: SR Open date :12/04/2020 11:1: 20906- 1441109535- Wanted to report that there is a crew from the complex called AUDEN PLACE apartment complex that is illegally dumping leaf's and he is asking for help on whom this would be assigned to, to get them to stop - they are dumping yard waste inside of the stream in their property- when I looked it up on the site it showed - AUDEN PLACE LLC and the stream is behind the address given- he called park and placing they stated call dep- Police said called Epa and he is asking whom can he report it to because parks are saying its not them either","2020","Solid Waste","Public Land","12631","GEORGIA","SILVER SPRING","20906","POINT (-77.055928 39.064064)"
"20202945","2020-12-28T00:00:00.000","2021-01-04T00:00:00.000","Case Description From 311: Caller states it has been a week and someone left in front of  his house at the a PVC pipe metal and other construction material. caller states he did not leave it there and states he lives at the corner house located at service location area and is requesting county come  and remove items.","2020","Solid Waste","Public Land","4000","Ferrara","SILVER SPRING","20906","POINT (-77.077922 39.052456)"
"20202938","2020-12-23T00:00:00.000","2021-01-04T00:00:00.000","Case Description From 311: Windbrooke Condominiums - a private condo complex. Unit 966 renovation contractors (FK Solutions) have been dumping all building and construction materials instead of hauling away. We have been paying for bulk pick-ups multiple times to get the materials out of the complex, costing the association money to cover the expense.","2020","Solid Waste","Residential","966","WINDBROOKE","GAITHERSBURG","20879","POINT (-77.21452 39.165533)"
"20202926","2020-12-22T00:00:00.000","2021-01-04T00:00:00.000","Case Description From 311: stated that his name is Anonymous - 20904- and the police told him to call this in to tis department- Dec 17th- at 2126 industrial parkway and takes a printer out and leaves it on the brick wall and leaves the area -  tag number-MD7AT7265 for a Black Jeep Wrangler- He has video- He also wants this picked up please and removed-","2020","Solid Waste","Commercial","2126","INDUSTRIAL","SILVER SPRING","20904",
"20202881","2020-12-08T00:00:00.000","2020-12-30T00:00:00.000","Case Description From 311: caller is reporting area next to park and ride people leave trash and bulk trash constantly. This is a eye sore to neighborhood, caller is requesting a No Dumping Sign to be put around area. Please contact caller to discuss on going issue","2020","Solid Waste","No Dumping Signage","3664","TURBRIDGE","BURTONSVILLE","20866","POINT (-76.931724 39.091967)"
"20202944","2020-12-28T00:00:00.000","2020-12-29T00:00:00.000","Case Description From 311: SR Open date :12/26/2020 16:5: A man in a black Ford Explorer removed items from his vehicle and left them on my berm - including a tire - i have pictures of the trash he dumped and of his vehicle - i also have a video with more detail - unfortunately my neighbor's camera didn't catch a tag number - i'm also concerned about what might be in a small bag he left and why he didn't put these in his own trash - i'm hoping the county can pick up the items because they are not mine and i'm the victim - thank you! Heidi Barron 802 Malta Lane Silver Spring 20901","2020","Solid Waste","Residential","802","MALTA","SILVER SPRING","20902","POINT (-77.01349 39.037884)"
"20202911","2020-12-17T00:00:00.000","2020-12-21T00:00:00.000","Case Description From 311: SR Open date :12/17/2020 14:3: Construction company left an 8 foot sign. Caller said it has been laying there for months
on the side of the road. I offered to give the number for Takoma Park, but caller said no.","2020","Solid Waste","Public Land","8011","FLOWER","TAKOMA PARK","20912","POINT (-77.001407 38.989576)"
"20202908","2020-12-16T00:00:00.000","2020-12-21T00:00:00.000","Case Description From 311: Caller reports there are three shopping carts o the ROW of service location: 12901 Autumn Dr. Have been there for over a month. Requests for them to be removed, please.","2020","Solid Waste","Public Land","12901","AUTUMN","SILVER SPRING","20904","POINT (-76.996405 39.066994)"
"20202913","2020-12-18T00:00:00.000","2020-12-21T00:00:00.000","Case Description From 311: Anonymous Caller reporting someone left a mattress and other trash on ROW of service location. Requests to be removed, please.","2020","Solid Waste","Public Land","1016","Stirling","SILVER SPRING","20901","POINT (-77.027134 39.019007)"
"20202868","2020-12-07T00:00:00.000","2020-12-16T00:00:00.000","Case Description From 311: caller states there are people walking area that dump trash along street constantly, please investigate","2020","Solid Waste","Public Land","1325","ATWOOD","SILVER SPRING","20906","POINT (-77.028319 39.082531)"
"20202887","2020-12-09T00:00:00.000","2020-12-16T00:00:00.000","Case Description From 311: Caller is reporting that someone dumped a mattress at the intersection Cedarbluff ln & Cedarbluff dr., 1441751266 : 1 mattress near the corner of this 2 street( about 100 yards where the  street meets)","2020","Solid Waste","Public Land",,"CEDARBLUFF","GERMANTOWN","20876",
"20202883","2020-12-09T00:00:00.000","2020-12-16T00:00:00.000","Case Description From 311: SR Open date :12/08/2020 14:2: 2 black plastic bins dumped in front of her home","2020","Solid Waste","Public Land","25401","DAMASCUS PARK","DAMASCUS","20872","POINT (-77.213623 39.272953)"
"20202859","2020-12-04T00:00:00.000","2020-12-14T00:00:00.000","Case Description From 311: SR Open date :12/03/2020 13:2: Caller is requesting a no dumping sign to be placed across the street from this address","2020","Solid Waste","No Dumping Signage","23200","Howard Chapel","Brookeville","20833","POINT (-77.072002 39.236715)"
"20202890","2020-12-09T00:00:00.000","2020-12-11T00:00:00.000","Case Description From 311: SR Open date :12/09/2020 13:0: caller reporting illegal dumping of large bulk items on property (mattress, trash, paint cans) requesting removal","2020","Solid Waste","Residential","4920","Griffith","GAITHERSBURG","20882","POINT (-77.102341 39.230412)"
"20202878","2020-12-08T00:00:00.000","2020-12-11T00:00:00.000","Case Description From 311: Homeowner has been cited by HOA for disposing of yard waste and branches behind his house into the adjacent park property.   No response to HOA efforts.  Please send investigator to this address to cite homeowner.","2020","Solid Waste","Residential","13028","BROADMORE","SILVER SPRING","20904","POINT (-76.9921 39.07143)"
"20202877","2020-12-08T00:00:00.000","2020-12-11T00:00:00.000","Case Description From 311: SR Open date :12/08/2020 08:0: In front of the Holiday Park townhomes, there is a constant dumping of TVs, mattresses, windshields, and various other trash.  Those individuals are also dumping their trash and large items in the state park land around the creek and polluting it.  This morning I saw that someone changed their motor oil and left all the bottles of old oil next to the creek.  It looks like a landfill in front of these properties.","2020","Solid Waste","Public Land","4115","Garrett Park","Kensington","20895",
"20202860","2020-12-04T00:00:00.000","2020-12-10T00:00:00.000","Case Description From 311: SR Open date :12/04/2020 10:0: Landscape company dumping in a stream behind house
Greenfield landscaping caller saw it in action did not call non emergency police what else can be done would like a DEP investigator to call","2020","Solid Waste","Public Land","5825","Mossrock","ROCKVILLE","20852","POINT (-77.118717 39.03794)"
"20202851","2020-12-03T00:00:00.000","2020-12-10T00:00:00.000","Case Description From 311: SR Open date :12/01/2020 23:4: There are bags,tires and other bulk debris being dumped along Rocky Road. There are streams along this road and the trash being dumped on the road could be detrimental to the waterways. This is very disconcerting that people are using this road for continuous trash dumping., 1441486305 : I spoke with your office this morning. There are 2 illegal dumping trash piles on Rock Rd - between 7404 and 7821 - on right going south. Looks like a tire, couple bags, maybe big cloth?
Thank you!","2020","Solid Waste","Public Land","8017","Rocky","Gaithersburg","20882","POINT (-77.165692 39.235717)"
"20202874","2020-12-08T00:00:00.000","2020-12-10T00:00:00.000","Case Description From 311: Alley next to 9336 Columbia Blvd. there is several debris, including car tires, and the rain sewer needs unclogging and cleaning., 1441371036 : Alley next to 9336 Columbia Blvd. constantly has debris from the businesses on the alley. I have put a request in the past and the DOT said that the business owners put in new dumpsters. Installing new dumpsters did not resolve the debris issue and there's a infestation of rats. What can the county/DOT do to protect the neighboring homes from the contamination? I would recommend having a team clean up the alley consistently on a regular schedule, either weekly or biweekly.  Please follow up with solutions. Thanks.","2020","Solid Waste","Public Land","9336","Columbia","SILVER SPRING","20910","POINT (-77.039433 39.008825)"
"20202834","2020-11-30T00:00:00.000","2020-12-10T00:00:00.000","Case Description From 311: Applicant wants to remain anonymous as his age, medical situation, places him in high risk Covid 19 situation.  This  enforcement  is for Montgomery County MD , Department of Environmental  Code Enforcement.   Occupant of 8001 Inverness Ridge Road, Potomac  20854, illegally dumped tree branch pruning is County forest/watershed behind property.      Inverness  Forest Association HOA Board is negligent in enforcing applicable Montgomery County environmental sustainability  regulations.   This forest/watershed ravine  where the  pruene branches were illegally dumped feeds into the Cabin John watershed","2020","Solid Waste","Residential","8001","INVERNESS RIDGE","POTOMAC","20854","POINT (-77.163429 39.030372)"
"20202862","2020-12-07T00:00:00.000","2020-12-08T00:00:00.000","Case Description From 311: SHA contacted about a mattress that is near the service location. It is in the meridian at the intersection of Towne Road and Montrose Road. The system when verified states that it is not County Maintained, but it is also not SHA maintained. No contact information for the individual that called it into SHA.","2020","Solid Waste","Commercial","5901","Montrose","ROCKVILLE","20852","POINT (-77.1192 39.052973)"
"20202857","2020-12-04T00:00:00.000","2020-12-08T00:00:00.000","Case Description From 311: Anonymous Caller reports neighbors keep dumping trash on ROW near her address: 18600 Nathans Pl. States there is a No Dumping Sign in front of area, however, items are still being dumped there. Requests to be investigated, please.","2020","Solid Waste","Public Land","18600","Nathans","MONTGOMERY VILLAGE","20886","POINT (-77.199925 39.160308)"
"20202875","2020-12-08T00:00:00.000","2020-12-08T00:00:00.000","Case Description From 311: Anonymous Caller reports there is toilet in the bushes at the corner of service location: Dalroy Ln and Bannockburn Dr. Its been there approx. one month maybe more. Requests to be removed, please.","2020","Solid Waste","Public Land",,"BANNOCKBURN","BETHESDA","20817",
"20202813","2020-11-23T00:00:00.000","2020-12-08T00:00:00.000","Case Description From 311: Customer would like to lodge an illegal dumping complaint.  Customer is complaining that commercial vehicle dumped a load of yard waste onto his property.  Customer states that he has pictures of the driver, his vehicle and license plate number.  Customer is requesting to speak with DEP immediately concerning the matter- Dwayne
************************************************************************************
Caller is insisting to speak the DEP office and the agent volunteer to submit a SR to DEP office, but caller declined and requested to speak to a supervisor.  Agent transferred caller to supervisor line for additional assistance.  Caller declined to provide name and contact information
1440068861 MC311 Complaint (Internal)","2020","Solid Waste","Residential","11901","STONEY CREEK","POTOMAC","20854","POINT (-77.259577 39.050425)"
"20202847","2020-12-01T00:00:00.000","2020-12-08T00:00:00.000","Case Description From 311: SR Open date :12/01/2020 12:1: Reporting Broken Concrete was dumped at an active residential home construction site .
Dumped in the driveway. Between 11/25/20 to 11/30/2020","2020","Solid Waste","Residential","10712","Burbank","POTOMAC","20854","POINT (-77.220968 39.016546)"
"20202846","2020-12-01T00:00:00.000","2020-12-04T00:00:00.000","Case Description From 311: Large amounts of leaves have been dumped straight on the sidewalk in front of the property at 6320 Tilden Lane. The sidewalk is completely obstructed and not usable at all. This is dangerous.","2020","Solid Waste","Public Land","6320","TILDEN LANE","ROCKVILLE","20852","POINT (-77.131319 39.043673)"
"20202852","2020-12-03T00:00:00.000","2020-12-04T00:00:00.000","Case Description From 311: SR Open date :12/02/2020 10:5: Caller states that someone  illegally dump a mattress last week  - mattress is on the curb","2020","Solid Waste","Public Land","1708","ALBERTI","SILVER SPRING","20902","POINT (-77.037493 39.034852)"
"20202850","2020-12-03T00:00:00.000","2020-12-04T00:00:00.000","Case Description From 311: Illegal dumping of a sofa along the right-of-way in the vicinity of 19920 W. Hunter Rd, Beallsville. Near intersection of W Hunter RD and MD28","2020","Solid Waste","Public Land","19920","W HUNTER","BEALLSVILLE","20839","POINT (-77.41849 39.178108)"
"20202745","2020-11-06T00:00:00.000","2020-12-01T00:00:00.000","Case Description From 311: Caller is reporting that neighbor is bringing construction debris into the neighborhood and dumping it in the back of a pick up truck that has just been sitting on the road.","2020","Solid Waste","Residential",,"EDGEWOOD","SILVER SPRING","20901",
"20202833","2020-11-30T00:00:00.000","2020-12-01T00:00:00.000","Case Description From 311: SR Open date :11/28/2020 11:3: Oil spot on street from Unknown truck and grass remained soggy and died. Area did not dry. Today I shoveled the mud into lawn bags for removal by county recycling. I Have 4 bags of mud and was unable to get through calling mc311 and left a message to some other number and did not hear back. Please advise my 2 neighbors asked me to do something but are not helpers just complainers and it?s not my fault. Thankyou","2020","Solid Waste","Cleanup","15112","WINESAP","GAITHERSBURG","20878","POINT (-77.251082 39.103764)"
"20202836","2020-11-30T00:00:00.000","2020-12-01T00:00:00.000","Case Description From 311: Someone has dumped rubble near the Watts Branch bridge","2020","Solid Waste","Public Land",,"Glen Mill","Potomac","20854",
"20202793","2020-11-17T00:00:00.000","2020-12-01T00:00:00.000","Case Description From 311: There are three large black trash bags at the entrance to the monocracy aqueduct that were too far off the road for me to get and I was also unable to see what was inside of the bags but I wanted to let you all know.","2020","Solid Waste","Public Land",,"MOUTH OF MONOCACY","DICKERSON","20842",
"20202831","2020-11-24T00:00:00.000","2020-11-30T00:00:00.000","Case Description From 311: SR Open date :11/24/2020 16:3: caller would like to report dumping of a sofa on his property","2020","Solid Waste","Residential","21700","BIGWOODS","DICKERSON","20842","POINT (-77.418608 39.210414)"
"20202827","2020-11-24T00:00:00.000","2020-11-24T00:00:00.000","Case Description From 311: My dog found freshly dismembered deer parts in the back corner of my yard. I threw one piece over the fence to get it away from the dog and properly disposed of the other piece. I have pictures.","2020","Solid Waste","Residential","9825","MOYER","DAMASCUS","20872","POINT (-77.202996 39.266886)"
"20202623","2020-10-14T00:00:00.000","2020-11-23T00:00:00.000","Case Description From 311: SR Open date :10/13/2020 13:2: Resident lives on corner lot where back of her property faces Atwood.  Across from her Atwood backyard, she requests No Dumping signs be placed along the forested area of Atwood.","2020","Solid Waste","No Dumping Signage","13912","FOGGY GLEN","SILVER SPRING","20906","POINT (-77.030835 39.084083)"
"20202755","2020-11-09T00:00:00.000","2020-11-23T00:00:00.000","Case Description From 311: Caller is reporting illegal dumping of leaves by landscapers doing work within the area at verified location. States this is an ongoing issue that needs to be resolved.","2020","Solid Waste","Residential","7007","BRADLEY","BETHESDA","20817","POINT (-77.144073 39.00497)"
"20202817","2020-11-23T00:00:00.000","2020-11-23T00:00:00.000","Case Description From 311: Someone dumped mattresses and bed frame on the corner of Domer Avenue and Greenwood Avenue, at 8520 Greenwood Avenue. These materials do not belong to this residence and I do not know who abandoned them here. We would appreciate them being picked up and properly disposed of. Thank you.","2020","Solid Waste","Residential","8520","Greenwood","TAKOMA PARK","20912","POINT (-77.001911 38.996504)"
"20202551","2020-10-02T00:00:00.000","2020-11-20T00:00:00.000","Confidential complaint received by email on 9/30/20.
I have lived in the Inverness Forest Association  Inc. HOA since Sept 1980.  This not-for-profit  corporation  of 304 townhomes was established in 1969. 
Townhomes are on Inverness Ridge Road and on Deborah Drive.
I will focus only on illegal dumping  of cut down hardwood trees on the  Deborah Drive side of this HOA neighborhood.  

For the past two decades I noticed illegal  dumping of  cut down  mature hardwood trees in forest/watershed in the three 10711-10973 Deborah Drive cul-de-sacs. 
I was never in a position to observe first hand this illegal dumping. That was until Monday morning, September  28, 2020. I personally
observed the Fernandez Tree Service, licensed arborist, cut down two mature hardwood trees behind 10945 Deborah Drive and illegally roll the trunks,
branches, and leaf material into the forest/watershed behind said property.","2020","Solid Waste","Public Land","10945","Deborah","POTOMAC","20854","POINT (-77.163957 39.034139)"
"20202769","2020-11-12T00:00:00.000","2020-11-20T00:00:00.000","Case Description From 311: Dumping of a vehicle engine on Palmira Lane (Harmony Hills neighborhood) near Aspen Hill Shopping Center

Please pick-up vehicle engine and associated parts / trash.

Thank you!","2020","Solid Waste","Commercial",,"Palmira","SILVER SPRING","20906",
"20202786","2020-11-16T00:00:00.000","2020-11-20T00:00:00.000","Case Description From 311: Builders are in the mist of building a new home. They extracted a oil tanker from the land and trashed such in the dumpster on the property.","2020","Solid Waste","Residential","10402","RODNEY ROAD","SILVER SPRING","20903","POINT (-76.984463 39.02571)"
"20202759","2020-11-10T00:00:00.000","2020-11-18T00:00:00.000","Referred from Christine Micele: A dump truck left a load of rubbish in my yard.  I put some of it into my trash but a lot is too big for that.  The pile includes a chain link fence, a matress, and a lot of old lumber.  Resident info: 
John Wilkinson
3737 Gregg Road 
Brookeville Md 20833
Cell 202-437-3336
Landline 301-570-9328","2020","Solid Waste","Residential","3737","GREGG","BROOKEVILLE","20833","POINT (-77.074419 39.207321)"
"20202779","2020-11-16T00:00:00.000","2020-11-17T00:00:00.000","Case Description From 311: Caller is reporting illegal dumping of trash, garbage, junk, construction debris, demolition debris, furniture, appliances on private property, and would like the issue to be investigated by a DEP investigator.  Caller is stating  that the illegal dumping items are located to the left of the driveway, 50 feet away from the property","2020","Solid Waste","Residential","16251","W OLD BALTIMORE","BOYDS","20841","POINT (-77.339812 39.219794)"
"20202770","2020-11-13T00:00:00.000","2020-11-17T00:00:00.000","Case Description From 311: Caller reports chunks of asphalt were left on the ROW grass at service location intersection: Leatherwood Ter and Cedar Tree Dr. They have been there for over two months. Requests to be removed, please.","2020","Solid Waste","Public Land",,"CEDAR TREE","BURTONSVILLE","20866",
"20202773","2020-11-13T00:00:00.000","2020-11-17T00:00:00.000","Nextdoor social media post forwarded by the Sheriff's Department to DEP.  

Alicia George Brandermill � 1 day ago
 
Man dumping tires in the woods. I just saw a man dumping tires into the woods, on Scenery Drive between Clear Spring Park and Blunt Road. He was in a silver Scion xB. Maryland plates and I think there was a 1079 as part of the plate number, maybe a N in there too. Unfortunately, I didn�t have my phone on me, or I would have called and reported him and taken a picture or video. I said something to him and he drove off. Is this your neighbor? I would love to report him!","2020","Solid Waste","Public Land",,"Scenery","Germantown","20876",
"20202762","2020-11-10T00:00:00.000","2020-11-17T00:00:00.000","Case Description From 311: Anonymous- 20905- stated that the neighbor had his landscaper dumps about 50 feet of leaves in the county bike lane and emergency lane and he wants to have someone come out to investigate this - he said he saw this happen and he knows that s his landscaping crew-, 1439414226 : Caller states that an land scaping company has illegally dumped across from this address","2020","Solid Waste","Residential","1111","BONIFANT","SILVER SPRING","20905","POINT (-77.029193 39.094678)"
"20202771","2020-11-13T00:00:00.000","2020-11-16T00:00:00.000","Case Description From 311: boxes, 2 trash cans and other debris, renters moved out and left it in front of the property, its been there 2wks. MoCo. doesn't pick up their trash.","2020","Solid Waste","Residential","16501","WALNUT HILL","GAITHERSBURG","20877","POINT (-77.181544 39.127583)"
"20202635","2020-10-16T00:00:00.000","2020-11-16T00:00:00.000","Case Description From 311: SR Open date :10/16/2020 11:1: caller requesting to speak w someone regarding previous SR#1431066271- stated repeat issues w illegal dumping on property. resident requesting removal of bagged items and to speak w someone

1431066271- Caller is asking for a no dumping sign in front of her house. People Keep dumping bags of trash randomly, caller request if possible to get a sign in English and Spanish and also make sure the request is for Gail PL and NOT Gail  RD","2020","Solid Waste","Residential","11617","GAIL","SILVER SPRING","20902","POINT (-77.070813 39.047085)"
