Facility Owner,Site,Address,City,State,Zip,Location,Zip Codes,Municipalities,Communities,Councils
Recreation,Ross Boddy Community Center,18529 Brooke Road,Sandy Spring,MD,20860,"18529 Brooke Road
Sandy Spring, MD 20860
(39.159601, -77.032618)",50,1,58,4
MNCPPC,Saddlebrook Local Park,12751 Layhill RD,Silver Spring,MD,20906,"12751 Layhill RD
Silver Spring, MD 20906
(39.065198, -77.048095)",6,1,23,4
Montgomery County Public Schools,"Sandburg, Carl Learning Center",451 Meadow Hall Drive,Rockville,MD,20851,"451 Meadow Hall Drive
Rockville, MD 20851
(39.075861, -77.11041)",68,12,61,3
MNCPPC,Sangamore Local Park,4802 Sangamore RD,Bethesda,MD,20816,"4802 Sangamore RD
Bethesda, MD 20816
(38.952468, -77.12095)",107,1,1,1
Montgomery County Public Schools,Seneca Valley HS,19401 Crystal Rock Drive,Germantown,MD,20874,"19401 Crystal Rock Drive
Germantown, MD 20874
(39.175675, -77.265554)",39,1,39,2
Montgomery County Public Schools,Sequoyah ES,17301 Bowie Mill Road,Derwood,MD,20855,"17301 Bowie Mill Road
Derwood, MD 20855
(39.134221, -77.122312)",51,1,55,4
Montgomery County Public Schools,Seven Locks ES,9500 Seven Locks Road,Bethesda,MD,20814,"9500 Seven Locks Road
Bethesda, MD 20814
(39.012083, -77.16012)",103,1,12,1
MNCPPC,Seven Locks Local Park,6922 Seven Locks RD,Cabin John,MD,20818,"6922 Seven Locks RD
Cabin John, MD 20818
(38.980088, -77.160946)",102,1,3,1
Montgomery County Public Schools,Shady Grove MS,8100 Mid County Highway,Gaithersburg,MD,20877,"8100 Mid County Highway
Gaithersburg, MD 20877
(39.143991, -77.162144)",35,1,36,3
Montgomery County Public Schools,Sherwood ES,1401 Olney-Sandy Spring Road,Sandy Spring,MD,20860,"1401 Olney-Sandy Spring Road
Sandy Spring, MD 20860
(39.148391, -77.033874)",50,1,35,4
Montgomery County Public Schools,Sherwood HS,300 Olney-Sandy Spring Road,Sandy Spring,MD,20860,"300 Olney-Sandy Spring Road
Sandy Spring, MD 20860
(39.149009, -77.019875)",49,1,35,4
Montgomery County Public Schools,"Shriver, Sargent ES",12518 Greenly Drive,Silver Spring,MD,20906,"12518 Greenly Drive
Silver Spring, MD 20906
(39.0602, -77.07974)",6,1,23,4
Montgomery County,Silver Spring Civic Building,1 Veterans Place,Silver Spring,MD,20910,"1 Veterans Place
Silver Spring, MD 20910
(38.997448, -77.02368)",3065,1,7,5
Libraries,Silver Spring Community Library,8901 Colesville RD,Silver Spring,MD,20910,"8901 Colesville RD
Silver Spring, MD 20910
(39.000396, -77.025608)",3065,1,7,5
Montgomery County Public Schools,Silver Spring International MS (Old Blair),313 Wayne Avenue,Silver Spring,MD,20910,"313 Wayne Avenue
Silver Spring, MD 20910
(38.999849, -77.013957)",3065,1,7,5
Montgomery County Public Schools,"Singer, Flora M. ES",2600 Hayden Drive,Silver Spring,MD,20902,"2600 Hayden Drive
Silver Spring, MD 20902
(39.020032, -77.053757)",17,1,10,5
Montgomery County Public Schools,Sligo Creek ES,500 Schuyler Road,Silver Spring,MD,20910,"500 Schuyler Road
Silver Spring, MD 20910
(39.001247, -77.015927)",3065,1,7,5
MNCPPC,Sligo Creek SVU3,Sligo Creek Pkwy,Silver Spring,MD,20902,"Sligo Creek Pkwy
Silver Spring, MD 20902",,,,
MNCPPC,Sligo-Dennis Ave. Local Pk,10200 Sligo Creek PKY,Silver Spring,MD,20902,"10200 Sligo Creek PKY
Silver Spring, MD 20902
(39.027504, -77.028714)",21,1,17,5
Montgomery County Public Schools,Sligo MS,1401 Dennis Avenue,Silver Spring,MD,20902,"1401 Dennis Avenue
Silver Spring, MD 20902
(39.025854, -77.033042)",17,1,16,5
Montgomery County Public Schools,Somerset ES,5811 Warwick Place,Chevy Chase,MD,20815,"5811 Warwick Place
Chevy Chase, MD 20815
(38.968893, -77.092999)",110,7,5,1
MNCPPC,Southeast Olney Local Park,17600 Buehler RD,Olney,MD,20832,"17600 Buehler RD
Olney, MD 20832
(39.144909, -77.062741)",100,1,58,4
MNCPPC,South Germantown RP,14501 Shaeffer RD,Boyds,MD,20841,"14501 Shaeffer RD
Boyds, MD 20841
(39.145995, -77.308383)",75,1,42,2
MNCPPC,South Gunners Branch Local Park,12919 Prairie Knoll CT,Germantown,MD,20874,"12919 Prairie Knoll CT
Germantown, MD 20874
(39.150085, -77.271861)",39,1,39,2
Montgomery County Public Schools,South Lake ES,18201 Contour Road,Gaithersburg,MD,20877,"18201 Contour Road
Gaithersburg, MD 20877
(39.154918, -77.197223)",28,1,38,2
MNCPPC,Spencerville Local Park,15701 Good Hope RD,Silver Spring,MD,20905,"15701 Good Hope RD
Silver Spring, MD 20905
(39.111628, -76.97911)",8,1,29,5
Montgomery County Public Schools,Springbrook HS,201 Valleybrook Drive,Silver Spring,MD,20904,"201 Valleybrook Drive
Silver Spring, MD 20904",,,,
Montgomery County Public Schools,Spring Mill Center,11721 Kemp Mill Road,Silver Spring,MD,20902,"11721 Kemp Mill Road
Silver Spring, MD 20902
(39.047972, -77.026511)",17,1,17,4
Montgomery County Public Schools,Stedwick ES,10631 Stedwick Road,Gaithersburg,MD,20879,"10631 Stedwick Road
Gaithersburg, MD 20879
(39.173192, -77.216638)",28,1,38,2
MNCPPC,Stewartown Local Park,19700 Goshen RD,Gaithersburg,MD,20879,"19700 Goshen RD
Gaithersburg, MD 20879
(39.178412, -77.189566)",31,1,38,2
Montgomery County Public Schools,Stonegate ES,14811 Notley Road,Silver Spring,MD,20904,"14811 Notley Road
Silver Spring, MD 20904
(39.098951, -77.016718)",8,1,26,4
MNCPPC,Stonegate Local Park,14920 Notley RD,Silver Spring,MD,20905,"14920 Notley RD
Silver Spring, MD 20905
(39.101921, -77.016356)",8,1,26,4
MNCPPC,Stonehedge Local Park,12121 Old Columbia PIKE,Silver Spring,MD,20904,"12121 Old Columbia PIKE
Silver Spring, MD 20904
(39.054304, -76.973393)",12,1,21,5
Montgomery County Public Schools,Stone Mill ES,14323 Stonebridge View Drive,Gaithersburg,MD,20879,"14323 Stonebridge View Drive
Gaithersburg, MD 20879
(39.091035, -77.215729)",33,1,24,3
MNCPPC,Stoneybrook Local Park,4105 Havard ST,Silver Spring,MD,20906,"4105 Havard ST
Silver Spring, MD 20906
(39.062798, -77.081866)",6,1,23,4
Montgomery County Public Schools,Strathmore ES,3200 Beaverwood Lane,Silver Spring,MD,20906,"3200 Beaverwood Lane
Silver Spring, MD 20906
(39.086788, -77.065205)",6,1,59,4
MNCPPC,Strathmore Local Park,3210 Beaverwood LN,Aspen Hill,MD,20906,"3210 Beaverwood LN
Aspen Hill, MD 20906
(39.086506, -77.064286)",6,1,59,4
MNCPPC,Stratton Local Park,9925 Harrogate RD,Bethesda,MD,20817,"9925 Harrogate RD
Bethesda, MD 20817
(39.019721, -77.137415)",103,1,12,1
Montgomery County Public Schools,Strawberry Knoll ES,18820 Strawberry Knoll Road,Gaithersburg,MD,20879,"18820 Strawberry Knoll Road
Gaithersburg, MD 20879
(39.167998, -77.18016)",31,1,36,2
MNCPPC,Strawberry Knoll Local Park,18810 Strawberry Knoll RD,Gaithersburg,MD,20879,"18810 Strawberry Knoll RD
Gaithersburg, MD 20879
(39.168343, -77.179947)",31,1,36,2
Montgomery County Public Schools,Summit Hall ES,101 West Deer Park Road,Gaithersburg,MD,20877,"101 West Deer Park Road
Gaithersburg, MD 20877
(39.134808, -77.2054)",35,21,36,3
MNCPPC,Sundown Road Local Park,6200 Sundown RD,Laytonsville,MD,20882,"6200 Sundown RD
Laytonsville, MD 20882
(39.214222, -77.127106)",29,1,45,4
Montgomery County Public Schools,Takoma Park ES,7511 Holly Avenue,Takoma Park,MD,20912,"7511 Holly Avenue
Takoma Park, MD 20912
(38.983053, -77.012936)",3062,11,4,5
Montgomery County Public Schools,Takoma Park MS,7611 Piney Branch Rd.,Silver Spring,MD,20910,"7611 Piney Branch Rd.
Silver Spring, MD 20910
(38.985229, -77.014394)",3062,1,4,5
Montgomery County Public Schools,Tilden Center,6300 Tilden Lane,Rockville,MD,20852,"6300 Tilden Lane
Rockville, MD 20852
(39.043705, -77.131793)",60,1,19,1
Montgomery County Public Schools,Tilden MS,11211 Old Georgetown Road,Rockville,MD,20852,"11211 Old Georgetown Road
Rockville, MD 20852
(39.038751, -77.122716)",60,1,19,1
MNCPPC,Tilden Woods Local Park,6800 Tilden LN,Rockville,MD,20852,"6800 Tilden LN
Rockville, MD 20852
(39.044118, -77.138867)",60,1,19,1
MNCPPC,Timberlawn Local Park,10800 Gloxinia DR,North Bethesda,MD,20852,"10800 Gloxinia DR
North Bethesda, MD 20852",,,,
Montgomery County Public Schools,Travilah ES,13801 Dufief Mill Road,Gaithersburg,MD,20878,"13801 Dufief Mill Road
Gaithersburg, MD 20878
(39.082085, -77.249536)",33,1,24,2
Libraries,Twinbrook Community Library,202 Meadow Hall DR,Rockville,MD,20851,"202 Meadow Hall DR
Rockville, MD 20851
(39.074824, -77.113291)",68,12,25,3
Montgomery County Public Schools,Twinbrook ES,5911 Ridgeway Avenue,Rockville,MD,20851,"5911 Ridgeway Avenue
Rockville, MD 20851
(39.067111, -77.12012)",68,12,25,3
Montgomery County Public Schools,Veirs Mill ES,11711 Joseph Mill Road,Silver Spring,MD,20906,"11711 Joseph Mill Road
Silver Spring, MD 20906
(39.047884, -77.085777)",6,1,56,4
MNCPPC,Veirs Mill Local Park,4425 Garrett Park RD,Silver Spring,MD,20906,"4425 Garrett Park RD
Silver Spring, MD 20906
(39.041726, -77.087343)",6,1,56,4
MNCPPC,Waring Station Local Park,12215 Stoney Bottom RD,Germantown,MD,20874,"12215 Stoney Bottom RD
Germantown, MD 20874
(39.169967, -77.254473)",39,1,39,2
Montgomery County Public Schools,Washington Grove ES,8712 Oakmont Street,Gaithersburg,MD,20877,"8712 Oakmont Street
Gaithersburg, MD 20877
(39.133664, -77.178804)",35,1,36,3
MNCPPC,Washington Square Nghbrhd Park,17800 Amity DR,Gaithersburg,MD,20877,"17800 Amity DR
Gaithersburg, MD 20877",,,,
Montgomery County Public Schools,Waters Landing ES,13100 Waters Landing Drive,Germantown,MD,20874,"13100 Waters Landing Drive
Germantown, MD 20874
(39.189693, -77.269343)",39,1,39,2
MNCPPC,Waters Landing Local Park,13701 Waters Landing DR,Germantown,MD,20874,"13701 Waters Landing DR
Germantown, MD 20874
(39.191459, -77.271559)",39,1,39,2
Montgomery County Public Schools,Watkins Mill ES,19001 Watkins Mill Road,Gaithersburg,MD,20879,"19001 Watkins Mill Road
Gaithersburg, MD 20879
(39.167544, -77.21211)",28,1,38,2
Montgomery County Public Schools,Watkins Mill HS,10301 Apple Ridge Road,Gaithersburg,MD,20879,"10301 Apple Ridge Road
Gaithersburg, MD 20879
(39.182753, -77.215258)",28,1,38,2
Montgomery County Public Schools,Wayside ES,10011 Glen Road,Potomac,MD,20854,"10011 Glen Road
Potomac, MD 20854
(39.046704, -77.206614)",53,1,20,1
Montgomery County Public Schools,Weller Rd ES,3301 Weller Road,Silver Spring,MD,20906,"3301 Weller Road
Silver Spring, MD 20906
(39.06445, -77.067959)",6,1,23,4
Montgomery County Public Schools,Westbrook ES,5110 Allan Terrace,Bethesda,MD,20816,"5110 Allan Terrace
Bethesda, MD 20816
(38.957615, -77.102401)",107,1,12,1
MNCPPC,West Fairland Local Park,2201 Fairland RD,Fairland,MD,20904,"2201 Fairland RD
Fairland, MD 20904
(39.077889, -76.965174)",12,1,53,5
Montgomery County Public Schools,"West, Julius MS",651 Great Falls Road,Rockville,MD,20850,"651 Great Falls Road
Rockville, MD 20850
(39.075374, -77.163534)",71,12,25,3
Montgomery County Public Schools,Westland MS,5511 Massachusetts Avenue,Bethesda,MD,20816,"5511 Massachusetts Avenue
Bethesda, MD 20816
(38.95833, -77.109902)",107,1,12,1
MNCPPC,Westmoreland Hills Local Park,5315 Elliott DR,Bethesda,MD,20816,"5315 Elliott DR
Bethesda, MD 20816
(38.951645, -77.108013)",107,1,12,1
Montgomery County Public Schools,Westover ES,401 Hawkesbury Lane,Silver Spring,MD,20904,"401 Hawkesbury Lane
Silver Spring, MD 20904
(39.074344, -77.017246)",12,1,26,4
MNCPPC,Wheaton Forest Local Park,1700 University BLVD W,Silver Spring,MD,20902,"1700 University BLVD W
Silver Spring, MD 20902
(39.037243, -77.039678)",17,1,16,4
Montgomery County Public Schools,Wheaton HS,12601 Dalewood Drive,Wheaton,MD,20906,"12601 Dalewood Drive
Wheaton, MD 20906
(39.061934, -77.067513)",6,1,23,4
Libraries,Wheaton Regional Library,11701 Georgia AVE,Wheaton,MD,20902,"11701 Georgia AVE
Wheaton, MD 20902
(39.047816, -77.051924)",17,1,16,4
Montgomery County Public Schools,Wheaton Woods ES,4510 Faroe Place,Rockville,MD,20853,"4510 Faroe Place
Rockville, MD 20853
(39.068888, -77.08976)",58,1,61,4
MNCPPC,Wheaton Woods Local Park,4650 Falcon ST,Rockville,MD,20853,"4650 Falcon ST
Rockville, MD 20853
(39.066811, -77.092715)",58,1,61,4
Montgomery County Public Schools,Whetstone ES,19201 Thomas Farm Road,Gaithersburg,MD,20879,"19201 Thomas Farm Road
Gaithersburg, MD 20879
(39.172339, -77.197706)",28,1,38,2
Libraries,White Oak Community Library,11701 New Hampshire AVE,Silver Spring,MD,20904,"11701 New Hampshire AVE
Silver Spring, MD 20904
(39.047705, -76.992802)",12,1,18,5
Montgomery County Public Schools,White Oak MS,12201 New Hampshire Avenue,Silver Spring,MD,20904,"12201 New Hampshire Avenue
Silver Spring, MD 20904
(39.055274, -76.995405)",12,1,18,5
Montgomery County Public Schools,"Whitman, Walt HS",7100 Whittier Boulevard,Bethesda,MD,20817,"7100 Whittier Boulevard
Bethesda, MD 20817
(38.980869, -77.125554)",103,1,12,1
MNCPPC,Whittier Woods Local Park,7400 Whitter BLVD,Bethesda,MD,20817,"7400 Whitter BLVD
Bethesda, MD 20817
(38.983381, -77.126071)",103,1,12,1
MNCPPC,Winding Creek Local Park,12326 Dewey RD,Wheaton,MD,20906,"12326 Dewey RD
Wheaton, MD 20906
(39.056342, -77.089958)",6,1,56,4
Montgomery County Public Schools,Wood Acres ES,5800 Cromwell Drive,Bethesda,MD,20816,"5800 Cromwell Drive
Bethesda, MD 20816
(38.968448, -77.118049)",107,1,12,1
MNCPPC,Woodacres LP/ES,5850 Wyndwood RD,Bethesda,MD,20816,"5850 Wyndwood RD
Bethesda, MD 20816
(38.96753, -77.121598)",107,1,12,1
Montgomery County Public Schools,"Wood, Earl MS",14615 Bauer Drive,Rockville,MD,20853,"14615 Bauer Drive
Rockville, MD 20853
(39.093397, -77.109047)",58,1,61,3
Montgomery County Public Schools,Woodfield ES,24200 Woodfield Road,Gaithersburg,MD,20879,"24200 Woodfield Road
Gaithersburg, MD 20879
(39.2533, -77.197462)",29,1,46,2
Montgomery County Public Schools,Woodlin ES,2101 Luzerne Avenue,Silver Spring,MD,20910,"2101 Luzerne Avenue
Silver Spring, MD 20910
(39.006008, -77.04669)",3065,1,6,5
MNCPPC,Wood LP/MS,14601 Bauer DR,Rockville,MD,20853,"14601 Bauer DR
Rockville, MD 20853
(39.091531, -77.108732)",58,1,61,3
Montgomery County Public Schools,"Wootton, Thomas HS",2100 Wootton Parkway,Rockville,MD,20850,"2100 Wootton Parkway
Rockville, MD 20850
(39.0762, -77.182019)",71,12,25,3
Montgomery County Public Schools,Wyngate ES,9300 Wadsworth Drive,Bethesda,MD,20817,"9300 Wadsworth Drive
Bethesda, MD 20817
(39.010245, -77.127132)",103,1,12,1
