"title","date","month","fy","library","primary_event_type","event_type_option_1","event_type_option_2","primary_age_group","age_group_option_1","age_group_option_2","description","internal_notes","published_status","attendance"
"Stepping Stones Story Time","2016-10-18T00:00:00.000","Oct","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","42"
"Preschool Storytime","2016-10-18T00:00:00.000","Oct","FY 17","Aspen Hill","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Join us for Stories, Songs, Rhymes and more for children up to 5 years and their adults beginning at 11 am. Program will be followed by Stay and Play from 11:30 am-12:00 pm.",,"Yes",
"Lap Time for Little Ones","2016-10-18T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes","50"
"Mommy & Me (& Daddy Too!)","2016-10-18T00:00:00.000","Oct","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","42"
"Stay and Play","2016-10-18T00:00:00.000","Oct","FY 17","Aspen Hill","Science & Math (STEM)","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Join us after Preschool Storytime from 11:30 am -12:00 pm for Stay and Play. There will be a variety of STEM and STEAM activities to enrich your child's imagination.",,"Yes",
"Tutoring and Homework Help","2016-10-18T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-18T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","20"
"Tutoring and Homework Help","2016-10-18T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Toddler Storytime","2016-10-19T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","80"
"Pre-School Storytime","2016-10-19T00:00:00.000","Oct","FY 17","Twinbrook","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Picture Books, Fingerplays, Action Rhymes, Movement with Music, and Flannel Board Stories. Free. No registration required. Designed for children ages 2 1/2 to 5. For more information call 240-777-0240.",,"Yes","25"
"Preschool Storytime","2016-10-19T00:00:00.000","Oct","FY 17","Olney","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,"Yes","43"
"Lap Time for Little Ones","2016-10-19T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes","50"
"Stepping Stones Story Time","2016-10-19T00:00:00.000","Oct","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","28"
"Homework Help for Elementary Students","2016-10-19T00:00:00.000","Oct","FY 17","Wheaton","Homework","ACE - All Children Excel",,"Elementary School Age",,,"For students Kindergarten to grade 6. Reading and math help and encouragement from older students.",,"Yes","9"
"Tutoring and Homework Help","2016-10-19T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","21"
"Pajama Storytime","2016-10-19T00:00:00.000","Oct","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Get ready for bed with a special storytime at the library! Join us for stories, songs, rhymes and a craft. Ages 3 and up, with adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,"Yes","12"
"Toddler & Preschool Storytime","2016-10-20T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,"Yes","43"
"Toddler & Preschool Storytime","2016-10-20T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,"Yes","68"
"Stem Open Play","2016-10-20T00:00:00.000","Oct","FY 17","Chevy Chase","Science & Math (STEM)","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten",,,"Come to the Chevy Chase Library on Thursday mornings from 10:30 -11:30 am to have fun with Duplos, blocks, matching and sorting games and other STEM/STEAM activities. Preschool age. No registration needed. This program is made possible through the generous support of the Friends of the Library, Chevy Chase Chapter.",,"Yes","14"
"Preschool Storytime","2016-10-20T00:00:00.000","Oct","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Stories, songs, rhymes, and other early literacy activities for preschoolers ages 3 and up. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,"Yes","59"
"Construction Crew: DUPLO","2016-10-20T00:00:00.000","Oct","FY 17","Damascus","Science & Math (STEM)","ACE - All Children Excel","Makerspace","Preschool and Kindergarten","Babies and Toddlers",,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,"Yes","17"
"Tutoring and Homework Help","2016-10-20T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-20T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","23"
"Tutoring and Homework Help","2016-10-20T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Family Fun Storytime","2016-10-21T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers","Preschool and Kindergarten",,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,"Yes",
"Family Fun Storytime","2016-10-21T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers","Preschool and Kindergarten",,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,"Yes",
"MC Infants & Toddlers Bilingual Storytime","2016-10-21T00:00:00.000","Oct","FY 17","Gaithersburg","Z_Visits In","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"open bilingual storytime hosted in the library by MC Infants & Toddlers",,"No","30"
"LEGO and Duplo Playtime","2016-10-21T00:00:00.000","Oct","FY 17","Twinbrook","Makerspace","ACE - All Children Excel","Science & Math (STEM)","Elementary School Age","Preschool and Kindergarten",,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three to twelve. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. For more information call 240-777-0240.",,"Yes","8"
"Pre-School Storytime","2016-11-02T00:00:00.000","Nov","FY 17","Twinbrook","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Picture Books, Fingerplays, Action Rhymes, Movement with Music, and Flannel Board Stories. Free. No registration required. Designed for children ages 2 1/2 to 5. For more information call 240-777-0240.",,"Yes","28"
"LEGO Crew","2016-10-21T00:00:00.000","Oct","FY 17","Gaithersburg","Science & Math (STEM)","ACE - All Children Excel","Makerspace","Elementary School Age","Preschool and Kindergarten",,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,"Yes","33"
"Baby/Toddler Storytime","2016-10-22T00:00:00.000","Oct","FY 17","Olney","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,"Yes","25"
"Tutoring and Homework Help","2016-10-22T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes",
"BABY STORYTIME","2016-10-22T00:00:00.000","Oct","FY 17","Rockville Memorial","ACE - All Children Excel","Storytime",,"Babies and Toddlers",,,"Storytime for babies and their parents or caregivers. Stories, songs and rhymes for the just born to just walking (0-24 month olds). Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","100"
"Tutoring and Homework Help","2016-10-22T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-24T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-24T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","18"
"Baby Storytime","2016-10-25T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","38"
"Baby Storytime","2016-10-25T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","39"
"Toddler Storytime","2016-10-25T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","80"
"Time for Twos and Threes","2016-10-25T00:00:00.000","Oct","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, songs and other early literacy activities for children ages 2 and 3 with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,"Yes","70"
"PRESCHOOL STORYTIME","2016-10-25T00:00:00.000","Oct","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Preschool Storytime is for children ages 3 1/2 to 6 years old, with a parent or caregiver. Join us for stories, songs, stretches and rhymes. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","45"
"Bilingual Storytime with Lupe Marks (Spanish/English)","2016-10-25T00:00:00.000","Oct","FY 17","Chevy Chase","Bilingual","Storytime","Z_For VS use only","Babies and Toddlers","Preschool and Kindergarten",,"Please join us for a bilingual (Spanish/English) storytime just right for toddlers and preschoolers. No registration needed. This program is made possible through the generous support of the Friends of the Library, Chevy Chase Chapter.",,"Yes","88"
"Stepping Stones Story Time","2016-10-25T00:00:00.000","Oct","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","54"
"Preschool Storytime","2016-10-25T00:00:00.000","Oct","FY 17","Aspen Hill","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Join us for Stories, Songs, Rhymes and more for children up to 5 years and their adults beginning at 11 am. Program will be followed by Stay and Play from 11:30 am-12:00 pm.",,"Yes",
"Lap Time for Little Ones","2016-10-25T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes","50"
"Stay and Play","2016-10-25T00:00:00.000","Oct","FY 17","Aspen Hill","Science & Math (STEM)","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Join us after Preschool Storytime from 11:30 am -12:00 pm for Stay and Play. There will be a variety of STEM and STEAM activities to enrich your child's imagination.",,"Yes",
"Tutoring and Homework Help","2016-10-25T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-25T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","25"
"Tutoring and Homework Help","2016-10-25T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Bedtime Stories with Your Teddy Bear","2016-10-25T00:00:00.000","Oct","FY 17","Twinbrook","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Bring your favorite stuffed animal for bedtime stories, songs, and rhymes. Children must be accompanied by an adult. Recommended for ages 3 and up. Call 240-777-0240 for more information.",,"Yes","12"
"Act it Out Kids Book Club","2016-10-25T00:00:00.000","Oct","FY 17","Olney","ACE - All Children Excel","Storytime",,"Elementary School Age",,,"We will read a story and then the kids will act it out! For kids in first,second and third grades only. For kids only--no parents. You must register online for this event. Limited to 20 participants.",,"Yes","7"
"Toddler Storytime","2016-10-26T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","80"
"Time for Twos and Threes","2016-10-26T00:00:00.000","Oct","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, songs and other early literacy activities for children ages 2 and 3 with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,"Yes","55"
"Preschool Storytime","2016-10-26T00:00:00.000","Oct","FY 17","Olney","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,"Yes","53"
"Rhyme Time Storytime","2016-10-26T00:00:00.000","Oct","FY 17","Long Branch","Science & Math (STEM)","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,"Yes","61"
"Lap Time for Little Ones","2016-10-26T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes","50"
"Stepping Stones Story Time","2016-10-26T00:00:00.000","Oct","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","21"
"Halloween Holly","2016-10-26T00:00:00.000","Oct","FY 17","Gaithersburg","Special Event","Storytime",,"Preschool and Kindergarten","Elementary School Age",,"Enjoy a visit from Halloween Holly and learn about how to have a healthier Halloween. Halloween Holly is a children's book about a unique little elf who collects children's extra Halloween candy & takes it back to the North Pole where it magically helps energize Santa's elves as they make the toys for Christmas. Every book is packaged together with one of Halloween Holly's Special Candy Bowls where kids leave their extra candy for her to collect each and every year. Best for ages 3-8 years old, with a caregiver.",,"Yes","33"
"Tutoring and Homework Help","2016-10-26T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","19"
"Halloween Storytime and Activity- Costumes Welcome!!","2016-10-26T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Special Event","Storytime","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers","Elementary School Age","Come join us as we read not so spooky stories and dance and sing in celebration of Halloween. Storytime will be followed by a Boo-tiful craft activity that you can take home. Costumes welcome!!",,"Yes","58"
"Toddler & Preschool Storytime","2016-10-27T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,"Yes","41"
"Toddler & Preschool Storytime","2016-10-27T00:00:00.000","Oct","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,"Yes","72"
"Stem Open Play","2016-10-27T00:00:00.000","Oct","FY 17","Chevy Chase","Science & Math (STEM)","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten",,,"Come to the Chevy Chase Library on Thursday mornings from 10:30 -11:30 am to have fun with Duplos, blocks, matching and sorting games and other STEM/STEAM activities. Preschool age. No registration needed. This program is made possible through the generous support of the Friends of the Library, Chevy Chase Chapter.",,"Yes","22"
"Construction Crew: DUPLO","2016-10-27T00:00:00.000","Oct","FY 17","Damascus","Science & Math (STEM)","ACE - All Children Excel","Makerspace","Preschool and Kindergarten","Babies and Toddlers",,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,"Yes","14"
"Tutoring and Homework Help","2016-10-27T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-27T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","19"
"Tutoring and Homework Help","2016-10-27T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"SPOOK-tacular Storytime","2016-10-27T00:00:00.000","Oct","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Elementary School Age",,"Celebrate Halloween with stories, songs, rhymes and fingerplays to scare your socks off! Come in costume, if you like. Free tickets will be distributed 30 minutes prior to the program. Space is limited.",,"Yes","18"
"MC Infants & Toddlers Bilingual Storytime","2016-10-28T00:00:00.000","Oct","FY 17","Gaithersburg","Z_Visits In","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"open bilingual storytime hosted in the library by MC Infants & Toddlers",,"No","18"
