"name","type","gradelevels","public_private","schoolsystem","open_closed","name_former","full_address","city","state","zip","phone_number","website","geolocation","recno"
"Saint Thomas More Catholic School","Elementary","Pre-K to 8","Private","Catholic","O",,"11400 SHERBROOK DR","BATON ROUGE","LOUISIANA","70815","225-275-2820","http://www.stmbr.org/","11400 SHERBROOK DR
BATON ROUGE, LOUISIANA 70815
(30.45088, -91.055821)","379"
"Louisiana State University And A&M College","University",,"Public","Louisiana State University System","O",,"3810 W LAKESHORE DR","BATON ROUGE","LOUISIANA","70808",,"http://www.lsu.edu/","3810 W LAKESHORE DR
BATON ROUGE, LOUISIANA 70808
(30.414318, -91.168658)","491"
"Runnels School","Elementary","1 to 8","Private","Private","C",,"17255 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,"http://www.runnels.org/","17255 S HARRELL'S FERRY RD
BATON ROUGE, LOUISIANA 70816
(30.423721, -90.995059)","399"
"Trinity Christian Academy","All Grades","4 to 12","Private","Private","C",,"4315 CHURCH ST","ZACHARY","LOUISIANA","70791","225-228-0750","http://www.tcazachary.org","4315 CHURCH ST
ZACHARY, LOUISIANA 70791
(30.650423, -91.158676)","763"
"Glen Oaks Middle A Redesign School","Middle","6 to 8","Public","Charter","O","Zion City School","5959 CADILLAC ST","BATON ROUGE","LOUISIANA","70811","225-771-8128","https://www.redesignschoolslouisiana.org","5959 CADILLAC ST
BATON ROUGE, LOUISIANA 70811
(30.518005, -91.13004)","397"
"Capitol High School","High",,"Public","Charter","O",,"1000 N 23RD ST","BATON ROUGE","LOUISIANA","70802","225-239-7506","https://capitolhighbr.org","1000 N 23RD ST
BATON ROUGE, LOUISIANA 70802
(30.459306, -91.164953)","465"
"Geo Prep Academy of Baton Rouge","Elementary","K to 7","Public","Charter","O",,"2311 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815","225-927-1500","http://geoprep.org/","2311 N SHERWOOD FOREST DR
BATON ROUGE, LOUISIANA 70815
(30.469773, -91.058082)","749"
"Delmont Pre-K/K Center","Elementary","Pre-K to K","Public","East Baton Rouge Parish","O",,"5300 DOUGLAS AVE","BATON ROUGE","LOUISIANA","70805","225-355-2106","https://www.ebrschools.org/schools/","5300 DOUGLAS AVE
BATON ROUGE, LOUISIANA 70805
(30.49813, -91.160852)","470"
"Saint Alphonsus Catholic School","Elementary","Pre-K to 8","Private","Catholic","O",,"13940 GREENWELL SPRINGS RD","GREENWELL SPRINGS","LOUISIANA","70739","225-261-5299","http://www.stalphonsusbr.org/","13940 GREENWELL SPRINGS RD
GREENWELL SPRINGS, LOUISIANA 70739
(30.509035, -91.031243)","578"
"Saint Francis Xavier Catholic School","Elementary","Pre-K to 8","Private","Catholic","O",,"1150 S 12TH ST","BATON ROUGE","LOUISIANA","70802","225-387-6639","https://www.sfxbr.org","1150 S 12TH ST
BATON ROUGE, LOUISIANA 70802
(30.436652, -91.176526)","538"
"Lanier Elementary A Redesign School","Elementary","Pre-K to 5","Public","Charter","O","Lanier Elementary School","4705 LANIER DR","BATON ROUGE","LOUISIANA","70812","225-308-3273","https://www.redesignschoolslouisiana.org","4705 LANIER DR
BATON ROUGE, LOUISIANA 70812
(30.49384, -91.107467)","489"
"Baker High School","High","9 to 12","Public","City of Baker","O",,"3200 GROOM RD","BAKER","LOUISIANA","70714","225-775-1259","https://www.bakerschools.org/apps/pages/BakerHighSchool","3200 GROOM RD
BAKER, LOUISIANA 70714
(30.587966, -91.164618)","513"
"Geo Prep Mid City","Elementary","K to 8","Public","Charter","O",,"1900 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-236-9333","https://geoprepmc.org/","1900 LOBDELL BLVD
BATON ROUGE, LOUISIANA 70806
(30.464614, -91.117769)","769"
"Trinity Lutheran School","Elementary","Pre-K to 8","Private","Private","O",,"15160 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-272-3110","http://tlcbr.org/","15160 S HARRELL'S FERRY RD
BATON ROUGE, LOUISIANA 70816
(30.42764, -91.017017)","572"
"Baton Rouge Community College - Ardendale Campus","College",,"Public","Louisiana Community and Technical College System","O",,"2115 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","1-866-217-9823","http://www.mybrcc.edu/","2115 LOBDELL BLVD
BATON ROUGE, LOUISIANA 70806
(30.469955, -91.121897)","894"
"Crestworth Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O","Crestworth Learning Academy","10650 AVENUE F","BATON ROUGE","LOUISIANA","70807","225-778-1317","https://www.ebrschools.org/schools/","10650 AVENUE F
BATON ROUGE, LOUISIANA 70807
(30.541306, -91.195664)","522"
"EBR Career and Technical Education Center","High","9 to 12","Public","East Baton Rouge Parish","O",,"2101 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-412-1663","https://www.ebrschools.org/schools/","2101 LOBDELL BLVD
BATON ROUGE, LOUISIANA 70806
(30.46993, -91.121879)","892"
"Democracy Prep Louisiana Charter School","All Grades","K to 8","Public","Charter","O",,"4055 PRESCOTT RD","BATON ROUGE","LOUISIANA","70805","225-372-2037","http://dpbrms.democracyprep.org/","4055 PRESCOTT RD
BATON ROUGE, LOUISIANA 70805
(30.487427, -91.146232)","509"
"Advantage Charter Academy","Elementary","K to 8","Public","Charter","O",,"14740 PLANK RD","BAKER","LOUISIANA","70714","225-774-3111","https://www.nhaschools.com/schools/Advantage-Charter-Academy/en","14740 PLANK RD
BAKER, LOUISIANA 70714
(30.579086, -91.12705)","731"
"Louisiana New School Academy","All Grades","4 to 12","Private","Private","O",,"1900 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-344-8900","http://www.lanewschoolacademy.com","1900 NORTH BLVD
BATON ROUGE, LOUISIANA 70806
(30.447789, -91.16904)","757"
"EBR Virtual Academy","All Grades","Pre-K to 12","Public","East Baton Rouge Parish","O","South Boulevard Elementary","802 MAYFLOWER ST","BATON ROUGE","LOUISIANA","70802","225-922-5595","http://schools.ebrschools.org/virtualacademy/","802 MAYFLOWER ST
BATON ROUGE, LOUISIANA 70802
(30.440913, -91.181876)","455"
"Cypress Heights Academy","Elementary","K to 8","Private","Private","C",,"10420 BARINGER FOREMAN RD","BATON ROUGE","LOUISIANA","70809","225-755-1558","http://www.cypressheights.org/","10420 BARINGER FOREMAN RD
BATON ROUGE, LOUISIANA 70809
(30.354506, -91.027579)","754"
"Geo Next Generation High School","High","9 to 12","Public","Charter","O",,"2355 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815","225-314-2044","http://geonextgenerationhighschool.org/","2355 N SHERWOOD FOREST DR
BATON ROUGE, LOUISIANA 70815
(30.470252, -91.05808)","909"
"Crestworth Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","C",,"11200 AVENUE F","BATON ROUGE","LOUISIANA","70807","225-778-1317","https://www.ebrschools.org/schools/","11200 AVENUE F
BATON ROUGE, LOUISIANA 70807
(30.543596, -91.1965)","521"
"Collegiate Baton Rouge","High","9 to 12","Public","Charter","O",,"282 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-892-6962","https://cbr.collegiateacademies.org","282 LOBDELL BLVD
BATON ROUGE, LOUISIANA 70806
(30.453117, -91.11204)","910"
"Camelot College","College",,"Private","Private","O",,"2618 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70805","225-928-3005","http://www.camelotcollege.com/","2618 WOODDALE BLVD
BATON ROUGE, LOUISIANA 70805
(30.473767, -91.115993)","750"
"Baker Middle School","Middle","6 to 8","Public","City of Baker","O","Bakerfield Elementary School","2550 SOUTH ST","BAKER","LOUISIANA","70714","225-775-0550","https://www.bakerschools.org/apps/pages/BakerMiddleSchool","2550 SOUTH ST
BAKER, LOUISIANA 70714
(30.5809, -91.175819)","515"
"Dalton Elementary A Redesign School","Elementary","Pre-K to 5","Public","Charter","O","Celerity Dalton Charter School","3605 ONTARIO ST","BATON ROUGE","LOUISIANA","70805","225-357-0244","https://www.redesignschoolslouisiana.org","3605 ONTARIO ST
BATON ROUGE, LOUISIANA 70805
(30.475586, -91.153762)","469"
"Victory Academy","Elementary","Pre-K to 8","Private","Private","O",,"3953 N FLANNERY RD","BATON ROUGE","LOUISIANA","70814","225-272-8339","https://www.vcawarriors.org","3953 N FLANNERY RD
BATON ROUGE, LOUISIANA 70814
(30.487374, -91.034571)","406"
"Louisiana School for the Deaf","All Grades","Pre-K to 12","Public","Louisiana Board of Elementary and Secondary Education","O",,"2888 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820","225-769-8160","http://lalsd.org/","2888 BRIGHTSIDE DR
BATON ROUGE, LOUISIANA 70820
(30.389786, -91.191459)","441"
"Baker Middle School","Middle","6 to 8","Public","City of Baker","C",,"5903 GROOM RD","BAKER","LOUISIANA","70714","225-775-9750","https://www.bakerschools.org/apps/pages/BakerMiddleSchool","5903 GROOM RD
BAKER, LOUISIANA 70714
(30.583942, -91.135033)","514"
"Baker Heights Elementary School","Elementary","Pre-K to 1","Public","City of Baker","O",,"3750 HARDING ST","BAKER","LOUISIANA","70714","225-775-1493","https://www.bakerschools.org/apps/pages/BHESchool","3750 HARDING ST
BAKER, LOUISIANA 70714
(30.583881, -91.160038)","512"
"Runnels Pre-School","Preschool","Pre-K to K","Private","Private","C",,"6455 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70806",,"http://www.runnels.org/","6455 JEFFERSON HWY
BATON ROUGE, LOUISIANA 70806
(30.435156, -91.123493)","709"
"Baton Rouge College Preparatory","Middle","5 to 7","Public","Charter","O",,"5300 MONARCH AVE","BATON ROUGE","LOUISIANA","70811","225-771-8128","http://brcollegeprep.org/","5300 MONARCH AVE
BATON ROUGE, LOUISIANA 70811
(30.51576, -91.137084)","810"
"Jehovah-Jireh Christian Academy","All Grades","K to 12","Private","Private","O",,"1771 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-932-2357","http://jjcacademy.org/","1771 LOBDELL BLVD
BATON ROUGE, LOUISIANA 70806
(30.464426, -91.117839)","582"
"Martin Luther King Junior Christian Academy","Elementary","Pre-K to 8","Private","Private","O",,"4295 PRESCOTT CT","BATON ROUGE","LOUISIANA","70805","225-356-7407",,"4295 PRESCOTT CT
BATON ROUGE, LOUISIANA 70805
(30.48942, -91.138877)","530"
"Zachary High School","High",,"Public","Zachary Community","O",,"4100 BRONCO LN","ZACHARY","LOUISIANA","70791","225-654-2776","http://www.zacharyhigh.org/","4100 BRONCO LN
ZACHARY, LOUISIANA 70791
(30.650655, -91.160445)","545"
"Southeastern Louisiana University School of Nursing","University",,"Public","University of Louisiana System","O",,"7900 MARGARET ANN AVE","BATON ROUGE","LOUISIANA","70809","225-765-2324","http://southeastern.edu/acad_research/depts/nurs/","7900 MARGARET ANN AVE
BATON ROUGE, LOUISIANA 70809
(30.403169, -91.102669)","429"
"Zachary Christian Academy","All Grades","K to 12","Private","Private","O",,"11950 MILLDALE RD","ZACHARY","LOUISIANA","70791","225-570-2539","https://www.milldale.org/zachary-christian-academy","11950 MILLDALE RD
ZACHARY, LOUISIANA 70791
(30.664066, -91.042233)","949"
"Kenilworth Science and Technology School","Middle","6 to 8","Public","Charter","O",,"7600 BOONE DR","BATON ROUGE","LOUISIANA","70808","225-766-8111","https://www.kenilworthschool.org","7600 BOONE DR
BATON ROUGE, LOUISIANA 70808
(30.381863, -91.13174)","442"
"Wilma C. Montgomery Education Center","Adult",,"Public","East Baton Rouge Parish","C",,"4050 TUNICA ST","BATON ROUGE","LOUISIANA","70805","225-355-0388","https://www.ebrschools.org/schools/","4050 TUNICA ST
BATON ROUGE, LOUISIANA 70805
(30.484868, -91.151581)","498"
"Franciscan Missionaries of Our Lady University","University",,"Private","Private","O","Our Lady of the Lake College","5414 BRITTANY DR","BATON ROUGE","LOUISIANA","70808","225-768-1700","https://franu.edu","5414 BRITTANY DR
BATON ROUGE, LOUISIANA 70808
(30.400007, -91.110098)","852"
"Baton Rouge Community College - Central Campus","College",,"Public","Louisiana Community and Technical College System","O",,"10700 HOOPER RD","CENTRAL","LOUISIANA","70818","1-866-217-9823","http://www.mybrcc.edu/","10700 HOOPER RD
CENTRAL, LOUISIANA 70818
(30.541365, -91.067581)","895"
