"the_geom","id","description","facility_type","agency","owner","full_address","city","state","zip","phone_number","website","address_id"
"POINT (-91.130239957036 30.452492543476)","308","Department of Agriculture and Forestry","STATE OFFICES","STATE OF LOUISIANA","STATE","5825 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,,"97679"
"POINT (-91.184885061001 30.457678848194)","88","Old Arsenal Museum","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","900 CAPITOL LAKE DR","BATON ROUGE","LOUISIANA","70802",,,"153916"
"POINT (-91.187987220136 30.453843465564)","296","Louisiana State Library","LIBRARY","STATE OF LOUISIANA","STATE","701 N 4TH ST","BATON ROUGE","LOUISIANA","70802",,,"107754"
"POINT (-91.187033193437 30.445619406453)","126","Baton Rouge City Court and Constable","COURTHOUSE","CITY COURT","CITY/PARISH","233 SAINT LOUIS ST","BATON ROUGE","LOUISIANA","70802",,,"58068"
"POINT (-91.153948033162 30.591815346051)","192","Baker Park","BREC PARK","BREC","BREC","4331 JEFFERSON ST","BAKER","LOUISIANA","70714","225-778-0779","http://www.brec.org/index.cfm/park/BakerPark","161246"
"POINT (-91.017694010339 30.560251342425)","263","Jacob Kornmeyer Park","BREC PARK","BREC","BREC","15352 HOOPER RD","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/JacobKornmeyer","199302"
"POINT (-91.134937278826 30.50094584708)","366","Autumn Place Townhomes","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","5656 AUTUMN BLOSSOM AVE","BATON ROUGE","LOUISIANA","70805",,,"96125"
"POINT (-91.170466389392 30.427329690262)","27","East Polk Street Park","BREC PARK","BREC","BREC","1700 E POLK ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/EastPolkStreet","39932"
"POINT (-91.158432520498 30.492303458809)","6","BRFD Station 3","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","3142 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805",,,"69269"
"POINT (-91.193008958608 30.390820775284)","109","BRFD Station 15","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","3150 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820",,,"69443"
"POINT (-90.99651846701 30.603584077218)","116","Pride VFD Station 11","FIRE PROTECTION","PRIDE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","16929 LIBERTY RD","GREENWELL SPRINGS","LOUISIANA","70739",,,"39793"
"POINT (-91.164498187181 30.590332261535)","225","Baker Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","3334 JEFFERSON ST","BAKER","LOUISIANA","70714",,"http://www.ebrcoa.org/","189692"
"POINT (-91.163365214989 30.588936594173)","91","EBRP Library Baker Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","3501 GROOM RD","BAKER","LOUISIANA","70714","225-778-5980",,"144555"
"POINT (-91.183876459822 30.452925343175)","235","Catholic-Presbyterian Apts Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","655 NORTH ST","BATON ROUGE","LOUISIANA","70802",,"http://www.ebrcoa.org/","104788"
"POINT (-91.103924513931 30.443949426342)","67","Independence Community Park","BREC PARK","BREC","BREC","7505 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806","225-928-7860","http://brec.org/index.cfm/park/independenceCommunityPark","111587"
"POINT (-91.161802675818 30.526981181512)","430","DHH Office of Public Health","STATE OFFICES","STATE OF LOUISIANA","STATE","8453 VETERANS MEMORIAL BLVD","BATON ROUGE","LOUISIANA","70807",,,"118068"
"POINT (-91.136647483427 30.351318766688)","68","South Wastewater Treatment Facility","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","2850 GARDERE LN","BATON ROUGE","LOUISIANA","70820",,,"65202"
"POINT (-91.070384089302 30.399535987085)","205","Jefferson Terrace Park","BREC PARK","BREC","BREC","10282 CAL RD","BATON ROUGE","LOUISIANA","70809","225-272-9200","http://www.brec.org/index.cfm/park/JeffersonTerrace","1714"
"POINT (-91.129404150852 30.466039547696)","166","Ardenwood Village","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","1957 N ARDENWOOD DR","BATON ROUGE","LOUISIANA","70806",,,"50304"
"POINT (-91.162114104003 30.48719355443)","275","Kerr Warren Park","BREC PARK","BREC","BREC","4100 GERONIMO ST","BATON ROUGE","LOUISIANA","70805","225-356-5118","http://brec.org/index.cfm/park/KerrWarren","80093"
"POINT (-91.074726545583 30.500082976647)","352","Samuel D'Agostino Park","BREC PARK","BREC","BREC","10300 EL SCOTT AVE","BATON ROUGE","LOUISIANA","70811","225-272-9200","http://www.brec.org/index.cfm/park/SamuelDAgostino","2645"
"POINT (-91.157884314578 30.449658583001)","165","EMS Station 6","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","3024 FLORIDA ST","BATON ROUGE","LOUISIANA","70806","225-389-5155",,"160948"
"POINT (-91.017407564294 30.704856379633)","90","EBRP Library Pride-Chaneyville Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","13600 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770","225-658-1580",,"140266"
"POINT (-91.106293690695 30.463618497423)","329","LADOTD District 61","STATE OFFICES","STATE OF LOUISIANA","STATE","8100 AIRLINE HWY","BATON ROUGE","LOUISIANA","70806",,,"138602"
"POINT (-91.105885138286 30.449166794796)","311","Department of Public Safety & La State Police","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","7919 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806",,,"133312"
"POINT (-91.037120551263 30.555263999974)","313","Central FD Station 31","FIRE PROTECTION","CENTRAL VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","11646 SULLIVAN RD","CENTRAL","LOUISIANA","70818",,,"12463"
"POINT (-91.186421179255 30.452950189589)","300","Bienville Building","STATE OFFICES","STATE OF LOUISIANA","STATE","628 N 4TH ST","BATON ROUGE","LOUISIANA","70802",,,"102152"
"POINT (-91.171564445661 30.405177650422)","16","College Town Park","BREC PARK","BREC","BREC","251 AMHERST AVE","BATON ROUGE","LOUISIANA","70808","225-272-9200","http://www.brec.org/index.cfm/park/CollegeTown","51218"
"POINT (-91.185791664024 30.430822391778)","337","Duane Street Apartments","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","1701 DUANE ST","BATON ROUGE","LOUISIANA","70802",,,"39958"
"POINT (-91.157662458792 30.449648678664)","339","BRFD Station 1","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","3024 FLORIDA ST","BATON ROUGE","LOUISIANA","70806",,,"160948"
"POINT (-91.146898962537 30.420646443697)","76","South Maintenance Lot","PUBLIC WORKS","DEPARTMENT OF MAINTENANCE","CITY/PARISH","3055 VALLEY ST","BATON ROUGE","LOUISIANA","70808",,,"142887"
"POINT (-91.197990298965 30.571910047791)","176","Alsen Park","BREC PARK","BREC","BREC","601 OLD RAFE MAYER RD","BATON ROUGE","LOUISIANA","70807","225-774-8078","http://brec.org/index.cfm/park/Alsen","99348"
"POINT (-91.156964482315 30.528720292909)","11","EBR Sheriff's Office","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","8900 JIMMY WEDELL DR","BATON ROUGE","LOUISIANA","70807","225-389-5000","https://www.ebrso.org/SHERIFF","155682"
"POINT (-91.044330812088 30.439314142431)","250","Boulevard De Province Park","BREC PARK","BREC","BREC","1717 BOULEVARD DE PROVINCE","BATON ROUGE","LOUISIANA","70816","225-272-9200","http://www.brec.org/index.cfm/park/BoulevarddeProvince","149686"
"POINT (-91.182967500152 30.600396060216)","359","Chamberlain Street Park","BREC PARK","BREC","BREC","16900 CHAMBERLAIN AVE","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/ChamberlainStreet","161237"
"POINT (-91.089333345066 30.533696825447)","197","Blackwater Conservation Area","BREC PARK","BREC","BREC","9385 BLACKWATER RD","BAKER","LOUISIANA","70714","225-273-6405","http://www.brec.org/index.cfm/park/BlackwaterConservationArea","125016"
"POINT (-91.102793851598 30.420872911698)","446","Municipal Employees Retirement System of La.","STATE OFFICES","STATE OF LOUISIANA","STATE","7937 OFFICE PARK BLVD","BATON ROUGE","LOUISIANA","70809",,,"114397"
"POINT (-91.172610299809 30.535772716697)","145","Jewel J. Newman Community Center","COMMUNITY CENTER","COMMUNITY DEVELOPMENT","CITY/PARISH","2013 CENTRAL RD","BATON ROUGE","LOUISIANA","70807",,,"51324"
"POINT (-91.180716046883 30.531143810707)","1","EBRSO Scotlandville Substation","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","1270 ROSENWALD RD","BATON ROUGE","LOUISIANA","70807","225-389-5105",,"19987"
"POINT (-91.026068981234 30.450311879738)","112","BRFD Station 17","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","14350 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,,"28337"
"POINT (-91.074584609501 30.459639281697)","347","Fiesta Park","BREC PARK","BREC","BREC","1000 FIESTA CT","BATON ROUGE","LOUISIANA","70815","225-272-9200","http://www.brec.org/index.cfm/park/Fiesta","20"
"POINT (-90.989162527372 30.345896577018)","257","Manchac Park","BREC PARK","BREC","BREC","19010 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/Manchac","48315"
"POINT (-91.186963400434 30.461015846934)","303","Louisiana 1st Circuit Court of Appeals","COURTHOUSE","STATE OF LOUISIANA","STATE","1600 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"40019"
"POINT (-91.013113290612 30.44226517595)","256","Kathy Drive Park","BREC PARK","BREC","BREC","1801 KATHY DR","BATON ROUGE","LOUISIANA","70816","225-275-9819","http://brec.org/index.cfm/park/KathyDrive","44780"
"POINT (-91.035009432628 30.414259132352)","206","Leo And Murlin Willie Park","BREC PARK","BREC","BREC","4101 STUMBERG LN","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/LeoMurlinWillie","153709"
"POINT (-91.14131944362 30.455416869189)","171","48th Street Park","BREC PARK","BREC","BREC","628 N 48TH ST","BATON ROUGE","LOUISIANA","70806","225-927-2538","http://www.brec.org/index.cfm/park/FortyEigthStreet","102308"
"POINT (-91.148333188333 30.419272408167)","164","EMS Station 7","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","4025 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-389-5155",,"79295"
"POINT (-91.182412211995 30.435407670779)","439","Freeman-Matthews Head Start","HEAD START","HEAD START","CITY/PARISH","1383 NAPOLEON ST","BATON ROUGE","LOUISIANA","70802",,,"136647"
"POINT (-91.129876418556 30.504737778209)","336","Willow Creek Townhomes","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","5876 QUIDA MAE DR","BATON ROUGE","LOUISIANA","70812",,,"98249"
"POINT (-91.097441131875 30.409202733542)","450","LA School Employees Retirement System","STATE OFFICES","STATE OF LOUISIANA","STATE","8660 UNITED PLAZA BLVD","BATON ROUGE","LOUISIANA","70809",,,"119456"
"POINT (-91.051699780939 30.550620514412)","89","EBRP Library Central Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","11260 JOOR RD","CENTRAL","LOUISIANA","70818","225-262-2680",,"10177"
"POINT (-91.176670608045 30.46147862431)","394","DOTD Permit and Weight Enforcement","STATE OFFICES","STATE OF LOUISIANA","STATE","1404 E HIGHWAY DR","BATON ROUGE","LOUISIANA","70802",,,"138346"
"POINT (-91.091057693271 30.444777540429)","403","BRPD Training","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","9050 AIRLINE HWY, STE 110","BATON ROUGE","LOUISIANA","70815","225-389-3886","http://www.lsp.org/academy.html","121936"
"POINT (-91.130647712293 30.491986192515)","62","West Brookstown Park","BREC PARK","BREC","BREC","4550 E BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/WestBrookstown","143495"
"POINT (-90.957746682307 30.662471350495)","270","Sandy Creek Community Park","BREC PARK","BREC","BREC","21572 CARSON RD","GREENWELL SPRINGS","LOUISIANA","70739","225-273-6405","http://www.brec.org/index.cfm/park/SandyCreek","150718"
"POINT (-91.101558693736 30.424479120157)","66","Jefferson Highway Park","BREC PARK","BREC","BREC","8133 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","225-926-9834","http://www.brec.org/index.cfm/park/JeffersonHighway","115658"
"POINT (-91.149047188391 30.46175999122)","143","Dr. Martin Luther King, Jr. Community Center","COMMUNITY CENTER","COMMUNITY DEVELOPMENT","CITY/PARISH","4142 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802",,,"134594"
"POINT (-91.055739581441 30.478737802989)","254","North Sherwood Forest Community Park","BREC PARK","BREC","BREC","3140 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70814","225-275-0568","http://www.brec.org/index.cfm/park/NorthSherwoodForestCommunityPark","69249"
"POINT (-91.003863851985 30.407554661309)","322","St George FD Station 66","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","16415 GEORGE O'NEAL RD","BATON ROUGE","LOUISIANA","70817",,,"37387"
"POINT (-91.157431110649 30.490914248883)","155","BRPD District 1 Station","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","4545 PLANK RD","BATON ROUGE","LOUISIANA","70805","225-389-3866","https://www.brla.gov/203/Police-Department","83755"
"POINT (-91.093180007002 30.445278530993)","404","BRPD S-3 Building","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","9048 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","225-389-3414","https://www.ebrda.org/child_support.php","213203"
"POINT (-91.200739919983 30.538129510211)","228","Greater King David Baptist Church Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","131 ELMER AVE","BATON ROUGE","LOUISIANA","70807",,"http://www.ebrcoa.org/","21315"
"POINT (-91.200115130431 30.535190717984)","338","Wesley Chapel Apartments","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","10008 AVENUE L","BATON ROUGE","LOUISIANA","70807",,,"67"
"POINT (-91.126354527525 30.403371663529)","414","Louisiana Housing Corporation","STATE OFFICES","STATE OF LOUISIANA","STATE","2415 QUAIL DR","BATON ROUGE","LOUISIANA","70808",,,"59422"
"POINT (-91.103514203858 30.382578793459)","424","LSU Health System Perkins Surgical Center","HEALTH CARE","STATE OF LOUISIANA","STATE","9032 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,,"121756"
"POINT (-91.19539734887 30.580886102354)","400","Southern Univ. Research Farm & Livestock Arena","UNIVERSITY","STATE OF LOUISIANA","STATE","14600 SCENIC HWY","BATON ROUGE","LOUISIANA","70807",,,"143081"
"POINT (-91.116405804035 30.550834524912)","237","Foster Road Baptist Church Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","11333 FOSTER RD","BATON ROUGE","LOUISIANA","70811",,"http://www.ebrcoa.org/","10509"
"POINT (-91.091754035093 30.368881249856)","52","Rue Lebouef Park","BREC PARK","BREC","BREC","11550 RUE LEBOUEF","BATON ROUGE","LOUISIANA","70810","225-272-9200","http://www.brec.org/index.cfm/park/RueLeBouef","130333"
"POINT (-91.104145461725 30.418662597514)","447","Municipal Police Employees Retirement System","STATE OFFICES","STATE OF LOUISIANA","STATE","7722 OFFICE PARK BLVD","BATON ROUGE","LOUISIANA","70809",,,"135027"
"POINT (-91.172483678387 30.441371817064)","443","Wonderland Head Start","HEAD START","HEAD START","CITY/PARISH","1500 OLEANDER ST","BATON ROUGE","LOUISIANA","70802",,,"30392"
"POINT (-91.175500971129 30.541801921467)","161","Scotland Villa Apartments","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","10666 SCOTLAND AVE","BATON ROUGE","LOUISIANA","70807",,,"5952"
"POINT (-91.118414286233 30.575956293388)","194","T.D. Bickham, Jr. Park","BREC PARK","BREC","BREC","6850 PETTIT RD","BAKER","LOUISIANA","70714","225-774-9513","http://www.brec.org/index.cfm/park/TDBickham","106868"
"POINT (-91.186165478613 30.533347864328)","438","Discovery Head Start","HEAD START","HEAD START","CITY/PARISH","9700 SCENIC HWY","BATON ROUGE","LOUISIANA","70807",,,"127755"
"POINT (-91.164661020044 30.613593111208)","78","North Maintenance Lot","PUBLIC WORKS","DEPARTMENT OF MAINTENANCE","CITY/PARISH","3207 MAIN ST","BAKER","LOUISIANA","70714",,,"144064"
"POINT (-91.185066380336 30.446749828235)","332","Old Governor's Mansion","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","502 NORTH BLVD","BATON ROUGE","LOUISIANA","70802",,,"88586"
"POINT (-91.072664375555 30.428198818232)","246","Cedarcrest Park","BREC PARK","BREC","BREC","2490 SILVEREST AVE","BATON ROUGE","LOUISIANA","70816","225-927-8092","http://www.brec.org/index.cfm/park/Cedarcrest","60449"
"POINT (-90.99952434639 30.346561898898)","208","Airline Highway Park","BREC PARK","BREC","BREC","16072 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/AirlineHighway","40787"
"POINT (-91.188367116483 30.448541011095)","409","BRPD Downtown District Station","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","201 3RD ST","BATON ROUGE","LOUISIANA","70801","225-389-3854","https://www.brla.gov/1654/Uniform-Patrol-Bureau","142435"
"POINT (-91.137271808429 30.464267344134)","101","BRFD Station 6","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","5321 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70806",,,"92337"
"POINT (-91.089305951763 30.446222609731)","345","Parkview Park","BREC PARK","BREC","BREC","9000 N PARKVIEW DR","BATON ROUGE","LOUISIANA","70815","225-272-9200","http://www.brec.org/index.cfm/park/Parkview","121408"
"POINT (-90.997262546641 30.393679709542)","287","Antioch Boulevard Park","BREC PARK","BREC","BREC","6229 ANTIOCH BLVD","BATON ROUGE","LOUISIANA","70817","225-752-8316","http://brec.org/index.cfm/park/Antioch","101720"
"POINT (-91.018636233686 30.396405157334)","86","EBRP Library Jones Creek Regional Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","6222 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817","225-756-1180",,"101619"
"POINT (-91.036998523783 30.555094180899)","173","EMS Station 3","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","11644 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-389-5155",,"217341"
"POINT (-91.182742843214 30.436030164154)","81","EBRP Library Carver Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","720 TERRACE ST","BATON ROUGE","LOUISIANA","70802","225-389-7480",,"136646"
"POINT (-91.010317641597 30.578631667373)","266","Palomino Drive Park","BREC PARK","BREC","BREC","14100 PALOMINO DR","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/PalominoDrive","142413"
"POINT (-91.119383425961 30.350520544341)","434","Charlie Thomas Memorial Head Start","HEAD START","HEAD START","CITY/PARISH","8686 PECAN TREE DR","BATON ROUGE","LOUISIANA","70810",,,"138685"
"POINT (-91.161047289267 30.459141501166)","441","New Horizon Head Start","HEAD START","HEAD START","CITY/PARISH","1111 N 28TH ST","BATON ROUGE","LOUISIANA","70802",,,"142079"
"POINT (-91.101845451958 30.639324320966)","199","Plank Road Park","BREC PARK","BREC","BREC","19550 PLANK RD","ZACHARY","LOUISIANA","70791","225-654-8401","http://www.brec.org/index.cfm/park/PlankRoad","50259"
"POINT (-91.142697120765 30.647295000922)","150","EBR Assessor Zachary Branch Office","MUNICIPAL OFFICES","EBRP ASSESSOR","CITY/PARISH","5850 MAIN ST","ZACHARY","LOUISIANA","70791",,,"197663"
"POINT (-91.186098646526 30.46226304917)","304","Poydras Building","STATE OFFICES","STATE OF LOUISIANA","STATE","1702 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"139121"
"POINT (-91.105274129145 30.365212564127)","85","EBRP Library Bluebonnet Regional Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","9200 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-763-2280",,"123212"
"POINT (-91.153233562805 30.605075848029)","380","Warren O. Watson Park","BREC PARK","BREC","BREC","2700 TROTTER DR","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/WarrenOWatson","161244"
"POINT (-91.180956195933 30.531808926275)","110","BRFD Station 16","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","1200 ROSENWALD RD","BATON ROUGE","LOUISIANA","70807",,,"14335"
"POINT (-90.99930567641 30.358930292266)","209","Brookfield Avenue Park","BREC PARK","BREC","BREC","17650 BROOKFIELD AVE","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/BrookfieldAvenue","130109"
"POINT (-91.133686512414 30.419386498134)","50","Congress Park","BREC PARK","BREC","BREC","5100 CONGRESS BLVD","BATON ROUGE","LOUISIANA","70808","225-272-9200","http://www.brec.org/index.cfm/park/Congress","151276"
"POINT (-91.119223675203 30.558214327344)","191","Cohn Arboretum","BREC PARK","BREC","BREC","12206 FOSTER RD","BATON ROUGE","LOUISIANA","70811","225-775-1006","http://brec.org/index.cfm/park/CohnArboretum","15851"
"POINT (-91.260248315896 30.595331042446)","212","Joint Emergency Services Training Center","STATE OFFICES","STATE OF LOUISIANA","STATE","1400 W IRENE RD","ZACHARY","LOUISIANA","70791",,,"25880"
"POINT (-91.130327967581 30.441161445347)","102","BRFD Station 7","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","5758 CLAYCUT RD","BATON ROUGE","LOUISIANA","70806",,,"159183"
"POINT (-91.165030352362 30.58852942271)","216","Baker City Hall","MUNICIPAL OFFICES","CITY OF BAKER","BAKER","3325 GROOM RD","BAKER","LOUISIANA","70714",,,"189665"
"POINT (-91.171263086576 30.45381528607)","160","Capitol Square","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","700 N 17TH ST","BATON ROUGE","LOUISIANA","70802",,,"107707"
"POINT (-91.167681391335 30.450975956803)","383","Magnolia Cemetery","BREC PARK","BREC","BREC","422 N 19TH ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/MagnoliaCemetary","81290"
"POINT (-91.177770613837 30.450146075908)","132","EBRP Health Unit","HEALTH CARE","STATE OF LOUISIANA","STATE","353 N 12TH ST","BATON ROUGE","LOUISIANA","70802",,,"136098"
"POINT (-91.18663481874 30.463724405589)","305","Livingston Building","STATE OFFICES","STATE OF LOUISIANA","STATE","1885 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"48048"
"POINT (-91.18735311236 30.471668112782)","72","Central Garage","PUBLIC WORKS","DEPARTMENT OF FLEET MANAGEMENT","CITY/PARISH","333 CHIPPEWA ST","BATON ROUGE","LOUISIANA","70805",,,"70425"
"POINT (-91.17118188095 30.46038306723)","420","L.C. Saurage Army Reserve Center","MILITARY","US FEDERAL GOVERNMENT","FEDERAL","1735 FOSS ST","BATON ROUGE","LOUISIANA","70802",,,"41530"
"POINT (-91.107700619093 30.488833229176)","317","District 6 FD Station 51","FIRE PROTECTION","HOOPER ROAD VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","7878 PRESCOTT RD","BATON ROUGE","LOUISIANA","70812",,,"114145"
"POINT (-91.128920494971 30.518805746498)","283","Cadillac Street Park","BREC PARK","BREC","BREC","6117 CADILLAC ST","BATON ROUGE","LOUISIANA","70811","225-355-3505","http://brec.org/index.cfm/park/CadillacStreet","100384"
"POINT (-91.02882594661 30.691520666397)","268","Reames Road Park","BREC PARK","BREC","BREC","23223 REAMES RD","ZACHARY","LOUISIANA","70791","225-654-8190","http://www.brec.org/index.cfm/park/ReamesRoad","57879"
"POINT (-91.115313298726 30.41173277561)","221","LSU Rural Life Museum","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","4560 ESSEN LN","BATON ROUGE","LOUISIANA","70809",,,"152865"
"POINT (-91.022294854947 30.428500967554)","92","Capital Region Planning Commission","MUNICIPAL OFFICES","CAPITAL REGION PLANNING COMMISSION","CITY/PARISH","14734 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,,"29522"
"POINT (-91.05951918657 30.460893276003)","227","Dumas House Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","1313 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815",,"http://www.ebrcoa.org/","138852"
"POINT (-91.188340105437 30.43847243901)","423","LA Property Assistance Agency","STATE OFFICES","STATE OF LOUISIANA","STATE","1059 BRICKYARD LN","BATON ROUGE","LOUISIANA","70802",,,"141965"
"POINT (-91.153811070844 30.522455507124)","140","ATM-EOC (Communications)","PUBLIC SAFETY","EBR COMMUNICATIONS DISTRICT","CITY/PARISH","3773 HARDING BLVD","BATON ROUGE","LOUISIANA","70807",,,"76623"
"POINT (-91.12823191366 30.496088243773)","63","East Brookstown Park","BREC PARK","BREC","BREC","4300 E BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/EastBrookstown","82148"
"POINT (-91.180629494944 30.390376372001)","229","Sharlo Terrace Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","4915 ALVIN DARK AVE","BATON ROUGE","LOUISIANA","70820",,"http://www.ebrcoa.org/","87776"
"POINT (-91.149123402556 30.52207356407)","108","BRFD Station 14","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","4121 HARDING BLVD","BATON ROUGE","LOUISIANA","70811",,,"80324"
"POINT (-91.097665858621 30.525945979249)","195","Comite River Park","BREC PARK","BREC","BREC","8900 HOOPER RD","BATON ROUGE","LOUISIANA","70811","225-272-9200","http://www.brec.org/index.cfm/park/Comite","120728"
"POINT (-91.18458253416 30.440657618499)","328","Department of Corrections","STATE OFFICES","STATE OF LOUISIANA","STATE","504 MAYFLOWER ST","BATON ROUGE","LOUISIANA","70802",,,"142261"
"POINT (-91.126021344339 30.472738854431)","280","Bird Station Park","BREC PARK","BREC","BREC","2623 MICHELLI DR","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/BirdStation","62173"
"POINT (-91.183055180021 30.436492371924)","20","Terrace Street Park","BREC PARK","BREC","BREC","701 TERRACE ST","BATON ROUGE","LOUISIANA","70802","225-344-7046","http://www.brec.org/index.cfm/park/TerraceStreet","107714"
"POINT (-91.1669974604 30.433174883446)","28","City Community Park","BREC PARK","BREC","BREC","1515 DALRYMPLE DR","BATON ROUGE","LOUISIANA","70808","225-387-1482","http://brec.org/index.cfm/park/CityBrooksCommunityPark","28075"
"POINT (-91.004724833729 30.553067714078)","375","Railey Roshto Park","BREC PARK","BREC","BREC","11207 NORWAY PINE DR","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/RaileyRoshto","12100"
"POINT (-91.18056603662 30.458924430905)","306","Governor's Mansion","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","1001 CAPITOL ACCESS RD","BATON ROUGE","LOUISIANA","70802",,,"81"
