"the_geom","id","address_id","business_name","full_address","city","address_jurisdiction","state","zip","country","phone_number","website","resource_type","sub_resource_type","shelter_location","address_authority","subdivision","business_naics_code","service_type","service_name","st_prefix_dir","st_name","st_suffix_type","st_suffix_dir","st_ext","private_street","ward_number","tax_section","longitude","condominium","frontage_road","street_jurisdiction","abc","street_name_complete","latitude","st_prefix_type","created_date","address_no_complete","modified_date"
"POINT (-91.062750303489 30.517654450729)","164975","200562",,"11036 TYNEWOOD AVE","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","COMITE HILLS WEST",,,,,"TYNEWOOD","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"TYNEWOOD AVE","31",,,"11036",
"POINT (-91.164161914487 30.38952202333)","30381","235266","SMOOTHIE KING 1172","630 ARLINGTON CREEK CENTRE BLVD, STE G","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","NONE","446000",,,,"ARLINGTON CREEK CENTRE","BLVD",,,"YES","1","3","-91","NO","NO","BATON ROUGE","NO","ARLINGTON CREEK CENTRE BLVD","30",,,"630 STE G","2020-12-08T15:27:20.000Z"
"POINT (-91.049779108246 30.423804070591)","165935","219933",,"11822 JUSTICE AVE, STE B8","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","WELLINGTON PARK",,,,,"JUSTICE","AVE",,,"NO","1","4","-91","YES","NO","BATON ROUGE",,"JUSTICE AVE","30",,,"11822 STE B8",
"POINT (-90.996900455446 30.459559130381)","140418","41440",,"17335 DEER LAKE AVE","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","LAKEPARK GARDEN HOMES",,,,,"DEER LAKE","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"DEER LAKE AVE","30",,,"17335",
"POINT (-91.114281104465 30.536083111292)","101390","127809",,"9711 GOVERNOR BEAUVAIS DR","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","PARISH","PLEASANT HILLS",,,,,"GOVERNOR BEAUVAIS","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"GOVERNOR BEAUVAIS DR","31",,,"9711",
"POINT (-91.016199098447 30.32955095769)","85837","50189",,"19538 E LAKEWAY DR","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","COUNTRY CLUB OF LOUISIANA",,,,"E","LAKEWAY","DR",,,"YES","3","0","-91","NO","NO","EBRP",,"E LAKEWAY DR","30",,,"19538",
"POINT (-91.132582996492 30.375674408774)","170974","230128",,"7820 HIGHLAND DISTRICT WAY","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","HIGHLAND DISTRICT",,,,,"HIGHLAND DISTRICT","WAY",,,"YES","1","3","-91","NO","NO","BATON ROUGE",,"HIGHLAND DISTRICT WAY","30",,,"7820",
"POINT (-91.135201879817 30.494067195205)","12050","181033",,"4765 MC CLELLAND DR","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","CAVIN PLACE",,,,,"MC CLELLAND","DR",,,"NO","1","2","-91","NO","NO",,,"MC CLELLAND DR","30",,,"4765",
"POINT (-91.010736411744 30.435053770015)","63780","58227",,"2335 POPLARWOOD DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","WEDGEWOOD",,,,,"POPLARWOOD","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"POPLARWOOD DR","30",,,"2335",
"POINT (-91.048374972478 30.473719281715)","20062","14105","CAPITAL PRINTING INC.","11941 RICHCROFT AVE","BATON ROUGE","EBRP","LOUISIANA","70814","UNITED STATES",,,"PROFESSIONAL SERVICES",,"NO","BATON ROUGE","INDUSTRIAL SQUARE","561499",,,,"RICHCROFT","AVE",,,"NO","1","4","-91","NO","NO","BATON ROUGE","NO","RICHCROFT AVE","30",,,"11941",
"POINT (-91.156300019351 30.602926252492)","164016","190124",,"4232 WIMBISH DR","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","NONE",,,,,"WIMBISH","DR",,,"NO","2","2","-91","NO","NO","BAKER",,"WIMBISH DR","31",,,"4232",
"POINT (-91.233935342139 30.690683945775)","98369","58143",,"23322 SUNNYSIDE LN","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","PARISH","SUNNYSIDE PLANTATION",,,,,"SUNNYSIDE","LN",,,"NO","2","5","-91","NO","NO","EBRP",,"SUNNYSIDE LN","31",,,"23322",
"POINT (-91.088188497369 30.412399022113)","54942","79736",,"4053 N MAIDEN DR","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,,,"NO","PARISH","WESTMINSTER PLACE",,,,"N","MAIDEN","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"N MAIDEN DR","30",,,"4053",
"POINT (-91.18413825799 30.643651507813)","174904","193028",,"3760 CLUB VIEW CT","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","COPPER MILL GOLF COMMUNITY",,,,,"CLUB VIEW","CT",,,"NO","2","3","-91","NO","NO","ZACHARY",,"CLUB VIEW CT","31",,,"3760",
"POINT (-91.065089456116 30.367309845076)","67373","24759",,"13716 BROAD CT","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","PERKINS VILLAGE",,,,,"BROAD","CT",,,"NO","3","0","-91","NO","NO","EBRP",,"BROAD CT","30",,,"13716",
"POINT (-91.168550944676 30.589973307023)","165650","222903",,"1200-1399 CAMELIA AVE","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","NONE",,,,,"CAMELIA","AVE",,,"NO","2","2","-91","NO","NO","BAKER",,"CAMELIA AVE","31",,,"1200-1399",
"POINT (-91.101277269371 30.360978040149)","59496","62295",,"263 SHADY LAKE PKWY","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","LAKESIDE",,,,,"SHADY LAKE","PKWY",,,"NO","3","0","-91","NO","NO","EBRP",,"SHADY LAKE PKWY","30",,,"263",
"POINT (-90.984042508629 30.350044645633)","89383","43949",,"17754 AZALEA LAKES AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","AZALEA LAKES",,,,,"AZALEA LAKES","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"AZALEA LAKES AVE","30",,,"17754",
"POINT (-91.136032842496 30.400776251793)","46705","96227",,"5666 S POLLARD PKWY","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","POLLARD ESTATES",,,,"S","POLLARD","PKWY",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"S POLLARD PKWY","30",,,"5666",
"POINT (-91.004481658536 30.364144441162)","79796","143762","STAFFORD CUSTOM HOMES","16851 JEFFERSON HWY","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","NONE","423830",,,,"JEFFERSON","HWY",,,"NO","3","0","-91","NO","NO",,"NO","JEFFERSON HWY","30",,,"16851",
"POINT (-91.129854550059 30.477322736142)","109548","98897",,"5945 S HOWELL DR","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","HOWELL PARK",,,,"S","HOWELL","DR",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"S HOWELL DR","30",,,"5945",
"POINT (-90.931013510114 30.35623189244)","80958","56736",,"22551 RABBIT RUN DR","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","MALLARD LAKES",,,,,"RABBIT RUN","DR",,,"YES","3","0","-91","NO","NO","EBRP",,"RABBIT RUN DR","30",,,"22551",
"POINT (-91.147857523448 30.639334701728)","66364","247192",,"5405 WINDSWEPT LN","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","FOUNTAIN VIEW ESTATES",,,,,"WINDSWEPT","LN",,,"NO","2","3","-91","NO","NO","ZACHARY",,"WINDSWEPT LN","31",,,"5405","2021-04-07T12:20:54.000Z"
"POINT (-91.074846853313 30.461164565651)","136068","129288",,"9920 E POMONA DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","VILLA DEL REY",,,,"E","POMONA","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"E POMONA DR","30",,,"9920",
"POINT (-91.12574905143 30.390139013624)","53679","26612",,"1415 KENILWORTH PKWY","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","KENILWORTH",,,,,"KENILWORTH","PKWY",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"KENILWORTH PKWY","30",,,"1415",
"POINT (-91.022197461873 30.460848532711)","43892","244972",,"14740 FLORIDA BLVD, UNIT 44","BATON ROUGE","EBRP","LOUISIANA","70819","UNITED STATES",,,,,"NO","PARISH","FLORIDA HIGHWAY ACRES",,,,,"FLORIDA","BLVD",,,"NO","3","0","-91","NO","NO","BATON ROUGE",,"FLORIDA BLVD","30",,,"14740 UNIT 44","2020-11-30T19:27:17.000Z"
"POINT (-91.067425880767 30.430300325734)","130336","57753",,"2317 SWEETLEAF ST","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","CEDARCREST",,,,,"SWEETLEAF","ST",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"SWEETLEAF ST","30",,,"2317",
"POINT (-91.173973509021 30.514712402)","10751","174670",,"1600-1900 73RD AVE","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","BANK ADDITION",,,,,"73RD","AVE",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"73RD AVE","31",,,"1600-1900",
"POINT (-91.025463846047 30.497484844701)","189357","200788",,"14362 FESTUS DR","GREENWELL SPRINGS","EBRP","LOUISIANA","70739","UNITED STATES",,,,,"NO","CENTRAL","RIDGEWOOD EAST",,,,,"FESTUS","DR",,,"NO","3","1","-91","NO","NO","CENTRAL",,"FESTUS DR","30",,,"14362",
"POINT (-91.045857655384 30.442635773093)","141336","18213",,"12453 BUCKINGHAM AVE","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","SHERWOOD FOREST",,,,,"BUCKINGHAM","AVE",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"BUCKINGHAM AVE","30",,,"12453",
"POINT (-91.180028916229 30.523396254711)","79922","138040",,"1338 SWAN AVE","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","NORTH BATON ROUGE",,,,,"SWAN","AVE",,,"NO","1","5","-91","NO","NO","BATON ROUGE",,"SWAN AVE","31",,,"1338",
"POINT (-90.993729544346 30.396431674042)","80302","40926",,"17226 GENERAL PICKETT AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","SHENANDOAH ESTATES",,,,,"GENERAL PICKETT","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"GENERAL PICKETT AVE","30",,,"17226",
"POINT (-91.161157725375 30.436082848941)","112122","60974",,"2527 BROUSSARD ST","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","KLEINERT TERRACE",,,,,"BROUSSARD","ST",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"BROUSSARD ST","30",,,"2527",
"POINT (-91.200138171289 30.680404153053)","4570","173980",,"22300-22400 OLD SCENIC HWY","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"OLD SCENIC","HWY",,,"NO","2","5","-91","NO","NO",,,"OLD SCENIC HWY","31",,,"22300-22400",
"POINT (-91.064553012137 30.429100289867)","23464","148163",,"1900-2500 AUBIN LN","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","AUBIN LAKE TOWNHOUSES",,,,,"AUBIN","LN",,,"NO","1","4","-91","NO","NO",,,"AUBIN LN","30",,,"1900-2500",
"POINT (-91.156137445376 30.456676854137)","19060","147685",,"947 N ACADIAN THWY W","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","COLONIAL HILL",,,,"N","ACADIAN","THWY","W",,"NO","1","2","-91","NO","NO","BATON ROUGE",,"N ACADIAN THWY W","30",,,"947",
"POINT (-91.157239383389 30.469279985972)","114296","69108",,"3134 MONROE AVE","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","NORTH FAIRFIELDS",,,,,"MONROE","AVE",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"MONROE AVE","30",,,"3134",
"POINT (-91.152973275775 30.441376979285)","17662","179207",,"728 S ACADIAN THWY","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","NONE",,,,"S","ACADIAN","THWY",,,"NO","1","3","-91","YES","NO","BATON ROUGE",,"S ACADIAN THWY","30",,,"728",
"POINT (-91.20390073483 30.595642706678)","169661","250315",,"733 LAMBOT AVE","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","PARISH","MIRAVAL",,,,,"LAMBOT","AVE",,,"NO","2","5","-91","NO","NO","EBRP",,"LAMBOT AVE","31",,,"733","2022-02-15T13:48:08.000Z"
"POINT (-91.183338770636 30.451689971252)","13358","107766","KEOGH, COX, WILSON","701 MAIN ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,"COMMUNITY RESOURCE","LEGAL ASSISTANCE","NO","BATON ROUGE","TIVOLIER TOWN","541110",,,,"MAIN","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE","NO","MAIN ST","30",,,"701",
"POINT (-91.065254800903 30.456658392255)","1148","143090","AMENA ADULT DAY & REHAB CENTER","138 MC GEHEE DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,"HEALTH CARE",,"NO","BATON ROUGE","NONE","624000",,,,"MC GEHEE","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE","NO","MC GEHEE DR","30",,,"138","2020-09-23T13:50:50.000Z"
"POINT (-91.066830449308 30.430492249035)","146596","57282",,"2288 CEDARCREST AVE","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","CEDARCREST",,,,,"CEDARCREST","AVE",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"CEDARCREST AVE","30",,,"2288",
"POINT (-91.11189312185 30.466202033051)","25167","47307","TOOL SHED","1856 WOODDALE CT","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,"DISTRIBUTOR",,"NO","BATON ROUGE","WOODDALE CENTER","423000",,,,"WOODDALE","CT",,,"NO","1","3","-91","NO","NO","BATON ROUGE","NO","WOODDALE CT","30",,,"1856",
"POINT (-91.023855015351 30.546259030364)","194363","210033",,"14727 CENTRAL WOODS AVE","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","CENTRAL PLACE",,,,,"CENTRAL WOODS","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"CENTRAL WOODS AVE","31",,,"14727",
"POINT (-91.167628720112 30.463280369999)","19330","41719",,"1740 SCENIC HWY","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","SUBURB ISTROUMA",,,,,"SCENIC","HWY",,,"NO","1","1","-91","NO","NO",,,"SCENIC HWY","30",,,"1740",
"POINT (-91.083130560348 30.531667415045)","195620","207835",,"9411 SHADY BLUFF DR","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","WINCHESTER",,,,,"SHADY BLUFF","DR",,,"NO","3","1","-91","NO","NO","CENTRAL",,"SHADY BLUFF DR","31",,,"9411",
"POINT (-91.16512030877 30.43287501274)","103852","40128",,"1705 E LAKESHORE DR","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","MC CALL PLACE",,,,"E","LAKESHORE","DR",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"E LAKESHORE DR","30",,,"1705",
"POINT (-91.150038641835 30.469905862515)","154172","79500","ALTERED COUTURE CREATIONS.ENTERPRICE","4037 MONROE AVE","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","BELFAIR HOMES","532000",,,,"MONROE","AVE",,,"NO","1","1","-91","NO","NO","BATON ROUGE","NO","MONROE AVE","30",,,"4037",
"POINT (-91.126959083918 30.526702680679)","104469","119146",,"8624 CEDAR GLEN DR","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","PARISH","CEDAR GLEN",,,,,"CEDAR GLEN","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"CEDAR GLEN DR","31",,,"8624",
"POINT (-91.165789901086 30.385493428081)","22977","176521",,"5403 CHAMPIONS DR","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","NONE",,,,,"CHAMPIONS","DR",,,"YES","1","3","-91","NO","NO","BATON ROUGE",,"CHAMPIONS DR","30",,,"5403",
"POINT (-91.17464920426 30.442341330179)","19593","100767",,"614 S 14TH ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","FAVROT",,,,"S","14TH","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"S 14TH ST","30",,,"614",
"POINT (-91.13705938159 30.460358131909)","142614","19080",,"1255 N LEIGHTON DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","MELROSE PLACE",,,,"N","LEIGHTON","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"N LEIGHTON DR","30",,,"1255",
"POINT (-91.00952335896 30.435756866274)","70030","57448","CREATIVE RESOURCES","2303 WALNUTWOOD DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","WEDGEWOOD","815000",,,,"WALNUTWOOD","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE","NO","WALNUTWOOD DR","30",,,"2303",
"POINT (-91.039545245479 30.446812277482)","142720","20289",,"12747 E SHERATON AVE","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","SHERWOOD FOREST",,,,"E","SHERATON","AVE",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"E SHERATON AVE","30",,,"12747",
"POINT (-91.148908572226 30.440353021964)","126143","78205",,"3925 CLAYCUT RD","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","CAPITAL HEIGHTS",,,,,"CLAYCUT","RD",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"CLAYCUT RD","30",,,"3925",
"POINT (-91.120696467896 30.447682644754)","116931","69403",,"315 ALELLO DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","NONE",,,,,"ALELLO","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"ALELLO DR","30",,,"315",
"POINT (-91.170863202441 30.515231476536)","190161","147455",,"2109 73RD AVE","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","BANK ADDITION",,,,,"73RD","AVE",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"73RD AVE","31",,,"2109","2022-08-19T12:27:54.000Z"
"POINT (-91.140058056936 30.442799242622)","139029","87027",,"4825 CAPITAL HEIGHTS AVE","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","CAPITAL HEIGHTS",,,,,"CAPITAL HEIGHTS","AVE",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"CAPITAL HEIGHTS AVE","30",,,"4825",
"POINT (-90.995257975642 30.451548403991)","162939","17293",,"1235 CHARIOT DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","CENTURION PLACE",,,,,"CHARIOT","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"CHARIOT DR","30",,,"1235",
"POINT (-91.145731209572 30.441145196984)","110326","115915",,"816 INGLESIDE DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","CAPITAL HEIGHTS",,,,,"INGLESIDE","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"INGLESIDE DR","30",,,"816",
"POINT (-91.136021177169 30.356748478311)","165433","216841",,"8165 FEDORA WAY","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","PARISH","BURBERRY ESTATES",,,,,"FEDORA","WAY",,,"YES","3","0","-91","NO","NO","EBRP",,"FEDORA WAY","30",,,"8165",
"POINT (-90.994462122556 30.348325895392)","80294","10523","NAFTA CONTRACTOR GROUP","11336 TALTON AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,"CONSTRUCTION",,"NO","PARISH","PECAN CREEK","238000",,,,"TALTON","AVE",,,"NO","3","0","-91","NO","NO","EBRP","NO","TALTON AVE","30",,,"11336",
"POINT (-91.016995038314 30.413209804833)","8047","241549",,"14209 BELLACOSA AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","BELLACOSA",,,,,"BELLACOSA","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"BELLACOSA AVE","30",,,"14209",
"POINT (-91.135347647037 30.559894962622)","147623","163928",,"5667 THOMAS RD","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"THOMAS","RD",,,"NO","2","1","-91","NO","NO",,,"THOMAS RD","31",,,"5667",
"POINT (-91.068264558974 30.486288589312)","184868","78194",,"3924 ROCKY MOUNTAIN DR","BATON ROUGE","EBRP","LOUISIANA","70814","UNITED STATES",,,,,"NO","BATON ROUGE","PARK FOREST",,,,,"ROCKY MOUNTAIN","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"ROCKY MOUNTAIN DR","30",,,"3924",
"POINT (-91.161009781847 30.456938995357)","113397","123189",,"916 N 27TH ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","SUBURB ABRAMSON",,,,"N","27TH","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"N 27TH ST","30",,,"916",
"POINT (-91.043213916183 30.468261867338)","175034","167350",,"1661 N MARQUE ANN DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","LA BELLE AIRE",,,,"N","MARQUE ANN","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"N MARQUE ANN DR","30",,,"1661",
"POINT (-91.16611488142 30.526428380715)","197764","234990",,"2630 TATE ST","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","SCOTLAND ADDITION",,,,,"TATE","ST",,,"NO","1","5","-91","NO","NO","BATON ROUGE",,"TATE ST","31",,,"2630",
"POINT (-91.114414832828 30.344128465478)","85579","3170",,"10345 SPRINGROSE AVE","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","SPRINGLAKE AT BLUEBONNET HIGHLANDS",,,,,"SPRINGROSE","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"SPRINGROSE AVE","30",,,"10345",
"POINT (-91.059207508166 30.548989849661)","175084","211036",,"11413 CATHERINE GREEN AVE","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","SENIOR RESIDENCES OF CENTRAL",,,,,"CATHERINE GREEN","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"CATHERINE GREEN AVE","31",,,"11413",
"POINT (-91.074167414338 30.45279910989)","135549","933",,"10113 MOLLYLEA DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","NORTH BROADMOOR",,,,,"MOLLYLEA","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"MOLLYLEA DR","30",,,"10113",
"POINT (-91.0206797387 30.4053342835)","64720","92580",,"5334 HUNTERS PARK AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","HICKORY RIDGE",,,,,"HUNTERS PARK","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"HUNTERS PARK AVE","30",,,"5334",
"POINT (-91.195012539151 30.656346683178)","176840","192185","CORE KINETICS PHYSICAL THERAPY","1673 MOUNT PLEASANT-ZACHARY RD","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,"HEALTH CARE",,"NO","ZACHARY","NONE","621000",,,,"MOUNT PLEASANT-ZACHARY","RD",,,"NO","2","3","-91","YES","NO",,"NO","MOUNT PLEASANT-ZACHARY RD","31",,,"1673",
"POINT (-91.117626821714 30.355582818738)","82596","124374","AWESOME GIFTS","933 ELVIN DR","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","BROUSSARD PLAZA",,,,,"ELVIN","DR",,,"NO","3","0","-91","NO","NO","EBRP","NO","ELVIN DR","30",,,"933",
"POINT (-91.103199643586 30.456241602122)","120159","95116",,"556 FERNWOOD DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","GOODWOOD HOMESITES",,,,,"FERNWOOD","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"FERNWOOD DR","30",,,"556",
"POINT (-91.174643402165 30.442177167109)","32111","144730",,"624 S 14TH ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","FAVROT",,,,"S","14TH","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"S 14TH ST","30",,,"624",
"POINT (-91.043114369041 30.381015444397)","47381","244720",,"7550 PECUE LN, UNIT 63","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"PECUE","LN",,,"NO","3","0","-91","NO","NO",,,"PECUE LN","30",,,"7550 UNIT 63","2020-11-30T19:27:15.000Z"
"POINT (-91.105660100562 30.460303849426)","185004","116566",,"8241 ROYALWOOD DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","GOODWOOD HOMESITES",,,,,"ROYALWOOD","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"ROYALWOOD DR","30",,,"8241",
"POINT (-91.11506145985 30.368071802826)","73644","125655",,"9445 RAINFORD RD","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","BATON ROUGE","WILDWOOD",,,,,"RAINFORD","RD",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"RAINFORD RD","30",,,"9445",
"POINT (-91.133730397766 30.496842673964)","119154","89892",,"5131 S SAINT GERARD CIR","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","BROOKSTOWN PLACE",,,,"S","SAINT GERARD","CIR",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"S SAINT GERARD CIR","30",,,"5131",
