"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2022-00013127","2022-04-02T17:00:00.000","2022-04-04T08:00:00.000","2022-04-05T10:57:13.000","Open","2022-04-05T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (02)","Theft -  $2000 to $4999, From Building","23D","Theft From Building","2308","Larceny-From Building","No","2500 ARLINGTON DR","COLORADO SPRINGS","80910","POINT (-104.778499 38.808268)","Sand Creek"
"2019-00083746","2019-09-24T10:00:00.000","2019-09-27T10:00:00.000","2019-09-27T10:22:24.000","Open","2019-09-27T00:00:00.000","Crimes Against Property","18-4-401(2)(d) M2 (05)","Theft - $300 to $749, Shoplifting","23C","Shoplifting","2303","Shoplifting",,"5100 N ACADEMY BLVD","COLORADO SPRINGS","80918","POINT (-104.776888 38.904955)","Falcon"
"2021-00021056","2021-06-04T19:30:00.000","2021-06-05T20:30:00.000","2021-06-05T13:59:25.000","Cleared by Arrest","2021-06-05T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,"COLORADO SPRINGS",,,
"2022-00031051","2022-08-18T10:00:00.000","2022-08-18T10:17:00.000","2022-08-18T10:49:34.000","Open","2022-08-25T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (02)","Theft -  $2000 to $4999, From Building","23D","Theft From Building","2308","Larceny-From Building",,,"COLORADO SPRINGS",,,
"2021-00080522","2021-01-09T12:25:00.000","2021-01-11T11:25:00.000","2021-01-11T11:35:09.000","Open","2021-01-11T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"4100 LACY LN","COLORADO SPRINGS","80916","POINT (-104.751611 38.82332)","Sand Creek"
"2021-00002812","2021-01-14T06:00:00.000","2021-01-14T06:00:00.000","2021-01-14T06:11:09.000","Cleared by Arrest","2021-01-14T06:11:09.000","Crimes Against Persons","18-3-206(1) M3","Menacing Threat/Physical Action/Fear of SBI","13C","Intimidation","1316","Intimidation (Includes Stalking)","Yes","900 PACIFIC HILLS PT","COLORADO SPRINGS","80906","POINT (-104.810412 38.77201)","Gold Hill"
"2019-00035628","2019-09-24T10:15:00.000","2019-09-24T10:15:00.000","2019-09-24T10:17:54.000","Cleared by Arrest","2019-09-24T10:17:54.000","Crimes Against Persons","9.2.109","Assault","13B","Simple Assault","1313","Simple Assault","No","100 N WEBER ST","COLORADO SPRINGS","80903","POINT (-104.81978 38.835585)","Gold Hill"
"2021-00006583","2021-02-10T21:05:00.000","2021-02-10T21:05:00.000","2021-02-10T21:06:25.000","Cleared by Arrest","2021-02-11T00:00:00.000","Crimes Against Society","16-19-103","FUGITIVE FROM JUSTICE","90Z","All Other Offenses","4902","Flight to Avoid-(Prosecution, confinement, etc.)","No","4300 SINTON RD","COLORADO SPRINGS","80907","POINT (-104.83251 38.890501)","Falcon"
"2022-00032709","2022-08-30T09:12:00.000","2022-08-30T09:30:00.000","2022-08-30T09:29:56.000","Warrant","2022-08-31T00:00:00.000","Crimes Against Persons","18-3-602(1)(a) F4(1)","Stalking - Threatens AND Repeatedly Follows-Violation of Court Order, Bond, or Probation","13C","Intimidation","1316","Intimidation (Includes Stalking)","Yes","4800 WEBB DR","COLORADO SPRINGS","80916","POINT (-104.739999 38.813156)","Sand Creek"
"2021-00048378","2021-11-30T12:00:00.000","2021-11-30T12:00:00.000","2021-12-21T15:19:48.000","Open","2022-01-05T00:00:00.000","Crimes Against Property","18-5-206(2)(f) F6","Defrauding a secured debtor $2,000-$4,999","26A","False Pretenses/Swindle/Confidence Game","2699","Fraud (Describe Offense)","No","4500 OUTLOOK RIDGE TRL","COLORADO SPRINGS","80924","POINT (-104.740967 38.978703)","Falcon"
"2019-00036122","2019-09-03T00:00:00.000","2019-09-27T00:00:00.000","2019-09-27T17:47:03.000","Open","2019-09-28T00:00:00.000","Crimes Against Property","18-4-401(2)(b) PO1(06)","Theft - Less than $50, Parts from Vehicle","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle","No",,"FOUNTAIN",,,
"2022-00008142","2022-02-21T07:00:00.000","2022-02-23T15:00:00.000","2022-02-25T10:31:52.000","Open","2022-02-25T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (3)","2nd Degree Burglary - No Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2205","Burglary-No Forced Entry-Nonresidence","No",,"COLORADO SPRINGS","80922","POINT (-104.701368 38.891441)","Stetson Hills"
"2022-00016506","2022-04-18T12:00:00.000","2022-04-30T18:49:00.000","2022-04-30T14:05:54.000","Open","2022-04-30T00:00:00.000","Crimes Against Society","18-4-503(1)(a) PO","2nd Degree Criminal Trespass - Enclosed/Fenced Area","90J","Trespass of Real Property","5707","Trespassing (describe offense)","No","4500 EDISON AVE","COLORADO SPRINGS","80915","POINT (-104.743715 38.8401)","Sand Creek"
"2020-00013391","2020-04-10T09:32:00.000","2020-04-10T10:20:00.000","2020-04-10T09:32:18.000","Cleared by Arrest","2020-10-21T00:00:00.000","Crimes Against Society","9.6.102","TRESPASS ON PRIVATE PROPERTY","90J","Trespass of Real Property","5707","Trespassing (describe offense)",,"0 E LAS VEGAS ST","COLORADO SPRINGS","80903",,
"2020-00008977","2020-02-29T07:00:00.000","2020-03-01T10:30:00.000","2020-03-02T10:39:33.000","Open","2020-03-02T10:39:33.000","Crimes Against Property","18-4-203(1) F4 (3)","2nd Degree Burglary - No Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2205","Burglary-No Forced Entry-Nonresidence","No",,"COLORADO SPRINGS",,,
"2020-00013061","2020-04-06T15:30:00.000","2020-04-07T07:00:00.000","2020-04-07T09:56:55.000","Cleared by Arrest","2020-06-25T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No",,"COLORADO SPRINGS",,,
"2022-00017488","2022-05-07T20:00:00.000","2022-05-07T23:00:00.000","2022-05-07T23:16:46.000","Cleared by Arrest","2022-05-08T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M1","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,
"2021-00048920","2021-12-31T13:00:00.000","2021-12-31T13:00:00.000","2021-12-31T13:01:03.000","Open","2021-12-31T00:00:00.000","Crimes Against Persons","18-6.5-103(2)(c) F6 (3)","Crimes Against At Risk Adults/Juveniles - Bodily Injury","13A","Aggravated Assault","1309","Aggravated Assault-Public Offense-Strong Arm","No","800 TENDERFOOT HILL RD","COLORADO SPRINGS","80906","POINT (-104.813389 38.794128)","Gold Hill"
"2022-00002185","2022-01-11T02:03:00.000","2022-01-11T02:05:00.000","2022-01-11T02:03:38.000","Cleared by Arrest","2022-01-11T00:00:00.000","Crimes Against Society","18-4-511(1) P2","Littering Public/Private Property","90Z","All Other Offenses","6205","Conservation-Environment (Describe Offense)","No","ACADEMY & HWY 115 OFF RAMP NB","COLORADO SPRINGS","80902","POINT (-104.810767606853 38.7658882852506)",
"2021-00023387","2021-06-16T00:00:00.000","2021-06-17T16:48:00.000","2021-06-23T08:27:54.000","Open","2021-06-24T00:00:00.000","Crimes Against Property","18-4-501(1) M1 (1) REPEAL","Criminal Mischief $750 -$999-Business","290","Destruction/Damage/Vandalism of Property","2901","Damage Property-Business","No","4100 WESTMEADOW DR","COLORADO SPRINGS","80906","POINT (-104.810958 38.772819)","Gold Hill"
"2021-00039693","2021-09-21T00:00:00.000","2021-10-21T10:00:00.000","2021-10-21T10:35:21.000","Open","2021-10-21T00:00:00.000","Crimes Against Society","18-6.5-103(5) F3","Crimes Against At Risk Persons - Theft, $500 or more","90Z","All Other Offenses","7099","Crimes Against Person","No","9100 GRAND CORDERA PKWY","COLORADO SPRINGS","80924","POINT (-104.72675 38.960611)","Stetson Hills"
"2021-00028553","2021-07-31T22:00:00.000","2021-08-02T05:10:00.000","2021-08-02T05:20:34.000","Open","2021-09-03T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No",,"COLORADO SPRINGS",,,
"2021-00024278","2021-06-30T18:00:00.000","2021-07-01T02:00:00.000","2021-07-01T02:06:49.000","Cleared by Arrest","2021-07-01T00:00:00.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No","300 W BIJOU ST","COLORADO SPRINGS","80905","POINT (-104.831145 38.837024)","Gold Hill"
"2021-00011493","2021-03-21T19:00:00.000","2021-03-22T06:45:00.000","2021-03-22T07:11:40.000","Cleared by Arrest","2022-05-10T00:00:00.000","Crimes Against Property","18-4-409(2)(a) F4 REP","Agg MVT 1st Degree-Possession over 24 hours $20,000-$99,999","240","Motor Vehicle Theft","2404","Vehicle Theft","No","5900 STETSON HILLS BLVD","COLORADO SPRINGS","80923","POINT (-104.71826 38.911051)","Stetson Hills"
"2021-00036770","2021-09-29T16:00:00.000","2021-09-30T08:00:00.000","2021-09-30T09:29:48.000","Open","2021-09-30T00:00:00.000","Crimes Against Property","18-4-401(2)(h) F4 (07)","Theft - $20000 to $99999, From Yards","23H","All Other Larceny","2309","Larceny-From Yards","No","1800 SPRINGS VISTA ST","COLORADO SPRINGS","80910","POINT (-104.788112 38.807121)","Gold Hill"
"2020-00015440","2019-08-26T14:00:00.000","2019-08-26T14:00:00.000","2020-04-27T17:29:07.000","Open","2020-04-28T00:00:00.000","Crimes Against Property","18-5-206(2)(b) PO1","Defrauding a secured debtor Under $50","26A","False Pretenses/Swindle/Confidence Game","2699","Fraud (Describe Offense)","No","1200 N CASCADE AVE","COLORADO SPRINGS","80903","POINT (-104.824602 38.850467)","Gold Hill"
"2022-00022443","2022-06-13T20:00:00.000","2022-06-14T01:00:00.000","2022-06-15T17:01:50.000","Unfounded","2022-06-15T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M1","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","800 CHAPMAN DR","COLORADO SPRINGS","80916","POINT (-104.753488 38.818979)","Sand Creek"
"2022-00003532","2022-01-20T19:20:00.000","2022-01-20T19:25:00.000","2022-01-20T19:25:01.000","Cleared by Arrest","2022-01-20T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes","1800 CHIPPENHAM HTS","COLORADO SPRINGS","80910",,
"2021-00012019","2021-03-26T00:01:00.000","2021-03-26T08:57:00.000","2021-03-26T08:58:14.000","Cleared by Arrest","2021-03-26T08:58:14.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","Yes","6400 N ACADEMY BLVD","COLORADO SPRINGS","80918","POINT (-104.793505 38.922837)","Falcon"
"2021-00023163","2021-06-21T10:00:00.000","2021-06-21T12:00:00.000","2021-06-22T14:13:20.000","Open","2021-06-22T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","7500 COPPER RANGE HTS","COLORADO SPRINGS","80908",,
"2020-00013745","2020-04-10T16:30:00.000","2020-04-13T13:15:00.000","2020-04-13T13:25:44.000","Open","2020-04-13T13:25:44.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No","600 N NEVADA AVE","COLORADO SPRINGS","80903","POINT (-104.821336 38.842381)","Gold Hill"
"2022-00022103","2022-06-13T00:01:00.000","2022-06-13T06:00:00.000","2022-06-13T06:42:04.000","Open","2022-06-13T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (04)","Theft - $2000 to $4999, From Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","RILL & RUNNING WATER","COLORADO SPRINGS","80921","POINT (-104.788749069374 38.9959253568276)",
"2022-00006997","2022-02-16T07:00:00.000","2022-02-16T07:10:00.000","2022-02-16T07:10:43.000","Cleared by Arrest","2022-02-16T00:00:00.000","Crimes Against Property","9.6.404","THEFT","23D","Theft From Building","2308","Larceny-From Building","No","1000 KELLY JOHNSON BLVD","COLORADO SPRINGS","80920","POINT (-104.80363 38.948477)","Falcon"
"2020-00005317","2020-01-25T00:00:00.000","2020-01-25T18:04:00.000","2020-02-02T14:24:39.000","Open","2020-02-02T14:24:39.000","Crimes Against Property","18-4-203(1) F4 (3)","2nd Degree Burglary - No Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2205","Burglary-No Forced Entry-Nonresidence","No","3400 ASTROZON CT","COLORADO SPRINGS","80910","POINT (-104.766339 38.789797)","Sand Creek"
"2022-00032275","2022-08-26T17:00:00.000","2022-08-26T17:00:00.000","2022-08-26T22:15:23.000","Open","2022-08-27T00:00:00.000","Crimes Against Society","18-6-401(1)(7)(b)(I) M2","Child Abuse - Knowingly/Recklessly  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","No",,,,,"Stetson Hills"
"2021-00047686","2021-12-11T00:00:00.000","2021-12-11T23:00:00.000","2021-12-20T18:18:30.000","Open","2021-12-21T00:00:00.000","Crimes Against Property","18-4-401(2)(e) M1 (01) 1","Theft - $750 to $1999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2020-00022303","2020-06-26T17:30:00.000","2020-06-26T23:29:00.000","2020-06-26T23:29:31.000","Cleared by Arrest","2020-06-27T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","200 N MURRAY BLVD","COLORADO SPRINGS","80916","POINT (-104.745337 38.83566)","Sand Creek"
"2021-00040720","2021-10-27T00:00:00.000","2021-10-27T18:00:00.000","2021-10-28T18:26:16.000","Open","2021-10-29T00:00:00.000","Crimes Against Society","18-9-111(1)(h),(2) M1","Harassment - Insults or Taunts - Protected class","90Z","All Other Offenses","5309","Harassing Communication","No",,"COLORADO SPRINGS",,,
"2022-00005496","2022-02-04T13:00:00.000","2022-02-05T15:00:00.000","2022-02-04T20:22:31.000","Warrant","2022-02-05T00:00:00.000","Crimes Against Society","18-6-401(1)(7)(b)(II) M3","Child Abuse - Criminal Negligence  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","Yes",,,,,"Falcon"
"2022-00005130","2022-02-01T20:40:00.000","2022-02-01T20:50:00.000","2022-02-01T20:51:55.000","Cleared by Arrest","2022-02-18T00:00:00.000","Crimes Against Property","18-4-501(1) F6 (2)REP","Criminal Mischief $1,000-$4,999-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","Yes","6600 CALICO CREST HTS","COLORADO SPRINGS","80923",,
"2021-00014104","2021-04-11T11:00:00.000","2021-04-11T11:59:00.000","2021-04-11T11:59:17.000","Cleared by Arrest","2021-04-11T11:59:17.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,
"2019-00036265","2019-09-28T17:30:00.000","2019-09-28T17:42:00.000","2019-09-28T17:43:46.000","Cleared by Arrest","2019-09-28T17:43:46.000","Crimes Against Society","18-9-106(1)(d) M3","Disorderly Conduct - Fighting in Public","90C","Disorderly Conduct/Disturbing The Peace","5311","Disorderly Conduct (specify conduct)","No","COLORADO & 7TH","COLORADO SPRINGS","80905","POINT (-104.837595124 38.832826034)","Gold Hill"
"2021-00016442","2021-04-28T13:00:00.000","2021-04-28T13:05:00.000","2021-04-29T08:04:25.000","Open","2021-04-29T08:04:25.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","10 1ST ST","COLORADO SPRINGS","80906","POINT (-104.848262 38.794841)","Gold Hill"
"2022-00080519","2022-01-30T14:25:00.000","2022-02-02T14:25:00.000","2022-02-02T14:35:19.000","Open","2022-02-02T00:00:00.000","Crimes Against Property","18-4-401(2)(b) PO1(01)","Theft - Less than $50, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"Colorado Springs",,,
"2022-00013330","2022-04-06T21:00:00.000","2022-04-06T21:45:00.000","2022-04-06T21:45:37.000","Open","2022-04-06T00:00:00.000","Crimes Against Property","18-4-401(2)(e)  M1 (01)","Theft - Value $1K or more but < $2K, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2020-00034971","2020-10-08T18:18:00.000","2020-10-08T18:24:00.000","2020-10-08T18:18:00.000","Cleared by Arrest","2020-10-08T00:00:00.000","Crimes Against Persons","18-3-203(1)(i) F4","2nd Degree Assault -strangulation causing BI","13A","Aggravated Assault","1302","Aggravated Assault-Family-Weapon (Identify Weapon)","Yes","4200 SANDERS VW","COLORADO SPRINGS","80916","POINT (-104.748376 38.81674)","Sand Creek"
"2021-00024581","2021-07-02T16:30:00.000","2021-07-02T16:30:00.000","2021-07-02T19:59:58.000","Open","2021-07-03T00:00:00.000","Crimes Against Property","9.6.404","THEFT","23D","Theft From Building","2308","Larceny-From Building","No","2600 W COLORADO AVE","COLORADO SPRINGS","80904","POINT (-104.864182 38.848129)","Gold Hill"
"2022-00006173","2022-02-10T03:15:00.000","2022-02-10T03:30:00.000","2022-02-10T03:30:45.000","Cleared by Arrest","2022-02-10T00:00:00.000","Crimes Against Property","18-4-502 F5 (2)","1st Degree Criminal Trespass - Dwelling","220","Burglary/Breaking & Entering","2202","Burglary-Forced Entry-Residence","No","200 N MURRAY BLVD","COLORADO SPRINGS","80916","POINT (-104.745337 38.83566)","Sand Creek"
"2021-00020360","2021-05-30T01:00:00.000","2021-05-30T05:00:00.000","2021-05-30T12:27:03.000","Open","2021-05-31T00:00:00.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No","1900 BIRMINGHAM LOOP","COLORADO SPRINGS","80910","POINT (-104.788258 38.803948)","Gold Hill"
"2022-00028316","2022-07-27T21:00:00.000","2022-07-28T08:00:00.000","2022-07-28T08:54:14.000","Open","2022-07-28T00:00:00.000","Crimes Against Property","18-4-502(1)(b) M1","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","6200 BARNES RD","COLORADO SPRINGS","80922","POINT (-104.712892 38.895763)","Stetson Hills"
"2019-00015336","2019-04-28T19:30:00.000","2019-04-28T19:30:00.000","2019-04-29T17:57:39.000","Open","2019-05-28T00:00:00.000","Crimes Against Persons","18-3-206(1)(a) F5 (01)","Menacing Real or Simulated Weapon","13A","Aggravated Assault","1305","Aggravated Assault-Nonfamily-Weapon (Identify Weapon)","No",,,,,
"2020-00023045","2020-02-21T22:59:00.000","2020-07-02T12:00:00.000","2020-07-03T07:50:32.000","Open","2020-07-03T07:50:32.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","3800 HALF TURN RD","COLORADO SPRINGS","80917","POINT (-104.756914 38.88615)","Stetson Hills"
"2020-00032779","2020-09-21T04:30:00.000","2020-09-21T04:50:00.000","2020-09-21T08:56:00.000","Open","2020-09-21T08:56:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2021-00004034","2021-01-19T12:30:00.000","2021-01-19T13:30:00.000","2021-01-22T12:40:51.000","Cleared by Arrest","2021-01-25T00:00:00.000","Crimes Against Persons","18-6-401(1)(a)(7)(a) F4","Child Abuse - Criminal Negligence Resulting in SBI","13A","Aggravated Assault","1303","Aggravated Assault-Family-Strong Arm","No",,,,,"Sand Creek"
"2022-00020049","2022-05-26T19:00:00.000","2022-05-26T20:00:00.000","2022-05-26T21:07:32.000","Cleared by Arrest","2022-05-27T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes","7900 WAGONWOOD PL","COLORADO SPRINGS","80908","POINT (-104.685898 38.946591)","Stetson Hills"
"2021-00020689","2021-06-02T12:00:00.000","2021-06-02T16:30:00.000","2021-06-02T16:31:56.000","Unfounded","2021-06-10T00:00:00.000","Crimes Against Property","18-4-301(1) F4 (09)","Robbery - Street - Strong Arm","120","Robbery","1206","Robbery-Street-Strong Arm","No",,"COLORADO SPRINGS",,,
"2021-00011655","2021-03-17T12:00:00.000","2021-03-23T12:00:00.000","2021-03-23T12:41:38.000","Open","2021-04-06T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (09)","Sexual Assault Physical Force (Describe Offense)","11C","Sexual Assault With An Object","1199","Sexual Assault (Describe Offense)","No",,,,,"Stetson Hills"
"2022-00081248","2022-03-19T21:25:00.000","2022-03-20T06:25:00.000","2022-03-20T21:44:52.000","Open","2022-03-29T00:00:00.000","Crimes Against Property","18-4-401(2)(e) M1 (06)","Theft - Value $1K or more but < $2K, Parts from Vehicle","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,,"Colorado Springs",,,
"2022-00007774","2022-02-17T13:00:00.000","2022-02-17T13:00:00.000","2022-02-19T09:35:55.000","Open","2022-02-22T00:00:00.000","Crimes Against Property","18-5-206(1)(g) F5","Defrauding a secured creditor $5,000-$19,999","26A","False Pretenses/Swindle/Confidence Game","2699","Fraud (Describe Offense)","No","2500 INTERNATIONAL CIR","COLORADO SPRINGS","80910","POINT (-104.782564 38.829221)","Sand Creek"
"2021-00044189","2021-11-24T07:45:00.000","2021-11-24T09:57:00.000","2021-11-24T10:05:27.000","Open","2021-11-24T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","50 N RAVEN MINE DR","COLORADO SPRINGS","80905","POINT (-104.853308 38.831586)","Gold Hill"
"2020-00037360","2020-10-27T18:00:00.000","2020-10-27T18:00:00.000","2020-10-27T18:15:12.000","Cleared by Arrest","2020-10-27T18:15:12.000","Crimes Against Property","18-4-502 F5 (2)","1st Degree Criminal Trespass - Dwelling","220","Burglary/Breaking & Entering","2202","Burglary-Forced Entry-Residence","Yes","50 NEWPORT CIR","COLORADO SPRINGS","80906","POINT (-104.83022 38.802868)","Gold Hill"
"2020-00084204","2020-10-10T15:45:00.000","2020-10-16T12:45:00.000","2020-10-21T15:57:04.000","Open","2020-10-21T00:00:00.000","Crimes Against Property","18-4-401(2)(b) PO1(01)","Theft - Less than $50, Not Otherwise Classified","23H","All Other Larceny","2309","Larceny-From Yards",,"4100 GALLEY RD","COLORADO SPRINGS","80909","POINT (-104.750991 38.847101)","Sand Creek"
"2021-00041943","2021-11-07T11:00:00.000","2021-11-07T12:30:00.000","2021-11-07T11:36:32.000","Cleared by Arrest","2021-11-07T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","7200 THORN BRUSH WAY","COLORADO SPRINGS","80923","POINT (-104.694604 38.935021)","Stetson Hills"
"2022-00005423","2022-02-03T03:00:00.000","2022-02-03T08:45:00.000","2022-02-04T08:50:37.000","Open","2022-02-04T00:00:00.000","Crimes Against Property","18-4-501(1) F6 (2)REP","Criminal Mischief $1,000-$4,999-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","6200 BARNES RD","COLORADO SPRINGS","80922","POINT (-104.712892 38.895763)","Stetson Hills"
"2022-00023914","2022-06-23T22:00:00.000","2022-06-24T03:30:00.000","2022-06-24T06:35:39.000","Open","2022-06-27T00:00:00.000","Crimes Against Property","18-4-502(1)(b) M1","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","5500 CERNAN HTS","COLORADO SPRINGS","80915",,
"2021-00025333","2021-07-08T11:14:00.000","2021-07-08T11:14:00.000","2021-07-08T18:09:29.000","Cleared by Arrest","2021-09-23T00:00:00.000","Crimes Against Persons","18-3-602(1)(c) F5","Stalking - Repeatedly Follows AND Communication Causes Emotional Distress","13C","Intimidation","1316","Intimidation (Includes Stalking)","Yes","1900 PONCHA CT","LARKSPUR","80118","POINT (-104.92079 39.250586)",
"2019-00046503","2019-12-12T20:00:00.000","2019-12-13T12:30:00.000","2019-12-13T16:25:16.000","Exceptional Clearance","2020-06-10T00:00:00.000","Crimes Against Society","18-6-401(1)(a)(7)(a) M1","Child Abuse - Knowingly/Recklessly Any Injury Other than SBI","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","No",,,,,"Gold Hill"
"2021-00017515","2021-05-08T15:22:00.000","2021-05-08T15:22:00.000","2021-05-08T15:23:13.000","Warrant","2021-05-08T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","7600 RED FIR PT","COLORADO SPRINGS","80908",,
"2022-00028749","2022-07-31T18:13:00.000","2022-07-31T18:15:00.000","2022-07-31T18:15:09.000","Cleared by Arrest","2022-07-31T00:00:00.000","Crimes Against Society","18-4-506 M2 (1)","2nd Degree Criminal Tampering","90Z","All Other Offenses","7199","Property Crimes","Yes","4900 COPPER SPRINGS VW","COLORADO SPRINGS","80916","POINT (-104.743179 38.825317)","Sand Creek"
"2022-00006965","2022-02-15T15:15:00.000","2022-02-15T15:40:00.000","2022-02-15T16:57:38.000","Warrant","2022-02-16T00:00:00.000","Crimes Against Property","18-4-501(1) M2 (2) REPEAL","Criminal Mischief $300-$749-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No",,"COLORADO SPRINGS",,,
"2021-00039416","2021-10-18T18:00:00.000","2021-10-19T07:30:00.000","2021-10-19T07:46:40.000","Open","2022-02-11T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No","4300 INTEGRITY CENTER PT","COLORADO SPRINGS","80917","POINT (-104.721951 38.89408)","Stetson Hills"
"2020-00042565","2020-12-02T18:00:00.000","2020-12-04T06:00:00.000","2020-12-08T07:48:10.000","Open","2020-12-08T07:48:10.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2021-00031108","2021-08-20T21:30:00.000","2021-08-21T05:20:00.000","2021-08-21T05:59:22.000","Open","2021-08-21T00:00:00.000","Crimes Against Property","18-4-401(2)(d) M2 (04)","Theft - $300 to $749, From Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","4500 TEMPLETON PARK CIR","COLORADO SPRINGS","80917","POINT (-104.743312 38.899951)","Stetson Hills"
