"levy_authority_code","levy_authority_name","fiscal_year","urban_renewal_area_number","expenditure_amount","project_description","project_classification","debt_tracking_name","debt_type","fiscal_year_debt_is_paid_in_full","rebate_paid_to","primary_lat_dec"
"57G539","CEDAR RAPIDS","2013","57057","9482","PCC Rehab","Roads, Bridges & Utilities","Series 2012F GO Refunding Bonds (Ref 2003B 2004B) (FY12)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","8469","Signal Installation","Roads, Bridges & Utilities","Series 2008B GO Bonds (FY08)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","77286","Streetscape Improvements","Roads, Bridges & Utilities","Series 2006A GO Bonds (FY07)","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","24670","Signal Upgrading","Roads, Bridges & Utilities","Series 2010A GO Bonds (FY10)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","1707","Streetscape Improvements","Roads, Bridges & Utilities","Series 2012F GO Refunding Bonds (Ref 2003B 2004B) (FY12)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","65145","PCC Extension","Roads, Bridges & Utilities","Series 2008B GO Bonds (FY08)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","8157","ACC Repair","Roads, Bridges & Utilities","Series 2010A GO Bonds","General Obligation Bonds/Notes","2030","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","28318","PCC Extension","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","21446","ACC Surfacing","Roads, Bridges & Utilities","Series 2011A GO Bonds (FY11)","General Obligation Bonds/Notes","2031","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57053","1017","Detention Basin","Roads, Bridges & Utilities","Series 2009B GO Bonds Urban Renewal Bonds (FY09)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57053","4746","Signal Upgrading","Roads, Bridges & Utilities","Series 2009B GO Bonds Urban Renewal Bonds (FY09)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57067","2148","Payment of Administrative Expenses","Administrative expenses","Administrative Expenses","Internal Loans","2013","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57053","3532","Signal Upgrading","Roads, Bridges & Utilities","Series 2011A GO Bonds (FY11)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","3909","Storm Sewer Extension","Roads, Bridges & Utilities","Series 2008B GO Bonds (FY08)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","11123","ACC Surfacing","Roads, Bridges & Utilities","Series 2010A GO Bonds","General Obligation Bonds/Notes","2030","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","19615","Landscape Improvements","Roads, Bridges & Utilities","Series 2005B GO Bonds (FY06)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","34500","Interior Improvement","Municipal and other publicly-owned or leased buildings","Series 2005B GO Bonds (FY06)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57064","4828","PCC Rehab","Roads, Bridges & Utilities","Series 2012F GO Refunding Bonds (Ref 2003B 2004B) (FY12)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","1479","Storm Sewer Repair","Roads, Bridges & Utilities","Series 2005B GO Bonds (FY06)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","2373","Streetscape Improvements","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","3222","Sub Structure Repair","Roads, Bridges & Utilities","Series 2006A GO Bonds (FY07)","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57007","230","Payment of Administrative Expenses for general TIF training, certifciation and reporting activities","Administrative expenses","Administrative Expenses","Internal Loans","2013","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57064","10180","PCC Replacement","Roads, Bridges & Utilities","Series 2010A GO Bonds (FY10)","General Obligation Bonds/Notes","2023","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57053","2939","Payment of Administrative Expenses","Administrative expenses","Administrative Expenses","Internal Loans","2013","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","6363","Storm Sewer Repair","Roads, Bridges & Utilities","Series 2005B GO Bonds (FY06)","General Obligation Bonds/Notes","2025","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","64563","Payment of Administrative Expenses","Administrative expenses","Administrative Expenses","Internal Loans","2013","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","22487","PCC Widening","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","3222","Sub Structure Repair","Roads, Bridges & Utilities","Series 2006A GO Bonds (FY07)","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57001","791","Streetscape Improvements","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","3748","Bridge Replacement","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","3569","PCC Extension","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","17847","PCC Replacement","Roads, Bridges & Utilities","Series 2011E GO Refunding Capital Loan Notes (Ref 2002A 2002B 2003A 2003D) (FY11)","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","3006","Signal Installation","Roads, Bridges & Utilities","Series 2008B GO Bonds (FY08)","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57005","1178","Payment of Administrative Expenses for general TIF training, certification and reporting activities","Administrative expenses","Administrative Expenses","Internal Loans","2013","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","46598","PCC Widening","Roads, Bridges & Utilities","Series 2007A GO Refunding Bonds (Ref 1998 1999B 2000 2001B) (FY07)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","18274","No Category","Roads, Bridges & Utilities","Series 2006B GO Bonds (FY07)","General Obligation Bonds/Notes","2021","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","48655","Bridge Replacement","Roads, Bridges & Utilities","Series 2006B GO Bonds (FY07)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57064","10697","PCC Replacement","Roads, Bridges & Utilities","Series 2005B GO Bonds (FY06)","General Obligation Bonds/Notes","2023","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","36250","Protective Coating","Roads, Bridges & Utilities","Series 2006A GO Bonds (FY07)","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57009","48655","New Bridge","Roads, Bridges & Utilities","Series 2006B GO Bonds (FY07)","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","830","Sidewalk Extension","Roads, Bridges & Utilities","Series 2012F GO Refunding Bonds (Ref 2003B 2004B) (FY12)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","474","Streetscape Improvements","Roads, Bridges & Utilities","Series 2012F GO Refunding Bonds (Ref 2003B 2004B) (FY12)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","1503","Sewer Extension","Roads, Bridges & Utilities","Series 2008B GO Bonds (FY08)","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-91.6440683 42.0083328)"
"57G539","CEDAR RAPIDS","2013","57057","3708","Storm Sewer Repair","Roads, Bridges & Utilities","Series 2010A GO Bonds","General Obligation Bonds/Notes","2030","NO REBATE","POINT (-91.6440683 42.0083328)"
"04G016","CENTERVILLE","2013","4001","287033","INFRASTRUCTURE/ROAD & SEWER SERVICES","Roads, Bridges & Utilities","1.4M GENERAL OBLIGATION BOND ISSUE","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-92.8740876 40.7341804)"
"04G016","CENTERVILLE","2013","4001","651","PAYMENT TO AHLERS & COONEY","Administrative expenses","1.4M GENERAL OBLIGATION BOND ISSUE","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-92.8740876 40.7341804)"
"57G541","CENTRAL CITY","2013","57047","137402","Street/water/sewer/storm sewer","Roads, Bridges & Utilities","MAIN STREET CONSTRUCTION","General Obligation Bonds/Notes","2021","NO REBATE","POINT (-91.5240561 42.2038829)"
"57G541","CENTRAL CITY","2013","57047","1500","Housing Grant Program","Low and Moderate Income Housing","Montgomery Estates Development Agreement","Rebates","2015","NO REBATE","POINT (-91.5240561 42.2038829)"
"34G323","CHARLES CITY","2013","34009","446","administrative expenses","Administrative expenses","city administrative expenses","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34004","13160","City administrative Expenses","Administrative expenses","City administrative expense","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","10164","new housing subdivision","Low and Moderate Income Housing","2005B Park Ave","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","24338","new housing subdivision","Low and Moderate Income Housing","2005 Park Ave","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34001","20727","yearly projects and Facade Masterplan","Main Street Iowa Program-Iowa Economic Development Authority","Facade projects","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","16923","new housing subdivision","Low and Moderate Income Housing","2007A","General Obligation Bonds/Notes","2023","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34002","12947","city administrative services","Administrative expenses","City administrative expenses","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34002","35000","support of CCADC economic development activities","Administrative expenses","Support of CCADC","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","21395","new housing subdivision","Low and Moderate Income Housing","2008C","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34001","125887","yearly projects and Facade Masterplan","Main Street Iowa Program-Iowa Economic Development Authority","Facade projects","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","1335","new housing subdivision","Low and Moderate Income Housing","Allied 5th and 6th","TIF Revenue Bonds/Notes","2024","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34004","393766","infrastructure for new businesses","Roads, Bridges & Utilities","2013 Refunding Bond","General Obligation Bonds/Notes","2014","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","12774","new housing subdivision","Low and Moderate Income Housing","2003 Park Ave","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34002","151500","extension of water main to Valero","Agribusiness","Valero main extension","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","16490","new housing subdivision","Low and Moderate Income Housing","Allied 4th","TIF Revenue Bonds/Notes","2022","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34001","14194","city's administrative expenses","Administrative expenses","City administrative expenses","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34001","12000","yearly payment to ADC for economic development activities","Administrative expenses","CCADC support","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34001","21000","payments for administering Main Street program","Administrative expenses","Main Street program","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34002","7000","targeted industry analysis","Industrial/manufacturing property","Targeted industry analysis","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34009","5500","CCADC support","Administrative expenses","support for CCADC","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"34G323","CHARLES CITY","2013","34002","57500","Cambrex expansion","Industrial/manufacturing property","Cambrex","Internal Loans","2013","NO REBATE","POINT (-92.6724112 43.0663613)"
"18G154","CHEROKEE","2013","18006","234361","Build indoor wellness center complex in cooperation with non-profit health care corp.","Recreational facilities (lake development, parks, ball fields, trails)","2010 G.O. Bond","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-95.551674 42.7494277)"
"18G154","CHEROKEE","2013","18006","390","Fees due to Attorney review of the operation of the UR Area","Administrative expenses","Attorney Fees","Internal Loans","2013","NO REBATE","POINT (-95.551674 42.7494277)"
"18G154","CHEROKEE","2013","18007","1214","Provide infrastructure for housing development","Residential property (classified residential)","2010 G.O. Bond","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-95.551674 42.7494277)"
"18G154","CHEROKEE","2013","18008","18064","Provide sanitary sewer to undeveloped areas and areas served by septic systems.","Residential property (classified residential)","Internal Loan","Internal Loans","2013","NO REBATE","POINT (-95.551674 42.7494277)"
"18G154","CHEROKEE","2013","18014","27696","Clear property/prepare site for new develop.","Industrial/manufacturing property","2011 G.O. UR Bond","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.551674 42.7494277)"
"18G154","CHEROKEE","2013","18014","72700","Clear property/prepare site for new develop.","Industrial/manufacturing property","2011 G.O. UR Bond","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.551674 42.7494277)"
"18","CHEROKEE COUNTY","2013","18013","167519","Little Sioux Corn Processors ethanol plant","Agribusiness","747584","Rebates","2018","Little Sioux Corn Processors","POINT (-95.6238055 42.7356226)"
"73G674","CLARINDA","2013","73004","98493","Add new street and resurface existing street","Roads, Bridges & Utilities","2011 G. O. Bonds","General Obligation Bonds/Notes","2021","NO REBATE","POINT (-95.038313 40.7419352)"
"73G674","CLARINDA","2013","73004","62646","Creation of Allen Davison Business Park","Industrial/manufacturing property","2004 G. O. Bonds","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-95.038313 40.7419352)"
"99G949","CLARION","2013","99013","25000","Construction of aquatic center improvements","Recreational facilities (lake development, parks, ball fields, trails)","2005 REDLG Loan","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.732992 42.7316387)"
"99G949","CLARION","2013","99013","80610","Site redevelopment by construction of police/ambulance building","Municipal and other publicly-owned or leased buildings","2009 General Obligation Bonds","General Obligation Bonds/Notes","2028","NO REBATE","POINT (-93.732992 42.7316387)"
"99G949","CLARION","2013","99013","59789","Street paving/utility improvements","Roads, Bridges & Utilities","2003 General Obligation Bonds","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-93.732992 42.7316387)"
"99G949","CLARION","2013","99013","356121","Adminstration of TIF program","Administrative expenses","Internal Capital Debt Account","Internal Loans","2015","NO REBATE","POINT (-93.732992 42.7316387)"
"99G949","CLARION","2013","99013","116042","Renovation and expansion of historic library","Municipal and other publicly-owned or leased buildings","2013B Refunding Bonds","TIF Revenue Bonds/Notes","2023","NO REBATE","POINT (-93.732992 42.7316387)"
"17G143","CLEAR LAKE","2013","17022","68616","4th Ave S. Road Resurfacing ( S 20th St to S 40th St)","Roads, Bridges & Utilities","June 06 Capital Projects","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","21112","Construct Willow Creek Court","Roads, Bridges & Utilities","June 06 Capital Projects","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","70000","Bridge deck repairs & resurfacing","Roads, Bridges & Utilities","N 40th St Bridge","Internal Loans","2014","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","220420","Reconstruct 2nd Ave N - N 6th St to N 8th St","Roads, Bridges & Utilities","2nd Ave N","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","46003","Extend and loop municipal water system (west & south)","Roads, Bridges & Utilities","Water Distribution System","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","32139","Reconstruct 1st Ave S - S Shore to S 8th St","Roads, Bridges & Utilities","2007 Capital Projects","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","90000","Construct Industrial Facility","Industrial/manufacturing property","Wess Inc","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","52216","Extend watermain E of I-35 to N 32nd St","Roads, Bridges & Utilities","August 05 Capital Projects","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","329850","Construct Industrial Facility","Industrial/manufacturing property","Titan Pro SCI","Rebates","2022","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","168000","Renovation of area vacated by Fire Dept","Municipal and other publicly-owned or leased buildings","Public Safety Radio Communication System","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","122000","Streetscape improvements 400 block","Roads, Bridges & Utilities","N Shore Streetscape (400 block)","Internal Loans","2014","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","181589","Reconstruct 1st Ave S - S Shore to S 8th St","Roads, Bridges & Utilities","1st Ave S","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","86896","Industrial Park 3rd Addition Construction","Roads, Bridges & Utilities","2007 Capital Projects","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","109000","Renovation of area vacated by Fire Dept","Municipal and other publicly-owned or leased buildings","City Hall/Police Emergency Generator","Internal Loans","2017","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","46541","Construct sidewalks and splash pad","Recreational facilities (lake development, parks, ball fields, trails)","August 05 Capital Projects","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","30349","Reconstruct 1st Ave N - N 3rd St to N 8th St","Roads, Bridges & Utilities","June 06 Capital Projects","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","42500","Alley paving improvements","Roads, Bridges & Utilities","1st Ave S & S 3rd St Alley","Internal Loans","2014","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","83343","Reconstruct 1st Ave N - N 3rd St to N 8th St","Roads, Bridges & Utilities","1st Ave N","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","237519","Purchase & develop recreation land","Recreational facilities (lake development, parks, ball fields, trails)","12th Ave S Rec Property","Internal Loans","2016","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","11876","Construct angled on-street parking on N 9th St and streetscape improvements","Roads, Bridges & Utilities","June 06 Capital Projects","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","14757","Reconstruct S 4th St - S 8th St to 1st Ave S","Roads, Bridges & Utilities","August 05 Capital Projects","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","24000","Construct sidewalks and splash pad","Recreational facilities (lake development, parks, ball fields, trails)","Sept 06 Bonds","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","100000","Construct Northwest Water Tower","Roads, Bridges & Utilities","Northwest Water Tower Land Purchase","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","106652","Construct East Park Water Tower","Roads, Bridges & Utilities","East Water Tower Bonds","General Obligation Bonds/Notes","2018","NO REBATE","POINT (-93.3793725 43.1380151)"
"17G143","CLEAR LAKE","2013","17022","194866","Building demo & parking lot construction","Roads, Bridges & Utilities","Downtown Parking Lots","Internal Loans","2013","NO REBATE","POINT (-93.3793725 43.1380151)"
"18G155","CLEGHORN","2013","18005","60000","South Lewis St.","Roads, Bridges & Utilities","Street Resurfacing","Other Debt","2013","NO REBATE","POINT (-95.7127888 42.81220710000001)"
"33G310","CLERMONT","2013","33005","85125","Booster Station/Water Line Loop","Roads, Bridges & Utilities","2006 Bond","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-91.652374 43.00359120000001)"
"33G310","CLERMONT","2013","33005","45903","Street Construction","Roads, Bridges & Utilities","Oak Ridge Drive/Sandy Lane","Internal Loans","2013","NO REBATE","POINT (-91.652374 43.00359120000001)"
"23G205","CLINTON","2013","23006","166400","GO Bonds for Improvements","Roads, Bridges & Utilities","Refunding Bond","General Obligation Bonds/Notes","2013","NO REBATE","POINT (-90.1887379 41.8444735)"
"23G205","CLINTON","2013","23010","1084539","TIF Rebate Agreement Valley Bluff","Commercial - retail","Valley Bluff Rebate Agreement","Rebates","2024","Citizen's First Bank c/o Valley Bluff","POINT (-90.1887379 41.8444735)"
"23G205","CLINTON","2013","23018","56276","Residential TIF Rebate Agreement","Residential property (classified residential)","Actual Construction or $9.25 mil, whichever less","Rebates","2020","Dan Dolan Homes, Inc.","POINT (-90.1887379 41.8444735)"
"23G205","CLINTON","2013","23018","30117","Residential TIF Rebate Agreement","Residential property (classified residential)","Actual Construction or $9.25 mil, whichever less","Rebates","2020","NO REBATE","POINT (-90.1887379 41.8444735)"
"23G205","CLINTON","2013","23006","1450","Housing Rebate","Mixed use property (ie: a significant portion in each residential and commercial)","HyVee Economic Development Note","Other Debt","2018","Community Housing Initiatives","POINT (-90.1887379 41.8444735)"
"77G716","CLIVE","2013","77060","75000","Tax rebates to owner for construction of senior housing","Residential property (classified residential)","Walnut Ridge of Clive","Rebates","2025","NO REBATE","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2013","77060","322843","Developer rebates in Stratford Commons Office Park","Commercial - office properties","Stratford Commons Rebates","Rebates","2014","Stratford Commons Association members","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2013","77060","903998","Redevelopment of 86th St. and University Blvd","Roads, Bridges & Utilities","GO 2008B GO Bonds","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2013","77060","854385","Redevelopment of 86th St. and University Blvd","Roads, Bridges & Utilities","GO 2009B GO Bonds","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2013","77060","853250","Redevelopment of 86th St. and University Blvd","Roads, Bridges & Utilities","GO 2006B GO Bonds","General Obligation Bonds/Notes","2013","NO REBATE","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2013","77060","176672","Tax rebates to owner for construction of senior housing","Residential property (classified residential)","Walnut Ridge of Clive","Rebates","2025","Wedum Walnut Ridge","POINT (-93.7241104 41.6030446)"
"77G716","CLIVE","2013","77060","139425","paving of 156th and widening of Univ from 138-142","Roads, Bridges & Utilities","GO 2010A Refunding Bonds","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-93.7241104 41.6030446)"
"85G814","COLO","2013","85015","28075","Street Construction","Roads, Bridges & Utilities","E-41 Paving","Other Debt","2015","NO REBATE","POINT (-93.3152072 42.0177653)"
"85G814","COLO","2013","85015","107180","Storm Sewer","Roads, Bridges & Utilities","Storm Sewer","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-93.3152072 42.0177653)"
"85G814","COLO","2013","85015","28350","Street Construction","Roads, Bridges & Utilities","Colo Business Park","TIF Revenue Bonds/Notes","2014","NO REBATE","POINT (-93.3152072 42.0177653)"
"58G555","COLUMBUS JUNCTION","2013","58005","33628","STREET, UTILITY, LIGHTS, LMI","Residential property (classified residential)","NEW HERITAGE 2005","Internal Loans","2016","NO REBATE","POINT (-91.360711 41.2800253)"
"38G354","CONRAD","2013","38002","4253","Build a new library building","Municipal and other publicly-owned or leased buildings","2007 Library Buiilding","TIF Revenue Bonds/Notes","2014","NO REBATE","POINT (-92.8746455 42.2247077)"
"38G354","CONRAD","2013","38002","14050","Economic Development","Main Street Iowa Program-Iowa Economic Development Authority","Chamber-Main Street","Other Debt","2015","NO REBATE","POINT (-92.8746455 42.2247077)"
"14G117","COON RAPIDS","2013","14008","80000","South 5th AVenue Landscaping/Entrance into Coon Rapids","Main Street Iowa Program-Iowa Economic Development Authority","South 5th Avenue","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-94.6774786 41.8708192)"
