"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","project_completion_jobs_created","project_completion_jobs_retained","project_completion_jobs_other_created","project_completion_jobs_total","total_project_cost_project_completion","project_completion_date","reported_jobs_created","reported_jobs_retained","reported_jobs_other_created","reported_jobs_total","date_reported","project_maintenance_date","city_location"
"Vspec, LLC & Building A, LLC","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-041","2016-03-29T00:00:00.000","3675000","3675000","0","240000","21","0","9","30","23.62","21","0","9","30","23.62","0","0","0","0","3675000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Electrical Power Products, Inc. and Electro Management Corp","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-012","2020-10-16T00:00:00.000","5483472","5483472","0","244647","2","0","0","2","26.54","2","0","0","2","26.54","0","0","0","0","5483472","2023-10-31T00:00:00.000","0","0","0","0","2023-10-31T00:00:00.000","2025-10-31T00:00:00.000","POINT (-93.620309 41.588822)"
"American Natural Processors (fka Maple River)","Ida","Galva","Under contract - In Maintenance","Enterprise Zone","07-EZ-031","2006-12-21T00:00:00.000","14860000","11160000","400000","1223919","12","0","1","13","11.85","13","0","0","13","11.85","13","0","0","13","14860000","2013-12-31T00:00:00.000","13","0","0","13","2013-12-31T00:00:00.000","2023-12-31T00:00:00.000","POINT (-95.417231 42.503831)"
"Ziegler Industries, Inc.","Lee","Keokuk","Under contract - In Maintenance","Targeted Jobs","16-TJWTC-004","2016-05-20T00:00:00.000","840000","840000","0","100000","19","0","8","27","18.91","19","0","8","27","18.91","19","0","8","27","840000","2019-05-31T00:00:00.000","19","0","8","27","2019-05-31T00:00:00.000","2021-05-31T00:00:00.000","POINT (-91.401855 40.413521)"
"Cascade Lumber Company","Dubuque","Cascade","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-026","2015-12-18T00:00:00.000","4750000","1500000","0","78750","2","0","0","2","19.15","2","0","0","2","19.15","2","0","0","2","4750000","2018-12-31T00:00:00.000","2","0","0","2","2018-12-31T00:00:00.000","2020-12-31T00:00:00.000","POINT (-91.014813 42.298634)"
"Google, LLC","Pottawattamie","Council Bluffs","Under contract - In Maintenance","High Quality Jobs Program","12-HQJP-051","2012-04-20T00:00:00.000","1700000000","1700000000","0","36600000","35","0","0","35","18.81","35","0","0","35","18.81","35","0","0","35","1700000000","2019-04-30T00:00:00.000","35","0","0","35","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-95.85436 41.258963)"
"Templeton Rye Spirits, LLC","Carroll","Templeton","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-017","2016-10-21T00:00:00.000","33945671","33926811","0","1953391","18","0","9","27","19.79","18","0","9","27","19.79","0","0","0","0","33945671","2021-10-31T00:00:00.000","0","0","0","0","2021-10-31T00:00:00.000","2023-10-31T00:00:00.000","POINT (-94.941728 41.918493)"
"Hearth & Home Technologies","Henry","Mt. Pleasant","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-024","2016-11-18T00:00:00.000","7719700","7719700","0","414831","6","0","22","28","16.04","6","0","22","28","16.04","6","0","22","28","7719700","2019-11-30T00:00:00.000","6","0","22","28","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-91.554839 40.965605)"
"Lee Container Corporation, Inc.","Appanoose","Centerville","Under contract - In Maintenance","Enterprise Zone","08-EZ-009","2007-08-16T00:00:00.000","7612625","5105125","0","543638","11","0","45","56","11.25","11","0","22","33","11.25","11","0","22","33","7612625","2010-08-31T00:00:00.000","11","0","22","33","2010-08-31T00:00:00.000","2020-08-31T00:00:00.000","POINT (-92.874161 40.732502)"
"TMS, Inc. & KV, LLC","Woodbury","Sioux City","Under contract - In Maintenance","Targeted Jobs","17-TJWTC-003","2016-09-16T00:00:00.000","494484","490484","0","75000","6","8","1","15","18.72","2","8","0","10","18.72","2","8","0","10","494484","2019-09-30T00:00:00.000","2","8","0","10","2019-09-30T00:00:00.000","2021-09-30T00:00:00.000","POINT (-96.406436 42.496323)"
"Future Line, LLC","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-027","2019-05-17T00:00:00.000","3989500","3845000","0","188375","10","0","4","14","21.61","10","0","4","14","21.61","0","0","0","0","3989500","2022-05-31T00:00:00.000","0","0","0","0","2022-05-31T00:00:00.000","2024-05-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Donaldson Company, Inc.","Howard","Cresco","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-048","2018-05-18T00:00:00.000","4742856","4742856","0","154082","6","0","0","6","19.93","6","0","0","6","19.93","0","0","0","0","4742856","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-92.120171 43.371158)"
"Weverskade B.V. and Lely North Aemerica, Inc.","Marion","Pella","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-013","2018-12-21T00:00:00.000","15705000","15705000","0","724900","15","0","15","30","21.61","15","0","15","30","21.61","0","0","0","0","15705000","2021-12-31T00:00:00.000","0","0","0","0","2021-12-31T00:00:00.000","2023-12-31T00:00:00.000","POINT (-92.916445 41.408107)"
"Meredith Corporation","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-040","2018-03-23T00:00:00.000","20600000","8600000","0","460000","41","0","0","41","29.12","41","0","0","41","29.12","0","0","0","0","20600000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Siegwerk USA Inc.","Polk","Des Moines","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-060","2017-05-19T00:00:00.000","10000000","10000000","0","375000","0","2","0","2","27.92","0","2","0","2","27.92","0","2","0","2","10000000","2020-05-31T00:00:00.000","0","2","0","2","2020-05-31T00:00:00.000","2022-05-31T00:00:00.000","POINT (-93.620309 41.588822)"
"HNI Corporation","Muscatine","Muscatine","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-035","2016-02-19T00:00:00.000","26864668","17824413","0","579523","0","175","0","175","17.60","0","175","0","175","17.60","0","175","0","175","26864668","2019-02-28T00:00:00.000","0","175","0","175","2019-02-28T00:00:00.000","2021-02-28T00:00:00.000","POINT (-91.044853 41.420448)"
"JRS Pharma, LP","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-003","2020-07-17T00:00:00.000","15935000","14900000","0","844500","16","0","2","18","22.27","16","0","2","18","22.27","0","0","0","0","15935000","2023-07-31T00:00:00.000","0","0","0","0","2023-07-31T00:00:00.000","2025-07-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Upper Iowa Beef LLC","Howard","Lime Springs","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-004","2019-09-20T00:00:00.000","6997240","6997240","0","396412","20","0","75","95","21.73","20","0","75","95","21.73","0","0","0","0","6997240","2022-09-30T00:00:00.000","0","0","0","0","2022-09-30T00:00:00.000","2024-09-30T00:00:00.000","POINT (-92.285681 43.449017)"
"Kraft Heinz Foods Company","Cerro Gordo","Mason City","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-028","2019-05-17T00:00:00.000","62800000","61300000","0","232500","32","0","0","32","26.35","32","0","0","32","26.35","0","0","0","0","62800000","2022-05-31T00:00:00.000","0","0","0","0","2022-05-31T00:00:00.000","2024-05-31T00:00:00.000","POINT (-93.201042 43.153621)"
"VERBIO North America Corporation","Story","Nevada","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-011","2018-11-16T00:00:00.000","35000000","35000000","0","1780000","28","0","16","44","24.95","28","0","16","44","24.95","0","0","0","0","35000000","2021-11-30T00:00:00.000","0","0","0","0","2021-11-30T00:00:00.000","2023-11-30T00:00:00.000","POINT (-93.452278 42.019648)"
"Advanced Heat Treat Corp.","Black Hawk","Waterloo","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-038","2018-03-23T00:00:00.000","4896001","4894001","0","230880","6","0","6","12","17.29","6","0","6","12","17.29","0","0","0","0","4896001","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-92.34364 42.493469)"
"Windsor Window Company & Evergreen Investments Inc.","Warren","Norwalk","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-057","2017-05-19T00:00:00.000","10545858","10545858","0","536976","6","0","29","35","23.18","6","0","29","35","23.18","6","0","29","35","10545858","2020-05-31T00:00:00.000","6","0","29","35","2020-05-31T00:00:00.000","2022-05-31T00:00:00.000","POINT (-93.674074 41.497011)"
"ePATHUSA, Inc.","Polk","West Des Moines","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-001","2016-07-22T00:00:00.000","1073250","405750","40000","34545","5","0","0","5","26.72","5","0","0","5","26.72","5","0","0","5","1073250","2019-07-31T00:00:00.000","5","0","0","5","2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","POINT (-93.713031 41.575505)"
"Nestle Purina PetCare Company","Clinton","Clinton","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-020","2020-02-21T00:00:00.000","140000000","140000000","0","5100000","73","0","0","73","16.63","73","0","0","73","16.63","0","0","0","0","140000000","2023-02-28T00:00:00.000","0","0","0","0","2023-02-28T00:00:00.000","2025-02-28T00:00:00.000","POINT (-90.190747 41.838935)"
"Cargill Kitchen Solutions","Cerro Gordo","Mason City","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-046","2017-04-17T00:00:00.000","9797946","9757946","0","436451","26","0","18","44","16.79","26","0","18","44","16.79","26","0","18","44","9797946","2020-04-30T00:00:00.000","26","18","0","44","2020-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-93.201042 43.153621)"
"Midwest Mechanical Industrial Holdings, LLC","Harrison","Logan","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-007","2019-10-18T00:00:00.000","2735000","2735000","0","167000","18","0","0","18","21.00","18","0","0","18","21.00","0","0","0","0","2735000","2022-10-31T00:00:00.000","0","0","0","0","2022-10-31T00:00:00.000","2024-10-31T00:00:00.000","POINT (-95.78915 41.643067)"
"The IMT Group","Dallas","West Des Moines","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-025","2016-11-18T00:00:00.000","36651100","36651100","0","1519305","15","0","18","33","27.92","15","0","18","33","27.92","15","0","18","33","36651100","2019-11-30T00:00:00.000","15","0","18","33","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-93.713031 41.575505)"
"HSGBS, Inc. dba Marion Process Solutions","Linn","Marion","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-016","2017-09-22T00:00:00.000","1623000","1520000","0","67400","3","0","0","3","24.91","3","0","0","3","24.91","0","0","0","0","1623000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-91.587223 42.036098)"
"Iowa Fluid Power, Inc./EHA/Blaire's Buildings, LLC","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-023","2019-03-29T00:00:00.000","5750000","2750000","0","168000","8","0","4","12","21.61","8","0","4","12","21.61","0","0","0","0","5750000","2022-03-31T00:00:00.000","0","0","0","0","2022-03-31T00:00:00.000","2024-03-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Seaboard Triumph Foods, LLC","Woodbury","Sioux City","Under contract - In Performance","Targeted Jobs","15-TJWTC-010","2015-05-22T00:00:00.000","301383332","298430089","0","10052252","256","0","898","1154","20.66","256","0","898","1154","16.63","0","0","0","0","301383332","2020-09-30T00:00:00.000","0","0","0","0","2020-09-30T00:00:00.000","2027-09-30T00:00:00.000","POINT (-96.406436 42.496323)"
"Lineage ICS, LLC (fka Iowa Cold Storage)","Polk","Altoona","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-027","2016-11-18T00:00:00.000","14359781","14223569","0","324115","1","0","0","1","27.92","1","0","0","1","27.92","0","0","0","0","14359781","2019-11-30T00:00:00.000","0","0","0","0","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-93.464609 41.64404)"
"Cognizant Technology Solutions U.S. Corporation","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","16-HQJDF-060","2016-05-20T00:00:00.000","10217991","6213169","613079","111192","116","0","898","1014","26.72","116","0","898","1014","26.72","0","0","0","0","10217991","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Design Mill, Inc. and DMI, LLC","Dubuque","Dubuque","Under contract - In Maintenance","High Quality Jobs Program","13-HQJDF-042","2013-06-21T00:00:00.000","1265979","753579","80000","18620","16","0","0","16","19.31","5","0","0","5","19.31","5","0","0","5","1265979","2019-06-30T00:00:00.000","5","0","0","5","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-90.667314 42.505512)"
"Barilla America, Inc.","Story","Ames","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-040","2017-03-17T00:00:00.000","64000000","64000000","375000","1216000","9","0","32","41","24.12","9","0","32","41","24.12","2","0","32","34","64000000","2020-03-31T00:00:00.000","2","0","32","34","2020-03-31T00:00:00.000","2022-03-31T00:00:00.000","POINT (-93.620181 42.026802)"
"M.H. Eby, Inc.","Story","Story City","Under contract - In Performance","High Quality Jobs Program","19-HQJDF-003","2018-09-21T00:00:00.000","4675000","4675000","176000","323000","22","0","42","64","26.11","22","0","42","64","26.11","0","0","0","0","4675000","2021-09-30T00:00:00.000","0","0","0","0","2021-09-30T00:00:00.000","2023-09-30T00:00:00.000","POINT (-93.591059 42.185863)"
"Gelita USA, Inc.","Woodbury","Sergeant Bluff","Under contract - In Performance","High Quality Jobs Program","17-HQJDF-023","2016-11-18T00:00:00.000","22095000","22065000","105000","780000","21","0","0","21","20.17","21","0","0","21","20.17","21","0","0","21","22095000","2019-11-30T00:00:00.000","0","0","0","0","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-96.363068 42.400299)"
"ConAgra Foods Packaged Foods, LLC","Lee","Fort Madison","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-019","2020-01-17T00:00:00.000","31900000","31900000","0","1276000","14","0","77","91","17.09","14","0","77","91","17.09","0","0","0","0","31900000","2023-01-31T00:00:00.000","0","0","0","0","2023-01-31T00:00:00.000","2025-01-31T00:00:00.000","POINT (-91.313494 40.630024)"
"Dupaco Voices, LLC; Dupaco RE Management LLC; Dupaco Holding, LLC; Dupaco Community Credit Union","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-018","2019-02-22T00:00:00.000","32436630","32436630","0","750000","20","0","20","40","19.04","20","0","20","40","19.04","0","0","0","0","32436630","2022-02-28T00:00:00.000","0","0","0","0","2022-02-28T00:00:00.000","2024-02-28T00:00:00.000","POINT (-90.667314 42.505512)"
"Silgan Containers Manufacturing Corporation","Webster","Fort Dodge","Under contract - In Maintenance","Enterprise Zone","07-EZ-030","2006-12-21T00:00:00.000","20410000","16360000","200000","1403750","32","0","0","32","12.05","32","0","0","32","12.05","32","0","0","32","20410000","2010-12-31T00:00:00.000","32","0","0","32","2010-12-31T00:00:00.000","2020-12-31T00:00:00.000","POINT (-94.169388 42.501169)"
"Precision Tank & Equipment Co.","Humboldt","Humboldt","Under contract - In Maintenance","Enterprise Zone","13-EZ-017","2013-06-21T00:00:00.000","3069000","3000000","0","412397","10","0","4","14","13.95","10","0","4","14","13.95","10","0","4","14","3069000","2018-06-30T00:00:00.000","10","0","4","14","2018-06-30T00:00:00.000","2020-06-30T00:00:00.000","POINT (-94.214548 42.721128)"
"Rasmussen Mechanical Services","Pottawattamie","Council Bluffs","Under contract - In Maintenance","Targeted Jobs","17-TJWTC-006","2017-01-20T00:00:00.000","6550000","6550000","0","95628","11","0","1","12","19.08","11","0","1","12","19.08","11","0","1","12","6550000","2020-01-31T00:00:00.000","11","0","1","12","2020-01-31T00:00:00.000","2022-01-31T00:00:00.000","POINT (-95.85436 41.258963)"
"AWOL Outdoors, Inc. dba CAMP365","Monroe","Albia","Under contract - In Performance","High Quality Jobs Program","19-HQJDF-004","2019-01-25T00:00:00.000","3546000","3546000","500000","214800","156","0","156","312","16.05","156","0","156","312","16.05","0","0","0","0","3546000","2022-01-31T00:00:00.000","0","0","0","0","2022-01-31T00:00:00.000","2024-01-31T00:00:00.000","POINT (-92.807111 41.026219)"
"Ironwood 53 LLC and Whitetail Holdings, LLC","Sioux","Rock Valley","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-023","2021-03-19T00:00:00.000","3045857","2515857","0","200953","16","0","0","16","22.04","16","0","0","16","22.04","0","0","0","0","3045857","2024-03-31T00:00:00.000","0","0","0","0","2024-03-31T00:00:00.000","2026-03-31T00:00:00.000","POINT (-96.298013 43.199972)"
"Cambrex Charles City, Inc.","Floyd","Charles City","Under contract - In Performance","High Quality Jobs Program","21-HQJDF-001","2020-07-17T00:00:00.000","49290000","48005000","250000","244275","32","0","0","32","18.81","32","0","0","32","18.81","0","0","0","0","49290000","2023-07-31T00:00:00.000","0","0","0","0","2023-07-31T00:00:00.000","2025-07-31T00:00:00.000","POINT (-92.672524 43.066415)"
"Medline Industries, Inc.","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-039","2018-03-23T00:00:00.000","19612000","19612000","0","1559840","76","0","29","105","22.37","76","0","29","105","22.37","0","0","0","0","19612000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Applichem, Inc.","Pottawattamie","Council Bluffs","Under contract - In Performance","Targeted Jobs","20-TJWTC-001","2020-04-17T00:00:00.000","676000","250000","0","75000","12","0","16","28","14.81","12","0","16","28","21.30","0","0","0","0","676000","2023-04-30T00:00:00.000","0","0","0","0","2023-04-30T00:00:00.000","2025-04-30T00:00:00.000","POINT (-95.85436 41.258963)"
"Echo Electric Supply Company","Woodbury","Sioux City","Under contract - In Maintenance","Targeted Jobs","14-TJ-005","2013-11-22T00:00:00.000","2790000","2790000","0","518000","13","24","0","37","16.14","13","24","0","37","16.14","13","24","0","37","2790000","2016-11-30T00:00:00.000","13","24","0","37","2016-11-30T00:00:00.000","2023-11-20T00:00:00.000","POINT (-96.406436 42.496323)"
"Perishable Distributors of Iowa (PDI)","Polk","Ankeny","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-004","2017-07-21T00:00:00.000","21615000","21615000","0","529950","1","0","0","1","27.92","1","0","0","1","27.92","0","0","0","0","21615000","2020-11-30T00:00:00.000","0","0","0","0","2020-11-30T00:00:00.000","2022-11-30T00:00:00.000","POINT (-93.600414 41.72508)"
"Lil' Drug Store Products, Inc. & ForeFold Real Estate 1, LLC","Linn","Cedar Rapids","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-054","2017-05-19T00:00:00.000","13075000","13075000","0","586000","8","0","3","11","24.70","8","0","2","10","24.70","8","0","2","10","13075000","2020-05-31T00:00:00.000","8","0","2","10","2020-05-31T00:00:00.000","2022-05-31T00:00:00.000","POINT (-91.669808 41.978122)"
"CIVCO Medical Instruments Company, Inc.","Johnson","Coralville","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-041","2017-03-17T00:00:00.000","1130000","300000","100000","80720","13","0","7","20","24.19","13","0","7","20","24.19","3","0","0","3","1130000","2020-03-31T00:00:00.000","3","0","0","3","2020-03-31T00:00:00.000","2022-03-31T00:00:00.000","POINT (-91.577768 41.672677)"
"VTI Architectural Products, Inc.","Ida","Holstein","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-021","2016-10-21T00:00:00.000","21002797","21002797","0","691066","4","0","56","60","19.51","4","0","56","60","19.51","4","0","56","60","21002797","2019-10-31T00:00:00.000","4","0","56","60","2019-10-31T00:00:00.000","2021-10-31T00:00:00.000","POINT (-95.544792 42.489295)"
"Gregory Manufacturing Company","Lee","Fort Madison","Under contract - In Maintenance","Targeted Jobs","16-TJWTC-002","2015-12-18T00:00:00.000","1585000","1585000","0","221900","0","13","0","13","18.91","0","13","0","13","18.91","0","13","0","13","1585000","2018-12-31T00:00:00.000","0","13","0","13","2018-12-31T00:00:00.000","2025-12-31T00:00:00.000","POINT (-91.313494 40.630024)"
"Freund-Vector Corporation","Marion","Marion","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-032","2018-01-19T00:00:00.000","6496000","2820000","0","78390","5","0","0","5","24.91","5","0","0","5","24.91","0","0","0","0","6496000","2021-01-31T00:00:00.000","0","0","0","0","2021-01-31T00:00:00.000","2023-01-31T00:00:00.000","POINT (-91.587223 42.036098)"
"Spencer NF (f/k/a TJN Enterprises, Inc.)","Clay","Spencer","Under contract - In Performance","High Quality Jobs Program","14-HQJTC-014","2013-11-22T00:00:00.000","12550000","10300000","0","644750","16","0","0","16","18.24","6","0","0","6","18.24","0","0","0","0","12550000","2019-07-31T00:00:00.000","0","0","0","0","2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","POINT (-95.144697 43.141367)"
"Tyson Fresh Meats, Inc.","Buena Vista","Storm Lake","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-018","2016-09-16T00:00:00.000","30000000","30000000","0","1182000","8","0","0","8","18.35","8","0","0","8","18.35","8","0","0","8","30000000","2019-09-30T00:00:00.000","8","0","0","8","2019-09-30T00:00:00.000","2021-09-30T00:00:00.000","POINT (-95.200862 42.640945)"
"Heartland Financial USA, Inc./Dubuque Bank & Trust","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-015","2017-09-22T00:00:00.000","2059306","1625000","80000","120715","20","0","11","31","22.37","20","0","11","31","22.37","0","0","0","0","2059306","2020-09-30T00:00:00.000","0","0","0","0","2020-09-30T00:00:00.000","2022-09-30T00:00:00.000","POINT (-90.667314 42.505512)"
"Casey's Retail Company","Polk","Ankeny","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-031","2018-01-19T00:00:00.000","34735000","34735000","0","4002000","81","0","20","101","29.12","81","0","20","101","29.12","0","0","0","0","34735000","2021-01-31T00:00:00.000","0","0","0","0","2021-01-31T00:00:00.000","2023-01-31T00:00:00.000","POINT (-93.600414 41.72508)"
"Bull Moose Heavy Haul Inc. dba XL Specialized Trailers","Delaware","Manchester","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-014","2020-11-20T00:00:00.000","7360000","7320000","0","507000","65","0","0","65","21.43","65","0","0","65","21.43","0","0","0","0","7360000","2023-11-30T00:00:00.000","0","0","0","0","2023-11-30T00:00:00.000","2025-11-30T00:00:00.000","POINT (-91.457936 42.483972)"
"Microsoft Corporation","Dallas","West Des Moines","Under contract - In Performance","High Quality Jobs Program","14-HQJTC-028","2014-04-18T00:00:00.000","1126218400","1126218400","0","20256000","66","0","18","84","24.32","66","0","18","84","24.32","0","0","0","0","1126218400","2021-04-18T00:00:00.000","0","0","0","0","2021-04-18T00:00:00.000","2023-04-30T00:00:00.000","POINT (-93.713031 41.575505)"
"Rockfarm Holdings, Inc.","Dubuque","Dubuque","Under contract - In Maintenance","High Quality Jobs Program","14-HQJDF-025","2014-02-21T00:00:00.000","2509000","2179000","336000","62400","48","0","0","48","19.73","48","0","0","48","19.73","48","0","0","48","2509000","2020-02-28T00:00:00.000","48","0","0","48","2020-02-28T00:00:00.000","2022-02-28T00:00:00.000","POINT (-90.667314 42.505512)"
"Cottingham & Butler Insurance Services, Inc.","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-024","2017-10-20T00:00:00.000","2300000","2300000","80000","141000","20","0","0","20","22.37","20","0","0","20","22.37","0","0","0","0","2300000","2020-10-31T00:00:00.000","0","0","0","0","2020-10-31T00:00:00.000","2022-10-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Hy-Vee, Inc.","Polk","West Des Moines","Under contract - In Performance","High Quality Jobs Program","15-HQJTC-044","2015-03-27T00:00:00.000","74535011","70350000","0","7502750","102","0","0","102","25.52","102","0","0","102","25.52","0","0","0","0","74535011","2020-03-31T00:00:00.000","0","0","0","0","2020-03-31T00:00:00.000","2020-03-31T00:00:00.000","POINT (-93.713031 41.575505)"
"Northern Iowa Die Casting","Dickinson","Lake Park","Under contract - In Maintenance","High Quality Jobs Program","13-HQJDF-045","2013-06-21T00:00:00.000","277170","277170","60000","143815","10","0","8","18","14.63","8","0","0","8","14.63","7","0","0","7","277170","2019-06-30T00:00:00.000","7","0","0","7","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-95.320724 43.455834)"
"Latham Pool Products, Inc.","Clinton","DeWitt","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-034","2017-01-20T00:00:00.000","2852000","2140000","0","53040","3","0","20","23","18.36","5","0","0","5","18.36","0","0","0","0","2852000","2020-08-31T00:00:00.000","0","0","0","0","2020-08-31T00:00:00.000","2022-08-31T00:00:00.000","POINT (-90.548027 41.824275)"
"Boehringer Ingelheim Vetmedica, Inc.","Story","Ames","Under contract - In Maintenance","High Quality Jobs Program","15-HQJTC-020","2014-12-19T00:00:00.000","11993196","2812016","0","166790","1","0","0","1","23.21","1","0","0","1","23.21","1","0","0","1","11993196","2018-12-31T00:00:00.000","1","0","0","1","2018-12-31T00:00:00.000","2020-12-31T00:00:00.000","POINT (-93.620181 42.026802)"
"American Packaging Corporation","Story","Story City","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-010","2015-07-17T00:00:00.000","44372622","44372622","470000","727503","94","0","0","94","14.24","94","0","0","94","23.21","94","0","0","94","44372622","2020-03-31T00:00:00.000","94","0","0","94","2020-03-31T00:00:00.000","2022-03-31T00:00:00.000","POINT (-93.591059 42.185863)"
"Electrical Power Products, Inc. and Electro Management Corp","Polk","Des Moines","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-030","2016-01-29T00:00:00.000","20560333","20560333","0","648103","7","0","0","7","26.72","7","0","0","7","26.72","7","0","0","7","20560333","2019-01-31T00:00:00.000","7","0","0","7","2019-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Integra Pool Covers, Inc./PF Global Property Group (Burlington), Inc.","Des Moines","Burlington","Under contract - In Performance","Targeted Jobs","21-TJWTC-001","2021-01-22T00:00:00.000","3875000","2625000","0","663705","40","0","40","80","21.61","40","0","40","80","21.61","0","0","0","0","3875000","2024-01-31T00:00:00.000","0","0","0","0","2024-01-31T00:00:00.000","2031-01-31T00:00:00.000","POINT (-91.101278 40.81059)"
"Crossroads Cold Storage LLC","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-047","2016-04-22T00:00:00.000","16874468","16774468","0","512834","3","0","10","13","26.72","3","0","10","13","26.72","0","0","0","0","16874468","2020-09-30T00:00:00.000","0","0","0","0","2020-09-30T00:00:00.000","2022-09-30T00:00:00.000","POINT (-93.620309 41.588822)"
"Weems Industries, Inc. dba Lgacy Manufacturing Co.","Linn","Marion","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-013","2017-08-18T00:00:00.000","14300000","12300000","0","360000","1","0","12","13","24.91","1","0","12","13","24.91","0","0","0","0","14300000","2020-08-31T00:00:00.000","0","0","0","0","2020-08-31T00:00:00.000","2022-08-31T00:00:00.000","POINT (-91.587223 42.036098)"
