"organization_name","address","apt_suite","city","zipcode","telephone","email_address","website","youth_family_enrichment","support_services","civic_engagement","early_childhood_education","government_agencies","schools","higher_education","workforce_development","mission","geospatial_data","neighborhood"
"FAMILY LIFE EDUCATION, INC.","30 ARBOR ST",,"Hartford","6106","(860) 231-7744","info@familylifeedu.org","http://www.familylifeedu.org","Youth and Family Enrichment","Support Services",,,,,,,"Building a stronger community by fostering partnerships that engage families in a participatory process leading to self-efficacy.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)","PARKVILLE"
"FAMILY MEDICINE CENTER AT ASYLUM HILL","99 WOODLAND ST",,"Hartford","6105","(860) 714-4212","Unlisted/Unavailable","http://www.asylumhillfamilymedicine.org",,"Support Services",,,,,,,"Delivers quality patient and family-centered healthcare that strengthens the long-term healing relationships between patients, their physicians and healthcare teams and prioritizes continuity of care, patient access, and disease management.","99 WOODLAND ST
HARTFORD, Connecticut 06105
(41.774252, -72.699832)","ASYLUM HILL"
"FIRST CHURCH OF THE LIVING GOD FOOD PANTRY","70 WHITNEY ST",,"Hartford","6105","(860) 232-4461","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Provides a food pantry is for Greater Hartford area residents.","70 WHITNEY ST
HARTFORD, Connecticut 06105
(41.76895, -72.711723)","WEST END"
"FOOD AND DRUG ADMINISTRATION UNITED STATES: HARTFORD OFFICE","135 HIGH ST","Room 230","Hartford","6103","(860) 240-4289","Unlisted/Unavailable","http://www.fda.gov",,"Support Services",,,,,,,"Protecting and promoting your health.","135 HIGH ST
HARTFORD, Connecticut 06103
(41.769661, -72.679888)","DOWNTOWN"
"GIRL SCOUTS OF CONNECTICUT","340 WASHINGTON ST",,"Hartford","6106","(860) 522-0163","general@gsofct.org","http://www.gsofct.org","Youth and Family Enrichment",,,,,,,,"Instills girls with courage, confidence, and character in order to make the world a better place.","340 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.751782, -72.683016)","SOUTH GREEN"
"GLOBAL COMMUNICATIONS ACADEMY IB (K-6, 9 & 10)","85 EDWARDS ST",,"Hartford","6120","(860) 695-6020","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Develops inquiring, knowledgeable, and caring global citizens through a program that offers a rigorous curriculum fostering scholarly curiosity, respect for humanity and the environment in order to create a better and more peaceful world.","85 EDWARDS ST
HARTFORD, Connecticut 06120
(41.774536, -72.681497)","CLAY-ARSENAL"
"GLORY CHAPEL FOOD PANTRY","221 GREENFIELD ST",,"Hartford","6112","(860) 547-1561","Unlisted/Unavailable","http://www.glorychapelhartford.com/outreach.html",,"Support Services",,,,,,,"Helping feed the hungry by providing groceries to persons in need.","221 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784442, -72.693729)","UPPER ALBANY"
"GOVERNOR'S OFFICE: STATE OF CONNECTICUT","210 CAPITOL AV",,"Hartford","6106","(800) 566-4840","Governor.Malloy@ct.gov","http://www.governor.ct.gov",,,,,"Government Agency",,,,"Keeps Connecticut residents  up-to-date and in-the-know as we tackle the state's challenges","210 CAPITOL AV
HARTFORD, Connecticut 06106
(41.762879, -72.682508)","DOWNTOWN"
"GRACE ACADEMY (5-8)","277 MAIN ST",,"Hartford","6106","(860) 263-7535","Unlisted/Unavailable","http://www.graceacademyhartford.org",,,,,,"Schools",,,"Provides an independent, interfaith, tuition-free middle school for girls from underserved families in the city of Hartford which offers individualized attention, a challenging and diverse academic program, and a safe and inspiring environment.","277 MAIN ST
HARTFORD, Connecticut 06106
(41.759064, -72.675352)","SOUTH GREEN"
"GRACE EPISCOPAL CHURCH FOOD PANTRY","55 NEW PARK AV",,"Hartford","6106","(860) 233-0825","GraceHartford@sbcglobal.net","http://www.gracehartford.org",,"Support Services",,,,,,,"Builds a strong, worshipping community of caring people reaching out to others in the name of Christ.","55 NEW PARK AV
HARTFORD, Connecticut 06106
(41.755253, -72.707171)","PARKVILLE"
"GRACE EVANGELICAL LUTHERAN CHURCH - GRACE SUPPER GATHERING","46 WOODLAND ST",,"Hartford","6105","(860) 527-7792","Unlisted/Unavailable","http://www.graceistheplace.org",,"Support Services",,,,,,,"Nurture faith (Matt.28:19-20) and serve others (Matt.25:34-36).","46 WOODLAND ST
HARTFORD, Connecticut 06105
(41.770582, -72.701458)","ASYLUM HILL"
"GRACE SEVENTH DAY ADVENTIST CHURCH FOOD PANTRY","870 PROSPECT AV",,"Hartford","6105","(860) 523-0096","Unlisted/Unavailable","http://www.gracesda.org",,"Support Services",,,,,,,"Distributes food for anyone in need, including The Emergency Food Assistance Program (TEFAP) recipients.","870 PROSPECT AV
HARTFORD, Connecticut 06105
(41.774657, -72.714924)","WEST END"
"GREATER HARTFORD ACADEMY OF MATHEMATICS & SCIENCE (9-12)","15 VERNON ST",,"Hartford","6106","(860) 757-6316","Unlisted/Unavailable","http://www.crecschools.org",,,,,,"Schools",,,"Provides a highly competitive science and mathematics curriculum for students in grades 9-12, taught through the integration of state-of-the-art technology.","15 VERNON ST
HARTFORD, Connecticut 06106
(41.751379, -72.684141)","BARRY SQUARE"
"GREATER HARTFORD ACADEMY OF THE ARTS (9-12)","15 VERNON ST",,"Hartford","6106","(860) 757-6300","Unlisted/Unavailable","http://www.crecschools.org",,,,,,"Schools",,,"Students interested in the arts will find a professionally oriented, highly structured, and academically rigorous curriculum at the Greater Hartford Academy of the Arts.","15 VERNON ST
HARTFORD, Connecticut 06106
(41.751379, -72.684141)","BARRY SQUARE"
"GREATER HARTFORD ACADEMY OF THE ARTS MAGNET MIDDLE SCHOOL (6-8)","75 VAN DYKE AV",,"Hartford","6106","(860) 724-0685","Unlisted/Unavailable","http://www.crecschools.org",,,,,,"Schools",,,"Provides an integrated learning environment for students in Grades 6-8 that combines a rigorous core curriculum enhanced by an art-themed focus.","75 VAN DYKE AV
HARTFORD, Connecticut 06106
(41.753383, -72.65935)","SHELDON-CHARTER OAK"
"GREATER HARTFORD ARTS COUNCIL","100 PEARL ST","1st Floor","Hartford","6103","(860) 525-8629","info@letsgoarts.org","http://www.letsgoarts.org","Youth and Family Enrichment",,,,,,,,"Provides leadership for the financial success and organizational stability of the arts, heritage and cultural community of Connecticut's capital region.","100 PEARL ST
HARTFORD, Connecticut 06103
(41.766064, -72.674794)","DOWNTOWN"
"GREATER HARTFORD LEGAL AID","999 ASYLUM AV","3rd Floor","Hartford","6105","(860) 541-5000","ghla@ghla.org","http://www.ghla.org",,"Support Services",,,,,,,"Not-for-profit law office providing free civil legal services to low income people and seniors in the Hartford area.","999 ASYLUM AV
HARTFORD, Connecticut 06105
(41.771495, -72.697802)","ASYLUM HILL"
"GREATER HARTFORD TRANSIT DISTRICT (GHTD)","1 UNION PL",,"Hartford","6103","(860) 247-5329","vshotland@ghtd.org","http://www.hartfordtransit.org",,"Support Services",,,,,,,"Provides the highest quality transportation and transit- related support services and secure capital items crucial to viable transportation systems within the Greater Hartford region and statewide.","1 UNION PL
HARTFORD, Connecticut 06103
(41.769395, -72.681249)","DOWNTOWN"
"GUAKIA INC.","75 CHARTER OAK  AV",,"Hartford","6106","(860) 548-9555","guakiainc@gmail.com","http://www.guakia.org","Youth and Family Enrichment",,,,,,,,"Offers youth high quality instruction in the arts and humanities focused on Puerto Rican and Hispanic culture.","75 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.758845, -72.670024)","BEHIND THE ROCKS"
"HANDS ON HARTFORD","55 BARTHOLOMEW AV",,"Hartford","6105","(860) 728-3201","Unlisted/Unavailable","http://www.handsonhartford.org/",,"Support Services",,,,,,,"Provides Hartford's neediest residents with assistance in obtaining  food, housing, and economic security.","55 BARTHOLOMEW AV
HARTFORD, Connecticut 06105
(41.755913, -72.703218)","PARKVILLE"
"HARC","900 ASYLUM AV",,"Hartford","6105","(860) 218-6000","info@harc-ct.org","http://www.harc-ct.org",,"Support Services","Civic Engagement",,,,,,"Helps people with intellectual disability and their families enjoy lives of quality, inclusion and dignity by providing support, education, and advocacy.","900 ASYLUM AV
HARTFORD, Connecticut 06105
(41.770617, -72.695036)","ASYLUM HILL"
"HARFORD PUBLIC SCHOOLS - FAMILY SERVICES WELCOME CENTER","960 MAIN ST","1st Floor","Hartford","6103","(860) 695-8400","fagaj001@hartfordschools.org","http://www.hartfordschools.org",,"Support Services",,,,,,,"Links students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","960 MAIN ST
HARTFORD, Connecticut 06103
(41.768459, -72.673034)","DOWNTOWN"
"HARTFORD AREA CHILD CARE COLLABORATIVE","10 COLUMBUS BLVD","8th Floor","Hartford","6106","(860) 548-1888","haccc@haccc.info","http://www.hfpgcollaborative.org",,"Support Services",,,,,,,"An initiative of the Hartford Foundation, the Collaborative is committed to promoting and sustaining high quality early childhood programs in Greater Hartford.","10 COLUMBUS BLVD
HARTFORD, Connecticut 06106
(41.759345, -72.669566)","SHELDON-CHARTER OAK"
"HARTFORD AREA HABITAT FOR HUMANITY","780 WINDSOR ST",,"Hartford","6120","(860) 541-2208","info@hartfordhabitat.org","http://www.hartfordhabitat.org",,"Support Services",,,,,,,"Brings people together to build homes, communities and hope.","780 WINDSOR ST
HARTFORD, Connecticut 06120
(41.788681, -72.66944)","NORTH EAST"
"HARTFORD AREA SEVENTH DAY ADVENTIST PRESCHOOL (PK-9)","474 WOODLAND ST",,"Hartford","6112","(860) 724-5777","office@hasdas.com","http://www.hasdas.com/",,,,,,"Schools",,,"Serves pre-kindergarten through grade eight children with a quality Christian education.","474 WOODLAND ST
HARTFORD, Connecticut 06112
(41.783113, -72.695789)","UPPER ALBANY"
"HARTFORD BEHAVIORAL HEALTH","1 MAIN ST",,"Hartford","6106","(860) 727-8703","Unlisted/Unavailable","http://www.hbh1.org",,"Support Services",,,,,,,"Meets the behavioral health needs of primarily Hartford residents by providing the highest quality, culturally competent services in a cost- effective manner.","1 MAIN ST
HARTFORD, Connecticut 06106
(41.755446, -72.676367)","SOUTH GREEN"
"HARTFORD CITY MISSION","280 VINE ST",,"Hartford","6112","(860) 246-0132","Unlisted/Unavailable","http://www.hartfordcitymission.org","Youth and Family Enrichment",,,,,,,,"Dedicated to transforming the spiritual, educational, and social fabric of the North End of Hartford.","280 VINE ST
HARTFORD, Connecticut 06112
(41.788649, -72.687166)","NORTH EAST"
"HARTFORD COMMUNITIES THAT CARE, INC.","2550 MAIN ST","3rd Floor","Hartford","6120","(860) 724-1223","info@hartfordctc.org","http://www.hartfordctc.org","Youth and Family Enrichment",,,,,,,,"Creates a non-violent and drug-free environment through the coordination and collaboration of services, promotion of education, healthy lifestyles, and practices and by the formation of effective partnerships with key members of the community.","2550 MAIN ST
HARTFORD, Connecticut 06120
(41.788983, -72.671965)","NORTH EAST"
"HARTFORD CONSORTIUM FOR HIGHER EDUCATION","31 PRATT ST","5TH FLOOR","Hartford","6103","(860) 702-3802","mestey@metrohartford.com","http://www.hartfordconsortium.org",,,"Civic Engagement",,,,,,"Promotes optimal sharing of collegial resources, information, expertise and ideas; serves as a catalyst for innovative educational initiatives that respond to a changing education environment and encourages educational excellence across the lifespan.","31 PRATT ST
HARTFORD, Connecticut 06103
(41.767586, -72.673852)","DOWNTOWN"
"HARTFORD FIRE DEPARTMENT: CITY OF HARTFORD","253 HIGH STREET",,"Hartford","6103","(860) 757-4500","Unlisted/Unavailable","http://www.hartford.gov/fire",,"Support Services",,,"Government Agency",,,,"Committed to preventing and minimizing the loss of life and property through incident stabilization and mitigation with the delivery of professional, high quality, efficient emergency fire, rescue and emergency medical services.","253 HIGH STREET
HARTFORD, Connecticut 06103
(41.772289, -72.677876)","DOWNTOWN"
"HARTFORD FOOD SYSTEM","1 CONGRESS ST","Suite 302","Hartford","6114","(860) 296-9325","hartfordfood@hartfordfood.org","http://www.hartfordfood.org",,,"Civic Engagement",,,,,,"Fights hunger and improves nutrition in our community and build a healthy, culturally-responsive, resilient and sustainable food system that meets the needs of all community members.","1 CONGRESS ST
HARTFORD, Connecticut 06114
(41.755247, -72.676145)","SOUTH GREEN"
"HARTFORD FULL GOSPEL CHURCH EMERGENCY FOOD PANTRY","77 HUNGERFORD ST",,"Hartford","6106","(860) 246-5337","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Provides an emergency food pantry for people in need.","77 HUNGERFORD ST
HARTFORD, Connecticut 06106
(41.761215, -72.685506)","FROG HOLLOW"
"HARTFORD GAY AND LESBIAN HEALTH COLLECTIVE (HGLHC)","1841 BROAD ST",,"Hartford","6114","(860) 278-4163","Unlisted/Unavailable","http://www.hglhc.org",,"Support Services","Civic Engagement",,,,,,"Empowers individuals of diverse sexual orientations, gender identities and gender expressions to lead healthy lives through the provision of health, support services, education and advocacy.","1841 BROAD ST
HARTFORD, Connecticut 06114
(41.742412, -72.687158)","BARRY SQUARE"
"HARTFORD GUIDES","523 MAIN ST",,"Hartford","6103","(860) 522-0855","Unlisted/Unavailable","http://www.hartfordguides.org",,"Support Services",,,,,,,"Improves public perception of the city, stimulate economic development, and create better human relations.","523 MAIN ST
HARTFORD, Connecticut 06103
(41.762421, -72.674392)","DOWNTOWN"
"HARTFORD HEARING VOICES NETWORK GROUP","399 FRANKLIN AV",,"Hartford","6114","(860) 995-9172","jmiller@advocacyunlimited.org
​","https://www.cthvn.org/",,"Support Services",,,,,,,"Based firmly on a belief in self-help, mutual respect and understanding, provides a safe space for people to share their experiences of voices, visions, unusual sensory perceptions, and to support one another.","399 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.738813, -72.675579)","SOUTH END"
"HARTFORD HOSPITAL","80 SEYMOUR ST",,"Hartford","6106","(860) 545-5000","Unlisted/Unavailable","http://www.harthosp.org",,"Support Services",,,,,,,"Provides prenatal and postnatal education, regardless of ability to pay, to expectant and new families delivering at Hartford Hospital.","80 SEYMOUR ST
HARTFORD, Connecticut 06106
(41.754123, -72.68082)","SOUTH GREEN"
"HARTFORD HOUSING AUTHORITY","180 JOHN D. WARDLAY WAY",,"Hartford","6106","(860) 723-8410","Unlisted/Unavailable","http://www.hartfordhousing.org",,"Support Services",,,,,,,"Provides safe, decent and affordable high-quality housing and homeownership choices to Hartford residents.","180 JOHN D. WARDLAW WAY
HARTFORD, Connecticut 06106
(41.737576, -72.712912)","BEHIND THE ROCKS"
"HARTFORD JOB CORPS ACADEMY","100 WILLIAM SHORTY Way",,"Hartford","6106","(860) 953-7201","Unlisted/Unavailable","http://hartford.jobcorps.gov",,,,,,,,"Workforce Development","Attracts eligible young people, teaches them the skills they need to become employable and independent, and places them in meaningful jobs or further education.","100 WILLIAM SHORTY CAMPBELL ST
HARTFORD, Connecticut 06106
(41.739175, -72.710021)","SOUTH WEST"
"HARTFORD KNIGHTS YOUTH ORGANIZATION","641 FARMINGTON AV","SUITE 202","Hartford","6105","(860) 756-5527","thomas@hartfordnights.org","http://www.hartfordknights.org","Youth and Family Enrichment",,,,,,,,"Ensures the scholastic and social success of every young person we serve to better enable them to have a positive, far-reaching effect on our community.","641 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.76571, -72.715057)","WEST END"
"HARTFORD MAGNET TRINITY COLLEGE ACADEMY (6-12)","53 VERNON ST",,"Hartford","6106","(860) 695-7201","spayne@hartfordschools.org","http://hmms.hartfordschools.org/",,,,,,"Schools",,,"Provides a program built on a rigorous academic foundation that emphasizes two complementary disciplines: science and the arts, blending these themes with the Early College model.","53 VERNON ST
HARTFORD, Connecticut 06106
(41.751262, -72.686491)","BARRY SQUARE"
"HARTFORD NEIGHBORHOOD CENTERS","38 LAWRENCE ST",,"Hartford","6106","(860) 251-6517","jsantos-seda@hnci.org","http://www.hnci.org","Youth and Family Enrichment",,,,,,,,"PRovideS an educational, cultural, social, and recreational ""safe haven"" of opportunity for the diverse, ethnic population of Hartford.","38 LAWRENCE ST
HARTFORD, Connecticut 06106
(41.757193, -72.688038)","FROG HOLLOW"
"HARTFORD NEIGHBORHOOD CENTERS","38 LAWRENCE ST","CMTY","Hartford","6106","(860) 251-6517","jsantos-seda@hnci.org","http://www.hnci.org",,,,"Early Childhood Education",,,,,"A Child Day Care Center in Hartford CT. It has maximum capacity of 42 children. The center accepts children ages of: 3 years-11 years.","38 LAWRENCE ST
HARTFORD, Connecticut 06106
(41.757193, -72.688038)","FROG HOLLOW"
"HARTFORD PARENT UNIVERSITY","207 MAIN STREET","Suite 200","Hartford","6106","(860) 209-5522","millya@hartfordparentuniversity.org","http://www.hartfordparentuniversity.org",,,"Civic Engagement",,,,,,"Increases parent involvement in the schools and empower parents to raise children who are successful in school and in life.","207 MAIN STREET
HARTFORD, Connecticut 06106
(41.758272, -72.675468)","SOUTH GREEN"
"HARTFORD POLICE ATHLETIC LEAGUE","50 WILLIAMS ST",,"Hartford","6120","(860) 757-4401","info@hartfordpal.org","http://www.hartfordpal.org","Youth and Family Enrichment",,,,,,,,"Empowers the youth of Hartford to realize their greatest potential through mentoring, sports, education and a positive relationship with police officers.","50 WILLIAMS ST
HARTFORD, Connecticut 06120
(41.775271, -72.683097)","CLAY-ARSENAL"
"HARTFORD POLICE DEPARTMENT: CITY OF HARTFORD","253 HIGH ST",,"Hartford","6103","(860) 757-4000","Unlisted/Unavailable","http://www.hartford.gov/police",,"Support Services",,,"Government Agency",,,,"Reduce crime, improve the quality of life and respond effectively to calls for police service.","253 HIGH ST
HARTFORD, Connecticut 06103
(41.772289, -72.677876)","DOWNTOWN"
"HARTFORD PRE-K MAGNET SCHOOL","85 EDWARDS ST",,"Hartford","6120","(860) 695-5820","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Providing three and four year children with rich learning experiences based on language-rich instruction that draws from the STREAM (Science, Technology, Reading, Engineering, Art, Mathematics) curriculum.","85 EDWARDS ST
HARTFORD, Connecticut 06120
(41.774536, -72.681497)","CLAY-ARSENAL"
"HARTFORD PROUD DRUMMER DRILL SQUAD","69 MANSFIELD ST",,"Hartford","6112","(860) 913-8282","hartfordproud@gmail.com","http://www.hartfordsproud.org/","Youth and Family Enrichment",,,,,,,,"Integrates movement, sound and artistry in the overall development of young people for success in school and in life.","69 MANSFIELD ST
HARTFORD, Connecticut 06112
(41.785737, -72.686185)","NORTH EAST"
"HARTFORD PUBLIC LIBRARY - ALBANY BRANCH","1250 ALBANY AV",,"Hartford","6112","(860) 695-7380","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","1250 ALBANY AV
HARTFORD, Connecticut 06112
(41.782556, -72.697227)","UPPER ALBANY"
"HARTFORD PUBLIC LIBRARY - BARBOUR BRANCH","261 BARBOUR ST",,"Hartford","6120","(860) 695-7400","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","261 BARBOUR ST
HARTFORD, Connecticut 06120
(41.792567, -72.677439)","NORTH EAST"
"HARTFORD PUBLIC LIBRARY - CAMPFIELD BRANCH","30 CAMPFIELD AV",,"Hartford","6114","(860) 695-7440","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","30 CAMPFIELD AV
HARTFORD, Connecticut 06114
(41.742273, -72.682552)","SOUTH END"
"HARTFORD PUBLIC LIBRARY - DOWNTOWN","500 MAIN ST",,"Hartford","6103","(860) 695-6300","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","500 MAIN ST
HARTFORD, Connecticut 06103
(41.762214, -72.674442)","DOWNTOWN"
"HARTFORD PUBLIC LIBRARY - DWIGHT BRANCH","7 NEW PARK  AV",,"Hartford","6106","(860) 695-7460","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","7 NEW PARK AV
HARTFORD, Connecticut 06106
(41.756799, -72.706432)","PARKVILLE"
"HARTFORD PUBLIC LIBRARY - PARK STREET BRANCH","744 PARK ST",,"Hartford","6106","(860) 695-7500","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","744 PARK ST
HARTFORD, Connecticut 06106
(41.758113, -72.68959)","FROG HOLLOW"
"HARTFORD PUBLIC LIBRARY - SAND/HOPKINS BRANCH","1750 MAIN ST",,"Hartford","6120","(860) 695-7520","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides free resources that inspire reading, guide learning, and encourage individual exploration.","1750 MAIN ST
HARTFORD, Connecticut 06120
(41.778567, -72.676209)","CLAY-ARSENAL"
"HARTFORD PUBLIC SCHOOLS","960 MAIN ST","8th Floor","Hartford","6103","(860) 695-8000","info@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Links students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all. Facilitates families ability to request information, voice concerns and resolve issues.","960 MAIN ST
HARTFORD, Connecticut 06103
(41.768459, -72.673034)","DOWNTOWN"
"HARTFORD REGIONAL LEAD TREATMENT CENTER AND HEALTHY HOMES PROGRAM","76 NEW BRITAIN AV",,"Hartford","6106","(860) 837-6800","Unlisted/Unavailable","http://www.connecticutchildrens.org",,"Support Services",,,,,,,"Provides treatment for childhood lead poisoning, home visits to families to prevent future poisonings, and placement in transitional housing while family locates permanent housing which is lead free.","76 NEW BRITAIN AV
HARTFORD, Connecticut 06106
(41.746001, -72.685656)","SOUTH WEST"
"HARTFORD SOCCER CLUB","237 OXFORD ST",,"Hartford","6105","(860) 212-9722","Unlisted/Unavailable","http://www.hartfordsoccerclub.com","Youth and Family Enrichment",,,,,,,,"Provides opportunities for Hartford youth to learn and to play soccer.","237 OXFORD ST
HARTFORD, Connecticut 06105
(41.771468, -72.713312)","WEST END"
"HARTFORD SYMPHONY ORCHESTRA MUSICAL INSTRUMENT DONATION PROGRAM","100 PEARL ST","2nd Floor","Hartford","6103","(860) 246-8742","info@hartfordsymphony.org","http://www.hartfordsymphony.org","Youth and Family Enrichment",,,,,,,,"Performs live orchestral music of the highest quality for everexpanding audiences and to increase, through its educational programs, the understanding and enjoyment of that music by residents of Connecticut.","100 PEARL ST
HARTFORD, Connecticut 06103
(41.766064, -72.674794)","DOWNTOWN"
"HARTFORD YOUTH SCHOLARS","129 ALLEN PL",,"Hartford","6106","(860) 297-5116","Unlisted/Unavailable","http://www.hartfordyouthscholars.org","Youth and Family Enrichment",,,,,,,,"An exceptional academic enrichment program prepares gifted middle school students for a rigorous high school education; assists them in gaining acceptance and financial assistance at top college preparatory schools; and supports them through college.","129 ALLEN PL
HARTFORD, Connecticut 06106
(41.752259, -72.688983)","BARRY SQUARE"
"HELPING HAND FOOD PANTRY","344 BLUE HILLS AV",,"Hartford","6112","(860) 243-9787","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Distributes food to Greater Hartford residents in need.","344 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.794579, -72.696964)","BLUE HILLS"
"HIGH SCHOOL, INC: HARTFORD'S INSURANCE & FINANCE ACADEMY (9-12)","275 ASYLUM ST",,"Hartford","6103","(860) 695-7106","welcomecenter@hartfordschools.org","https://highschoolinc.hpsschools.org/",,,,,,"Schools",,,"Prepares 400 high school students (Grades 9- 12) who are interested in pursuing careers in the insurance and financial services industries.  Gives students the opportunity to experience the connection between the classroom and the real world.","275 ASYLUM ST
HARTFORD, Connecticut 06103
(41.767449, -72.67826)","DOWNTOWN"
"HISPANIC HEALTH COUNCIL","175 MAIN ST",,"Hartford","6106","(860) 527-0856","info@hispanichealth.com","http://www.hispanichealth.com",,"Support Services",,,,,,,"Develops, delivers, tests and desseminates culturally relevant direct services programs staffed by bilingual and bicultural multi-disciplinary teams.","175 MAIN ST
HARTFORD, Connecticut 06106
(41.75786, -72.675589)","SOUTH GREEN"
"HORACE BUSHNELL CHILDREN'S FOOD PANTRY AT LIBERTY CHRISTIAN CENTER INTERNATIONAL","23 VINE ST",,"Hartford","6112","(860) 522-3296","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Church food pantry in the Upper Albany Avenue neighborhood offers food to low income families and individuals.","23 VINE ST
HARTFORD, Connecticut 06112
(41.779909, -72.688547)","UPPER ALBANY"
"HOUSE OF BREAD","1453 MAIN ST",,"Hartford","6120","(860) 522-3144","Unlisted/Unavailable","http://www.hobread.org",,"Support Services",,,,,,,"Provides urban ministry to the economically disadvantaged, hungry, and homeless population in  Hartford.","1453 MAIN ST
HARTFORD, Connecticut 06120
(41.774387, -72.6769)","CLAY-ARSENAL"
"HOUSING EDUCATION RESOURCE CENTER","901 WETHERSFIELD AV","2nd Floor","Hartford","6114","(860) 296-4242","Unlisted/Unavailable","http://www.herc-inc.org",,"Support Services",,,,,,,"Promotes equal and expanded housing opportunities through the provision of direct counseling, information, education, and assistance.","901 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.731336, -72.669704)","SOUTH END"
"HPHS ACADEMY OF ENGINEERING & GREEN TECHNOLOGY (9-12)","55 FOREST ST",,"Hartford","6105","(860) 695-1315","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Graduates Hartford students with 21st Century skills who are prepared to succeed in post-secondary education and careers in engineering and green technologies.","55 FOREST ST
HARTFORD, Connecticut 06105
(41.765472, -72.700221)","ASYLUM HILL"
"HPHS ACADEMY OF NURSING AND HEALTH SCIENCE (9-12)","55 FOREST ST",,"Hartford","6105","(860) 695-1325","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Prepares young adults to successfully pursue a degree in nursing or related health care/science-based courses of study.","55 FOREST ST
HARTFORD, Connecticut 06105
(41.765472, -72.700221)","ASYLUM HILL"
"HPHS LAW AND GOVERNMENT ACADEMY (9-12)","55 FOREST ST",,"Hartford","6105","(860) 695-1320","welcomecenter@hartfordschools.org","http://law.hartfordschools.org",,,,,,"Schools",,,"Prepares Law & Government students for success in college and future careers in law, government, and community justice.","55 FOREST ST
HARTFORD, Connecticut 06105
(41.765472, -72.700221)","ASYLUM HILL"
"HYLAND EARLY LEARNING CENTER, DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD","355 NEW BRITAIN AV",,"Hartford","6106","(860) 757-0700","colot001@hartford.gov","http://www.dfcyr.hartford.gov",,,,"Early Childhood Education",,,,,"Engages children in effective instructional practices that support each child's growth and development based on established State of Connecticut early learning standards.","355 NEW BRITAIN AV
HARTFORD, Connecticut 06106
(41.741248, -72.694126)","SOUTH WEST"
"IMMACULATE CONCEPTION SHELTER AND HOUSING CORPORATION","560 PARK ST",,"Hartford","6106","(860) 724-4823","Unlisted/Unavailable","http://immacare.org/",,"Support Services",,,,,,,"Provides housing and decent shelter with unconditional love to those with no other options.","560 PARK ST
HARTFORD, Connecticut 06106
(41.758031, -72.686173)","FROG HOLLOW"
"IMMANUEL HOUSE","15 WOODLAND ST",,"Hartford","6105","(860) 525-4228","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Provides a high-quality assisted living facility for the elderly.","15 WOODLAND ST
HARTFORD, Connecticut 06105
(41.768259, -72.702188)","ASYLUM HILL"
"INDEPENDENCE UNLIMITED","151 NEW PARK AV","North Annex, Suite D","Hartford","6106","(860) 523-5021","contact@independencetunlimited.org","http://www.independenceunlimited.org",,"Support Services",,,,,,,"Assists individuals with disabilities in the Greater Hartford Area to achieve their goals and dreams for ian indepenent life style.","151 NEW PARK AV
HARTFORD, Connecticut 06106
(41.752251, -72.709645)","PARKVILLE"
