"fiscal_year","department_name","revenue_source_name","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2013","NON-DEPARTMENTAL - GENERAL","TELEPHONE USER'S TAX","236500000","233998313.77","98.94","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3101","310"
"2016","MAYOR","MISCELLANEOUS REVENUE-OTHERS",,"464000",,"FY15 MAYOR'S FUND DART GRANT","MISCELLANEOUS REVENUES","57Y","5188","516"
"2014","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-SEWER CONS","111277311.43","103451591.42","92.97","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561"
"2013","CITY ADMINISTRATIVE OFFICER","DEBT PROCEEDS - SHORT TERM",,"1273339256.68",,"TX REV ANTICIP NOTE PROC","DEBT PROCEEDS","121","5601","560"
"2015","EMERGENCY MANAGEMENT","MISCELLANEOUS REVENUE-OTHERS","200","68.09","34.05","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE O&M",,"278532086.64",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4391","439"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"526049161.71",,"POWER SYSTEM REVENUE BONDS 2014 SERIES D, CONSTRUCTION FUND","MISCELLANEOUS REVENUES","J6T","5166","516"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"459051.9",,"GOB SER 2009 DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A68","3032","303"
"2016","WATER AND POWER","INTEREST INCOME-OTHER",,"104450.57",,"WS RB 2014 SERIES A CONSTRUCTION FUND","INVESTMENT EARNINGS","M1D","4903","490"
"2014","FIRE","HIGH-RISE INSPECTION FEE","3300000","3463659.76","104.96","GENERAL FUND (GENERAL BUDGET)","FIRE DEPT SERVICES","100","4121","411"
"2013","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"533138035.36",,"PWR SYST RB 2013 B CONST FUND","MISCELLANEOUS REVENUES","J6H","5166","516"
"2014","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","INTEREST INCOME-OTHER",,"4.75",,"LAWA JOB TRAINING PROGRAM","INVESTMENT EARNINGS","48V","4903","490"
"2017","AIRPORTS","MISCELLANEOUS REVENUE-OTHERS",,"380.78",,"AIRPORT REVENUE FUND-ONTARIO","MISCELLANEOUS REVENUES","723","5188","516"
"2014","ANIMAL SERVICES","FINES AND PENALTIES-OTHERS","52000","52290","100.56","GENERAL FUND (GENERAL BUDGET)","OTHER FINES","100","4815","481"
"2015","AGING","JURY DUTY REIMBURSEMENT","133",,,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5169","516"
"2014","BUILDING AND SAFETY","GRADING PLAN CHECKING",,"1588435.8",,"BLDG & SAFETY PERMIT ENTERPRIS","PLAN CHECKING FEES","48R","4151","415"
"2017","TRANSPORTATION","LEASES & RENTALS-OTHER",,"3000",,"PROPOSITION A LOCAL TRANSIT","RENTS AND CONCESSIONS","385","4934","493"
"2014","AGING","STATE GRANTS - OTHERS",,"234136",,"HEALTH INS COUNS ADV (HICAP)","STATE GRANTS/AGREEMENTS","47Y","3361","336"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SERVICE TO PROPRIETARY DEPT",,"6091.9",,"SEWER OPERATIONS & MAINTENANCE","QUASI-EXTERNAL TRANSACTION","760","4592","459"
"2016","HARBOR","DEPOSIT RECEIPTS-AGENCY FUNDS",,"11896",,"HARBOR HAZARDOUS MAT ENFORCEMT","MISCELLANEOUS REVENUES","71V","5166","516"
"2021","AGING","OTHER FEDERAL GRANTS",,"915198",,"AREA PLAN FOR THE AGING TIT 7","OTHER INTERGOVTL-FEDERAL","395","3684","368"
"2016","RECREATION AND PARKS","ADDL INTERFD TRANS-RES FD NON REIM",,"433000",,"RECREATION AND PARKS","ADDL INTERFD OPERATING TRANSFER","302","5692","569"
"2016","PUBLIC WORKS - BOARD OF PUBLIC WORKS","U PERMITS",,"181.54",,"GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3244","324"
"2016","OFFICE OF FINANCE","INTEREST PENALTY ON DELINQ TAX",,"96383.67",,"GOB SER 2005B DEBT SERVICE","PROPERTY TAXES-SECURED & UNSEC","A65","3024","301"
"2016","TRANSPORTATION","SEISMIC BOND FUND",,"330286.16",,"PROPOSITION C ANTIGRIDLOCK IMP","REIMB FROM OTHER FUNDS","540","5317","530"
"2013","MAYOR","REIMBURSEMENT OF EXPENDITURES",,"486.7",,"FY10 RCPGP GRANT FUND","MISCELLANEOUS REVENUES","54H","5161","516"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"238465.07",,"CANOGA PARK BUS IMPROV DISTRIC","ASSESSMENTS","42N","3182","317"
"2018","MAYOR","INTEREST INCOME-OTHER",,"14.72",,"FY11 UASI HOMELAND SECURITY GR","INVESTMENT EARNINGS","54M","4903","490"
"2016","LIBRARY","OIL ROYALTIES & RENTALS",,"1864.33",,"LIBRARY","ROYALTIES","300","4951","495"
"2016","GENERAL SERVICES","MISC GENERAL SERVICES RECEIPTS","100","38847.11","38847.11","GENERAL FUND (GENERAL BUDGET)","ENGR INSPECTION & OTHER CHARGES","100","4228","420"
"2015","MAYOR","STATE GRANTS - OTHERS",,"62396",,"FY11 RCPGP GRANT FUND","STATE GRANTS/AGREEMENTS","55H","3361","336"
"2015","DISABILITY","MISCELLANEOUS REVENUE-OTHERS",,"0",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","PHOTO COPIES",,"51",,"ST LIGHTING MAINTENANCE ASSESS","OTHER GEN GOVT SERVICES","347","4342","432"
"2015","WATER AND POWER","INTEREST INCOME-OTHER",,"16358.51",,"POWER SYSTEM REVENUE BONDS 2014 SERIES B, CONSTRUCTION FUND","INVESTMENT EARNINGS","J6Q","4903","490"
"2016","MAYOR","REIMBURSEMENT OF EXPENDITURES",,"505277.01",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5161","516"
"2014","TRANSPORTATION","INTEREST INCOME-OTHER",,"574854.73",,"SPECIAL PARKING REVENUE","INVESTMENT EARNINGS","363","4903","490"
"2017","CITY ADMINISTRATIVE OFFICER","ADDL INTERFD TRANS-RES FD NON REIM",,"1000000",,"ATTORNEY CONFLICTS PANEL SP FD","ADDL INTERFD OPERATING TRANSFER","46T","5692","569"
"2016","PUBLIC WORKS - ENGINEERING","ENGINEERING FEES","281","276.06","98.24","GENERAL FUND (GENERAL BUDGET)","ENGR INSPECTION & OTHER CHARGES","100","4201","420"
"2016","FIRE","REIMB FROM OTHER AGENCIES",,"1680418.4",,"LAFD SPECIAL TRAINING FUND","REIMB FROM OTHER AGENGIES","40J","3811","381"
"2018","CULTURAL AFFAIRS","ARTS DEVELOPMENT FEE-1%",,"107243",,"ARTS AND CULTURAL FACIL & SERV","CULTURAL AFFAIRS REVENUES","480","4476","447"
"2018","RECREATION AND PARKS - SPECIAL ACCOUNTS","REIMB FROM OTHER FUNDS",,"171.18",,"PERSHING SQUARE PARK AND GARAGE","REIMB FROM OTHER FUNDS","58Q","5301","530"
"2018","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"628331.25",,"EP REV BD 2NDISS93 RESERV FUND","MISCELLANEOUS REVENUES","J10","5166","516"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STORMWATER POLLUTION ABATEMENT",,"28181966.14",,"STORMWATER POLLUTION ABATE FND","ASSESSMENTS","511","3174","317"
"2018","CITY CLERK","DAMAGE CLAIMS & SETTLEMENTS",,"2608452.01",,"SUNSHINE CYN COMMUNI AMENITIES","DAMAGE SETTLEMENTS","699","5121","512"
"2018","INFORMATION TECHNOLOGY AGENCY","REIMB OF PRIOR YEAR SALARY",,"375.87",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2022","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"4548550",,"POWER SYSTEM REVENUE BONDS 2014 SERIES C, BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","J6R","5654","561"
"2016","OFFICE OF FINANCE","INTERFD OPER TRANS-GENERAL  FUND",,"1063266582.5",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5624","561"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"474756.36",,"STUDIO CITY BUS IMPROV DISTRIC","ASSESSMENTS","42M","3182","317"
"2016","PUBLIC WORKS - ENGINEERING","OVER-UNDER DEPOSITS",,"124.38",,"GENERAL FUND (GENERAL BUDGET)","ENGR INSPECTION & OTHER CHARGES","100","4226","420"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMBURSEMENT OF EXPENDITURES",,"101055.89",,"SEWER OPERATIONS & MAINTENANCE","MISCELLANEOUS REVENUES","760","5161","516"
"2015","CITY ADMINISTRATIVE OFFICER","SPL FIRE SAF & PARAMED COMM",,"8750.36",,"SP FIRE SAF & PARA COMMU EQUIP","ASSESSMENTS","492","3172","317"
"2015","CITY ADMINISTRATIVE OFFICER","SEISMIC BOND FUND","30000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5317","530"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"3781178.68",,"HOLLYWOOD ENTERTAINMENT BID","ASSESSMENTS","45J","3182","317"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","MISCELLANEOUS REVENUE-OTHERS",,"10000",,"STREET BANNERS REVENUE TRUST","MISCELLANEOUS REVENUES","43U","5188","516"
"2015","NON-DEPARTMENTAL - GENERAL","DISASTER COST REIMB FR FD 872","220000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM GRANTS","100","5422","542"
"2016","CITY ADMINISTRATIVE OFFICER","MISCELLANEOUS TAXES",,"600307.5",,"PERSHING SQUARE SPECIAL TRUST","OTHER PROPERTY TAXES","876","3041","304"
"2015","MAYOR","INTEREST INCOME-OTHER",,"72.6",,"EDA PW & DEV FACIL FIN ASSIST","INVESTMENT EARNINGS","42Y","4903","490"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","MISCELLANEOUS REVENUE-OTHERS",,"1570.96",,"BRIDGE IMPROVEMENT PROGRAM CASH FLOW FUND","MISCELLANEOUS REVENUES","57Q","5188","516"
"2018","PUBLIC WORKS - ENGINEERING","GRADING PLAN CHECKING","11000","29412","267.38","GENERAL FUND (GENERAL BUDGET)","PLAN CHECKING FEES","100","4151","415"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR UNSEC",,"241125.04",,"GOB REFUNDNG SER2011B DEBT SER","VOTER APRVD DEBT-PROPERTY TAX","A70","3034","303"
"2016","LIBRARY","LIBRARY FINES",,"1870595.37",,"LIBRARY","LIBRARY FINES AND FEES","300","4461","446"
"2013","CITY CLERK","INTEREST INCOME-OTHER",,"240.92",,"SYLMAR PROPERTY BUS IMPROV DIS","INVESTMENT EARNINGS","49W","4903","490"
"2015","PUBLIC WORKS - CONTRACT ADMINISTRATION","PROP A LOCAL TRANSIT REL COST","57292",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5337","530"
"2017","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","OTHER FEDERAL GRANTS",,"125664.01",,"LOS ANGELES PERFORMANCE PARTNERSHIP PILOT","OTHER INTERGOVTL-FEDERAL","58E","3684","368"
"2016","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR SEC",,"304792.64",,"GOB SER 2009 DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A68","3033","303"
"2015","LIBRARY","OTHER FEDERAL GRANTS",,"9953",,"LIBRARY SERVICE TRUST","OTHER INTERGOVTL-FEDERAL","419","3684","368"
"2017","CITY ADMINISTRATIVE OFFICER","ADDL INTERFUND TRANS - GENERAL FD",,"0",,"ATTORNEY CONFLICTS PANEL SP FD","ADDL INTERFD OPERATING TRANSFER","46T","5691","569"
"2019","MAYOR","RELATED COST REIMB FR GRANTS",,"1216826.58",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5346","530"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS REVENUE-OTHERS",,"0.38",,"NEW START CDCR","MISCELLANEOUS REVENUES","54P","5188","516"
"2016","PUBLIC WORKS - CONTRACT ADMINISTRATION","B PERMITS","3200000","2938958.31","91.84","GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3242","324"
"2016","PUBLIC WORKS - STREET LIGHTING","COMMUNITY DEV TR RELATED COST",,"27435.49",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5334","530"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"3886989.74",,"DOWNTOWN PROP OWNERS MGMT DIST","ASSESSMENTS","647","3182","317"
"2015","FIRE","STATE GRANTS - OTHERS",,"12905.37",,"FIRE DEPT GRANT","STATE GRANTS/AGREEMENTS","335","3361","336"
"2014","MAYOR","INTEREST INCOME-OTHER",,"63.35",,"2013 CALGRIP GRANT FUND","INVESTMENT EARNINGS","55P","4903","490"
"2015","MAYOR","OTHER FEDERAL GRANTS",,"910403",,"SHSGP 10 GRANT FUND","OTHER INTERGOVTL-FEDERAL","54J","3684","368"
"2016","LIBRARY","LEASE & RENTAL OF CITY PROPERTIES",,"50",,"LIBRARY","RENTS AND CONCESSIONS","300","4931","493"
"2021","AIRPORTS","REIMB OF PRIOR YEAR SALARY",,"462.73",,"AIRPORT REVENUE","MISCELLANEOUS REVENUES","700","5168","516"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-AIRPORT",,"67225631",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5507","550"
"2016","TRANSPORTATION","OTHER FEDERAL GRANTS",,"460752.02",,"LOCAL TRANSPORTATION","OTHER INTERGOVTL-FEDERAL","207","3684","368"
"2016","FIRE","BRUSH REMOVALS","1100000","1269667.97","115.42","GENERAL FUND (GENERAL BUDGET)","ASSESSMENTS","100","3177","317"
"2016","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","127320000","36710370.26","28.83","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SERVICE TO AIRPORTS",,"2572655.5",,"SOLID WASTE RESOURCES FUND","QUASI-EXTERNAL TRANSACTION","508","4595","459"
"2015","PERSONNEL","WITNESS FEE",,"15",,"GENERAL FUND (GENERAL BUDGET)","POLICE DEPT SERVICES","100","4083","407"
"2016","OFFICE OF FINANCE","INTEREST PENALTY ON DELINQ TAX",,"50626.21",,"GOB SER 2011A DEBT SERVICE","PROPERTY TAXES-SECURED & UNSEC","A69","3024","301"
"2016","TRANSPORTATION","LEASES & RENTALS-OTHER",,"5933.28",,"PROPOSITION A LOCAL TRANSIT","RENTS AND CONCESSIONS","385","4934","493"
"2015","FIRE","UNDERGROUND STORAGE TK-PLAN CK",,"704",,"UNIFIED PROGRAM TRUST FUND","PLAN CHECKING FEES","41L","4157","415"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"655965.36",,"LINCOLN HTS BUS & COMM BEN BID","ASSESSMENTS","50M","3182","317"
"2016","GENERAL SERVICES","STATE GRANTS - OTHERS",,"525000",,"PROJECT RESTORE TRUST FUND","STATE GRANTS/AGREEMENTS","869","3361","336"
"2015","CULTURAL AFFAIRS","ADDL INTERFD TRANS-RES FD NON REIM","35236.53","35236.53","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","OTHER FEDERAL GRANTS",,"644875.79",,"ENVIRONMENTAL AFFAIRS TRUST","OTHER INTERGOVTL-FEDERAL","537","3684","368"
"2018","INFORMATION TECHNOLOGY AGENCY","FRANCHISE INCOME-TELEPHONE",,"164115.35",,"TELECOM LIQ DMGE &LOST FR FEES","FRANCHISES INCOME","342","3066","306"
"2016","NON-DEPARTMENTAL - GENERAL","AMNESTY BUSINESS TAX",,"4118.12",,"GENERAL FUND (GENERAL BUDGET)","BUSINESS TAX","100","3083","308"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWAGE DISPOSAL CONTRACTS",,"8196119.57",,"SEWER CAPITAL FUND","SEWER SERVICE REVENUES","761","4395","439"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB OF RELATED COST-PR YR",,"2359.31",,"ST LIGHTING MAINTENANCE ASSESS","REIMB FROM OTHER FUNDS","347","5331","530"
"2016","CITY ATTORNEY","WORKFORCE INNOV OPP ACT (WIOA) REL COST",,"74610",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5372","530"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DEBT PROCEEDS - LONG TERM",,"206152.46",,"SOLID WASTE RES RB2013A ACQUIS","DEBT PROCEEDS","55L","5602","560"
"2016","OFFICE OF FINANCE","INTEREST PENALTY ON DELINQ TAX",,"66013.51",,"GOB SER 2009 DEBT SERVICE","PROPERTY TAXES-SECURED & UNSEC","A68","3024","301"
"2022","LOS ANGELES HOUSING","INTERFD OPER TRANS- MUN HSING FIN","4207139.1","2317150.45","55.08","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5650","561"
"2015","CITY PLANNING","STATE GRANTS - OTHERS",,"20000",,"CITY PLANNING GRANTS TRUST FD","STATE GRANTS/AGREEMENTS","46Y","3361","336"
"2022","LOS ANGELES CITY TOURISM DEPARTMENT","INTERFD OPER TRANS-GLA VISITORS","274975","206231.22","75","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5620","561"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER AGENCIES",,"135904.32",,"LOS ANGELES REGIONAL AGENCY","REIMB FROM OTHER AGENGIES","48H","3811","381"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"5871919.47",,"DOWNTOWN CTR BUS IMPROV DISTR","ASSESSMENTS","40Q","3182","317"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"1366992.19",,"WESTWOOD BUSINESS IMPROV DIST","ASSESSMENTS","53S","3182","317"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"130615.36",,"PACIFIC PALISADES BUSINESS IMPROVEMENT DISTRICT FUND","ASSESSMENTS","57V","3182","317"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"1534659.31",,"LA CHINATOWN BUSINESS IMPR DIS","ASSESSMENTS","44K","3182","317"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"323021.59",,"WESTCHESTER BUS IMPROV DIST","ASSESSMENTS","49X","3182","317"
"2015","FIRE","MISCELLANEOUS REVENUE-OTHERS",,"135",,"LAFD SPECIAL TRAINING FUND","MISCELLANEOUS REVENUES","40J","5188","516"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER FUNDS",,"220834.24",,"ST LIGHTING MAINTENANCE ASSESS","REIMB FROM OTHER FUNDS","347","5301","530"
"2018","TRANSPORTATION","BAD CHECK COLLECTION FEES",,"35",,"PROPOSITION A LOCAL TRANSIT","OTHER GEN GOVT SERVICES","385","4332","432"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","OTHER FEDERAL GRANTS",,"225849.98",,"HOUSEHOLD HAZARDOUS WASTE TRUS","OTHER INTERGOVTL-FEDERAL","526","3684","368"
"2012","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR UNSEC",,"118776.86",,"GOB SER 2004A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A63","3034","303"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"27536.56",,"GOB REFUNDING SERIES 2016-A DEBT SERVICE FUND","VOTER APRVD DEBT-PROPERTY TAX","A72","3032","303"
"2016","TRANSPORTATION","BOOTING FEE",,"0",,"GENERAL FUND (GENERAL BUDGET)","OTHER CURRENT SERVICE CHARGES","100","4661","465"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","ADDL INTERFD TRANS-RES FD NON REIM",,"2368061",,"SIDEWALK AND CURB REPAIR FUND","ADDL INTERFD OPERATING TRANSFER","57F","5692","569"
"2018","FIRE","REIMB OF RELATED COST-PR YR","100000","487061.27","487.06","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2016","LOS ANGELES HOUSING","MISCELLANEOUS REVENUE-OTHERS",,"-3.5527136788005E-15",,"HEALTHY HOMES 1","MISCELLANEOUS REVENUES","54K","5188","516"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","ADDL INTERFD TRANS-OTHER FUNDS",,"200000",,"STREET FURNITURE REVENUE FUND","ADDL INTERFD OPERATING TRANSFER","43D","5693","569"
"2016","TRANSPORTATION","FRANCHISE INCOME-RAILWAYS",,"0",,"GENERAL FUND (GENERAL BUDGET)","FRANCHISES INCOME","100","3064","306"
"2016","CITY PLANNING","STATE GRANTS - OTHERS",,"50348.9",,"CITY PLANNING GRANTS TRUST FD","STATE GRANTS/AGREEMENTS","46Y","3361","336"
"2016","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","WIOA - NEG SECTOR PARTENRSHIP",,"29000",,"WORKFORCE INNOVATION OPPORTUNITY ACT","Workforce Innovation Opportunity Act (WIOA)","57W","3662","365"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","PHOTO COPIES",,"15",,"ST LIGHTING MAINTENANCE ASSESS","OTHER GEN GOVT SERVICES","347","4342","432"
"2016","LIBRARY","STATE LIBRARY GRANTS",,"196222",,"LIBRARY SERVICE TRUST","STATE GRANTS/AGREEMENTS","419","3363","336"
"2018","TRANSPORTATION","ADDL INTERFD TRANS-OTHER FUNDS",,"4528143.82",,"ATSAC TRUST","ADDL INTERFD OPERATING TRANSFER","484","5693","569"
"2015","CITY CLERK","INTERFD OPER TRANS-GENERAL  FUND",,"1293442",,"BUSINESS IMPROVEMENT TRUST FND","INTERFUND OPERATING TRANSFER","659","5624","561"
"2018","RECREATION AND PARKS - SPECIAL ACCOUNTS","MISCELLANEOUS (REC & PARKS)",,"0",,"RECREATION & PARKS GRANT","RECREATION & PARKS REVENUES","205","4515","451"
"2019","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTEREST ON POOLED INVEST-BOND FDS",,"2205.66",,"GOB SERIES 2001A ANIM SH CONST","INVESTMENT EARNINGS","15G","4904","490"
"2019","CONTROLLER","JURY DUTY REIMBURSEMENT",,"206.28",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5169","516"
"2019","RECREATION AND PARKS","INTEREST INCOME-OTHER",,"1383988.94",,"RECREATION & PARKS GRANT","INVESTMENT EARNINGS","205","4903","490"
"2019","CITY CLERK","FRANCHISE INCOME-PIPE LINES",,"85626.36",,"COUNCIL DIST 4 REAL PROP TRUST","FRANCHISES INCOME","686","3063","306"
"2019","LIBRARY","RECOVERY COLLECTIONS FROM UMS",,"18386.57",,"LIBRARY","LIBRARY FINES AND FEES","300","4464","446"
"2019","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","BAD CHECK COLLECTION FEES",,"350",,"SEWER CONSTRUCTION&MAINTENANCE","OTHER GEN GOVT SERVICES","208","4332","432"
"2016","CITY ADMINISTRATIVE OFFICER","ADDL INTERFUND TRANS - GENERAL FD",,"1000000",,"VILLAGE AT WESTFIELD TOPANGA TRUST FUND","ADDL INTERFD OPERATING TRANSFER","56R","5691","569"
"2019","POLICE","FORFEITED ASSETS-STATE",,"952490.6",,"CALIF STATE ASSET FORFEITURE","REVENUE FROM OTHER AGENCIES","44F","3853","385"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIM FR US TREAS-INT BUILD AMERICA BD",,"6591734.28",,"WSRB DEBT SERVICE FD 2010-A","REIMB FROM OTHER AGENGIES","W59","3813","381"
"2016","DISABILITY","ADDL INTERFD TRANS-OTHER FUNDS","3250","3250","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2019","RECREATION AND PARKS - SPECIAL ACCOUNTS","INTEREST INCOME-OTHER",,"14925.34",,"GRAND HOPE PARK TRUST FUND","INVESTMENT EARNINGS","58D","4903","490"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SERVICE TO HARBOR",,"1740",,"SEWER CONSTRUCTION&MAINTENANCE","QUASI-EXTERNAL TRANSACTION","208","4597","459"
"2019","MAYOR","REIMB OF RELATED COST-PR YR","644904","777863.89","120.62","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS SERVICE CHARGES",,"250000",,"MISCELLANEOUS SOURCES FUND","OTHER CURRENT SERVICE CHARGES","45L","4651","465"
"2019","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"3890599.4",,"WS RB 2001 SERIES B BOND SERVC","INTERFUND OPERATING TRANSFER","MA2","5654","561"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","RECYCLE/LITTER RED PROG",,"1022897",,"INTEGRATED SOLID WASTE MGMT  D","STATE GRANTS/AGREEMENTS","556","3362","336"
"2016","FIRE","SERVICE TO HARBOR","17712682","19002813","107.28","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4597","459"
"2019","TRANSPORTATION","MOBILE SRC AIR POLLUT REL COST","1856285","1322738.22","71.26","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5336","530"
"2016","RECREATION AND PARKS","PARKING FACILITIES REVENUE",,"1016109.59",,"RECREATION AND PARKS","PARKING REVENUES","302","4495","449"
"2016","COUNCIL","ADDL INTERFD TRANS-RES FD NON REIM",,"590000",,"STATE AB1290 CITY FUND","ADDL INTERFD OPERATING TRANSFER","53P","5692","569"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","RELATED COST REIMB-OTHERS",,"2914.13",,"STORMWATER POLLUTION ABATE FND","REIMB FROM OTHER FUNDS","511","5361","530"
