"fiscal_year","fiscal_month_name","expenditures","fund_name","fiscal_month_number","fund"
"2012","SEPTEMBER","14486550","GOB SERIES 2002A DEBT SERVICE","3","A59"
"2012","SEPTEMBER","16428050","GOB RF SER 2002B DEBT SERVICE","3","A60"
"2012","SEPTEMBER","12545250","GOB SERIES 2003A DEBT SERVICE","3","A61"
"2012","SEPTEMBER","1658240.63","GOB RF SER 2003B DEBT SERVICE","3","A62"
"2012","SEPTEMBER","24064375","GOB SER 2004A DEBT SERVICE","3","A63"
"2012","SEPTEMBER","8527300","GOB SER 2005A DEBT SERVICE","3","A64"
"2012","SEPTEMBER","1804625","GOB SER 2005B DEBT SERVICE","3","A65"
"2012","SEPTEMBER","4731918.75","GOB SER 2006A DEBT SERVICE","3","A66"
"2012","SEPTEMBER","7044750","GOB SER 2008A DEBT SERVICE","3","A67"
"2012","SEPTEMBER","12253512.5","GOB SER 2009 DEBT SERVICE","3","A68"
"2012","SEPTEMBER","4115","PWR SYST RB 2001 SERI C BD SER","3","J78"
"2012","SEPTEMBER","46474.88","PWR SYST RB 2002 SERI A BD SER","3","J81"
"2012","SEPTEMBER","4487.67","PWR SYST RB COMM PAPER BD SVC","3","J88"
"2012","SEPTEMBER","833265.76","WSSRB DEBT SERV REF 2006-A-D","3","W53"
"2012","OCTOBER","452765173.85","GENERAL FUND (GENERAL BUDGET)","4","100"
"2012","OCTOBER","5920071.90","RESERVE","4","101"
"2012","OCTOBER","14634.85","GOB SER 2000A LIB FAC CONSTRUC","4","15A"
"2012","OCTOBER","127.58","GOB SERIES 2001A ZOO IMP CONST","4","15F"
"2012","OCTOBER","697088.72","GOB SERIES 2001A FIRE/PR CONST","4","15H"
"2012","OCTOBER","987062.74","GOB SERIES 2002A ZOO IMP CONST","4","15K"
"2012","OCTOBER","214.24","GOB SERIES 2002A FIRE/PR CONST","4","15M"
"2012","OCTOBER","377.43","GOB SERIES 2002A 911/P/F CONST","4","15N"
"2012","OCTOBER","664445.27","GOB SERIES 2003A ANIM SH CONST","4","15S"
"2012","OCTOBER","25601.45","GOB SERIES 2003A FIRE/PR CONST","4","15T"
"2012","OCTOBER","5600","POLICE FAC GOB SER92A CONSTRUC","4","168"
"2012","OCTOBER","248924.23","GOB SERIES 2004A 911/P/F CONST","4","16A"
"2012","OCTOBER","33808.12","GOB SERIES 2005A FIRE/PARA CON","4","16D"
"2012","OCTOBER","1033402.28","GOB 2008A CLEAN WATER CLEANUP","4","16Q"
"2012","OCTOBER","2603599.76","GOB 2009 CLEAN WATER CLEANUP","4","16T"
"2012","OCTOBER","374555.52","GOB SER 95A P.W. PROJ CONSTRUC","4","189"
"2012","OCTOBER","5.7","GOB SER99B LIBRAR FAC CONSTRUC","4","198"
"2012","OCTOBER","1369.62","GOB SER99B ZOO IMPR CONSTRUCTN","4","199"
"2012","OCTOBER","1202959.53","RECREATION & PARKS GRANT","4","205"
"2012","OCTOBER","6478870.61","SPECIAL GAS TAX ST IMPROV","4","206"
"2012","OCTOBER","149369.80","LOCAL TRANSPORTATION","4","207"
"2012","OCTOBER","48867731.68","SEWER CONSTRUCTION&MAINTENANCE","4","208"
"2012","OCTOBER","61760.89","HOUSING PRODUCTION REVOLVING","4","240"
"2012","OCTOBER","253204.15","MICLA REV BDS 2009-D CONST FD","4","26G"
"2012","OCTOBER","3707833.60","MICLA LEASE REV COM PAPER NTES","4","298"
"2012","OCTOBER","390186.61","ARRA-MICLA CP SPECIAL FUNDNTES","4","299"
"2012","OCTOBER","7495875.50","LIBRARY","4","300"
"2012","OCTOBER","2408133.95","MUNICIPAL SPORTS ACCOUNT","4","301"
"2012","OCTOBER","16631394.33","RECREATION AND PARKS","4","302"
"2012","OCTOBER","36797.78","SIDEWALK & TREE MAINT ASSESS","4","304"
"2012","OCTOBER","760915.10","SUBVENTIONS AND GRANTS","4","305"
"2012","OCTOBER","739150.75","TRAFFIC SAFETY","4","306"
"2012","OCTOBER","469376.77","RENTAL HOUSING PRODUCTION","4","307"
"2012","OCTOBER","902938.82","FIRE DEPT GRANT","4","335"
"2012","OCTOBER","71772","FIRE HYDRANT INSTAL&MAIN REPLA","4","336"
"2012","OCTOBER","1116.83","CULTURAL AFFAIRS GRANT","4","337"
"2012","OCTOBER","336576.16","POLICE DEPT GRANT","4","339"
"2012","OCTOBER","171691.69","TELECOM LIQ DMGE &LOST FR FEES","4","342"
"2012","OCTOBER","33143.04","REPAIR & DEMOLITION","4","346"
"2012","OCTOBER","5196926.72","ST LIGHTING MAINTENANCE ASSESS","4","347"
"2012","OCTOBER","32094.9","UDAG REVENUE FUND","4","356"
"2012","OCTOBER","4379344.83","SPECIAL PARKING REVENUE","4","363"
"2012","OCTOBER","488100.59","CITY ATTORNEY GRANTS","4","368"
"2012","OCTOBER","3771460.15","PROPOSITION A LOCAL TRANSIT","4","385"
"2012","OCTOBER","13683.43","EMERGENCY OPERATIONS FUND","4","392"
"2012","OCTOBER","2346196","AREA PLAN FOR THE AGING TIT 7","4","395"
"2012","OCTOBER","1530598.62","ZOO ENTERPRISE TRUST FUND","4","40E"
"2012","OCTOBER","28507.8","LAFD SPECIAL TRAINING FUND","4","40J"
"2012","OCTOBER","108844.31","DOWNTOWN CTR BUS IMPROV DISTR","4","40Q"
"2012","OCTOBER","70642.65","CENTURY CORRIDOR BUS IMPROVE","4","40R"
"2012","OCTOBER","6272.51","FIGUEROA CORRIDOR BUS IMPROVE","4","40S"
"2012","OCTOBER","79.13","LARCHMONT VILLAGE BUS IMPROVE","4","40T"
"2012","OCTOBER","110378","OTHER PROGRAMS FOR THE AGING","4","410"
"2012","OCTOBER","-70000","ST DAMAGE RESTORATION FEE SPEC","4","41A"
"2012","OCTOBER","4427817.47","SYSTEMATIC CODE ENFORCEMNT FEE","4","41M"
"2012","OCTOBER","1499.8","LA DOWNTOWN INDUSTR BUS IMPROV","4","41T"
"2012","OCTOBER","10657.93","LIBRARY EDUCATION TRUST","4","420"
"2012","OCTOBER","4677346.07","COMMUNITY DEVELOPMENT TRUST","4","424"
"2012","OCTOBER","1117788.41","COMMUNITY SER BL GRANT TRUST","4","428"
"2012","OCTOBER","7585","GREATER LOS ANGELES VISITORS","4","429"
"2012","OCTOBER","203568.91","SENIOR HUMAN SERVICES PROGRAM","4","42J"
"2012","OCTOBER","886.03","HOLLYWOOD MEDIA DP & BUS IMPRO","4","42X"
"2012","OCTOBER","591422.87","CONSTRUCTION SERVICES TRUST FD","4","438"
"2012","OCTOBER","6125","STREET FURNITURE REVENUE FUND","4","43D"
"2012","OCTOBER","901955.70","PROPOSITION K PROJECTS FUND","4","43K"
"2012","OCTOBER","12320","BUS BENCH ADVERTISING PROGRA","4","43S"
"2012","OCTOBER","998261.38","RENT STABILIZATION TRUST","4","440"
"2012","OCTOBER","5530.25","FURTHERANCE OF INT EARTHQ CONF","4","441"
"2012","OCTOBER","185217.63","COASTAL TRANSP CORRIDOR TRUST","4","447"
"2012","OCTOBER","2269713.62","WORKFORCE INVEST ACT TRS","4","44A"
"2012","OCTOBER","358283.24","DEPT OF NEIGHBORHOOD EMPOWERE","4","44B"
"2012","OCTOBER","345274.86","US DEPT OF JUSTICE ASSET FORFE","4","44D"
"2012","OCTOBER","7387.62","U.S. TREASURY ASSET FORFEITURE","4","44E"
"2012","OCTOBER","31494.23","CALIF STATE ASSET FORFEITURE","4","44F"
"2012","OCTOBER","1142137.75","CITY OF LA AFFORDABLE HOUSING","4","44G"
"2012","OCTOBER","158536.68","LA CHINATOWN BUSINESS IMPR DIS","4","44K"
"2012","OCTOBER","4414.5","LINCOLN HEIGHTS INDUS ZONE BID","4","44L"
"2012","OCTOBER","9515.08","TARGETED DESTIN AMBULANCE SERV","4","44R"
"2012","OCTOBER","4000","LOW INCOME HOUSING TAX CREDIT","4","458"
"2012","OCTOBER","8457.98","HIGH RISK/HIGH NEED SERVICES PROGRAM FUND","4","45D"
"2012","OCTOBER","152711.44","MISCELLANEOUS SOURCES FUND","4","45L"
"2012","OCTOBER","600","INTELLECTUAL PROPERTY FUND","4","45V"
"2012","OCTOBER","9098.6","LANDSCAPNG & LT ASSES SER 2002","4","46A"
"2012","OCTOBER","1225759.12","CITYWIDE RECYCLING TRUST FUND","4","46D"
"2012","OCTOBER","54901.81","SUNSET & VINE BUSINESS IMPROV","4","46H"
"2012","OCTOBER","225","ATTORNEY CONFLICTS PANEL SP FD","4","46T"
"2012","OCTOBER","9670.72","LITTLE TOKYO BID FUND","4","46W"
"2012","OCTOBER","59289","CALHOME TRUST FUND","4","46X"
"2012","OCTOBER","79453","COMPUTERIZED INFOR CTR FOR DIS","4","473"
"2012","OCTOBER","182708.03","CDD-EDI/BEDI GRANTS","4","47F"
"2012","OCTOBER","950","HOMELAND SECURITY ASSISTANCE","4","47N"
"2012","OCTOBER","500480.89","CENTRAL LA RECYCLING TRFR STAT","4","47R"
"2012","OCTOBER","420861.21","PROPOSITION 40 PER CAPITA TRUS","4","47T"
"2012","OCTOBER","12375.99","BLACK MARKET CIGAR PROSEC TR","4","47V"
"2012","OCTOBER","575957.2","PROP 40 ROBERTI-Z'BERG-HARRIS","4","47W"
"2012","OCTOBER","93659","HEALTH INS COUNS ADV (HICAP)","4","47Y"
"2012","OCTOBER","641260","ARTS AND CULTURAL FACIL & SERV","4","480"
"2012","OCTOBER","74334.6","ATSAC TRUST","4","484"
"2012","OCTOBER","52469.30","LANDFILL CLOSURE & POSTCLOSURE","4","488"
"2012","OCTOBER","12500","BRADLEY LANDFILL COMM TRUST FD","4","48M"
"2012","OCTOBER","8065480.91","BLDG & SAFETY PERMIT ENTERPRIS","4","48R"
"2012","OCTOBER","0","BEGIN GRANT PROGRAM FUND","4","49D"
"2012","OCTOBER","253785.07","LEAD GRANT FUNDS","4","49E"
"2012","OCTOBER","460","COUNC DIST8 PUB BENEFIT TR FD","4","49F"
"2012","OCTOBER","704.12","SO LA IND TRACT(GOODYEAR) BID","4","49H"
"2012","OCTOBER","32176.84","ARTS DISTRICT BUSINESS IMP DIS","4","49J"
"2012","OCTOBER","17639.90","LAHD SMALL GRANTS & AWARDS","4","49N"
"2012","OCTOBER","105373.37","NORTH HOLLYWOOD TRANSIT BID","4","49R"
"2012","OCTOBER","2852.85","SYLMAR PROPERTY BUS IMPROV DIS","4","49W"
"2012","OCTOBER","13194.66","CAPITAL PROJECTS BD RESERVE FD","4","49Y"
"2012","OCTOBER","21081422.15","SOLID WASTE RESOURCES FUND","4","508"
"2012","OCTOBER","160000","MULTI-FAMILY BULKY ITEM FEE","4","50D"
"2012","OCTOBER","87992.58","FY07 UASI HOMELAND SECURITY GR","4","50G"
"2012","OCTOBER","73239.46","GANG REDUCTION & YOUTH DEVELOP","4","50K"
"2012","OCTOBER","22058.96","HIST WATERFRONT SAN PEDRO BID","4","50L"
"2012","OCTOBER","600","GANG PREVENTION COORDINATION","4","50N"
"2012","OCTOBER","131.56","JUSTICE ASSISTANCE GRANT FUND","4","50P"
"2012","OCTOBER","4800","COUNC DIST10 PUB BENEFIT TR FD","4","50R"
"2012","OCTOBER","442736.73","NEIGHBORHOOD STABILIZATION PG","4","50T"
"2012","OCTOBER","1851579.19","FY08 UASI HOMELAND SECURITY GR","4","50X"
"2012","OCTOBER","354293.95","STORMWATER POLLUTION ABATE FND","4","511"
"2012","OCTOBER","25222.58","ARTS DEVELOPMENT FEE TRUST FND","4","516"
"2012","OCTOBER","106412","FEDERAL EMERGENCY SHELTER GRNT","4","517"
"2012","OCTOBER","3171.1","PANORAMA CITY BUS IMPROV DIST","4","51D"
"2012","OCTOBER","574058.53","ARRA-WORKFORCE INVESTMENT ACT","4","51G"
"2012","OCTOBER","2100","FY08 BOYLE HEIGHTS/HOLLENBECK","4","51M"
"2012","OCTOBER","223086.17","ARRA-COMMUNITY DEV BLOCK GRANT","4","51N"
"2012","OCTOBER","686892.88","MEASURE R LOCAL RETURN FUND","4","51Q"
"2012","OCTOBER","892558.79","MEASURE R BUS OPERATIONS FUND","4","51R"
"2012","OCTOBER","3896155.88","ARRA-ENERGY EFFICIENCY CONSERV","4","51S"
"2012","OCTOBER","203.15","ARRA-JUSTICE ASSISTANCE GRANT","4","51V"
"2012","OCTOBER","1279887.39","SOLID WASTE RES RB2009A ACQUIS","4","51W"
"2012","OCTOBER","4717.58","VENTURA/CAHUENGA CORRIDOR PLAN","4","523"
"2012","OCTOBER","504019.72","CITY EMPLOYEES RIDESHARING FND","4","525"
"2012","OCTOBER","2784.04","LOCAL ENFORCE AGENCY LANDFILL","4","527"
"2012","OCTOBER","1844671.24","FY09 JUSTICE ASSISTANCE GRANT","4","52A"
"2012","OCTOBER","19044.7","ARRA-BTOP PUBLIC COMPUTER CTR","4","52B"
"2012","OCTOBER","29196.54","PLANNING CASE PROCESSING SPREV","4","52D"
"2012","OCTOBER","39900.40","FY09 ARREST POLICIES GRANT FD","4","52E"
"2012","OCTOBER","1221462.49","RECREATION AND PARKS GOLF SPE","4","52H"
"2012","OCTOBER","1859969.94","ARRA-NEIGHBORHOOD STABIL PROG2","4","52J"
"2012","OCTOBER","4461.98","ARRA-TEEN & RETAIL EDUC TABACO","4","52K"
"2012","OCTOBER","23652.86","ARRA-ENERGY COMM RECOVERY ACT","4","52L"
"2012","OCTOBER","111744.07","ARRA-LACCD WIA","4","52M"
"2012","OCTOBER","262130.89","ARRA-EECBG FUND - LAHD","4","52P"
"2012","OCTOBER","45169.71","ARRA-LA COUNTY TANF SUMMER PRO","4","52Q"
"2012","OCTOBER","1150","FY10 SUMMER NGT LGT GLASSELL P","4","52Y"
"2012","OCTOBER","50000","LOPEZ CANYON COMMU AMENITIES","4","531"
"2012","OCTOBER","169280","CITY ETHICS COMMISSION FUND","4","534"
"2012","OCTOBER","537881.58","FY09 UASI GRANT FUND","4","53A"
"2012","OCTOBER","291870","FY10 EARMARK CLEAR HOLLENBECK","4","53H"
"2012","OCTOBER","799","FY10 JUVENILE ACCOUNT BLOCK GR","4","53L"
"2012","OCTOBER","376665","STATE AB1290 CITY FUND","4","53P"
"2012","OCTOBER","19167.36","LEAD GRANT NINE","4","53Q"
"2012","OCTOBER","118777.33","FY09 CSGP GRANT FUND","4","53R"
"2012","OCTOBER","108571.46","WESTWOOD BUSINESS IMPROV DIST","4","53S"
"2012","OCTOBER","3444741.11","PROPOSITION C ANTIGRIDLOCK IMP","4","540"
"2012","OCTOBER","61419.71","CITY ATTY CONSUMER PROTEC PROC","4","550"
"2012","OCTOBER","467105","GENERAL FUND- VARIOUS PROGRAM","4","551"
"2012","OCTOBER","34960","SP POLICE COMMUNIC/911 SYST TX","4","554"
"2012","OCTOBER","177878.7","INTEGRATED SOLID WASTE MGMT  D","4","556"
"2012","OCTOBER","397490","LANDFILL MAINTENANCE SPEC TRUS","4","558"
"2012","OCTOBER","2744210.59","HOME INVESTMENT PARTSHIP PROGR","4","561"
"2012","OCTOBER","9037","TITLE VII OLDER AMERICANS ACT","4","564"
"2012","OCTOBER","157164.57","HOUSEHOLD HAZARDOUS WASTE SP","4","567"
"2012","OCTOBER","940018.43","HOUSING OPPOR FOR PERSON W/AID","4","569"
"2012","OCTOBER","2930335","LOCAL PUBLIC SAFETY FUND","4","574"
"2012","OCTOBER","6251.73","MINORITY BUSINESSDEV MBDA/MBOC","4","575"
"2012","OCTOBER","53689.82","USED OIL COLLECTION TRUST FUND","4","586"
"2012","OCTOBER","265990","CITY PLANNING SYSTEM DEVE FUND","4","588"
"2012","OCTOBER","15996.94","TRANSP REGULATION &ENFORCEMENT","4","596"
"2012","OCTOBER","1313","FUND FOR SENIOR SERVICES","4","597"
"2012","OCTOBER","653981","SENIOR CITYRIDE PROGRAM FUND","4","599"
"2012","OCTOBER","291326.49","SEISMIC BOND REIMB FUND","4","608"
"2012","OCTOBER","6078.67","MORTGAGE CREDIT CERTIFICAT FEE","4","643"
"2012","OCTOBER","100300.99","DOWNTOWN PROP OWNERS MGMT DIST","4","647"
"2012","OCTOBER","106600","WILSHIRE CENTER BUS IMPRV DIST","4","648"
"2012","OCTOBER","13921440.81","TRANSPORTATION GRANTS FUND","4","655"
"2012","OCTOBER","18194.3","BUSINESS IMPROVEMENT TRUST FND","4","659"
"2012","OCTOBER","651529.42","SUPP LAW ENFORCEMENT SERVICES","4","667"
"2012","OCTOBER","187482.98","LAPD REVOLVING TRAINING FUND","4","670"
"2012","OCTOBER","238859.01","WEST LA TRANSP IMPROV & MITIGA","4","681"
"2012","OCTOBER","963.6","ENGINEERING SPECIAL SERVICE FD","4","682"
"2012","OCTOBER","111862656.29","AIRPORT REVENUE","4","700"
"2012","OCTOBER","226722.47","COLISEUM","4","701"
"2012","OCTOBER","28526007.15","HARBOR REVENUE","4","702"
"2012","OCTOBER","344116501.97","POWER REVENUE","4","704"
"2012","OCTOBER","151508747.58","WATER REVENUE","4","705"
"2012","OCTOBER","501502.06","PRINTING REVOLVING","4","706"
"2012","OCTOBER","2339697.6","STORES REVOLVING","4","707"
"2012","OCTOBER","3497714.05","WASTEWATER SYS REV BD CONS/10B","4","70Q"
"2012","OCTOBER","480894.74","WW SYST COMM PAPER A CONST FND","4","70W"
"2012","OCTOBER","3083017.37","WW SYST COMM PAPER B CONST FND","4","70X"
"2012","OCTOBER","310228.41","PASSENGER FACILITY CHARGE -LAX","4","71R"
"2012","OCTOBER","4972048.13","AIRPORT REVENUE FUND-ONTARIO","4","723"
"2012","OCTOBER","2900000","LA CONVENTION CENTER REVENUE","4","725"
"2012","OCTOBER","22677848.29","SEWER OPERATIONS & MAINTENANCE","4","760"
"2012","OCTOBER","7945193.61","SEWER CAPITAL FUND","4","761"
"2012","OCTOBER","216832.69","DWP FLEXIBLE SPEND ACCTS (FSA)","4","776"
"2012","OCTOBER","65571380.94","CITY EMPLOYEES RETIREMENT","4","800"
"2012","OCTOBER","283797.25","FIRE & POLICE TIER 1 SERVICE P","4","801"
"2012","OCTOBER","1531013.52","FIRE & POLICE TIER 1 GENERAL P","4","802"
"2012","OCTOBER","25643294.27","FIRE & POLICE TIER 2 SERVICE P","4","803"
"2012","OCTOBER","22042760.51","FIRE & POLICE TIER 2 GENERAL P","4","804"
"2012","OCTOBER","357262.29","FIRE & POLICE TIER 3 SERVICE P","4","805"
"2012","OCTOBER","1137887.86","FIRE & POLICE TIER 3 GENERAL P","4","806"
"2012","OCTOBER","1000038.25","WATER/POWER EMP DEATH BENEFITS","4","807"
"2012","OCTOBER","1760652.6","WATER/POWER EMPLOYEES DISABIL","4","808"
"2012","OCTOBER","24943999.16","WATER/POWER RETIREMENT","4","809"
"2012","OCTOBER","157909.21","MUNICIPAL HOUSING FINANCE FUND","4","815"
"2012","OCTOBER","49067.40","LIBRARY TRUST","4","831"
"2012","OCTOBER","56946.66","PUBLIC WORKS TRUST","4","834"
"2012","OCTOBER","113637.5","ANIMAL STERILIZATION","4","842"
"2012","OCTOBER","6003.05","CULTURAL AFFAIRS DEPT TRUST","4","844"
"2012","OCTOBER","726.32","FIRE DEPT TRUST","4","848"
"2012","OCTOBER","1600","MAYORS OFF FOR HANDICAP TRUST","4","849"
"2012","OCTOBER","6043607.58","DWP RETIREE HEALTH BENEFITS","4","850"
"2012","OCTOBER","6663.47","NARCOTICS ANALYSIS LABORATORY","4","863"
"2012","OCTOBER","2000","VANDALISM & GRAFFITI REWARD TR","4","870"
"2012","OCTOBER","22915","DISASTER ASSISTANCE TRUST FUND","4","872"
"2012","OCTOBER","1218.05","CITY ATTY FORFEITED ASSETS TRU","4","874"
"2012","OCTOBER","104278","MATCHING CAMPAIGN FUND TRUST","4","875"
"2012","OCTOBER","47895","PERSHING SQUARE SPECIAL TRUST","4","876"
"2012","OCTOBER","383966.15","PENSION SAVINGS INVESTMENT FND","4","881"
"2012","OCTOBER","1400","POLICE DEPARTMENT TRUST FUND","4","885"
"2012","OCTOBER","421.27","VOLUNTEER TRUST FUND","4","892"
"2012","OCTOBER","11134.17","DEFERRED COMPENSATN PLAN TRUST","4","896"
"2012","OCTOBER","23319299.27","IRS SEC501 EMPLOYEE BENEF TRUS","4","899"
"2012","OCTOBER","127758.21","EXCESS BENEFIT PLAN","4","901"
"2012","OCTOBER","321125","STAPLES CENTER TRUST FUND","4","908"
"2012","OCTOBER","596985.68","FIRE & POLICE TIER 4 SERVICE P","4","909"
"2012","OCTOBER","211901.98","FIRE & POLICE TIER 4 GENERAL P","4","910"
"2012","OCTOBER","19733921.15","FIRE & POLICE TIER 5 SERVICE P","4","915"
"2012","OCTOBER","3106868.94","FIRE & POLICE TIER 5 GENERAL P","4","916"
"2012","OCTOBER","61762.33","F&P PEN EXCESS BENEFIT PLAN FD","4","918"
"2012","OCTOBER","478950.01","EP REV BD 2NDISS93 RESERV FUND","4","J10"
"2012","OCTOBER","801000","PWR SYST RB 2010 C CONST FUND","4","J5K"
"2012","OCTOBER","2557.03","PWR SYST RB 2001 SERI C BD SER","4","J78"
"2012","OCTOBER","38375.94","PWR SYST RB 2002 SERI A BD SER","4","J81"
"2012","OCTOBER","70949.31","PWR SYST RB COMM PAPER BD SVC","4","J88"
"2012","OCTOBER","1544662.5","WW REF RB ISS OF 98 BOND SERVI","4","M88"
"2012","OCTOBER","39882.66","WS RB 2009 SERIES B CONSTRU FD","4","M9F"
"2012","OCTOBER","52119.27","WS RB 2009 SERIES C CONSTRU FD","4","M9J"
"2012","OCTOBER","49047998.07","WS RB 2010 SERIES A CONSTRU FD","4","M9M"
"2012","OCTOBER","832599.52","WSSRB DEBT SERV REF 2006-A-D","4","W53"
"2012","OCTOBER","113301.66","WSSRB DEBT SERV REF 2008-A-H","4","W55"
"2012","NOVEMBER","333257973.19","GENERAL FUND (GENERAL BUDGET)","5","100"
"2012","NOVEMBER","9997337.87","RESERVE","5","101"
"2012","NOVEMBER","11728.79","GOB SERIES 2001A LIBRARY CONST","5","15E"
"2012","NOVEMBER","11997.79","GOB SERIES 2001A ZOO IMP CONST","5","15F"
"2012","NOVEMBER","874226.85","GOB SERIES 2001A FIRE/PR CONST","5","15H"
"2012","NOVEMBER","240720.77","GOB SERIES 2002A ZOO IMP CONST","5","15K"
"2012","NOVEMBER","30214.5","GOB SERIES 2002A FIRE/PR CONST","5","15M"
"2012","NOVEMBER","858","GOB SERIES 2002A 911/P/F CONST","5","15N"
"2012","NOVEMBER","492077.99","GOB SERIES 2003A ANIM SH CONST","5","15S"
"2012","NOVEMBER","35435.45","GOB SERIES 2003A FIRE/PR CONST","5","15T"
"2012","NOVEMBER","54287.79","GOB SERIES 2003A 911/P/F CONST","5","15U"
"2012","NOVEMBER","3712.75","POLICE FAC GOB SER92A CONSTRUC","5","168"
"2012","NOVEMBER","95461.66","GOB SERIES 2004A 911/P/F CONST","5","16A"
"2012","NOVEMBER","9484","GOB SERIES 2005A FIRE/PARA CON","5","16D"
"2012","NOVEMBER","1156","GOB SERIES 2006A FIRE/PARA CON","5","16J"
"2012","NOVEMBER","249329.09","GOB 2008A CLEAN WATER CLEANUP","5","16Q"
"2012","NOVEMBER","3643527.12","GOB 2009 CLEAN WATER CLEANUP","5","16T"
"2012","NOVEMBER","24128.25","POLICE FAC GOB SER93A CONSTRUC","5","173"
"2012","NOVEMBER","95386.18","GOB SER 95A P.W. PROJ CONSTRUC","5","189"
"2012","NOVEMBER","82.13","GOB SER99B ZOO IMPR CONSTRUCTN","5","199"
"2012","NOVEMBER","965047.66","RECREATION & PARKS GRANT","5","205"
"2012","NOVEMBER","12713015.11","SPECIAL GAS TAX ST IMPROV","5","206"
"2012","NOVEMBER","25849.01","LOCAL TRANSPORTATION","5","207"
"2012","NOVEMBER","31378685.9","SEWER CONSTRUCTION&MAINTENANCE","5","208"
"2012","NOVEMBER","4938.02","HOUSING PRODUCTION REVOLVING","5","240"
"2012","NOVEMBER","203446.75","MICLA REV BDS 2009-D CONST FD","5","26G"
"2012","NOVEMBER","3923995.37","MICLA LEASE REV COM PAPER NTES","5","298"
"2012","NOVEMBER","1594396.50","ARRA-MICLA CP SPECIAL FUNDNTES","5","299"
"2012","NOVEMBER","4507229.52","LIBRARY","5","300"
"2012","NOVEMBER","2378270.17","MUNICIPAL SPORTS ACCOUNT","5","301"
"2012","NOVEMBER","11252004.73","RECREATION AND PARKS","5","302"
"2012","NOVEMBER","31697.89","SIDEWALK & TREE MAINT ASSESS","5","304"
"2012","NOVEMBER","1066864.91","SUBVENTIONS AND GRANTS","5","305"
"2012","NOVEMBER","693209.85","TRAFFIC SAFETY","5","306"
"2012","NOVEMBER","228248.99","FIRE DEPT GRANT","5","335"
"2012","NOVEMBER","71772","FIRE HYDRANT INSTAL&MAIN REPLA","5","336"
"2012","NOVEMBER","22313.49","CULTURAL AFFAIRS GRANT","5","337"
"2012","NOVEMBER","44049.32","POLICE DEPT GRANT","5","339"
"2012","NOVEMBER","149231.24","TELECOM LIQ DMGE &LOST FR FEES","5","342"
"2012","NOVEMBER","76191.78","REPAIR & DEMOLITION","5","346"
"2012","NOVEMBER","8719808.63","ST LIGHTING MAINTENANCE ASSESS","5","347"
"2012","NOVEMBER","2106881.88","SPECIAL PARKING REVENUE","5","363"
"2012","NOVEMBER","135162.10","CITY ATTORNEY GRANTS","5","368"
"2012","NOVEMBER","7681824.65","PROPOSITION A LOCAL TRANSIT","5","385"
"2012","NOVEMBER","140650.85","EMERGENCY OPERATIONS FUND","5","392"
"2012","NOVEMBER","1056595","AREA PLAN FOR THE AGING TIT 7","5","395"
"2012","NOVEMBER","1541311.41","ZOO ENTERPRISE TRUST FUND","5","40E"
"2012","NOVEMBER","36920.3","LAFD SPECIAL TRAINING FUND","5","40J"
"2012","NOVEMBER","2471.11","CENTURY CORRIDOR BUS IMPROVE","5","40R"
"2012","NOVEMBER","59000","LOS FELIZ VIL BUS IMPR DISTR","5","40X"
"2012","NOVEMBER","91753","OTHER PROGRAMS FOR THE AGING","5","410"
"2012","NOVEMBER","4604.48","LIBRARY SERVICE TRUST","5","419"
"2012","NOVEMBER","47261.08","ELECTRONIC ANIMAL ID DEVICE","5","41C"
"2012","NOVEMBER","5722991.31","SYSTEMATIC CODE ENFORCEMNT FEE","5","41M"
"2012","NOVEMBER","92268.47","HISTORIC CORE BUS IMPROVE DIST","5","41U"
"2012","NOVEMBER","974","STANDARDS & TRAINNG FOR CORREC","5","41Y"
"2012","NOVEMBER","8082242.68","COMMUNITY DEVELOPMENT TRUST","5","424"
"2012","NOVEMBER","613627.99","COMMUNITY SER BL GRANT TRUST","5","428"
"2012","NOVEMBER","1361082.42","GREATER LOS ANGELES VISITORS","5","429"
"2012","NOVEMBER","157765","SENIOR HUMAN SERVICES PROGRAM","5","42J"
"2012","NOVEMBER","7061.53","HOLLYWOOD MEDIA DP & BUS IMPRO","5","42X"
