"study_id","study_class","treatment_focus_study_level","total_n_randomized","intervention_group","treatment_focus_arm_level","treatment_focus_subclass_arm_level","n_completed_outcome_measure","n_completed_outcome_measure_detail","publication_treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","arm_n_randomized","outcome_assessment_type","ptsd_outcome_measure_simple","ptsd_outcome_measure_detail","analysis_type","method_for_handling_missing","statistical_analysis_method","assessment_point_category","assessment_point","measure_score_detail","measure_score_mean","measure_score_sd","measure_score_type_of_variance_measure","measure_score_variance_value_or_lower_bound","measure_score_variance_upper_bound","score_difference_from_baseline_detail","score_difference_baseline","score_difference_baseline_sd","score_difference_from_baseline_95_ci_lower_bound","score_difference_from_baseline_95_ci_upper_bound","effect_size_1_detail","effect_size_1_type","effect_size_1_value","effect_size_1_type_of_variance_measure","effect_size_1_variance_value_or_lower_bound","effect_size_1_variance_upper_bound","effect_size_1_p_value","effect_size_2_detail","effect_size_2_type","effect_size_2_value","effect_size_2_type_of_variance_measure","effect_size_2_variance_value_or_lower_bound","effect_size_2_variance_upper_bound","effect_size_2_p_value","def_dc_1","per_dc_change_1","additional_definitions_diag_change","def_cm_1","per_cm_response_1","additional_definitions_clinic_resp","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"carlson1998_PSS-SR_C_0_NA","Mixed: Psychotherapy & CIH","PTSD","35","C","Control",,,,"TAU waitlist","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"12","Self report","PSS-SR","PSS-SR",,,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"6.2","2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Carlson JG, Chemtob CM, Rusnak K, et al. Eye Movement Desensitization and Reprocessing (EMDR) treatment for combat-related posttraumatic stress disorder. J Trauma Stress. 1998 Jan;11(1):3-24. doi: 10.1023/A:1024448814268. PMID: 9479673.","13921","2019"
"carlson1998_PSS-SR_C_Baseline_NA","Mixed: Psychotherapy & CIH","PTSD","35","C","Control",,,,"TAU waitlist","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"12","Self report","PSS-SR","PSS-SR",,,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"7.5","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Carlson JG, Chemtob CM, Rusnak K, et al. Eye Movement Desensitization and Reprocessing (EMDR) treatment for combat-related posttraumatic stress disorder. J Trauma Stress. 1998 Jan;11(1):3-24. doi: 10.1023/A:1024448814268. PMID: 9479673.","13921","2019"
"carlsson2018_HTQ_A_0_ITT","Psychotherapy","PTSD","140","A","PTSD",,"62",,"SIT","Stress Inoculation Training (SIT)","Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","70","Self report","HTQ","HTQ","ITT","Imputed","Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"3.1",,"SE","0.08",,"SE 0.06","-0.08",,,,,"Effect size","0.19",,,,"p=0.19",,,,,,,,,,,,,,"Community",,,"1","0.4365",,"0.5635","Terrorism/political violence/forced displacement",,"Medium","Carlsson J, Sonne C, Vindbjerg E, et al. Stress management versus cognitive restructuring in trauma-affected refugees‚Äö√Ñ√Æa pragmatic randomised study. Psychiatry Res. 2018 Aug;266:116-23. doi: 10.1016/j.psychres.2018.05.015. PMID: 29859498","1519484","2019"
"carlsson2018_HTQ_A_Baseline_ITT","Psychotherapy","PTSD","140","A","PTSD",,"62",,"SIT","Stress Inoculation Training (SIT)","Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","70","Self report","HTQ","HTQ","ITT","Imputed","Covariance pattern (unstructured) general linear mixed models","Baseline",,,"3.18",,"SE","0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.4365",,"0.5635","Terrorism/political violence/forced displacement",,"Medium","Carlsson J, Sonne C, Vindbjerg E, et al. Stress management versus cognitive restructuring in trauma-affected refugees‚Äö√Ñ√Æa pragmatic randomised study. Psychiatry Res. 2018 Aug;266:116-23. doi: 10.1016/j.psychres.2018.05.015. PMID: 29859498","1519484","2019"
"carlsson2018_HTQ_B_0_ITT","Psychotherapy","PTSD","140","B","PTSD",,"64",,"CR","Trauma-focused cognitive behavioral therapy (TF-CBT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","70","Self report","HTQ","HTQ","ITT","Imputed","Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"3.06",,"SE","0.07",,"SE 0.07","-0.15",,,,,"Effect size","0.35",,,,"p=0.03",,,,,,,,,,,,,,"Community",,,"1","0.4365",,"0.5635","Terrorism/political violence/forced displacement",,"Medium","Carlsson J, Sonne C, Vindbjerg E, et al. Stress management versus cognitive restructuring in trauma-affected refugees‚Äö√Ñ√Æa pragmatic randomised study. Psychiatry Res. 2018 Aug;266:116-23. doi: 10.1016/j.psychres.2018.05.015. PMID: 29859498","1519484","2019"
"carlsson2018_HTQ_B_Baseline_ITT","Psychotherapy","PTSD","140","B","PTSD",,"64",,"CR","Trauma-focused cognitive behavioral therapy (TF-CBT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","70","Self report","HTQ","HTQ","ITT","Imputed","Covariance pattern (unstructured) general linear mixed models","Baseline",,,"3.21",,"SE","0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.4365",,"0.5635","Terrorism/political violence/forced displacement",,"Medium","Carlsson J, Sonne C, Vindbjerg E, et al. Stress management versus cognitive restructuring in trauma-affected refugees‚Äö√Ñ√Æa pragmatic randomised study. Psychiatry Res. 2018 Aug;266:116-23. doi: 10.1016/j.psychres.2018.05.015. PMID: 29859498","1519484","2019"
"carr2012_IES_A_0_ITT","Complementary and integrative health (CIH)","PTSD","17","A","PTSD",,"8",,"Music Therapy","Music therapy","No","Not Applicable","No","Not Applicable","Yes","Creative therapies","No","No","No","No","No","Group","In Person","9","Self report","IES","IES-R","ITT",,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"30.87","10.6",,,,,"-21.82",,,,,"LSM","-24.5","95% CI","-32.30","16.69","p=0.0001",,,,,,,,,,,,,,"Community",,,"1","0.5625",,"0.4375","Mixed","child sexual abuse, rape/sexual assault, community/school violence, terrorism/political violence/forced displacement, other (torture)","Medium","Carr C, D'Ardenne P, Sloboda A, et al. Group music therapy for patients with persistent post-traumatic stress disorder -- an exploratory randomized controlled trial with mixed methods evaluation. Psychol Psychother. 2012 Jun;85(2):179-202. doi: 10.1111/j.2044-8341.2011.02026.x. PMID: 22903909.","39454","2019"
"carr2012_IES_A_Baseline_ITT","Complementary and integrative health (CIH)","PTSD","17","A","PTSD",,"8",,"Music Therapy","Music therapy","No","Not Applicable","No","Not Applicable","Yes","Creative therapies","No","No","No","No","No","Group","In Person","9","Self report","IES","IES-R","ITT",,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"52.69","13.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.5625",,"0.4375","Mixed","child sexual abuse, rape/sexual assault, community/school violence, terrorism/political violence/forced displacement, other (torture)","Medium","Carr C, D'Ardenne P, Sloboda A, et al. Group music therapy for patients with persistent post-traumatic stress disorder -- an exploratory randomized controlled trial with mixed methods evaluation. Psychol Psychother. 2012 Jun;85(2):179-202. doi: 10.1111/j.2044-8341.2011.02026.x. PMID: 22903909.","39454","2019"
"carr2012_IES_B_0_ITT","Complementary and integrative health (CIH)","PTSD","17","B","Control",,"8",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"8","Self report","IES","IES-R","ITT",,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"53.12","9.2",,,,,"-5.66",,,,,"LSM","-4.32","95% CI","-12.06","3.42","p=0.2286",,,,,,,,,,,,,,"Community",,,"1","0.5625",,"0.4375","Mixed","child sexual abuse, rape/sexual assault, community/school violence, terrorism/political violence/forced displacement, other (torture)","Medium","Carr C, D'Ardenne P, Sloboda A, et al. Group music therapy for patients with persistent post-traumatic stress disorder -- an exploratory randomized controlled trial with mixed methods evaluation. Psychol Psychother. 2012 Jun;85(2):179-202. doi: 10.1111/j.2044-8341.2011.02026.x. PMID: 22903909.","39454","2019"
"carr2012_IES_B_Baseline_ITT","Complementary and integrative health (CIH)","PTSD","17","B","Control",,"8",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"8","Self report","IES","IES-R","ITT",,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"58.78","10.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.5625",,"0.4375","Mixed","child sexual abuse, rape/sexual assault, community/school violence, terrorism/political violence/forced displacement, other (torture)","Medium","Carr C, D'Ardenne P, Sloboda A, et al. Group music therapy for patients with persistent post-traumatic stress disorder -- an exploratory randomized controlled trial with mixed methods evaluation. Psychol Psychother. 2012 Jun;85(2):179-202. doi: 10.1111/j.2044-8341.2011.02026.x. PMID: 22903909.","39454","2019"
"carter2013_CAPS_A_0_Comp","Complementary and integrative health (CIH)","PTSD","31","A","PTSD",,"14","assessment conducted 6 weeks post intervention","Sudarshan Kriya Yoga","Yoga","No","Not Applicable","No","Not Applicable","Yes","Yoga","No","No","No","No","No","Group","In Person","16","Structured Clinical Interview","CAPS","CAPS","Completer","LOCF","Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"42.1","18.2",,,,,"-14.2",,,,,,,,,,"p<0.01",,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_CAPS_A_26_Comp","Complementary and integrative health (CIH)","PTSD","31","A","PTSD",,"14",,"Sudarshan Kriya Yoga","Yoga","No","Not Applicable","No","Not Applicable","Yes","Yoga","No","No","No","No","No","Group","In Person","16","Structured Clinical Interview","CAPS","CAPS","Completer","LOCF","Covariance pattern (unstructured) general linear mixed models","Assessment at 6 to <12 Months","26",,"26.2","14.8",,,,,"-30.1",,,,,"Partial eta-squared","0.89",,,,"p<0.00","compared to end-of-treatment",,,,,,"p<0.01",,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_CAPS_A_Baseline_Comp","Complementary and integrative health (CIH)","PTSD","31","A","PTSD",,"14",,"Sudarshan Kriya Yoga","Yoga","No","Not Applicable","No","Not Applicable","Yes","Yoga","No","No","No","No","No","Group","In Person","16","Structured Clinical Interview","CAPS","CAPS","Completer","LOCF","Covariance pattern (unstructured) general linear mixed models","Baseline",,,"56.3","12.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_CAPS_B_0_Comp","Complementary and integrative health (CIH)","PTSD","31","B","Control",,"11",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"15","Structured Clinical Interview","CAPS","CAPS","Completer","LOCF","Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"56.6","18.9",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_CAPS_B_Baseline_Comp","Complementary and integrative health (CIH)","PTSD","31","B","Control",,"11",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"15","Structured Clinical Interview","CAPS","CAPS","Completer","LOCF","Covariance pattern (unstructured) general linear mixed models","Baseline",,,"56.6","18.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_PCL_A_0_NA","Complementary and integrative health (CIH)","PTSD","31","A","PTSD",,,,"Sudarshan Kriya Yoga","Yoga","No","Not Applicable","No","Not Applicable","Yes","Yoga","No","No","No","No","No","Group","In Person","16","Self report","PCL","PCL-M",,,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"35.6","11.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_PCL_A_Baseline_NA","Complementary and integrative health (CIH)","PTSD","31","A","PTSD",,,,"Sudarshan Kriya Yoga","Yoga","No","Not Applicable","No","Not Applicable","Yes","Yoga","No","No","No","No","No","Group","In Person","16","Self report","PCL","PCL-M",,,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"53.0","13.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_PCL_B_0_NA","Complementary and integrative health (CIH)","PTSD","31","B","Control",,,,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"15","Self report","PCL","PCL-M",,,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"37.9","12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"carter2013_PCL_B_Baseline_NA","Complementary and integrative health (CIH)","PTSD","31","B","Control",,,,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"15","Self report","PCL","PCL-M",,,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"51.2","12.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1",,,"Medium","Carter JJ, Gerbarg PL, Brown RP, et al. Multi-component yoga breath program for Vietnam veteran post traumatic stress disorder: randomized controlled trial. J Trauma Stress Disord Treat. 2013 Jul 31;2(3)doi: 10.4172/2324-8947.1000108.","46976","2019"
"castillo2016_CAPS_A_0_ITT","Psychotherapy","PTSD","86","A","PTSD",,"31",,"Group-delivered Cognitive/Exposure Therapy","Trauma-focused cognitive behavioral therapy (TF-CBT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Group","In Person","44","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed using SAS Proc Multiple imputation","Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"47.23","16.42",,,,,"-24.37",,,,,"Cohen's d","1.72",,,,"p<0.001",,,,,,,,"CAPS total score ≤45","0.5186",,"≥10-point decrease on total CAPS score","0.7738","Additional definitions of Clinically Meaningful Response reported in the study","Veteran",,"1",,"1",,"0","Mixed","MST, combat-related, other (not specified)","Medium","Castillo DT, Chee CL, Nason E, et al. Group-delivered cognitive/exposure therapy for PTSD in women veterans: a randomized controlled trial. Psychol Trauma. 2016 May;8(3):404-12. doi: 10.1037/tra0000111. PMID: 26854355.","44771","2019"
"castillo2016_CAPS_A_12_ITT","Psychotherapy","PTSD","86","A","PTSD",,"31",,"Group-delivered Cognitive/Exposure Therapy","Trauma-focused cognitive behavioral therapy (TF-CBT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Group","In Person","44","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed using SAS Proc Multiple imputation","Covariance pattern (unstructured) general linear mixed models","Assessment at 3 to <6 Months","12",,"49.43","19.07",,,,,"-22.17",,,,"compared to post-treatment",,,,,,"p=0.62",,,,,,,,"CAPS total score ≤45","0.4376",,"≥10-point decrease on total CAPS score","0.6771","Additional definitions of Clinically Meaningful Response reported in the study","Veteran",,"1",,"1",,"0","Mixed","MST, combat-related, other (not specified)","Medium","Castillo DT, Chee CL, Nason E, et al. Group-delivered cognitive/exposure therapy for PTSD in women veterans: a randomized controlled trial. Psychol Trauma. 2016 May;8(3):404-12. doi: 10.1037/tra0000111. PMID: 26854355.","44771","2019"
"castillo2016_CAPS_A_26_ITT","Psychotherapy","PTSD","86","A","PTSD",,"31",,"Group-delivered Cognitive/Exposure Therapy","Trauma-focused cognitive behavioral therapy (TF-CBT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Group","In Person","44","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed using SAS Proc Multiple imputation","Covariance pattern (unstructured) general linear mixed models","Assessment at 6 to <12 Months","26",,"49.04","17.54",,,,,"-22.56",,,,"compared to post-treatment",,,,,,"p=0.54",,,,,,,,"CAPS total score ≤45","0.4629",,"≥10-point decrease on total CAPS score","0.731","Additional definitions of Clinically Meaningful Response reported in the study","Veteran",,"1",,"1",,"0","Mixed","MST, combat-related, other (not specified)","Medium","Castillo DT, Chee CL, Nason E, et al. Group-delivered cognitive/exposure therapy for PTSD in women veterans: a randomized controlled trial. Psychol Trauma. 2016 May;8(3):404-12. doi: 10.1037/tra0000111. PMID: 26854355.","44771","2019"
"castillo2016_CAPS_A_Baseline_ITT","Psychotherapy","PTSD","86","A","PTSD",,"42",,"Group-delivered Cognitive/Exposure Therapy","Trauma-focused cognitive behavioral therapy (TF-CBT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Group","In Person","44","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed using SAS Proc Multiple imputation","Covariance pattern (unstructured) general linear mixed models","Baseline",,,"71.6","10.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"1",,"0","Mixed","MST, combat-related, other (not specified)","Medium","Castillo DT, Chee CL, Nason E, et al. Group-delivered cognitive/exposure therapy for PTSD in women veterans: a randomized controlled trial. Psychol Trauma. 2016 May;8(3):404-12. doi: 10.1037/tra0000111. PMID: 26854355.","44771","2019"
"castillo2016_CAPS_B_0_ITT","Psychotherapy","PTSD","86","B","Control",,"35",,"Waitlist with minimal intervention","Supportive counseling","Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Mixed","42","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed using SAS Proc Multiple imputation","Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"70.61","19.82",,,,,"-3.38",,,,,,,,,,"p=0.37",,,,,,,,"CAPS total score ≤45",,,"≥10-point decrease on total CAPS score",,"Additional definitions of Clinically Meaningful Response reported in the study","Veteran",,"1",,"1",,"0","Mixed","MST, combat-related, other (not specified)","Medium","Castillo DT, Chee CL, Nason E, et al. Group-delivered cognitive/exposure therapy for PTSD in women veterans: a randomized controlled trial. Psychol Trauma. 2016 May;8(3):404-12. doi: 10.1037/tra0000111. PMID: 26854355.","44771","2019"
"castillo2016_CAPS_B_Baseline_ITT","Psychotherapy","PTSD","86","B","Control",,"42",,"Waitlist with minimal intervention","Supportive counseling","Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Mixed","42","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed using SAS Proc Multiple imputation","Covariance pattern (unstructured) general linear mixed models","Baseline",,,"73.99","10.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"1",,"0","Mixed","MST, combat-related, other (not specified)","Medium","Castillo DT, Chee CL, Nason E, et al. Group-delivered cognitive/exposure therapy for PTSD in women veterans: a randomized controlled trial. Psychol Trauma. 2016 May;8(3):404-12. doi: 10.1037/tra0000111. PMID: 26854355.","44771","2019"
"celik2011_CAPS_A_0_Comp","Pharmacotherapy","PTSD","50","A","PTSD",,"22",,"Paroxetine","Paroxetine","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","25","Structured Clinical Interview","CAPS","CAPS-2","Completer",,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"35.6","9.6",,,,,"-10.3","12.8",,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I rating of 1 or 2","0.318",,"Community",,,"1",,,,"Combat-related",,"High","Celik C, Ozdemir B, Ozmenler KN, et al. Efficacy of paroxetine and amitriptyline in posttraumatic stress disorder: an open-label comparative study. Klinik Psikofarmakol B√ºlteni. 2011 Sep;21(3):179-85. doi: 10.5455/bcp.20110627111141.","1519639","2019"
"celik2011_CAPS_A_Baseline_Comp","Pharmacotherapy","PTSD","50","A","PTSD",,"22",,"Paroxetine","Paroxetine","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","25","Structured Clinical Interview","CAPS","CAPS-2","Completer",,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"45.9","10.2",,,,,,,,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I rating of 1 or 2",,,"Community",,,"1",,,,"Combat-related",,"High","Celik C, Ozdemir B, Ozmenler KN, et al. Efficacy of paroxetine and amitriptyline in posttraumatic stress disorder: an open-label comparative study. Klinik Psikofarmakol B√ºlteni. 2011 Sep;21(3):179-85. doi: 10.5455/bcp.20110627111141.","1519639","2019"
"celik2011_CAPS_B_0_Comp","Pharmacotherapy","PTSD","50","B","PTSD",,"20",,"Amitriptyline","Amitriptyline","No","Not Applicable","Yes","Antidepressant: TCA","No","Not Applicable","No","No","No","No","No","Individual","In Person","25","Structured Clinical Interview","CAPS","CAPS-2","Completer",,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"29.6","11.9",,,,,"-20.2","16.7",,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I rating of 1 or 2","0.55",,"Community",,,"1",,,,"Combat-related",,"High","Celik C, Ozdemir B, Ozmenler KN, et al. Efficacy of paroxetine and amitriptyline in posttraumatic stress disorder: an open-label comparative study. Klinik Psikofarmakol B√ºlteni. 2011 Sep;21(3):179-85. doi: 10.5455/bcp.20110627111141.","1519639","2019"
"celik2011_CAPS_B_Baseline_Comp","Pharmacotherapy","PTSD","50","B","PTSD",,"20",,"Amitriptyline","Amitriptyline","No","Not Applicable","Yes","Antidepressant: TCA","No","Not Applicable","No","No","No","No","No","Individual","In Person","25","Structured Clinical Interview","CAPS","CAPS-2","Completer",,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"49.7","12.7",,,,,,,,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I rating of 1 or 2",,,"Community",,,"1",,,,"Combat-related",,"High","Celik C, Ozdemir B, Ozmenler KN, et al. Efficacy of paroxetine and amitriptyline in posttraumatic stress disorder: an open-label comparative study. Klinik Psikofarmakol B√ºlteni. 2011 Sep;21(3):179-85. doi: 10.5455/bcp.20110627111141.","1519639","2019"
"chard2005_CAPS_A_0_Comp","Psychotherapy","PTSD","71","A","PTSD",,"28",,"CPT for sexual abuse survivor","Cognitive Processing Therapy (CPT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Mixed","In Person","36","Structured Clinical Interview","CAPS","CAPS one-week","Completer",,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"9","11.04",,,,,"-56.46",,,,,,,,,,,,,,,,,,"Not meeting criteria for PTSD according to CAPS-SX","0.9286",,"MPSS score ≤20 and BDI-II ≤10","0.7857",,"Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Chard KM. An evaluation of cognitive processing therapy for the treatment of posttraumatic stress disorder related to childhood sexual abuse. J Consult Clin Psychol. 2005 Oct;73(5):965-71. doi: 10.1037/0022-006X.73.5.965. PMID: 16287396.","27944","2019"
"chard2005_CAPS_A_Baseline_Comp","Psychotherapy","PTSD","71","A","PTSD",,"36",,"CPT for sexual abuse survivor","Cognitive Processing Therapy (CPT)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Mixed","In Person","36","Structured Clinical Interview","CAPS","CAPS one-week","Completer",,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"65.46","26.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Chard KM. An evaluation of cognitive processing therapy for the treatment of posttraumatic stress disorder related to childhood sexual abuse. J Consult Clin Psychol. 2005 Oct;73(5):965-71. doi: 10.1037/0022-006X.73.5.965. PMID: 16287396.","27944","2019"
"chard2005_CAPS_B_0_Comp","Psychotherapy","PTSD","71","B","Control",,"27",,"Minimal attention waitlist","Minimal attention","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Telephone","35","Structured Clinical Interview","CAPS","CAPS one-week","Completer",,"Covariance pattern (unstructured) general linear mixed models","End of Treatment","0",,"62.96","30.68",,,,,"-5.34",,,,,,,,,,"p=NS",,,,,,,,"Not meeting criteria for PTSD according to CAPS-SX","0.2593",,"MPSS score ≤20 and BDI-II ≤10","0.037",,"Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Chard KM. An evaluation of cognitive processing therapy for the treatment of posttraumatic stress disorder related to childhood sexual abuse. J Consult Clin Psychol. 2005 Oct;73(5):965-71. doi: 10.1037/0022-006X.73.5.965. PMID: 16287396.","27944","2019"
"chard2005_CAPS_B_Baseline_Comp","Psychotherapy","PTSD","71","B","Control",,"35",,"Minimal attention waitlist","Minimal attention","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Telephone","35","Structured Clinical Interview","CAPS","CAPS one-week","Completer",,"Covariance pattern (unstructured) general linear mixed models","Baseline",,,"68.3","23.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Chard KM. An evaluation of cognitive processing therapy for the treatment of posttraumatic stress disorder related to childhood sexual abuse. J Consult Clin Psychol. 2005 Oct;73(5):965-71. doi: 10.1037/0022-006X.73.5.965. PMID: 16287396.","27944","2019"
